asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
079070546X	National Lampoon's Christmas Vacation [VHS]	ANFCO14KPL8AT	11tmwatkins	Cannot wait until Christmas for my Mom to watch this movie. Her absolute FAVORITE Christmas Movie. We had the VHS but it eventually tore up from us constantly playing it. (:	5.0	Great.	2013-11-15	0	0	0
079070546X	National Lampoon's Christmas Vacation [VHS]	A155X6KYOPQEZ5	"#1 Cardinal Fan ""Afe"""	Uncle Eddy and Clark W. Griswald are back in National Lampoom's Christmas Vacation. I personally think this one is the best of all the Lampoom's movies. Clark and his family are preparing for a great Christmas together with their parents when Uncle Eddy and his family unexpectantly arrive. From their everything goes downhill for Clark. (again) Hilarious movie, but does unfortunately have some language to it. (I won't write any examples) But overall this movie is one of the funniest I have ever seen. I highly recommend it for any National Lampoom fan!	5.0	Hilarious Movie!	2008-06-17	0	0	0
079070546X	National Lampoon's Christmas Vacation [VHS]	A3BFQGSCCQ8U5O	1ruger4570	This is a great movie.  It arrived new and undamaged.  I would recommend this show to anyone who like to laugh.	5.0	a Christmas classic	2012-01-10	0	0	0
079070546X	National Lampoon's Christmas Vacation [VHS]	A3K7GLGMPTNBRC	1smartrotts	Classic, that's all I got to say.  Uhmm, if you havn't seen this movie, you need to watch it.&#34; I don't KNOW, Margo!&#34;	5.0	Favorite Christmas movie ever!	2013-01-11	0	0	0
079070546X	National Lampoon's Christmas Vacation [VHS]	A3T2Y7ILE9U97K	2 cents	Absolutely love this movie - very funny and entertaining. Great cast and plot. Arrived fast and well packaged. Classic christmas movie.	5.0	Love this movie	2012-08-14	1	0	1
079070546X	National Lampoon's Christmas Vacation [VHS]	A3IFQRUGOI4I4T	2green thumbs	we rented this the quality was great they have improved the streaming since last year,the movie still makes us laugh every year a must watch for Christmas.	5.0	classic favorite	2012-12-11	0	0	0
079070546X	National Lampoon's Christmas Vacation [VHS]	AEOEJLY1DI5KK	2Gypsies	Our family's favorite Christmas movie for over 20 years.  This movie is just great fun and a perfect reward after tree trimming, popcorn and true quality family time for much laughter.	5.0	Family Fave- Christmas Vacation	2014-04-10	0	0	0
079070546X	National Lampoon's Christmas Vacation [VHS]	AFDQ7QHDYES5E	"2 Tone Tommy ""tommy d"""	I've loved this movie since it's release in 1989 and recently decided to replace my DVD version with Blu-Ray. It is a yearly family tradition to watch it. There is side splitting laughter accompanied by lots of holiday traditions with a twist. Chevy Chase as well as all the other actors turn in all star performances.	5.0	Christmas Vacation a Must For Serious Lovers of Holiday Movies	2013-11-08	2	1	1
079070546X	National Lampoon's Christmas Vacation [VHS]	A1OXL316WUHYD8	&#34;BIG MARCUS&#34;	I never get tired of watching this movie every Christmas! Easily Chevy Chase's finest (all of the Vacation movies). Decided to grab this Blu Ray to add to my collection.	5.0	Best Christmas Movie Ever!!!	2013-12-02	1	1	0
079070546X	National Lampoon's Christmas Vacation [VHS]	A2P9LD67T5FDV5	&#34;Norjean&#34;	It was very good and made me laugh and I enjoyed it except for the language.  I think Chevy Chase is very good.	3.0	National Lampoon's Christmas Vacation	2013-01-10	0	0	0
