asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A155X6KYOPQEZ5	"#1 Cardinal Fan ""Afe"""	Four children, Peter, Susan, Edmund, and Lucy are sent to live with the professor in a mansion. When they're playing hide and seek, they discover a world that they never thought existed. Here we enter Narnia-where mythical creatures talk and where a cruel white witch reigns over the land. She has a spell to keep it always winter-but never Christmas. No one can defeat the white witch. Except-there is a prophecy- that if 2 sons of Adam and 2 daughters of Eve sit at the throne at Cair Paravel, the white witch will be defeated. Can it be done? The only hope Narnia has is for the four children to sit at the throne. Led by Aslan-the creator of the land-who will come out victorious?I really enjoyed watching this movie. Not only is it full of great special effects and plenty of action, but it's filled with lots of symbolism. The books are written by C.S Lewis-a Christian author. In his books Lewis put in tons and tons of symbolism. And the movie follows it.Now for the effects. This movie is chalkfull of effects. The Lion-Aslan actually looks real compared to the earlier Narnia movies. The battle sequence is great. The scenery is great, too. (it was filmed in New Zealand) So if you like action and adventure, and have read the books-then step into Narnia-where everything comes to life!	5.0	Outstanding movie!	2008-06-18	1	0	1
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A3E7TIFK72RVP9	24-Karat Baccarat	The humans were not lovable or respectable, nor did I see any reason why they should be honored. Yet they were crowned, and then weakly led a rebellion. The movie was weak.	3.0	boring	2007-05-22	14	3	11
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"""The Chronicles of Narnia:  The Lion, the Witch, and the Wardrobe"" presents the C.S. Lewis fantasy classic very well.  (The story takes place during World War II in England where Lucy, the youngest of four siblings [Peter, Edmund, and Susan] stumbles upon a magical kingdom named Narnia in the back of a wardrobe of a professor's mansion while playing hide-and-go-seek.)  The children find themselves in a world of animals, fauns, and other mythical beasts who are captive to a witch's spell casting a perennial winter upon Narnia.  They find themselves in an adventure to help free Narnia from the icy grip of the White Witch, Jadis, and her endless winter. (It is a fantasy much like ""The Lord of the Rings"" with Christian allegory, but with enough appeal to please a wider audience.)Fortunately, the technical development for the movie lives up to our expectations. Many comparisons have been made to Jackson's ""Lord of the Rings"" trilogy, but, while ""Narnia"" owes a great deal to the former's technical excellence (mainly from director Andrew Adamson's experience with ""Shrek""), ""Narnia"" stands on its own.  Luckily for C.S. Lewis fans, the making of this movie is very timely.  The acting, which has sometimes been undermined, is good all around.  While Tilda Swinton is aptly given praise for her role as Jadis, the White Witch, the child actors deserve accolades for their natural portrayals as the young sojourners to the Narnia world.  (Their emotional range from sibling rivalry to genuine astonishment is good throughout.) The movie is also true to the book in content and  meaning without being watered down.  It presents an absorbing story and a gripping adventure.The movie is rated PG, but it shouldn't scare away too many viewers.  There are some frightening moments, and, indeed, the violence, while not too graphic, will be at least a notch up from cowboy and Indian matinee movies from the fifties. (Some five-year-old viewers survived the jolts at the movie theatre better than this reviewer, and the reader can always control the volume at home.) This movie is great entertainment for people of all ages."	5.0	Cinematic Splendour	2006-04-09	7	4	3
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A1S3S7URCM9F0A	4444	I really enjoyed this movie. I brought it to my Bible study group and shared it with them, they loved it also	5.0	The chronicles of Narnia	2013-08-11	0	0	0
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A35R8PJSEURHHF	Aaron Merkel	When I was just a little kid I fell in love with the cartoon version of this story.  The movie followed the cartoon version very closely and it was amazing to see it brought to life.  I was teary eyed through most of the movie, it really moved me. Some of the mystical creatures gave me a chuckle because they looked silly and it almost seemed like watching Xena...but i thought the scenery and especially the music was wonderful.  You really get wrapped up in it and I think I liked the beautiful white snow instead of the lush green.  So, anyway, if you did watch the cartoon version you won't be disappointed.	5.0	Relive the childhood memory.	2005-12-20	4	2	2
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	ALOQFCJ2TA5ZA	Aaron R. White	Of course the movie is wonderful, but don't get it from here.  It will not come with the booklet that it says is enclosed.  In the end it was a big mess for me.  Buy it somewhere else.	4.0	Movie is great, but don't buy from here.	2007-01-18	2	1	1
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A2EEUQ81DTY7G3	A Customer	At the Library where I work, we can't keep the Chronicles of Narnia series on the shelf fast enough. A perennial favourite with the kids, the books have certainly proved the test of time and become much loved. The film of the first book in the series is certainly worth looking at, and unlike the Harry Potter novels, you don't have to be an aficionado of the books to understand the story.Not having read the books though, I can still appreciate that the film remains faithful to the book in tone and imagery, and it's solid, reasonably close cinematic approximation of C.S. Lewis's books, even if the film is a little overlong and a trifle dull in spots.  It's a lovingly rendered sword and sorcery epic that just needed a trimming in a few spots, yet it is appealing, mostly because the startling visual effects don't overwhelm the impact of the actual story.Narnia is indeed a magical, surreal world into which four lovely children stumble. Animals talk, centaurs and satyrs romp, a magnificent, all-powerful lion named Aslan pads through dispensing deeper meaning, and then there's an absolute tour-de-force performance by Tilda Swinton as the machiavellian, Jadis, the White Witch, who will stop at nothing to keep her icy empire intact.Peter the eldest (William Moseley), Susan the priss (Anna Popplewell), Edmund the sour (Skandar Keynes), and the cute Lucy  (Georgie Henley) are packed off by their mother to the country to escape the London blitz. They are to stay with a distant relative (Jim Broadbent, eccentrically bewigged). One rainy Sunday afternoon Lucy idly wanders into that wardrobe and stumbles into the snow where she meets Tumnus (James McAvoy), a faun.Edmund follows a short time later, where he bumps into Jadis and is immediately seduced by her promise of endless hot chocolates and Turkish delights. All the children eventually make it over and are beguiled by this world where beavers talk and where they are forced to come to terms with the fact that they are the four humans who will free the realm from Jadis's icy grip.Admittedly some of the CGI effects don't quite work - particularly in the middle section - and there could have been more thought put into some of the smaller details, like having Mr. Tumnus's ears move for instance. But the marvelous Ms. Swinton as the wicked White Queen, more than makes up for its shortcomings. A woman of formidable talents, she totally embodies the attributes of an obsessed fanatic with a cold interest in cruelty.Much has been made about the religious and mythological aspects of the story and the conflict between civilization and chaos. I didn't get much of that here. If there were any references to Christian martyrdom in the books, they have certainly been glossed over in the film. Most of what you see on screen, while paying lip service to moral ideas, is pretty much about war and chaos, the film opening with devastating scenes of the blitz, and then ending with the ultimate battle for the control of Narnia.As the children gain ground against the witch, Narnia begins to thaw, and they become ever more confident and determined to save the realm - Peter gets a sword, Susan gets a bow and arrow, a dagger for Lucy. And the scary battle scene at the end is as good as any that you will see in the Lord of the Rings. It almost becomes medieval, with the Peter as a Teutonic-like soldier, and war as the only way to make the world a safer place. Mike Leonard April 06.	4.0	"""It is finished,"""	2006-04-09	4	1	3
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A1VQBHHXIKHIGS	A Customer	First, some background. When I was a child, I avoided almost anything written for or marketed to children, for fear, usually justified, of Disneyfication. Anything with a list of three items in the title is particularly to be avoided, unless it's called THE GOOD THE BAD AND THE UGLY.If memory serves, there was an animated Disney version of this back then. And in fact, the current incarnation comes to us from Disney. Thus, I came to this film with extremely low expectations.I was wrong. I was wrong wrong WRONG. A compelling story told well, and I thoroughly enjoyed this film. This is why CGI was invented. It'll never be put to better use. Never.I've read a lot of criticisms lately claiming that C.S. Lewis was guilty of flagrant Christian symbolism. I don't see it here. What I see are features that are common to all or most mythologies, which is what the academic C.S. Lewis studied during his lifetime.Also, a big tip of the hat to whoever wrote the screenplay. I don't know how much is C.S. Lewis and how much is screenwriting, but for me this story never flagged because clever dialogue, delivered perfectly straight, had me giggling through what could have otherwise been boring walks through the scenery. Gorgeous scenery too, both in Narnia and back on good old Earth.	4.0	Narnia	2006-08-28	2	2	0
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A1RVY7CQW01D41	Adam Chen	I was entertained all throughout the movie. I have also read the books and felt like nothing important was left out. I highly recommend this movie to anyone seeking to have a good time watching a family-friendly flick. The four kids chosen to be main characters are very cute and their acting is good.There are three versions of the film to be aware of: one has just the movie, one has the movie and a special features DVD, and one has the movie and three discs of DVD features. I own the one with one special features DVD and cannot comment on the one with three special features DVDs. Buy the one you think you will want to watch!	5.0	An excellent movie	2009-09-01	0	0	0
0788860704	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	A1V9WDK7OUTMG6	"A. Dilkes ""Aquarium Lady"""	I have loved the Narnia series of stories all of my life. I have several different editions of the books, a cassette set of the dramatised BBC version (very well done) and the recently released audiobooks read by well known actors (Kenneth Branaugh's Magician's Nephew is a delight). I was very excited when it was announced that films were being made and looked forward to this one with just as much anticipation as the LOTR trilogy. Understand that it's a beautifully done film, visually gorgeous and the casting is spot on (I agree with everyone else, Lucy is perfect), BUT... For those like me who love the stories and the spirit in which they are told will not like this movie as much as some. The books tried to display and encourange the best qualities that are within all of us. Forget about the christian themes for a moment if you will, I mean good old character traits like courage, honesty, loyalty. For some reason the filmakers decided to infuse the characters with far too much frailty (the kids squabble needlessly, the beavers argue and insult each other, Edmund is now given a father at war as a justification for his treacherous behavior, Peter is quite wimpy at times, the list goes on). I also wondered as some others here did why Aslan is regular lion-size, though Liam Neeson's voice is wonderful. What I'm trying to say (and sorry to be so long-winded) is that this movie is well worth seeing for lovers of fantasy and Narnia, but while Peter Jackson made some changes with LOTR but still remained true to the stories most basic elements, this director did not. Maybe they'll do better with Prince Caspian. I'll be there on opening day to find out:).	4.0	Quite good, BUT......	2006-03-28	3	2	1
