asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A1O7Y2ABPDIQ8H		Many years down the road, this will still be the best sci-fi futuristic adventure show! Love Michael j fox!	5.0	All time classic adventure	2014-07-19	0	0	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A155X6KYOPQEZ5	"#1 Cardinal Fan ""Afe"""	"The Back to the Future trilogy is GREAT! I bought it a year ago and it is outstanding. I don't see how other reviewers could criticize this trilogy because there is NOTHING wrong with mine. The ""widescreen"" isn't off the page or anything. The trilogy is just like any other. As for the actual movies, they're amazing. Back to the Future is one of my favorite movies. (especially when I like the idea of time travel) The delorean is what really brings out all the movies. As for others, I definately recommend this to you!"	5.0	Great Trilogy and NOTHING wrong with it!	2008-06-17	1	1	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A2AQGA60ATNEY2	2bland	Best DVD set of the three movies. Quality excellent, and the extras are pretty good also. I bought to replace and upgrade the VHS set I bought back in the day.	5.0	Back to the Future: 25th Anniversary Trilogy	2014-02-25	0	0	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	ADB2I2RSRFCDM	808_Leo	Watch it on Blu-ray, with an HD TV, you can see their pores on their skins. It's THAT clear and awesome!!! How can you say &#34;no&#34; to Back to the Future trilogy????	5.0	Back to the future trilogy	2013-11-06	1	1	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A25ZIFKNKJLOEH	80s Gold	Never disappointing, the dvd collection of the Back to the Future Trilogy is fantastic as the original film.  Cast interviews, behind the scenes, and deleted/extended scenes were phenomenal.	5.0	Brilliant as ever!	2011-01-22	0	0	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	AR8UJNIFP0YOM	Aaron Sun	The Blu ray quality was great. But all the password for the digital copy cannot work despite that I've keyed in the correct codeword.	4.0	Digital copy couldn't work	2011-01-31	0	0	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A2809BQSNCJV8G	A. Barlin	A great set for your collection, but be aware that disc 2 and 3 have framing issues that chops off some picture.Check the issues on the dvdreview.com site for details.Go to the news section and do a search for this set.See sample at [...]	2.0	Beware of framing issues on this set	2004-12-12	7	7	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A3HQXFLZ6WI70Q	Abdul Fazrul	After 25 years, the movie still looks new and awesome. The bluray video and audio is unbelievable, as if the movie was just made recently. I just watched part 1 and now going through the extra stuff and the extra stuff is like more than 3 hours. Damn. Next stop, part 2. MUST BUY. REALLY. If only they made movies like this now.	5.0	I would give this 6 stars	2010-11-13	4	4	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	A3UT41TWD7N0D5	AbeStreet	"For some reason I was only a casual fan of these movies until I purchased them on DVD.  I thought they were decent films, with good special effects, an interesting plot, and some decent acting.  Still the movies didn't rank high on my ""favorites"" list.  However, that all changed once I purchased them on DVD.  I watched the films back to back and the overall story became so much more enjoyable for me.  I really appreciated the way that the filmmakers were able to, in 1989, recreate the original 1985 sets.  The actors picked up where they left off without missing a beat.  The special effects hardly seem dated.  The various sets of the same town in different time periods were very well done.  What impressed me the most though was the story.  I'd forgotten just how many times the characters had jumped back and forth through time.  The story is somewhat complex and keeping track of all the time paradoxes and the alternate futures requires the viewer to remain focused and to pay attention to everything that is going on.While I think Michael J. Fox and Christopher Lloyd made a great acting team I personally think that Thomas Wilson is the unsung hero of this trilogy.  He is able to create the various members of the Tannen  family and the various ages of the different Tannen characters so perfectly that they really do seem to be portrayed by more than one actor.  It's a shame that Claudia Wells (Jennifer Parker) and Crispin Glover (George McFly) opted out of doing the two sequels.  Still, their replacements did a fine job.Lastly, what more could you want from a movie(s)?  An original story, decent acting, humor, a touch of romance, plenty of suspense, and enough special effects and action are sure to keep any viewer glued to their television sets.  The next time you're at home with an afternoon to kill try watching these films.  You'll be surprised just how fast 6 hours can slip past!"	5.0	"You ""Slackers"" need to purchase this trilogy!!!"	2005-11-08	7	7	0
B00006AL1D	Back to the Future - The Complete Trilogy (Full Screen Edition)	AF0ZBV5OJG80S	"Abraham Figueroa ""Abraham of the Jungle"""	"Being a kid who grew up in the late '80s-early '90s, Back to the Future always took my imagination to so many places. It's always been one of my favorite franchises, and now the wife loves it as well. As a high def aficionado, of course I was going to pick this up! And what can I say? It is outstanding! The picture quality is as good as the negatives for these films will allow. I was able to hear a great improvement in audio as well. And as a previous owner of the trilogy on DVD, it is great to see all of those bonus features added in and many more! I also finally get to own the films not only in HD, but also in their correct ratio.But what really compelled me to write this review was the packaging. Every single review I read (and the set has only been out for a day) keeps whining on how terrible the packaging is. Which was really strange to me, because when I first opened up my set and saw it, I though, ""wow, that's a really neat way to hold the discs--it contains the packaging's need to touch your disc to a bare minimum!"" Which was a problem I always had with multi-disc sets--one way or another, they could scuff or scratch the discs against each other. But this way, they're practically being held four tiny bits of plastic around the edges, and nothing touching your disc on the reading side. Maybe I'm a strange person, but when I first saw it and saw the design, I saw the little spring-like throngs at the bottom and figured, ""oh, these are holding the discs up. So you push down, and out comes the disc."" Which is what I've been doing and I have had no trouble taking out or putting back the discs. So, thumbs up. I love this set, and the packaging."	5.0	Awesome collection, great picture and audio, and yes, awesome package!	2010-10-27	9	4	5
