asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1417030321	Brokeback Mountain	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"A couple years ago I was staying with family that has digital cable. Let me digress: Ever read _Amusing Ourselves to Death: Public Discourse in the Age of Show Business_by Neil Postman? It's worth checking out. Anyway, I was hanging around the house a lot and this movie was playing on the HBO channels. At first I wasn't too interested to be honest. You know, seemed it might be a liberal Hollywood ""message movie"" and the subject matter didn't particularly appeal to me. I mean romance movies aren't my thing anyway and one about two dudes is just not my cup of tea. And there was so much buzz around it cause it's the ""gay cowboy movie"" and people are retarded and trip, in large part because of the very entertainment industry TV shows and magazines that are mainly responsible for generating the publicity for Hollywood products. But I started catching parts of it when I was hanging out channel surfing and ended up seeing the whole thing. ANYWAY, this is a very good movie, plain and simple. I was moved by it alright? I mean it got to me. And I made a point to tell friends. It bothered me that I felt even slightly funny about telling people I know that I liked the movie. I called BS on myself.The motivation for writing this here Amazon ""review"" for BROKEBACK MOUNTAIN is Heath Ledger's performance.Seeing Ledger in this role it was perfectly clear to me at the time that Ledger was going to be one of his generation's finest actors. I've heard from fanboys a million times over how awesome Ledger's performance as The Joker is and it really is an amazing performance and I completely agree. However, long before ever seeing THE DARK KNIGHT I knew Heath Ledger was going to be a superstar. I knew well before ever even seeing a clip of him as The Joker he was going to be great as The Joker solely based on his performance in this film and that THE DARK KNIGHT would make him a star.I'd also add that BROKEBACK MOUNTAIN is a much better pictire than CRASH which won for ""Best Picture"" that year. Ang Lee is a truly great drama film director. ICE STORM and RIDE WITH THE DEVIL are also great and unique films. The tribute below is touching and I think perfectly articulates what so many have thought and felt..___________________________________________________________________""Ledger's magnificent performance is an acting miracle. He seems to tear it from his insides. Ledger doesn't just know how Ennis moves, speaks and listens; he knows how he breathes. To see him inhale the scent of a shirt hanging in Jack's closet is to take measure of the pain of love lost.Rare is the performance that can honestly be called a ""revelation,"" but that's what it felt like to watch Heath Ledger in ""Brokeback Mountain."" Not only did he bring iconic life and nuance to the existential loneliness of Ennis Del Mar, a taciturn but complex (and conflicted) character, but for such mature work to spring from the teen-idol star of ""10 Things I Hate About You"" and ""A Knight's Tale"" was... well, revelatory itself -- the astonishing revelation of a suddenly, fully developed actor whose juvenile efforts scarcely hinted he'd be capable of such moving depth and clarity. Ledger emerged as if from a cocoon, gleaming with promise and flexing his wings.Only two years after he received his first Oscar nomination for this iconic, star-making performance, it seems unthinkable that we should be mourning his death, at the age of 28....""-- outstanding film critic Jim Emerson.Couldn't say it better."	5.0	You want to talk about great acting?	2008-08-29	8	7	1
1417030321	Brokeback Mountain	A1O005WUQUF1K9	Aaron Scott	Okay--I LIVE in Wyoming, and first off, there are just too many cowboy hats. Here is a great irony: this movie tries to overcome stereotypes about gays, when the movie is 80% stereotype itself (read on--I still loved it--I just want to set the record straight).  It's so ridiculous.  Did Ang Lee even visit Wyoming?  Or just drive through to Alberta imagining every stereotype possible?  You just don't see that many cowboy hats (admittedly, I wear one, nearly alone among any neighbors or coworkers), whereas in the movie hardly anybody doesn't wear one.  And frankly, I don't know where they got the dialog coach (not from Wyoming, certainly) but few people in Wyoming have discernable accents, either, any more than any western state.  You might hear Spanish accents, Greek, even Italian any place in the state, but not that thick drawl that sounds more like somebody playing an old record too slow.Secondly, though this does not relate to stereotype but my own sense of taste, if Ang Lee had omitted the sex scene--or at least done it with discretion and omitted the nearly pornographic detail--the movie might have been an order of magnitude better.That said: gosh, I love it; I've seen it a bazillion times and even surfeit cannot drive the haunting melancholy from my mind.  I wouldn't recommend it to anybody unless they already knew what they were getting in to--it is by no means a FAMILY movie--but it plucked a strong chord with me.  I bought it as soon as it was out on DVD and have watched it (or portions thereof) nearly every night.  Painful, lovely, haunting--I have a new adjective after every viewing--but, like Jack said, I simply cannot quit it.  I wake in the night with lines or music from it in my mind.  That must say something about the movie!	4.0	Flawed--but unforgetable	2006-05-07	48	25	23
1417030321	Brokeback Mountain	A23Q68A9OISDZJ	A. Cao	I was expecting some gratuitous gay cowboy flick. The amount of hype Brokeback Mountain received had me shying away. I expected to hate it. I thought I'd be disappointed. I'm a real cynic. I'll admit I actually wanted to hate it because everyone else had raved on so much.In any event I can't deny that I loved it. Without a doubt it is the most beautifully crafted film I have seen (It's reasonable to say I haven't seen that many good movies). The story is artfully told. Heath Ledger's portrayl of Ennis Del Mar was honest and heart felt. You really saw the torment he put himself through trying to deny his love for Jack Twist (Jake Gyllenhaal) and present an honest, straight, normal persona to his world. Jake Gyllenhaal had to work even harder to give Jack a confidence in himself and an acceptance of his sexuality that Ennis never had. Although Jack's feelings for Ennis where obvious, the fact that he had other lover's made his character humanly flawed. To the film's credit neither character ever mentions love. The acting and direction is so spectacular that you see all the emotion and unspoken words play across each character as clear as if it was spoon-fed. It so rare to be allowed to understand a film's intent without having it rammed down your throat with over acting, dialogue and special effects.This isn't a 'sensation' movie, it doesn't set out to be controversial or political or even to set a standard for the gay community. Ignore all of that and see the movie for what it is. A heart-wrenching tale of unspoken love, denial and human struggle for personal acceptance. It's wonderful and deserves all it's praise for being what it is. No apologies, No expectations. It's almost as if they made it thinking that no one would ever see it. The best word for it is 'Honest'.	4.0	Not what you think	2006-02-24	26	19	7
1417030321	Brokeback Mountain	A29VMX4P240OKM	"Ace of Spades ""Ace"""	Seemed like an interesting movie when watching the trailers online, but it is just my opinion the movie was terrible.The stories is about Heath and Jake's characters over a certain time period. I am guessing 20 years? Maybe less.The story jumps to Heath and he has a daughter who is practically the same age as he is in the movie.Very anti climatic movie could have been written better, just disappointing. I understood the movie and its meaning though.	1.0	Not as good as the trailers	2014-06-03	2	0	2
1417030321	Brokeback Mountain	AQUU8S55JGY2H	Aco	"This is a superbly haunting film, one so affecting that I woke up in the middle of the night thinking about it. Beautifully acted, directed, scored, shot, located and heart-wrenching, Brokeback Mountain is likely the Best Picture of 2005. Both Heath Ledger and Jake Gyllenhaal give career best performances, creating portraits of two men in love, but distinctly different in their capacity to understand and accept what has happened between them, and particularly who they are.Ang Lee is truly one of cinema's best directors, who's deft handling of different genres (American comic book mythology, sublime Chinese martial arts ballet, 70's era suburban East Coast drama, 19th century pastoral English romance, etc.) continues here. He uses the contrasts of stunning wide open space and isolation, physical and internal isolation. The need to battle the elements alone versus together. The attempt to mask and repress the heart with tradition, denying the rebel. There is also much metaphor to express the opposing natures of men and women. For example, Jack's (Gyllenhaal) evolving submission to his father-in-law is developed over a few scenes, ending in a relieving turkey cutting scene that clarifies his maturity and acceptance of himself. But the moving images of Ennis (Ledger) alone, in stoned paralysis are what haunts the film. His disconnect with what he feels propels the story, his fear and uncontrollable passion wreak havoc on others too, but mostly on himself. Ennis is the romantic and the pragmatic of the two, and tortured by a true love he can't accept. While Jack is the flamboyant and hopeful one, who's sexuality he learns to embrace.But homosexuality is secondary in the film. And just as time period is (it starts in 1963 and travels 20 years) important, it represents a time when cowboys (America's mythic man) were dying out; the residents of ghost towns, made up of young guys needing to be their fathers, etc. To which the differences between Ennis and Jack also evolve. One remaining the ranch hand/herder, the other going into business and wealth.But the timelessness of this is primarily in the relationship itself, equally passionate and distant, unable to blossom in an intolerant world, but especially in a fearful one.For the culmination of a long term love to be ""I swear,"" left me knowing that even when I can't get out of my own way, there is a fight to be had, against the intolerance, fear and torture of a world which masks it's truths with worse fears."	5.0	Powerful, Moving, Beautiful...	2006-01-15	13	9	4
1417030321	Brokeback Mountain	A1V7FLEMLZ3A0I	"Acolin ""Acolin"""	"Director Ang Lee eases into a topic as touchy as Iraq with a gentle approach. A 60s setting, some gorgeous scenery, a methodical, patient pace, yet half way through the movie, you realize that not only are you watching two guys kissing (when was the last time you saw that? Heck, have I ever seen that?), but that they are going to simulate sex (without the genitals) right there on the screen and you, if you are brave enough, are going to sit through it!(I asked my girlfriend to hold my hand. Girls: it takes a real man to see this movie. Let them take you to a horror movie - you get them back and take them to this.)Despite all of these political and sexual asides, this is an awesome movie. I recently saw ""Walk the Line"" again on cable (already!). While it is a wonderful portrayal of Johnny Cash, it is not an stirringly emotional movie like Brokeback Mountain. It is no surprise to me that ""Brokeback"" jokes are already in the vernacular of the day. This movie has a profound impact of our current culture.Heath Ledger and Jake ""G-something-unpronounceable"" do a wonderful job. Though they are on the screen through-out the entire movie, they carry the burden as lightly as a T-shirt. Ledger will never be thought lightweight again. There is more acting here than ""Capote."" There is more emotion here than ""Crash."" This was the best movie of the year.As difficult as homosexual love is to comprehend (for what, the last 2 million years?), this movie makes it real, tangible, tender and poignant. It is story writing, telling and acting at its best. If you like ""Unforgiven"" or ""Million Dollar Baby,"" you will like this movie."	5.0	Best movie of the year	2006-04-12	34	29	5
1417030321	Brokeback Mountain	A1EPVI1J4JII2W	"A. C. Sorenson ""Movie Buff"""	A stunning, heartbreaking achievement. Glorious cinematography, exceptional score plus spare, first rate screenplay add up to a remarkable film. Perfectly cast. A milestone film that packs a wallop.	5.0	A new classic	2006-04-10	32	25	7
1417030321	Brokeback Mountain	A34SAHBY44Y0AA	"A. C. Tills ""swtill"""	"My title gives you a hint of what you will feel after seeing this movie for the first time-and a few days later. Watch it again and you will notice things you didn't see the first time-and feel it for days after. I come from a place where there is understanding and I am allowed to be happy, but this was not so for our young lovers in the country in the 60's (and probably today as well). Enis and Jack had the love of a lifetime but never got to live a life together. This story of love (yes they are gay and cowboys-BUT it is a love story) will leave you aching for them long after you turn the ""off"" switch to your dvd player. Please watch this film and tell me you don't feel anything for these two. I do feel cheated that the Academy didn't feel it was the best film of 2005, but I will take the other 65 organizations that say it was (including the Hollywood Foreign Press, DGA, PGA, WGA and so on) and know this film will go down as one of the greatest ever-AFI will have it on the list someday. Again, please watch it and cherish those you love and rejoice in the fact you can be with them. Thank you."	5.0	Haunted...	2006-03-16	50	43	7
1417030321	Brokeback Mountain	AU9LNXHYO4CN8	A Customer	Truly, truly, truly: this is a fine, a superb, and a great movie to watch with your friends, your loved ones, your spouse or partner, or by yourself.  Truly, the scenery is spectacular, and the story moves along at a nice pace, just like a good horse - or so I believe would be true with a good horse.  LOVE is the theme, the core, and the basis for an exploration of humanity and what can or cannot be accomplished.  Truly, truly, I highly recommend this film for everyone, whether you are straight, gay, or otherwise.  Wow: this film is a keeper.	5.0	Love means never having to say I cannot	2007-03-09	23	20	3
1417030321	Brokeback Mountain	A1LTJD7WTF8H4Z	Adagio Farm	Fascinating. While Ang Lee films are always artful and beautiful, this particular film was worth the watching for the breathtaking cinematography alone.  The romantic landscape is inexorably intertwined with the love story, which is dramatic, poignant and yes, quite romantic.  This storyline plays like the 21st century version of Romeo and Juliet: Characters Ennis, a ranch hand, and Jack, a rodeo bull rider, are essentially products of the American West. In the changing world of the 1960s, they work hard to remain working cowboys, a life they love. They meet herding sheep on a mountain, and despite their respective insistence that each is not homosexual, and with some degree of self loathing, these tough guys fall in love.  Of course, theirs is love that can never be publicized.  Given the conflicting traditional values of Americana societal constraints, they become star-crossed lovers. The story spans a period of twenty or so years, depicting the secrecy with which the men, both of whom marry and raise families, must lead double lives.  This film transcends the surface layer of a gay lover story, indeed it shatters the entire structure of what we consider to be romantic love.  If you have ever had a love that can never be made public or a love never fully realized, you identify with this film. I would guess that even if you are homophobic, you may yet secretly hope these two cowboys will end up together on their own ranch.  Watching this fim, I was reminded of `Lonely are the Brave' (Kirk Douglas, 1963) for understanding the heart of a cowboy, yet also the more widely-known `The Bridges of Madison County' for the portrayal of a life-sustaining love never completely realized. Do set aside all you thought you knew about romantic love before you watch Brokeback Mountain. What an impressive film. A very risky film. A standout.	5.0	Poignant. Dramatic. Breathtaking cinematography.	2007-07-11	20	19	1
