asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000E5LEXS	Jeff Dunham: Arguing with Myself	A2G7Y6ETCISQ4G		Great comic!	5.0	Great	2014-07-19	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A1GZXYF0JHI8TO	2together	Jeff introduce a new character, more sexual than normal not good for kids.  If you're looking to laugh it's ok.	4.0	Funny	2014-06-19	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	AM9IAG6N0WZEV	70517	I just enjoy watching this guy.  funny, talented, and with all the bad stuff going on today it is good to have something to laugh about!	5.0	great!	2013-12-29	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A32FPMBFK9ERU0	Abby Joan	this is a hilarious movie with Jeff Dunham and his puppets.  Adult humor and content but fabulous and funny.  cracks us up every time	5.0	hilarious	2013-10-19	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A2NC1QGEAS8JFW	A. Black	We love this dvd. We watch it over & over and laugh every single time!	5.0	Hilarious!!!!!!!	2007-01-08	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A31JCTBX734EAF	A. Bristow	he is wonderful, i have seen him in person, and the man is funny,,, great dvd cant wait for the second one to come out,,,,  its a must see	5.0	jeff dunham	2007-01-09	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A175DH5KKWN4FM	"A. Clough ""Pierrette"""	Very funny DVD.  I like that he can take the mickey out of himself, and play with dolls...  LOL.	5.0	Great laughs.	2007-12-21	1	1	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A5B711Y547WHH	"A. Crawford ""Bcherwurm"""	After receiving one of these chain e-mails that contained a snippet of Dunham's performance, of whom I had never heard before, I had to see more and bought this DVD.OH MY GOD! It is absolutely hilarious. My favorite character is Peanut and he has coined quite a few phrases that seem to fit certain life situations and have the power to lighten up my day. I have watched this performance numerous times and I still lose myself every time. Walter, Jos&eacute; and Bubba J. are very funny as well, but cannot quite reach Peanut's performance and appearance (I mean there are women that would kill for those lips).I can't say I would recommend this to anybody who enjoys a good stand up comedy with a twist, since I don't know what may tickle you funny bone, but I would recommend it to myself any day.	5.0	It's the lotion ...	2008-01-06	1	1	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A18BD98SU49UB7	"Adam Hunnicutt ""A.H."""	"Its really hard to review a standup comedy routine  ""critiquingly"". If it's GREAT, like this one is, I would have to resort to the overwhelming non-lack of cliches plastered on the covers of movie boxes and posters across the Land.What it boils down to, is this (and its very simple): This is one of the funniest and most tallented stand-up acts I have ever seen. You have your all-time greats like Pryor and (fill in your fav here) but did they hold three-way conversations at lightning speed and legibly conveying three unique voices with three different personalities? Either he has incredible tallent or he's related to Emily Rose.In short, its fantastic - Excellent - pullamuscle funny - and man does it deliver. Highly recommended for you adults who need a change in pace.  ~saos~"	5.0	Sticks and Jalapenos	2006-04-21	99	83	16
B000E5LEXS	Jeff Dunham: Arguing with Myself	AJ4B4HPO6TESZ	"A. Demmick ""amy d"""	I absolutely LOVE this movie!!  Jeff is the BEST at what he does and I would recommend this movie to any comedy fan!  It's hilarious, non-stop laughs the entire length of the show!  Great purchase!	5.0	Gotta LOVE this guy!!!	2008-10-14	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A3VRZ239GOJ4QZ	A.E.	Jeff Dunham is very funny and entertaining!  Some of the language and topics are not for kids.  Jeff is an extremely talented ventriloquist!	5.0	Very entertaining DVD!	2007-10-10	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A3LRO55ZYZXGGS	A. Frederick	Jeff Dunham - Arguing With MyselfThis is hilarious!  Jeff and his puppets are awesome...you will love watching Walter and Peanut along with the others. I have seen it several times and still laugh at the jokes!	5.0	A Must see for laughter	2008-03-10	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	AEDS5EQQDXMOQ	"A. Gea ""entertainment addict"""	This DVD is great!  Jeff Dunham is the best ventriloquist out there!  I never laughed so hard.  I had seen him perform several times in the past at our local comedy club and he never fails to deliver.  If you can't see him live, GET THIS DVD!!!	4.0	Rolling on the floor, laughing	2007-06-07	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A1TXQYVWM8ZREG	A. G. Konkel	we ordered them both and already watched them quit a few times my son knows the jokes by head. Really a good buy	5.0	Go Jeff	2007-12-06	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A1YATSO7IFVYVD	A. Goelz	Excellent DVD, Jeff Dunham never fails to make me laugh. Delivery was surprisingly quick and the price was amazing! Highly recommend this DVD :)	5.0	LOVE JEFF DUNHAM!!	2008-07-06	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A2883TFU93590S	"Alan N. Gibbs ""Copy Freak"""	Jeff has created a new way to satirize life. His ventriloquist skills are phenomenal. He creates humor in every aspect of his performance.  To put it simply, he just makes the audience laugh.	4.0	Jeff Dunham is a talented man	2008-02-27	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A1Q2M6I84RWLKJ	alansgirl	what a great dvd...bought a total of 4 kept lending mine out then gave some away everyone loved it	5.0	jeff dunham	2006-11-03	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A1DK1O62HFSFHP	Albert D. Campbell	It's been awhile since a stand up comedian has actually brought tears to my eyes. After seeing Jeff Dunham's show on Comedy Central I immediately went to Amazon.com and pre-ordered it. It's sure a refreshing act, since you have all these other comedians doing stupid red neck jokes all the time.	5.0	Tears	2006-04-10	15	14	1
B000E5LEXS	Jeff Dunham: Arguing with Myself	AXZ1LCSXGVDWI	"A. Lehman ""Beth"""	Jeff Dunham - Arguing With MyselfThis dvd is hilarious. I have ordered over 10 of them and given them away for gifts.  Great Gift for someone who needs a good giggle :)	5.0	Movie	2007-05-29	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	AJI4WFBPKGXD6	Alexandrea Ward	Ever since I started watching clips of Jeff Dunham on Youtube.com, I wanted to buy one of his shows. Finally I had the chance to and I'm happy that I did. The show was hilarious and clear and I didn't have any problems with the DVD. Thanks for sending the show!	5.0	Thanks for sending the movie!	2008-04-06	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A3V9I2J5HP5EEF	A.L.G.	gotto go get the tissue to blow my nose from laughing  if laughing is the best med i need more jeff	5.0	whoo hoo	2013-08-02	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	AYI9RQ4YYM9W1	"Allen Tran ""SOPA & NDAA D="""	The opening act was boring. Very, very, very lame/mild jokes. His voice and facial expressions seemed so fake. I sat there, trying to laugh but I knew I was fooling myself. He's not that funny.	3.0	10 minutes in and I stopped watching	2011-12-22	4	2	2
B000E5LEXS	Jeff Dunham: Arguing with Myself	AZIR59W3XV2XI	Allison Zeug	A friend told me about Jeff Dunham, she watched him on the Comedy Channel.  I immediately came to Amazon to find the DVD.I have never laughed so hard in my life.  To say that Jeff Dunham is funny just is not enough.  His talent is amazing.  I tell ya, those puppets of his are real and alive!Can't tell you how many times we have watched it and every time we laugh harder than the time before.Great entertainment.  Just make sure you are not eating or drinking anything while watching it.  It may end up all over you.	5.0	Never laughed so hard in my life	2006-07-02	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A2V03WYGXXV73L	Alton Summers	He is fantastic. He has so many diverse characters and can switch fro one to the other seamless ly. I of course love Walter since he reminds me of myself. The older I get the less I am willing to put up with. I wonder what type of medication he was on when he cam up with some of the others. I always enjoy seeing him and his friends. Hope he keeps up the great work and wonderful entertainment.	5.0	Jeff Dunham Arguing With Myself	2014-06-26	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A343Y1QXMCJ2H6	Amanda Griffith	"Normally, I hate ventriloquists, but I've seen Jeff Dunham on Comedy Central, and he's too funny for words.  I especially liked that you have a ""Clean"" or ""Dirty"" option, so if you're watching with your family, you can have the bad words bleeped.Definitely worth the money"	5.0	Absolutely Hilarious....	2006-11-06	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A1VR24WQ3GQ7BW	"A. Mark ""DJ Acoustica"""	I absolutely loved this whole DVD. It didnt stoo laughing, and  Jeff is amazing at what he does. I suggest this to everyone!	5.0	Best Comedy	2007-05-15	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A35E0N6OM6SN9Z	"Amazon Customer ""Avid Fan"""	"This is by far some of the best entertainment we have seen in a long time!  Jeff and ""Friends"" are hysterical and you forget you are watching ""puppets"" you get so caught up in the show. There is some lanquange in the show but the DVD offers a ""bleeped"" version.  We can't wait to see the next show from Jeff and his friends Walter, Bubba J and most of all Peanut! Value priced for hours of entertainment!"	5.0	Fabulous Entertainment!	2007-03-09	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A3JRPGPVQ66GRI	"Amazon Customer ""Bookworm"""	"Jeff Dunham is absolutely hilarious!  A master ventriloquist and comedian, you will love his dummy ""characters"".  Be prepared ~ his ""friends"" might choose to make fun of you!"	5.0	"Comedy for ""Dummies"""	2008-07-02	0	0	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	AUJ0H14NF5DMD	"Amazon Customer ""chugawooga"""	I really enjoyed this DVD.  Jeff Dunham keeps you rollin with laughter with the crazy puppets he uses for his act.  I would definately recommend this to anyone.  And if you love this one, his second one is even better.	4.0	Funny Stuff	2008-01-07	1	1	0
B000E5LEXS	Jeff Dunham: Arguing with Myself	A20MFADVKYXHHL	"Amazon Customer ""condor74"""	Jeff is a real character, i love his work and this DVD is great..i highly recommend it	5.0	Love this Guy	2007-01-23	0	0	0
