asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	ANRDXNQCLV826	"""1okona"""	I loved this! I laughed alot &amp; even cried. What a musical! The visual work was fun &amp; new &amp; beautiful. The acting was wonderful by all.i wanted to be entertained and to have a good time, which were satisfied even beyond what expected.It is not the old movie. This is fresh &amp; new for the 21st century.the ads don't show just how wonderful it is. Please give it your time.	5.0	West Side Story + Rocky Horor Show=21st century	2001-06-11	0	0	0
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	A2HOA8LPJ4CMPP	3wire	I rented this and couldn't finish watching it. I love movies, even bad ones. But this was just an afront to my senses. And I couldnt have cared less if the characters lived or died. Need I say more. I watched this with a female friend and she felt the same way. Who is writing all of the good reviews for this film, the studio?	1.0	Couldnt Finish watching it.	2002-01-07	9	3	6
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	ATOFZHQRG29ZK	&#60;ti&#62;won	Okay, first off I would like to say that these oh so referentially hip and ironic types pieces of pop culture fluff are wearing dreadfully thin.  The singing in this film is amateurish, but I could have dealt with that (as I did in &quot;Everyone Says I Love You&quot;.) The visuals are pretty, but they are candy and are ultimately empty images.  The story is a pure drag with terribly slow pacing for having such hyperactive editing techniques.  The acting is truly awful, from all parties involved.  I could not suffer through this turgid movie one more time.  Maybe if you dig on movies like &quot;Shrek&quot; and &quot;10 things I hate about you&quot;, this is your kind of flick.  Or maybe if you like cinematography for it's own sake you will like the stylishness of the shots.  I found this movie aggravating to no end.  Oh, yeah....the arrangements under the singing were awful as well.	1.0	Arrrrggghhh!	2001-12-28	5	2	3
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	A19RNG24ZQ19NF	A 12-year old viewer	At first I thought this movie was going to be long and boring about an old night club, but actully it keeps you glued to your seat!I especially like the way that there is alot of variety in it. By that I mean it has singing, dancing, crying, laughing, supence and love. The songs are fabulous. Ewan Mc Greggor and Nicole Kidman have GREAT voices. When you see this movie give it a chance before running into your room. It's a really great movie if you give it a chance. P.S. It's better the second time!My advise to you is to Go see this movie. At the end of this movie you leave with some great things to think about, truth, beauty,freedom and above all things love.	5.0	I absolutly love this movie!	2002-02-22	1	1	0
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	AY8UOBI1O11MG	Aaron Orear	The reviewers who slam this pic are soulmates with the film's own character of The Duke - they just can't see beyond the tips of their noses.If you want your movies nice and vanilla, stay away.  If you'd rather see another version of the same old same old, stay away.  If you can't keep two thoughts running in your head at the same time, stay away.Otherwise, welcome to the Moulin Rouge - this year's only Oscar film to actually reinvent the idea of movie making.	5.0	Haters just don't get it...	2002-02-18	6	0	6
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	A31NBJJWHTZG9A	Aaron sellek	This got shipped really quickly and included everything that was described in the description. The disc does however freeze for a bit during the film and skips about a minute or two of the movie.	3.0	Great seller!	2012-03-03	1	0	1
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	A21EA2KBMUHPQY	aasso9	i'm not by any means a girly girl. i am all for blood and horror and i dont often like chic flicks. but this movie grabs me by my heart and throws me around the room. heck, i dont even like nicole kidman that much but she plays her part well in this movie. Ewan McGregor makes me fall in love with him every time he sings. and those big eyes set fire to my soul.this movie isnt much liked by most people. i dont understand why. its artistic, funny, romantic and tragic. it has become a very important movie in my life. it has a lot of emotional value that you might miss if you dont open your heart to it. and if you miss it then its just a shame.i recomomend popping it in your DVD playing for a romantic evening by candle light.	5.0	best love movie ever!!	2010-07-12	2	1	1
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	AUB9OTKREDWHC	Abby Hart	I absolutely loved Moulin Rouge!  Both Nicole Kidman and Ewan McGregor are wonderful!  Because the movie is fast paced, it catches your attention and never lets you lose interest.  It is so elaborate that you find something that you missed every time you watch it!  The costumes and the music are fun and make it a film you can watch over and over. My friends and I certainly have.  The hidden easter eggs in the DVD make it even more fun!  Baz keep up the good work!  If you haven't seen Moulin Rouge, you're missing out!	5.0	~*~Moulin Rouge~*~ the best movie ever!	2003-02-08	1	0	1
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	ATNHMT5RSVBRJ	abidur rehman	I've never seen anyone preaching  for his love like that. He keeps preaching for his  love as she dies in his arm.	5.0	How wonderful life is, when you're in ma world	2004-05-16	3	0	3
B00005QZ7U	Moulin Rouge (Two-Disc Collector's Edition)	A4MQ75RMLWTS4	A. Bouardi	This movie is one of the worst you'll ever see.  Unless you love musicals at any cost, this will not only put you to sleep...but you'll have a horrible hangover when you wake up to leave the theater.  The awful singing is only the start...but the pathetic close-ups throughout the film make it almost unbearable to watch.  You keep wanting to stretch your neck back to get some perspective.  The story is pure cliche...right out the butt.  Some silly courtesan finds real love and no longer wants to shell it out for money.  Etc etc.  Nicole Kidman's acting is really bad, as well.  Ewan McGregor is fine, but the role he's given...well...it leaves something to be desired.  The film is banking on the hype created by the Cruise-Kidman divorce along with the prostitute outfits of the Aguilera/Mya/Lil' Kim video.  Blech.	1.0	Not a worse movie this year.	2001-06-02	141	22	119
