asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00003CXRM	O Brother, Where Art Thou?	A2OA725Z5C9DSB		Love this movie.	5.0	Five Stars	2014-07-21	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A2MKQEZCRH3TY5		Very funny movie.  Worth the price.	5.0	Five Stars	2014-07-13	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A40JHX8F9S9EF	1968	I HAD A SMALL PART AS AN EXTR IN THIS MOVIE SO I WANTED TO HAVE IT FOR A CONVERSATION PIECE AND FOR MY FRIENDS AND FAMILIES TO SEE.	5.0	KEEPSAKE	2013-03-15	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"Cable TV classic. Often brings my channel surfing to a halt. Thumbs up to the performers and to those amazing filmmakers, the Coen Brothers. In particular George Clonney. He needs his Dapper Dan promade and when he says, ""We're in a real tight spot"" I care. John Turturro can't suc. Blake Nelson looks and sounds just right for the part. And John Goodman is terrific _as always_. The much ballyhooed about soundtrack is pretty good, but I agree that the 1927 Harry McClintock version of ""Big Rock Candy Mountain"" *by far* is the definite highlight. I felt vindicated when I read influential music/culture critic Greil Marcus say the same. LOVE that song! Marcus says ""Big Rock Candy Mountain"" by Harry should have been on the landmark ""Anthology of American Folk Music"". Btw, since I mention Marcus he hits the nail on the head here as regards the soundtrack: ""it's no surprise the album reached so many people so strongly--if you don't know this music, it's like doors in a mountain opening, and you can't help but want to go inside. It's an old-timey version of The Harder They Come soundtrack, and there's as much to discover in a more-where-this-came-from sense as there was there"". Right.So yeah, as you may notice, it ain't ""Fargo"". But then what is? Well I was just thinking about this movie. I was not that impressed by it when I first saw it. But you know, I can't put my finger on **why**. And that is bothersome. Too high expectations? No. I didn't have many expectations one way or the other. Was it the, to my mind anyhow, - excessive buzz around it. Hmmm. That may have played a part. You just hear too much about somethan and it somehow takes away form the impact. You, without realizing it, end up a little turned off. It's like, ""that's it?"". That's what all the fuss is about?But now I love ""O Brother Where Art Thou?"". The Coen Brothers make me proud to be an American."	4.0	fun little odyssey	2009-07-12	2	1	1
B00003CXRM	O Brother, Where Art Thou?	A1AIFT1343QX2N	"""33flavors"""	The Coen brothers strike again! This wonderfully refreshing movie rates high on my list of favorites. It's an off-beat comedy filled with intelligent humor, gifted actors, and flavorful cinematography. The characters played by Tim Blake Nelson and John Turturro provide wonderful contrast to the perfectly-cast George Clooney as the know-it-all petty criminal. I laughed from beginning to end!	5.0	One of the best!	2001-12-28	3	3	0
B00003CXRM	O Brother, Where Art Thou?	AYQY3RB33F4J6	3rdeadly3rd	"""O Brother Where Art Thou"" is that rare beast, a film which can be enjoyed on a great many levels and constantly yields new treasures each time it is watched.The plot revolves around the escapades of three depression-era prison escapees (led by George Clooney in a command performance as the born-to-lead Ulysses Everett MacGill) as they attempt to track down the proceeds of a robbery.  As with so many quality comedies, however, that is merely the idea which starts the ball rolling. The plot also involves political machinations, love, religion, the Klan and musical interludes - in short, it has everything.Much of the humour is - on the surface - derived from the southern accents of the characters and their ways of dealing with the hardships of the era (with the stew being a good example of this). A secondary source of humour comes from Clooney's attempts at sounding well-educated and his constant observations on what's going on - there's also the requisite catchphrase (in this case ""we're in a tight spot"") which never fails to get a laugh.""O Brother"" also takes some of its cues from slapstick and farce. The climactic scenes as our heroes invade first a Klan rally and then a political banquet clearly give more than a nod to Leslie Nielsen's ""Naked Gun"" series and indeed any other madcap comedy every made. Even this larger-than-life comedy is essentially character driven, which in my opinion makes it slightly a cut above the average.There is also a third level to this film. Throughout the action, various references are made to Homer's Greek epic ""The Odyssey"" - ranging from Cyclopses to Sirens. Certainly the viewing experience is enhanced by reviewing the events of Homer's poem before watching, but this is not essential by anyone's way of thinking.As has been said by a great many reviewers before and no doubt will be again, ""O Brother"" enjoys a strong relationship with its soundtrack. All of the songs and instrumental pieces performed in the film make their way onto the soundtrack in the form in which they appear - with the added fact that ""Po Lazarus"" (the song of the prisoners at the very beginning of the film) is present as a field recording from the 1950s.The music in the film is vital to the plot, as Clooney and his two friends come across a bluesman (Chris Thomas King) who has sold his soul to the devil, a reference to Robert Johnson. As this young man - Tommy Johnson - puts it ""well...I wasn't usin' it"". The foursome then record a version of ""Man of Constant Sorrow"" which becomes a considerable hit. Their appearance - uninvited - at the political banquet on the eve of the gubernatorial election results in the performance both of ""In The Jailhouse Now"" and a fuller-bodied version of ""Constant Sorrow"". Of course, listening to either of these songs on the soundtrack in light of the events surrounding them - especially Clooney's reaction to the striking up of ""Constant Sorrow"" -  on the film becomes a much funnier experience.While not to take anything away from the film itself, there are one or two slight problems in watching it. The first is that some of the scenes don't appear to be adquately miked in the earlier sections of the film - especially the scene where the three escapees are eating dinner at the run-down farmhouse. This has the effect of obscuring some of the very clever dialogue of those sections. The second minor problem is that it does not adequately resolve all the issues raised - such as the identity of the police chief and the exact state of Clooney's marriage. This may, of course, be a deliberately vague thing on the Coen brothers' part, either to set the film up for a sequel (which is unlikely, considering both that there was no sequel to ""The Odyssey"" and that any sequel would almost invariably be not as good as this original) or simply to provoke questions in the minds of the viewers, which it certainly does.Most assuredly, though, this is one of the great films of the 90s and is well worth a viewing by anyone interested in good comedy, entertainment for the intellect or good filmmaking. Congratulations to the Coen brothers on another great success."	5.0	An Absolute Masterpiece	2002-09-25	7	5	2
B00003CXRM	O Brother, Where Art Thou?	A1EPTOYTJ1K2ZM	Aaron L.	I was pretty reluctant to watch &quot;O Brother&quot; in the first place, after being recommended to it from a friend. After i saw the movie however, i was SOOO satisifed. I absolutely LOVED this movie and i would recommend it to anyone. George Clooney is great as Everett and his comrads Pete and Delmar become instantly lovable by viewers of all ages. Not only is the movie funny, but it pulls of Homer's Odyssey like i never thought possilbe! This is truly a great film.	5.0	O BROTHER IS GREAT!	2003-01-13	2	1	1
B00003CXRM	O Brother, Where Art Thou?	A25TM6Q7ROIR0Y	ABC317	This movies is amazing!  Great music and great acting!  The story is also fantastic.  The cast is awesome!  I highly recommend this movie!!	5.0	ONE OF THE BEST MOVIES!!!	2012-11-11	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A32JKNQ6BABMQ2	"abe ""starman"""	this is very very loosely based on homers odyssey.you ever hear of this?most people havent.4 dumber than a box of hammers criminals escape from a chaingang to go get a bunch of money one of them stole previously.it is a movie the whole family can enjoy filled with high adventure and many exciting scenes.it is set in 1939.there are a pack of sirens-i call them (...) this one but no fornicating.george clooney gives his best performance ever in this one.it was the best movie in a long time when it came out.an abselute classic.no matter what you hear,this is one of the best films in years.georges ol lady in the movie is a real psycho (...) but is FINE!	5.0	the best clooney film ever	2004-07-12	9	1	8
B00003CXRM	O Brother, Where Art Thou?	A3DGB4HN3QCGAL	A. Burchfield	I thought the movie could have been better. George Clooney was one of the better characters, and some of the scenes were good, others slow, but I found the music to be just about the best part. I would like to see the DVD extras, they'd help boost it some.	3.0	Some good moments in movie, music some of the best parts	2001-08-15	2	2	0
B00003CXRM	O Brother, Where Art Thou?	A2S166WSCFIFP5	"adead_poet@hotmail.com ""adead_poet@hotmail.com"""	"What the Coen brothers have created here is a film that is going to last. It quickly made it into my list of top ten movies. It's the Depression-era story of three escaped convicts and their journey to redemption. And along the way they face many trials and tribulations. It's no wonder the story is such a good one, since the film is based on Homer's classic poem, The Odyssey (which the Coen brothers claim to never have read. I don't know that I believe them, but I suppose they could have read the Cliff's Notes).  George Clooney, John Turturro, and Tim Blake Nelson do a fabulous job as the leads. And John Goodman and Holly Hunter have wonderful supporting roles. The music in this film takes on the aspect of a character. And while I wouldn't call this a musical, song occurs and affects what is going on--and it occurs in the logical places instead of the characters just breaking into song whenever. In fact, I think the soundtrack made a bigger splash than the film (but give it time, I think that people will begin to realize the importance of this film soon enough). Color and the visual style of the film also takes on the aspects of being its own character. I know that the entire film was put through a digital workshop in order to give it the visual feel the Coen brothers wanted. This movie is destined to be one of the all time greats.Unfortunately the dvd doesn't contain a commentary by the Coens or the stars. It is a shame, because I think a Coen commentary would have helped to round out this dvd perfectly. There is a behind the scenes featurette and a featurette that discusses the post-production digital process, both of which are good. There is a menu option that allows you to compare the storyboard with the completed scene (of the Klan scene and the final scene). And finally there is the ""I Am A Man Of Constant Sorrow"" music video that helps to complete the dvd. It's a charming video.This is a film I've already seen a dozen times and will continue to watch as time goes on."	5.0	a modern classic	2002-09-10	7	6	1
B00003CXRM	O Brother, Where Art Thou?	A25QHC7QEA9J4F	A. DeBroux	Have watched this over and over and over and over and it just gets better and better! GREAT dialogue. And of course, George Clooney.	5.0	Greatest movie ever.	2014-06-16	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A3QZRJPC84K2SG	A. Donohue	This is a cute film that depicts the stereotypical south.  Being from the south, I found it charming and funny!	4.0	Funny!	2008-12-24	1	0	1
B00003CXRM	O Brother, Where Art Thou?	A3G9NB7RTAWZCP	a fan	This is one of the Cohen brother's best movies. See it just for the sound track or the great acting by George Clooney, or see it because it tells a story that in one way or another we all share in. I think Mark Twain would have given it five stars too.	5.0	The good, bad, ugly and beautiful of American culture	2013-02-03	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A2S1STD1GKL7HZ	A. Giard	DVD was for European DVD players. Why would any one sent this format to an American address? Why, Why Why?	1.0	Wrong format	2012-12-23	13	0	13
B00003CXRM	O Brother, Where Art Thou?	A2YKY05VL3J8S4	A. Hall	I liked the movie. It was entertaining. The movie was delivered quickly and there was not damage.	4.0	Good Movie/ Good Music	2008-08-04	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A19E4TQIOHOOC1	AJC	What a hoot, this was, and is destined I believe, if it is not already, to become a classic. Anyone who likes Clooney and Goodman will surely enjoy this film. There are so many memorable lines, not quite Monty Python quotable, but close.	4.0	O Brother Where art thou ?	2012-09-11	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A1882CJXT850N	AJ	What more is there to say: A comic classic and a beautiful film. I know large sections of the screenplay by heart	5.0	Coen brothers classic	2013-07-09	0	0	0
B00003CXRM	O Brother, Where Art Thou?	A3KPJ6FOGNC6X1	A. Johnson	What a wonderful film. The cast, setting, and story was executed to perfection. This film has humor, historical context, great cinimatography, and an awesome cast. Very enjoyable from begining to end. One of my personal favorites. A must see.	5.0	Ingenius film...the best ever.	2005-01-10	4	1	3
B00003CXRM	O Brother, Where Art Thou?	A1N14VI5P5PK7E	A. K.	This Dvd Is NOT new. This was NOT in the original DVD case! It had none of the regular liners about the movie in it. Just a cover picture. It had been resealed....NOT by the factory! The DVD won't even fit on the circle that holds it in place. It was bouncing in the case when I got it. So I'm sure it's nicely Scratched up by now. I will NEVER order from this Seller again. This is The First time I've ever written Anything Negative about the tons of things I've ordered through Amazon!!!	1.0	New DVD is NOT NEW!!!	2013-06-07	10	0	10
B00003CXRM	O Brother, Where Art Thou?	A3OJ4FW7C5OJ97	akisadr	I love this movie! It is a fantastic one and it came just time and in perfect condition. Great quality of a movie and a funny one to watch every once in a while.	5.0	O Brother, Where Art Though	2013-08-12	0	0	0
B00003CXRM	O Brother, Where Art Thou?	ASC5CH6RALOHL	"Alden Utter ""nedlum"""	"In O Brother, Where Art Thou?, the Cohen Brothers have given us a joyful pageant of incredible wit, unforgettable characters, and indescribable music. The film takes place in a mythical South during the Great Depression, where the Klan lynches with impunity, politicians campaign with midgets, and the best way to get a car is through grand theft auto. Everett, a long winded man addicted to one brand of hair gel, has broken out of jail with the men he was, by chance, chained to: Pete, trusting and loyal, and Delmar, dull, yet kind-hearted. Together, they set out across the land, to reach the treasure that Everett had stolen before a dam flooded the land where it was buried. But that is just the pretext. Along the way, there are baptisms, arguments, a betrayal or two, near lynching, the sale of souls, and an end encounter with the sherriff... and something more. I won't say who, but keep your ears open. It is wonderfully subtle, but when you know who he truly is... It's powerful. That subtle hint is one of the many signs of genius present throughout this film.Of course, the singing is justifiably one of the best known and best loved parts of the film. Although Disney seems to have currently stepped out of the ring, O Brother proves that musicals are still a delightful form of movie. From the opening credits and ""Big Rock Candy Mountain"", to the haunting rendition of ""Oh, Death"" at the Klan Rally, up until the prophet's singing of ""Angel Band"" as he rolls toward the horizonThe characters are rich, one and all. Everett's commentary on why a blind man with no name would have trouble finding work, Delmar's remark that while Pete would be 84 when leaving prison, ""I'll only be 82."" , and Pete's apologizing to God before betraying his friends, reflect wonderful characters rare to find in any medium, created in a labor of love . And not just the main ones: from the incompetent election officials, to George Nelson, each character becomes unforgettable, instead of the vague stereotype all too common in films.As for the wit... well, as Pappy O'Daniel says, there's no accounting for taste. But from Delmar's repetitive offering of a roasted gopher to Everett to the exclamation in the midst of the haunting Klan rally that ""The color guard is colored!"" the rich dialogue and wonderful sight gags (i.e. the sheer amount of Dapper Dan Everett uses, seen at the end) lighten the darkest scene, and further show the honed Craft of the Cohen'sIn short, O Brother, Where Art Thou? is a joy of a film. With a rich world brought to life, it is one of the finest films to grace the silver screen."	5.0	Seek this Treasure	2002-07-11	4	4	0
B00003CXRM	O Brother, Where Art Thou?	A1GMXFRLZBSRVW	Alex Gibney	Funny and magical with rich music that acts like a toe-tapping Greek chorus.  The Coen brothers at their very best.	4.0	Funny and magical with rich music that acts like a toe-tapping Greek chorus.	2014-04-07	0	0	0
