asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1558908242	Pulp Fiction	A2WL8401W82OTA	1957GoldTop	When people ask what my favorite movie is, I almost hate to say it's Pulp Fiction.  The reason I hate to say it is because people think &quot;whatever&quot; as if I'm just jumping on the Pulp Fiction bandwagon and following all the people that say it's such a great movie.  I don't think that's as much of a problem any more since there's probably more Tarantino/Pulp Fiction backlash than anything else now days.  But, in all honesty, I thought this was an amazing film long before I knew what people would be saying about it (I saw it the day it opened and knew nothing about it... see below as to why I saw the movie in the first place)I'm sure there isn't much that needs to be said about this movie that hasn't already been said.  I'm sure most people have seen it and most people know what its about.  But I can say that this is the first movie that made me realize movies aren't just some people standing in front of a camera talking.  I had always watched movies as pop entertainment.  I never really thought about them as far as artistic matters are concerned.  But, after I saw this move (again and again and again) I realized that there was more to movies than just some people standing in front of a camera and talking.  I started to realize that things were done for a reason.  The camera movement, camera angles, the editing, everything was done with a purpose.After seeing Pulp Fiction I became fascinated with movies.  Now after all the years since its release I've learned a lot about movies and can appreciate them on another level.  I see things that, until Pulp Fiction got me interested in movies, I would have missed.  So, thanks to Pulp Fiction I have a great appreciation for movies... as entertainment and now as art as well.  Now, when I re-watch movies that I had seen before, I can watch them with a new appreciation and understanding.Just to illustrate how little I knew about movies and how I only viewed them as pop entertainment and nothing more... the only reason I went to see Pulp Fiction movie when it first opened was because Bruce Willis was in it.  Not that there is anything wrong with Bruce Willis, but I'm sure you know the type of movie he is known for (heck, it was even mocked by Robert Altman and Bruce himself in &quot;The Player.&quot;).  Those were the movies I liked because they had a lot of explosions and excitement.  I didn't know what a truly great movies was before Pulp Fiction.So that is why Pulp Fiction is my favorite movie and one of the best movies I've ever seen.  If you haven't seen it... which I doubt since I think everybody has seen it by now, then you need to see this movie.	5.0	In a word, Amazing!	2001-12-08	3	1	2
1558908242	Pulp Fiction	A2OPX6SFRKRLWA	24fan957	I enjoyed this movie- it was unpredictable and exciting throughout.  The end was my favorite part- but I liked the &quot;miracle&quot; and Bruce Willis scenes too.  Unlike a lot of other movies, violence in this film is  not comical; it's always to an end.  That's why I was quite horrified when  people laughed at Jules and Vince as they blew the guy with the .44 away,  and at the subsequent car death scene.  Fortunately, the use of guns as  overly powerful extensions of will is well-played.  For instance, Pulp  Fiction is actually less violent than your typical James Bond movie.  The  difference is that Pulp Fiction brings the reality of murder to light as a  horrific act, while Bond goes around randomly killing fools and hooking up  with attractive nuclear physicists.  I have to say that I enjoyed Pulp  Fiction more than The World is Not Enough.	5.0	excellent film, but be careful combining violence &amp; comedy	1999-12-11	10	8	2
1558908242	Pulp Fiction	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"If somebody pointed a gun at me and said,""You gotta have an opinion -about what the best movie of the 90s is"" I'd tell them to point that gun away from my head before it accidently goes off. And then for lack of a better answer to this impossible question, I would answer PULP FICTION. In anycase, anyone crazy enough to point a gun at somebody while asking their opinion about what the best movie of the 90s is might not like other answers I might come up with as much.I think it is the funniest movie I've seen that actually doesn't go in the comedy section at the video store. There are no flaws in it. It's perfect. Quentin Tarantino cannot ever top it and will probably never even come close. When he dies they will refer to him first and foremost as the director of PULP FICTION. His place in history as one of the great directors of cinema is secured with this film."	5.0	A Freak Occurrence	2008-04-15	1	1	0
1558908242	Pulp Fiction	A3L2856DIMUXJY	&#34;Belgo Geordie&#34;	Having last watched it on release in 1994, I went back to see how it stood up in 2013. Samuel L Jackson remains the stand out and some of the dialogue is still very, very funny. It is the &#34;Violent Misadventures&#34; which exploded in 1994 which now just come across as graphic, cartoon violence and like the genre they are based on, serve no purpose but to titillate. 148 minutes is a big ask but there is enough still in the film for it not too drag. This time I was not so impressed by Ms Thurman and Mr Travolta's twist scene but still shuddered at the adrenaline shot to the heart. Tim Roth still had the ability to take the dialogue out into the weird and Bruce Willis was, well Bruce Willis. I would watch Mr Jackson again as he remains for me, a superb actor, but not the movie in full.	4.0	More pulp 'n fiction with a bit of crackle	2013-12-25	0	0	0
1558908242	Pulp Fiction	A3GM4AA744X74H	777	As I read over these reviews, two things bother me in particular. The first is the tendency of the 5 star ratings to glorify and idolize Pulp Fiction as if it were the greatest artistic achievement ever. The second is  the tendency of the low reviews to trash the movie on so-called  &quot;moral&quot; grounds. Pfft. The content of the movie is trash? Go  figure, because that's basically what all pulp fiction is. That's the  *concept* of the film. And in any case, I think it's absolutely ludicrous  to judge a film on your own personal moral grounds. To me, a movie like  Independence Day is far more immoral and sick than this. Even certain  Disney films. Onscreen violence and a lack of a socially  &quot;relevant&quot; message does not mean that the said film is a work of  Evil, and certainly does not make it a bad piece of cinema. Pulp Fiction is  a vital, energetic, unique (I know Tarantino borrows a lot of his ideas,  but so does everyone, and I'll argue with anyone who says his usage of them  is not original), and unflinching film. As for accusations of Pulp Fiction  trying to be &quot;hip,&quot; well -- let me just say I found the dialogue  and camera-work in this movie a LOT more entertaining than in any of the  post-Pulp Fiction imitations that've come since 1994, and there have been a  lot of them. Personally I like this movie a great deal, it just bothers me  to see it worshipped and/or treated like it were the work of Satan.	5.0	.	1999-10-15	13	11	2
1558908242	Pulp Fiction	A1EBRB7NB3M2N9	7amaDa_93	This Review is about the 2 Disc DVD MIRAMAX Award Winning CollectionThe Film Is Presented in Widescreen and 5.1 Dolby Digital Surround and 5.1 DTS Surround.The Result Is Awesome Picture and SoundThere are Tons Of Special Features: A Documentary on the making of pulp fictionsInterview With Quentin Tarantino, Trailers and TV Spots and Much MoreThis Is The Best DVD Release Of Pulp FictionSo, If anyone out there who still buys DVDs This is the Pulp Fiction DVD To Buy.	5.0	Awesome DVD	2012-01-04	0	0	0
1558908242	Pulp Fiction	A1PN7FYM73GNMD	90sMovieFan	Recently rented Pulp Fiction from Amazon, haven't seen movie in about a decade if not longer, and enjoyed it as much as I did in high school when it was originally released. Quality was great, no pixilation of image, and reasonably priced to rent, in a era when older movies are tough to find  with so many Blockbuster stores that are closing and Redbox only carrying the newest releases.	5.0	Movie stands up to the test of time.	2012-05-26	2	2	0
1558908242	Pulp Fiction	A2M2VZVUSRZFOO	94113Loco	Why doesn't Quentin Tarantino do another one like this?  I like this one, but I feel he's got another one that could even go further.I liked the direction.  I liked all of the actors.  And I liked the music.I hope he does a sequel!	3.0	Want to see another one	2009-01-06	1	0	1
1558908242	Pulp Fiction	A2P7CITUIKRH7M	a2zsales	Congratulations Hollywood!  You've finally made a film that makes killing people really sexy.  Dull characters, senseless plot.  Hollywood, how do you do it???	1.0	really cool trash...	2004-02-24	76	15	61
1558908242	Pulp Fiction	A3B9WYYZ23DUKA	Aaron	This movie is a Classic. Must watch if you are a fan of any of the cast. I enjoy it every time I watch.	5.0	great watch	2013-09-04	0	0	0
1558908242	Pulp Fiction	A3DXXUYUJP59HQ	Aaron	Pulp Fiction: A Quentin Tarantino ScreenplayIf you haven't seen this movie you need to!  This is the classic Tarantino film and it is really great.  If you are a fan of any Quentin tarantino films like kill bill or the inglorious bastards you will like this movie!	5.0	Wonderful	2011-10-17	5	1	4
1558908242	Pulp Fiction	A14Z0B1D4ZE5UI	Aaron J. Diaz	"Whoa. I can't believe that Quentin Tarantino reunited the entire cast and reshot every scene in this movie with HD cameras!  All kidding aside, I was truly blown away at how well this look on bluray, especially on my new 240hz Samsung.  When Jules is sipping on Brett's sprite, you can see the dry skin on his lips and you can see how his hands are very dry as well.  If you're a huge fan of Pulp Fiction, like me,  but were unsure if you should buy this blu-ray version, then I can tell you, ""DO IT!"" You will not be disappointed."	5.0	Could this look any better? A+!!!!	2011-11-08	3	3	0
1558908242	Pulp Fiction	A25TM6Q7ROIR0Y	ABC317	Classic Quentin Tarantino!!  This movie is a must see and in my opinion it should be in every Tarantion's fans collection.	5.0	Great Great Movie!	2013-11-02	0	0	0
1558908242	Pulp Fiction	A3MZ61RRTYX5IS	ABedoya	The Blu Ray is great!! it comes with everything! The extra features! The Language options !! All was good with the movie! Thank u seller!!	5.0	The Movie is AWESOME!!	2012-12-25	0	0	0
1558908242	Pulp Fiction	A1LBAC84TLIGAX	"ACEMAN1 ""HERE TO PISS YOU OFF"""	Pulp Fiction is still regarded as one of the greatest movies ever made, and why should it change from that rank? This movie is basically a crime drama that follows the stories of different gangsters and what happens to them throughout the movie. The movie can be really funny in certain areas while giving you the classic drama feel, along with a recreation of how people seem to live. There is drug use and a lot of language, so parents shouldn't let there kids watch this movie, because it's an adults movie, and plus most kids don't know how to appreciate something this good(Stupid High School Musical! Way to ruin the meaning of quality!).	5.0	STILL FULL OF GENIUS 9.5 OUT OF 10	2007-12-01	0	0	0
1558908242	Pulp Fiction	AAXR22800T9MV	"A. Clark ""A.Clark"""	Watching the AFI top 100 and it's no wonder this is on there.  So very unique and different from other films. Love it.	5.0	AFI Top 100	2014-06-02	0	0	0
1558908242	Pulp Fiction	A6NJ1GAUXC1JW	A Customer	"I don't have enough things to say about this excellent collector's edition DVD.For starters, people will love the transfer.  They actually took the time (and the money) for full wrap-around arthroscopic hi-res 5:3:9 ratio.Second, the special features are choice.  As some of you may know, Michael Jackson actually tried out for the part that was eventually given to Samuel Jackson.  Well, as we all know, Samuel Jackson got the part - and the rest is history.  However, apparently MJ's performance was intense and his screen tests are available in the extra features of this Collector's Edition.Also a little known fact is that Jonathan Winters was to have a cameo in the film, but became ill during the shooting.  His scene and part were eventually cut from the film, but you can see this on the ""deleted scenes"" features.  Cool stuff!  (This is why when John Travolta's character is talking about ""Green Man"" it doesn't make any sense - Jonathan Winters was Green Man, but his scene was cut).Another deleted scene is an extended scene of Scientologist, John Travolta taking a dump in Bruce Willis' bathroom.  All we see in the theatrical release is Bruce returning to his apartment, finding Travolta in there, and then blowing his scientologist @ss away with his own gun.BTW, the fact there are all these ""Kid's Reviews"" of this movie here is disturbing.  And we wonder why Columbines happen..."	3.0	Bring Out the Gimp - Tarantino, that is...	2005-05-04	8	6	2
1558908242	Pulp Fiction	A30MC3GLA7U5JB	ADAM M LENHARDT	Overhyped? You bet, especially in late ' 94 when this movie was all the rage. Unfortunately, that may turn off some people who have never seen this movie. One of the best films of the decade, this thing started a wave of ' gritty/cool, pop culture/guns-blood-drugs-sex ' movies, all of whom pale in comparison. Completely, totally entertaining, this movie has quite literally helped to define Generation X. Anyone in 2002 between the ages of approximately 25-43, probably has a soft spot for this movie..Like alot of people, I saw this thing about 5 times in the theatre and it was always a great experience..the audience was electric, caught up in the rush of this movie..and that's something I've rarely felt since, if ever. I'm not going to get in to what this movie is about, because if you've seen it, you certainly know, and if you haven't..I envy you! It's one of those movies I'd love to see again for the first time. Forget the hype, forget the notoriety that this film has, just sit back and experience it..I doubt you will not enjoy it. As for the DVD version..well, they better get a collector's series out soon, because the stripped-down DVD is the one reason I haven't bought it..in fact, my only copy is one that I taped off of pay-per-view in like 1995, so I am eager to once again see it in its widescreen, dolby-digital glory..but I refuse to pay for this lousy... DVD. Come on guys, let's get a real version out there ( 2-disc set? please? ). My advice? rent it..and save your green for the eventual collector-type DVD version.	5.0	Movie Great DVD Not	2002-03-01	3	2	1
1558908242	Pulp Fiction	A2B69FL1O37Y8Y	Adam Sorenson	If you want a action, adventure, and comedy; this is the movie to own.  This is one of the most funny movies.  I'm not going to spoil it for anybody that hasn't watched it but, you'll want to own it and watch it again and again and again.  WHAT ARE YOU WAITING FOR GO BUY IT AND WATCH IT.  OR RENT IT FIRST AND THEN BUY IT.	5.0	One of the Greatest Movies	2001-11-29	3	0	3
1558908242	Pulp Fiction	A2S166WSCFIFP5	"adead_poet@hotmail.com ""adead_poet@hotmail.com"""	"Pulp Fiction has often been hailed as one of the greatest films made-certainly one of the best in modern times (along with Fargo, Raiders of the Lost Ark, and the Star Wars trilogy). And it is easy to see why. Beside being a great film, it catapulted Tarantino into the public's eye, revived the dead career of John Travolta, introduced us to Tim Roth, reminded us of Harvey Keitel and Ving Rhames, gave us so many catch phrases, and ingrained itself into American pop culture. This is arguably Tarantino's best film (only Reservoir Dogs can compete with it) and after watching it, there is little room for doubt about the greatness of the film. As a film, volumes can be written on it, and I can't say enough of it here.Now, on to the dvd... We've waited 10 years for a special edition. But has it been worth the wait? I think so. It is a 2 disc set, in an attractive slipcover case. Disc 1 contains the movie and an enhanced trivia track. No, there is not a commentary track, but the trivia track fills in (somewhat) nicely. I do wish Tarantino had chosen to include a commentary track. There is also a section called `Soundtrack Chapters.' Anyone who has seen Pulp Fiction (or any Tarantino movie for that matter), knows how important music is to the film. This option allows you to jump to the various music selections in the film. Disc 2 contains deleted scenes, a behind the scenes montage (weak), a documentary (""Pulp Fiction: The Facts""), the Independent Spirit Awards (where Pulp Fiction won), the Palm d'Or Acceptance Speech, a production design featurette, Siskel and Ebert's ""At the Movies"" segment on the `Tarantino generation,' Tarantino's appearance on the Charlie Rose show, as well as trailers, tv spots, stills, and articles and reviews. And it is loaded with dvd-rom extras. The dvd was worth the wait (even without a commentary track), and it is finally nice to see dvd worthy of the film."	5.0	a fine piece of storytelling	2003-01-09	4	1	3
1558908242	Pulp Fiction	A2QMBY3CCR2B02	A. Delgado	This is the best movie ever!! I do not care what anybody else says about my comment. Every single minute of this film is beautiful. This movie is beautifully well shot. This is Quentin Tarantino at his best!! If you do not have this movie, buy it this very instant.	5.0	The best movie ever!!	2005-03-11	4	2	2
1558908242	Pulp Fiction	ADLVFFE4VBT8	"A. Dent ""Aragorn"""	Pulp Fiction, besides (arguably) being the best Tarantino movie so far,Pulp Fiction (Two-Disc Collector's Edition)was/is one of the best packaged DVDs ever. I didn't hesitate for one second when I noticed that the poorly packaged Blu edition was selling for about eight dollars. I placed the order, the plan being to simply replace the DVD's movie disc with the Blu and get the best of both.It was a gamble because not all Blu re-issues are noticeable improvements over the original DVD releases but this edition of Pulp Fiction is. Very much so. Anyone who's watched the Blu issues of '2001' or the Blu James Bond Collection or The Godfather probably knows what I'm talking about. Its like someone washed the camera's lens and everything that was to be sharp is even more so and all shades are nuances are now perfectly rendered. Add to that the spectacular Loseless DTS-HD 5.1 Master Audio soundtrack and, especially at this price, the Blu Pulp Fiction should be a must buy.As for the extra content, this one-disc release carries almost everything (DVD resolution) that the Collector's edition has, minus the DVD-ROM features and adds 2 new featurettes containing more recent interviews with the cast and some critics discussion on the movie's role in the history of cinematography.The presentation is in line with this edition price: done cheaply: cheap looking blue plastic case with cutouts to reduce the costs by a couple of pennies and... nothing else. But, again, my intention was from the beginning to take the Blu disc and place it in the beautiful DVD case.I am happy with my purchase.	5.0	Blu release - significantly improved video, spectacular sound, poor packaging	2011-11-27	5	4	1
1558908242	Pulp Fiction	A3SG2GLLW4C1G7	AdrianCR80	This product was what I expected, I bought it very cheap on Cyber &#8203;&#8203;Monday and it arrived in time expected. It is also an excellent movie!	5.0	Excellent	2013-12-12	0	0	0
1558908242	Pulp Fiction	A2PV6GK1HV54Y9	ADRIENNE MILLER	Pulp Fiction is still raw, captivating, and completely mindblowing to this day. This is the only Quentin Taritino film that I truly adore, the whole cast are at their best here especially John Travolta, Samuel L. Jackson, Uma Thurman, and Bruce Willis. If you love a long and complicated film then Pulp Fiction is for you. I highly recommend it. Enjoy!	5.0	So cool.	2007-09-02	3	1	2
1558908242	Pulp Fiction	AMWEXP3XIS1T5	A E Thomas	I'm working on getting that fixed; Pioneer tells me I need to upload some new upgrades and that might make it work	3.0	It's a good movie but my blue ray won't play it	2013-01-26	0	0	0
1558908242	Pulp Fiction	A1S2ALXR4IFMDT	"A. Gindy ""Movie Maniac"""	I don't even know where to begin with this movie. I'll start with the story itself. This is pure genius and Tarantino pulled out all the stops in his second movie. He beautifully crafted a modern day masterpiece, interweaving multiple story lines and characters. Tarantino is the king of interesting dialogue. In this movie, he shows a side to the crime world we aren't used to seeing. In Pulp Fiction, there are two hitmen sent on a job. In any movie you have seen up til Pulp Fiction, the hitmen are straight-faced, get the job done, and get the heck out with perfect precision. In Pulp Fiction, on the way to a hit, the two gunmen engage in random conversation about the Quarter Pounder and French McDonalds. They then get to the hit too early and have to hang out before they go shoot some people. They kill all but one and take him with them, with no intention on hurting him. However, do to the stupidity of one of the gunmen, the man is shot by accident in the face. To show the genius of Tarantino, he takes this situation which is in any other circumstance would be dead serious, and he makes it funny.This movie is perfect in everyway. Don't even waste your time renting it first. Buy it immediatly. It would be the best decision you have ever made.	5.0	It Doesn't Get Better Than This!	2006-07-27	5	1	4
1558908242	Pulp Fiction	A1933VQS8E23J5	"AGUSTIN DIAZ ""agudiaz"""	Besides the acting of Travolta and Jackson, the charm of Uma, the story gets you completely, so you will never forget this movie, both dramatic and funny, very well written and directed.	5.0	One of the best of all times!!	2004-10-31	4	0	4
1558908242	Pulp Fiction	AC069GBU16MVN	"A. G. ""Xela"""	The transfer to hi-definition looks amazing on this Pulp Fiction Blu-Ray.  Wish that the extra features were in HD.  Instead, they look like a transfer from VHS.  Still - for the price alone, this is a &#34;must get&#34; for any fan of the film.  You can see the pores on the skins of the actor's faces. Shipping was really fast and I have no regrets regarding my purchase.	4.0	Fantastic Blu-Ray Transfer	2012-11-24	0	0	0
1558908242	Pulp Fiction	A1ZTX1KCF895LW	Aidan	This is an absolute classic cult movie. It certainly worth watch at least once, or in my case at least a few times a year. Funny, crude, a bit violent, great cast, and just down right fun.	5.0	Classic Movie	2013-01-17	1	1	0
1558908242	Pulp Fiction	A3CPY9U5JOOIEM	aimez20	Interesting movie, plenty of action and comedy combine. Perfect actors for each roll, and very detailed story line. Watched more than once.	5.0	Mob	2012-03-11	0	0	0
1558908242	Pulp Fiction	A2MSQN6URCFHKG	Ajw5	This movie is obviously great. It has an all star cast. John travolta, and Uma Thurman are great. My favorite parts are with Samuel L. Jackson. If you like Quentin Tarantino, see this movie.	5.0	Great	2013-07-19	0	0	0
