asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0000YTP02	Secondhand Lions (2003)	AG5ETQXW72ZBL		Actors are my favorites and the story appeals to an older person such as me.	5.0	Five Stars	2014-07-14	0	0	0
B0000YTP02	Secondhand Lions (2003)	A3E2OBNGHT4G2S		The best movies in a long time. Love the interaction of the &#34;boy&#34; with his uncles.	5.0	Five Stars	2014-07-22	0	0	0
B0000YTP02	Secondhand Lions (2003)	A103VMN9OENIN6	"2far@prodigy.net ""2far@prodigy.net"""	Love dynamics between brothers and young nephew played by Haley Joel Osment.  A little too raw for young children.	5.0	Roar at Secondhand Lions	2014-07-10	0	0	0
B0000YTP02	Secondhand Lions (2003)	AVVM2MSJ2XX57	"&#34;Margret&#34; ""Old Broad"""	This is definitely a 'feel good' movie.  Considering the actors, Michael Caine, Robert Duvall and Haley Joel Osment, how could it get any better.  Great story line, one that hasn't been reinvented.  And don't forget the talented Kyra Sedgewick in a role that she usually doesn't play.  She does it so well. All in all a movie I have watched over and over and never get tired of.	5.0	Feel good movie	2014-06-19	0	0	0
B0000YTP02	Secondhand Lions (2003)	A2ZMGIE78SAVD4	40pinklav	A great story of love, patience, ..told w/ humor and heartfelt storyline  ..dealing w/ a &#34;lost&#34; boy who discovers that people do care ..	5.0	Great movie	2014-01-22	0	0	0
B0000YTP02	Secondhand Lions (2003)	AFOP4Q3JUKV7L	"A. Abbott ""Madam Music"""	I loved this movie when I first saw it on TV. I gave it to a friend for Christmas and then ended up buying a copy for myself, too. I think that this movie is wonderful. It has several layers of interesting stories in it and the characters are fantastically vivid yet very human. I don't want to give away any plot, but I will tell you that I have not met anyone who's seen it and not liked it. This is one of the best movies in my dvd collection.	5.0	Family Movie for Everyone	2008-04-28	0	0	0
B0000YTP02	Secondhand Lions (2003)	AWVPB7YGDLM5K	"A. Anderson ""moto mama"""	I love this movie and it is appropriate for everyone. My rugged husband and my kids all love it too. great gift for families. Amazon is best price and brand new.	5.0	Fabulous movie - great price	2009-12-04	1	1	0
B0000YTP02	Secondhand Lions (2003)	AADJXNY9HSKJF	Aaron	When I first saw this movie in previews, I thought it looked ridiculous and corny. I figured it would be about some boy and his lion and that would be basicly it, but shockingly, it really isn't.The story revolves around a boy (Haley Joel Osment) who gets ditched at his two great uncles' house while his trampy mother supposedly goes back to school. There, the boy begins to learn about his uncles and their exciting past. The stories are far-fetched, yet that's the way they're supposed to be. Later, the boy has to decide whether or not the stories are fact or fiction when conflicts begin to arise. It's a very enjoyable movie. Great family viewing.	5.0	Surprisingly Enjoyable	2003-11-23	2	2	0
B0000YTP02	Secondhand Lions (2003)	A2C4FL33TI8RK3	"Aaron T. Olds ""AaronO"""	First of all, I bought this blu-ray knowing that I loved this movie. I just recently got a PlayStation 3, and this is the first blu-ray I've really watched on it. I was concerned about film grain, but I did not notice it at all while watching the movie. We have a 1080p TV with our PS3 hooked up via HDMI, so we are getting the highest resolution we can out of this disc. The color was vibrant, and the picture is very crisp and clear. Sound seems fine, although I don't pay that close attention to it.	5.0	Great Package of a Great Movie	2011-02-02	2	1	1
B0000YTP02	Secondhand Lions (2003)	A1CY86HRV6H798	"A. Banner ""SPANIARD"""	DVD IS REGION 1 - UNSUTABLE FOR DELIVERY AND USE IN SPAIN	1.0	NOT FOR EUROPE	2007-01-09	44	0	44
B0000YTP02	Secondhand Lions (2003)	A2AEI4AIE5ILXK	Abby	Even funnier than on tv because of all the extra scenes! Just as fun as the first time I saw it!	5.0	Secondhand Lions	2013-06-30	1	1	0
B0000YTP02	Secondhand Lions (2003)	A2SRLUUGWOIVU6	A B Crofford	great movie	4.0	Four Stars	2014-06-30	0	0	0
B0000YTP02	Secondhand Lions (2003)	APE9N6QERONRZ	abdMtnView	Interesting movie, but nothing spectacular. Enjoyable for a lazy afternoon.  The actors are all very famous and the acting was really good.	3.0	Good movie	2013-01-01	1	0	1
B0000YTP02	Secondhand Lions (2003)	A24A865POSYJH6	"A. CAMPBELL ""Tony"""	This film is ok with good acting and some unusual pets but a bit too much on the tear jerking side for my liking, though the missis and the daughter liked it. But what I want to know is what happens to the pig?It starts off following the dogs about all the time and in the end it goes missing. Does the lion eat it? I think it must have, but because its a family film they dont show it happen.Perhaps all will be revealed when they release the X rated directors uncut version.	3.0	Not bad for a soppy type of film	2004-03-08	9	0	9
B0000YTP02	Secondhand Lions (2003)	A39GRM4TWGIBWV	"Accadi ""ATHANOR"""	What a shame that this picture was so poorely promoted. It is one of the best movies ever done, anywhere. It demonstrates briliantly that wonderfull, credible works can be done without tiresome and exagerated special effects. It shows that weird has nothing to do with dirty. And most important, this is a movie about most of men being fundamentaly as God created them: good.	5.0	A Neglected Masterpiece	2009-10-22	0	0	0
B0000YTP02	Secondhand Lions (2003)	A18BD98SU49UB7	"Adam Hunnicutt ""A.H."""	"Its great to know movies like this are still being made. Second Hand Lions has come and gone in the box office, finishing in the ""warm hit"" category receiving nearly $42 million at the box office. Unfortunately, even though those numbers are decent, nowadays its kind of ""eh"". I have to say, this movie should have made triple its earnings.Robert Duvall and Micheal Caine (This is no shocker) give fantastic performances as grouchy, mysterious, old uncles. Many questions arise: They may or may not have robbed the most powerful Sahib in Arabia...Their ability to buy anything they wish shows they have oodles of money hidden somewhere, but where? Are they former bank robber's, retired to the comfort's of the old farm? Confused? So is their Nephew, when he is dropped in their laps during hard times. He takes it upon himself to find out the details of his Uncles former lives.Its Been cool watching Haley Joel Osment go from practically a baby in Forrest Gump, to a child star in Sixth Sense, on to a smashing performance in A.I. Now we see him as a pubescent, voice cracking, young teen. At first I didn't think they could fit his square pegged (practically massive persona acting-wise) into this round hole (simple, yet complicated role), but after watching just a few scenes, my reservations melted away.Just as the Granpa in PRINCESS BRIDE would probably say this story is one of: ""War, Romance, True Love, Villains, Revenge..."" The list goes on. At the end of the film, and this is a nice touch, they don't quite seal the package - answer every single question. Fine by me. The average filmgoer has enough brains to come up with their own conclusion's, luckily the studio had faith in the truth of that. Secondhand Lions is one of the Best family movies of the year."	5.0	Second Hand is First Rate	2003-11-14	16	16	0
B0000YTP02	Secondhand Lions (2003)	A1RQCLIZLIDWIC	Alan Jensen	A must own movie....so you can watch over and over.  This one won't disapoint, fun for the whole family. I have nothing more to say.	5.0	One of the best movies ever!	2012-12-22	0	0	0
B0000YTP02	Secondhand Lions (2003)	A1W415JP5WEAJK	Alex S	I picked this's particular movie up out of a bargain bin and didn't expect to like it. After all, it sounded unbelievable and stupid.But once I got into it, I found it entrancing. I loved the early part of the movie when they were shooting at the salesmen who came calling, was touched by the lion who was given a chance to live out the remainder of his life in a better setting, and gladdened by this simple story of a young nephew changing the hearts of two old codgers.In some ways it felt like a male version of Pollyanna.It has many fun and funny spots, but it has touching spots as well.	5.0	Better every time I watch it	2012-02-27	0	0	0
B0000YTP02	Secondhand Lions (2003)	A2E1BK6YM61RO4	Alice Edel	I truly love this movie and now have it on DVD thanks It was a present for my husband It came fast service	5.0	thanks	2012-08-13	0	0	0
