asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A3A1OA237FOZFK	#1 Amazon Fan	For any true Star Wars fan, I don't think this movie will disappoint. There are some interesting discrepencies or misnomers that don't completely jive with the latter 3 movies, mostly due to the order in which they were made and the technology available.  It sure seems like R2D2 can do so much more than he can later, for instance.Overall, I really liked the movie and the effects and soundtrack are absolutely superb.  However, you should take pause before allowing someone 12 or younger to watch it.  I realize that this should be a given based on other reviews and the movie's rating, but our 8 year old is a Star Wars fanatic.  I read all of the reviews about the darkness of this movie when it hit the theaters and how particular scenes could be very disturbing to a younger audience (most seemed to emphasize the killing of the Jedi children).  We decided to let our 8 year old watch it with us anyway, and oddly enough the scene that really flipped him out was when Chancellor Palpatine fought Windu and turned red-eyed and hideous looking during the fight.He did not watch the rest of it, and I do believe as Anakin turned to the dark side and became red-eyed and downright evil, it would have been even worse.  He really liked Anakin and it would have been too much for him to absorb and understand.Take this review for what it's worth, just thought I'd throw it in as it really helped me to read other's comments.	4.0	Absolute for any SW fan, but not for younger audience	2005-11-19	2	1	1
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"NO. This movie did NOT succeed in salvaging the prequels from their legacy of disappointment, but rather merely demonstrated what may have been - what COULD have been.In the end you can feel sympathy with Darth Vader's howl, ""NOOOOOOOOOOOO!!!!"".So, oh well. Lucas blew it.Was 3 better than 1 and 2? Sure it was. Better than Jedi? Arguably. I'd say in some ways better. Does it being better than these colossal disappointments make it a great film? Nope.It's all been already said a million times, but the moral of the story of Star Wars is that to tell a great story you have to be a great story teller.George Lucas had a great vision but couldn't realize it. He is like George Bush in that he clearly got in way over his head. Shoulda let Spielberg direct and talented writers help out way more with those awful scripts. He created his own lame a$$ ""Empire"" which he became victim of in a way."	4.0	Redemption?	2008-03-14	4	2	2
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A3HS5U2UUSQP0N	"&#34; Anti Microchip &#34; ""Jesus Christ can ..."	"Yes Revenge of the Sith has its flaws as do all the Star Wars films. First, unlike some I think the acting is subpar in this film, the dialogue is anything but perfect, and at times it seems forced. Why do I give it four stars? Because what it does well makes everything else easily forgiven.First, the evil Darth Sidius is the best part of this movie. He clearly is the villan that has started the clone war, is manipulating the war from both sides, and (at least for me) perfectly portrays a politician who is hungry for power. Anakin Skywalkers transformation into Vader for some is unbelievable, and I can see why one might have issues with it. However, it is how Darth Sidius manipulates Anakin into believing that he can save his love if he joins the dark side. Further, it is how Sidius manipulates Anakin into believing that he truly is the benevolent one that is probably the most compelling performance of the film.I found things in this film that can reflect real life which is probably why I enjoyed it so much. First, you have a crooked politician who started the war and is running/leading it from both sides. Second, This same politician (darth sidius) easily manipulates the populace and in the end has them cheering for their own enslavement. Plus I found Darth Sidius very compelling when he stated, ""Execute order 66"" to have the republic army (who the Jedi were working for) murder the Jedi. He than had Darth Vader kill the Viceroy who were helping Sidius run the droid army on the other side. Just like crule dictators like Stalin or Hitler, Sidius murders those that helped him rise to power. The scene where the lead viceroy of the droid army looks at vader and says, ""but Darth Sidius promised us peace"" only to have Vader slice him in half with his light saber immediately after makes one think. One has to wonder if Lucus took history as a blue print for this film."	4.0	Better than most give it credit for.	2010-07-13	5	4	1
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A2ICVNCPSTI1CS	400 Spurs in Brain	Unlike many, I still appreciate Episodes I and II despite their faults.  They present a nice contrast to, but also effectively set up the original trilogy.  Compared to the past two movies, however, this movie is a triumph.  Of course, the FX are great (the space battle over Corusant, and Obiwans altercation with General Grevious), but this movie has more soul to it than the past two.  Finally there is a sense of actually caring about the characters, which was somewhat absent from the first two.  A New Hope effectively set up the characters in one film, but this trilogy took 2 movies to do the same thing.  Nevertheless, Episode III is surprisingly more emotional than any of the previous films- even Empire.  Perhaps the best part of this film is Palpatine's manipulation of Anakin and his convincing turn to the dark side.  This, with very good dialogue, was done way more effectively than Episode II which had a completely fake evolution of Padme and Anakins relationship.  This movie is very surprising, in just how dark it is.  It certainly makes the lighter hearted A New Hope a fitting sequel.  In all, the film does a great job at tying the saga together and adds to the substance and importance of events in the original trilogy.  There are some short comings, like Padme's uneffective role and expected terrible dialogue, but the movie is far better than the previous two and is a proper keystone in the saga.	4.0	Finally, the Star Wars we've been looking for....	2005-09-26	2	1	1
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A2XE5UKRRMKKWF	"A13 Geek ""Shane"""	I enjoyed the movie.  I hope to see a director's cut, or extented version.  It filled in the gaps between II and IV but, the biuld up was to quick.  Many actors seemed to be held back by their script.  Maybe a younger auidence will get more joy, but I will say it is OK.	3.0	The filler	2005-11-16	2	0	2
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	AV2KX7UVT8O6Z	A. amstadter	"And thankfully we as a audience get to enjoy every minute of this theatrical release. From the beginning the movie starts out with a great flying battle sequence that's only a temptation for what lies ahead, and it isn't long in the movie where it wins it's new pg-13 rating.Yes this movie is very violent, not like kill bill blood splattered every possible place violent, but more violent then let's say the first trilogy. Though not alot of the violence is shown, it's always hinted at. It's like lucus watched a bunch of horror movies that were more psychologically suspenceful than your normal movie in the genre. However don't let this fool you into thinking that there is no action scenes, there are plenty.The sound in this movie also comes through too, but then again it's star wars so that's pretty much a given. All of the sound effects come out sounding clear and the score is still at the top of the genre. The only problem that I had during the movie (and most of the prequils) is that alot of the saber fights have music in them, now this may not effect the normal fans of the movies, but the hard core fans will notice this and may or may not be mad at this change since the original films were just the sounds of the sabers.The acting and the script are kinda good but for a starwars movie the script is one of the best out there. The way some events happen in the movie comes off really well since we know what's going to happen, but somehow not knowing how it all happened. Thankfully lucus uses this to his advantage and exploits it as much as possible. For the most part the acting is decent too, every one plays there roles right and you can really belive them... except for Hayden Christensen. Hayden... Hayden just can't act! But besides Hayden everything is good acting wise. And while were on the subject of problems in acting and the script I also didn't like how Anakin becomes who he is eventually supose to become, it was like here I just killed the only people who know the truth come to the darkside. And I really disliked how they addressed children as ""youngins"". Come on youngins? That just sounds stupid!Maybe they should've covered the youngins up with more special effects since that came off better than that line. The special effects in this movie for me were a little bit of a let down since I've seen spider man and the movie did come out just right after e3. But for the most part the special effects are still pretty good, it's just that alot of the backround effects and yoda were better than other things like star ships.All in all it's a most see, however I would like to reccomend not bringing in children during the movie cause it's really intence and just children shouting out things during the movie takes people out of the mood it generates. Not for ages under 8 but still good none the less."	4.0	hey george lucas decided to actually make a movie this time!	2005-05-31	10	4	6
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A2PCZ2RYRTQDU5	Aaron	"Of course he's a rebel with long greasy hair, of course he predicts her death in a dream, of course she's pregnant and of course he's the ""chosen one."" Without these elements this movie wouldn't be the ridiculous montage of clich&eacute;s I regrettably saw last weekend.Outside of the predicable plot, obnoxious characters and horrifying costume design, I couldn't help but wonder if they actually filmed any of this movie. It looks like they just threw in cheesy 3D backgrounds from Myst. Not in just a few of the scenes, but throughout the entire movie. In fact, what you see here is not Star Wars Episode III; it is actually a 3 hour commercial for the Star Wars Episode III X-box video game.I also find it hard to believe that in this futuristic wonderland they have mastered the art of stylized android warriors but fail to produce effective birth control.In short, this movie is the equivalent of a computer animated sci-fi version of the Christian soap opera Passions. I was horrified to read such enthusiastic reviews but I shouldn't be so surprised because this movie is obviously about making money and I guess most journalists are too.Drink Pepsi One"	1.0	"""I saw him on a security hologram killing younglings"""	2005-05-28	41	26	15
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A26AMW7NJ7ZV6K	Aaron J. Wiegand	I can not wait until November 8 when the DVD comes out.  This movie is great.  I saw it twice already and it gets better every time.  I recomend seeing it at least 3 times before you give your final judgement of this movie.  There is a lot you pick up about the story line you do not notice the first time.	5.0	November  8	2005-05-22	4	3	1
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A1NIYGX54IYVXQ	A. BARZIN	I ordered episodes 1 thru 3 for my son. They all arrived before the promised arrival date and with no damages.	5.0	My son loves the series	2008-09-02	0	0	0
B00005JLXH	Star Wars: Episode III - Revenge of the Sith (Widescreen Edition)	A32JKNQ6BABMQ2	"abe ""starman"""	well,if you live in a coma or something and missed the latest installment in the star wars saga,i will fill you in on all the juicy details.heres the rundown....................it helps oodles if youve seen the other star wars movies first.especialy,attack of the clones and the clone wars.the original star wars isnt a bad idea either.anyhow,this one beginsc exactly where the last episode of clone wars left off.there is a huge space battle underway.its pretty cool.then obee wan finds the jedi slaying droid called general grievious and kills it.the emporer[aka darth sidious and senator palpatine] orders the clones to wipe out the jedis and they assassinate a few including the blue twilek chick called aaylya.anakan kills count dooku.anakan finds out padme is pregnant as he keeps having vivid nightmares of her death.the emporer uses this to try to sway anakan to the dark side promising the ability to save people from dying.anakan is not trusted by the other jedis on the council and is torn between them and the senator.some jedis including ki adi mundi,kit fisto and mace windu go to arrest the senator when he is revealed as a sith lord.he pulls his light saber and easily disposes of all but mace.he and windu are locked in a hotly contested force contest when anakan shows up and belives mace to be attempting to assasssinate the old man.the emporer uses this begging anakan to help and feigning near-death.mace goes in for the kill and anakan chops his hand off.the emporer uses his force lightning to blast mace out the window.the emporer tries all the harder to convince anakan now.he does.anakan is sent to destroy all jedis.he even goes so far as to kill the children in the jedi temple.this was highly unecessary to show.they dont actualy show them being killed but they are in a pile and dead.that was a bit much.anyhow,the worst is over but not by much.yoda and the emporer get into it with,after much ado,the emporer wins.yoda was not going 6 million miles an hour like when he fought count dooku.that was still cool though.then obee goes and tattles to anakans ol lady padme about anakans turn to the dark side.he shows up and padme basicly breaks up with him.he sticks her in the force choke before confronting obee.now i heard this fight was supposed to be anywhere from 12 t0 18 minutes long.i dont think it was quite all that.eventualy,a burst of lava blasts anakan and he is now missing both legs and one of his arms,not to mention,he got a freddy kruelger like makeover to his complexion.obee gives an emotionaly charged speech to the dying anakan before leaving him lie there on the edge of a melting rock in a lava pit.thats not very jedi like.at the last moment,the emporer finds anakan and takes him to emergency surgery.the droids perform a grueling to watch surgery on ol anakan and he becomes darth vadar.then padme has the kids.she named them luke and leia.then due to complications in her lungs due to a certain force choke put on her by her abusive x-boyfriend,she dies.the twins are split up in the interest of safety and the only 2 jedis still alive go hide.they are obee[he goes to tatoonie] and yoda[dagobah].i took my kids and they bailed out early before all the real bad stuff went on.i wouldnt recomend taking kids to it.as much as i love the star wars movies,going genocidal on kids and force choking your pregnant babies mama is going too far.i did give the movie 5 stars as it is really good,as long as you dont expect from it the same family based stuff youn got from the other 5 films and expect more of a sci fi/slasher film.like i always say,90% of how you feel is based on how you expected to feel in the first place.	5.0	BIG SPOILERS.I SPILL IT ALL.WARNING WARNING.	2005-05-27	11	0	11
