asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1424819253	Stargate SG-1 - Season 1	A31V7W9ZWIXWCT	10grandkids	I love this TV show, wish it was still on. All the actors were great and their adventures where what it might be like and the planets if this was true.	5.0	Great TV Show	2014-07-03	0	0	0
1424819253	Stargate SG-1 - Season 1	A2ESNAKTQKUR4L	1warlock	One of the best sci-fi series ever - excellent follow-up to the movie. Fits in well alongside Star Trek (All of the series), Fringe, and X-Files.	5.0	Outstanding Sci-fi series and cast	2014-04-19	0	0	0
1424819253	Stargate SG-1 - Season 1	A2GOX3NJGEAKQU	99901	I Want an RPG FPS next gen game made out of this show!! Any show that has this many episodes can be bad, right?	5.0	Great	2013-08-19	0	0	0
1424819253	Stargate SG-1 - Season 1	AJDFR60ZBHDQM	Aaron Girard	This show is really great. Each Episode is very well written, and the characters keep you interested. I love it.	5.0	Great Show	2013-08-28	0	0	0
1424819253	Stargate SG-1 - Season 1	AM8O9J9IRCW4X	Aaron Paul Largent	I watched Star Gate and then SG1 when it came out and I was hooked. The ability to watch it on the go is the best way to relive the episodes while reliving the experience again.	5.0	Star Gate Rules	2014-04-10	0	0	0
1424819253	Stargate SG-1 - Season 1	AQ324R74E2G72	Aaron Wigginton	Star gate is the best serious I have watched even after I finish it I rewatch it over again so you should watch it	5.0	sg1 rocks	2014-04-11	0	0	0
1424819253	Stargate SG-1 - Season 1	A1KDCGXSDWB0WS	abiech	Long run series to watch and own, its great to enjoy over and over good fun for the SCYFI in me	5.0	A great series	2013-09-15	0	0	0
1424819253	Stargate SG-1 - Season 1	A3DGB4HN3QCGAL	A. Burchfield	Very little to complain about in this set. I did find that the sound is a little odd in some settings,in one episode (#11 Fire and Water)the DVD pauses briefly ( maybe just a glitch in my copy), and I have noticed the mentioned occaisional grainy look others have reported. Yes it is shot in British Columbia (and every world SG-1 travels to looks like it),everyone seems to speak english (too impractical to come up with a new language each week), and only three human civilizations in the first three seasons are more advanced than Earth (all the others just sat still it seems). Even with this I've found the series to be one of the most creative and well thought out on television. I wish the following seasons would come out soon.	5.0	One of the best SF series on television	2001-08-07	1	1	0
1424819253	Stargate SG-1 - Season 1	A3591RELSN8JRU	ac42	One of the best sci fi television shows of all time. First season is a liittle campy, but it takes off after that. Once the overarching plot develops its hugely entertaining. Took me awhile to fully apreciate the stargate phenomenon. It was Stargate Universe that opened my eyes, and after that I retrospectively explored the rest. Brilliant stuff.	5.0	awesome sci fi	2013-06-20	0	0	0
1424819253	Stargate SG-1 - Season 1	A1L9JLD1DS97L8	"A. Cox ""Look"""	This series is my favorite on TV.  It allows you an imagination of what IF you could travel to all these planets.  It allows you to experience different scenarios of the universe.  Would recommend the entire series to anyone.  When I was was given the series by a friend I wasn't too interested in watching.  It took one viewing and I was hooked.  Now I have seen the entire 10 years plus the two movies 3-4 times and never get bored anytime.	5.0	STARGATE SG-1	2014-02-04	1	1	0
1424819253	Stargate SG-1 - Season 1	A3UOA70862UOGL	A. Cummins	I have watched the show several times and still love it.its a great show I wish it was still on TV!!!!Thanks for having	5.0	great show	2014-05-16	0	0	0
1424819253	Stargate SG-1 - Season 1	AURS3LXQGP9B3	Adam N. Dodge	Great series. I watched all 10 seasons and loved it all.  Great cast you'll never want the show to end.	5.0	Must Watch	2013-03-26	1	1	0
1424819253	Stargate SG-1 - Season 1	A1BHR6IHLPE6E2	Adelaide Cleere	As an avid Stargate fan, I am thoroughly enjoying going back and re-watching Season One.  I appreciate that the episodes are letterboxed and, though they are recorded in Dolby 2.1, the simulated surround sound is great.I am confused, however, by the order of the episodes in the DVD set.  They are *not* in the original order in which they were aired on Showtime, which makes it needlessly difficult for newcomers to Stargate to pick up the arc.  The order in which the episodes were originally aired can be verified at the Showtime Stargate web site and at MGM's Stargate web site.My recommendation (even for fellow fans): Print out the episode guide, switch discs as necessary, and watch them in the original order.I hope when the boxed set of Season II is issued, MGM will put the episodes in the order they originally aired.	4.0	Not in the original order aired	2001-05-30	7	5	2
1424819253	Stargate SG-1 - Season 1	AGS0VLZBEOR6K	A. Full	We are huge Stargate fans and wish they would bring it back! This is a great way to start out watching the series and getting to know the characters!	5.0	Great series!	2012-01-05	2	2	0
1424819253	Stargate SG-1 - Season 1	A1E4ERFN67OMJY	ahl	this is a long and interesting series. if you like sci-fi, you will love this. they have magically solved the problem of travel to the stars.	5.0	scotty where are you?	2013-08-04	0	0	0
1424819253	Stargate SG-1 - Season 1	A1LD0FT1009BP9	ajdtymco	I loved the first time around and even more now. I would keep Amazon Prime just for the tv shows and movies.	5.0	Sgsg1	2013-08-09	0	0	0
1424819253	Stargate SG-1 - Season 1	AE081MU2VZ8I6	AlanO	I came late to the Stargate saga.. Each season got better and better over the years and the original team matured well.  I'm saddened that they never finished Stargate Universe.  Well worth watching every episode.	5.0	One of the best sci-fi TV shows ever	2014-05-10	0	0	0
1424819253	Stargate SG-1 - Season 1	A1MC8Y86XHYS2S	Alan Tish	Great show I really wish someone would pick up the series and re ignite the show. I loved everyone of them Atlantis and Universe. Awesome show	5.0	Great	2013-08-21	0	0	0
1424819253	Stargate SG-1 - Season 1	A2W22QXEKAD1UO	albdor4	I couldn't watch the show because it kept stalling and the picture quality was horrible. Don't know why because other shows were fine.	2.0	Love the show, hate the video quality	2014-01-15	0	0	0
1424819253	Stargate SG-1 - Season 1	A2G6X2C8UUT8TC	Albierocks	Great Show..one of the best Sci-Fi shows of all times..has everything for everyone..would recommend it to anyone...thanks for reading..The Asgrad are coming back...We Hope!!!!	5.0	Love this Show	2013-05-16	0	0	0
1424819253	Stargate SG-1 - Season 1	A3GSW4FVPEI8D1	Al Brashear	I've bought the 10 season box set and have my own SG1 marathons. I hope they continue to make feature movies.	5.0	Very enjoyable cast and show.	2013-05-04	0	0	0
1424819253	Stargate SG-1 - Season 1	A1CSZO0MLKZ0D5	"Alexander Atwood ""NunchuckViking"""	"Ive been a big fan of SG1 for awhile.  Season 1 was an amazing 1st season, they didnt take forever to build up the action.  When I watch my seasons of SG1 I feel like a part of the team, I enjoy the action, the diplomacy, just looking at the event horizon of the Stargate is beautiful.  For a tv show from the 90's the graphics are very good, I own seasons 1-4 so far and having them to watch on DVD is great, and are fun for everyone that likes culture, history, and some sci-fi/space travel excitement.  I enjoy Colonel O'neill's decision skills and his spec-ops thought process, Richard Dean Anderson is a great actor.  Daniel Jackson is very perplexing and interesting to watch, his knowledge of history is so awesome because im a history buff, if you enjoy ancient cultures Daniel is your character.  ChristopherJudge's character Teal'c is absolutely great to watch.  He is a warrior, very tactically smart, his use of ""earth terms/metaphors"" are very funny.  And Sam Carter(Amanda Tapping) is a beautiful and very good actress.  I love her genius role of Sam Carter, she fills her role as a genius very well, she is like a mix of Daniel and O'neill, smart and a fighter if need be.I hope any of this leads to someone enjoying SG1 as much as I do.  I would reccomend this to anyone age 13 and up, for good mostly clean fun, adventure and action and space adventure.Alex"	5.0	I love SG1	2009-10-27	0	0	0
1424819253	Stargate SG-1 - Season 1	A357I3G3FM0WXA	Alexander C. Sanders	I have been looking for an online service to watch my favorite scifi of the last two decades. I already like this more than netflix. This why I drop netflix. The Amazon online purchase download option is great so I use both for Amazon services for online and offline viewing.	5.0	Like water in the dessert	2013-04-09	0	0	0
