asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6304994540	The Big Lebowski [VHS]	AR5FVFMF7DIUW	Aaron A Fagen	I already owned the DVD, but my daughter walked off with it so I need to buy a replacement pronto!	5.0	One of my favorite films	2014-01-02	0	0	0
6304994540	The Big Lebowski [VHS]	A1GEEON71307GE	"Aaron Ambrose ""AA"""	"Considering the amount of swearing in this movie, I can't imagine there are a lot of fellow Christians out there that would agree with me on the fact that this is possibly the most humorous movie ever made!There is a reason why most things in life that have a cult following - have cult followings: And I don't even have to investigate into whether this movie has one - as I know it has to. And I know this despite the fact that I only know one person, besides myself, that appreciates it at all!Personally, I do wish that you could buy this movie with a mute over the ""cuss"" words, as I would like to show it to all my friends and family (a circle of people that couldn't take a quarter the amount of swearing). And ""yes"", I know, I can feel you all cringing over such a thought, because I know, the cussing is part of what makes these characters so funny. Not because cussing is funny in it self; but because these guys are so dysfunctional that they don't even notice that it is a negative trait. And because of this, I wouldn't want to have a filtered version where they say something different instead. That would be highly reducing. Just provide a muting option so that someone like myself can still see them swear but doesn't have to hear it.I love this movie probably for the same reason all of ""The Dude's"" followers love it; because true humor is in irony and in character, not situation. The depth of character in this film is unsurpassed, and I won't go into it as it is obvious and already commented on by everyone else.Part of the irony is in the plot (as much as I hear people say that there isn't one). You have this whole mystery that we as an audience are, every once in a while, trying to figure out, all the while ""The Dude"" (the first person perspective in this movie) is coming to his own conclusions (which may or may not be correct). The irony being that it is usually through this perspective that we form ours.Regardless, it is all tied up in the end.I don't know... It is pretty difficult to surmise this movie in a commentary. You just have to get around someone who gets it and throw a line out at them. ""Look, I don't roll on Shombus Dude,"" or how about the way ""The Shesus"" goes to tell the neighborhood that he is a child - you know what - and the scene cuts just as he opens his mouth in front of this huge guy with murder written across his face.Priceless!It was this movie that got me hooked on the Coen brothers' movies. I have seen half a dozen of them so far. Most of them are great, although I can't say that any of them are as good as this one.Since the day I saw the movie in the theatre, ""The Dude"" has been my alias. The unfortunate reality, however, is that most of the people that witness this alias of mine only understand the previous Neanderthalic - stigmatic usage of the term ""Dude,"" as in the ""Bill & Ted's"" type of reference. But then, I just have to remember how ""The Dude"" would react to such a misunderstanding... He wouldn't care at all.As a great man once said, ""The Dude abides!""Aaron"	5.0	If you don't like this movie you are out of your element!	2005-10-30	3	3	0
6304994540	The Big Lebowski [VHS]	A13G33EI52T6LN	Aaron	I can watch this movie over and over again.  So many classic scenes.  What makes this movie even funnier is that probably every character in it is based on an actual person living right now in California.  Don't worry about the significance of the plot...just sit back and watch the pure comedic genius as Jeff Bridges and Co. explore the possiblilites of what can happen when perfectly innocent morons start to make plans.	5.0	Simply Hilarious	2001-11-02	0	0	0
6304994540	The Big Lebowski [VHS]	A35SMNT7W9C3FR	Aaron P. Krowne	This movie has a real cult following. If you are are familiar with Cohen brothers movies, you won't be dissapointed.  The brothers throw the main characters a zany and completely unlikely situation to deal with, and the movie is about the interplay between them.  The acting is excellent:  Jeff Bridges is the perfect over-the-hill hipster.  John Goodman is the perfect flashback-ridden vietnam vet. Steve Buscemi is the perfect aging spaced-out beachboy surfer.  Just when you think things are crazy, the movie pushes even further into hyperbole, a-la Fargo.  Definitely worth having around to watch many times.	5.0	great movie	2001-10-24	1	1	0
6304994540	The Big Lebowski [VHS]	A3R3I2OJNT8A3	A. C.	Learned the difference between HD DVD and DVD...I know the it said HD-DVD when I went back and looked but not sure it was there when I bought.If you know anyone who has an HD-DVD player I have a HD-DVD copy of the Big Lebowski cheap.The seller and the transaction were flawless just cant use the dvd but that was my fault.	4.0	Learned about HD DVD	2009-12-21	1	1	0
6304994540	The Big Lebowski [VHS]	A2STP31O9EJ9XV	A Customer	This is the best damn movie ever made. If you watched it once and didn't like it, watch it again. If you still don't like it then you simply don't know a good movie even when you've watched it twice.	5.0	This Is All You Need To Know...	2002-05-23	1	0	1
6304994540	The Big Lebowski [VHS]	A1K5MUKYC7EZK9	A Customer	"""Fargo,"" ""O Brother Where Art Thou,"" ""Raising Arizona""...all witty and inspired movies, sure, but I don't take the Coens too seriously as exemplars of &quot;great American vernacular filmmaking,&quot; so I prefer this very witty and inspired film to the soggy &quot;Man Who Wasn't There.&quot;  The dialogue is printworthy, the plot is loose as a goose, and its taste in music is impeccable (not only does Jimmie Dale Gilmore make a cameo, the Eagles are trashed).  This is the kind of movie that revels in odd, funny details and side alleys for their own sake.  But I love it mostly because The Dude is the richest character the Coens ever created, and Bridges gives the greatest performance the Coens were ever lucky enough to direct; larger than life and more Oscar-worthy than whoever actually won in 1998."	5.0	the wardrobe alone makes it the Coens' best movie!!	2002-02-27	1	1	0
6304994540	The Big Lebowski [VHS]	A3AQ7Y083AY10I	Adam Harant	Sometimes my thinking about this movie becomes way to uptight . . there's a hell of a lot going on in it. It can't all be absorbed in one viewing,  which is the case with a lot of great movies that lacked commercial success  at the box office. Thus, it's a perfect movie to buy and wear out and loan  to friends.Great performances by all actors involved. Personal favorite  Steve Buscemi moment: Donny's reaction to a kiss blown from Jesus (the  purple pervert played by John Turturro).	5.0	About a thousand priceless moments	2000-08-03	0	0	0
6304994540	The Big Lebowski [VHS]	A33M2AFO641K9H	Adam	If someone described this movie being simply about a stoner who bowls and lays on rugs, well... they would be right.  But don't let that scare you, it is a surprisingly compelling movie.  I would feel comfortable calling this the best bad movie I've ever seen.  I can understand where this would be a hit-or-miss movie, but if you like rough, crude humor, this is a must see.	5.0	The Best Stupid Movie	2007-09-18	0	0	0
6304994540	The Big Lebowski [VHS]	A1PMDTYRAIPGXW	Adam P Boots	This film seems to me to be the epitome of a Coen Brothers Film. It seems to be a rambling plot of humorous and quirky characters who are portrayed to be much greater than they really are. Jeffrey &quot;the Dude&quot; Lebowski is the main character and &quot;hero&quot; of this installment of the Coen's Filmography. He rambles on his way trying to get compensated for a rug that was peed on by some pornographer's goons.Everything he does to try and remedy the situation seems to be a complete wrong turn and everything about the man is kind of in shambles, but it really does seem to have a feeling of humanity to the character. The Coens have indicated that &quot;the Dude&quot; is loosely based on a friend of theirs who has been known to rant about how his rug &quot;ties the room together,&quot; while Jeff Bridges seems completely at home in the uber-slacker role of playing Jeff Lebowski.Great characters, humorous story, more silly plot twists than I can even refer to, this is one of my favorite simple pleasures movies. The Dude abides and so does this movie. Check it out...	5.0	interesting and extrememly quirky film.  Classic Coen	2004-02-16	2	1	1
