asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6304117752	The Sound of Music [VHS]	A1RO710J8HCM1V	0149	Excellent music,  Great lyrics,  wonderful performances.  Julie Andrews delivers with her spectacular  voice.  Rogers and Hammerstein at their best.  &#34;Small and white, clean and bright...&#34;	5.0	Fresh and entertaining after all these years.	2013-12-28	0	0	0
6304117752	The Sound of Music [VHS]	A1AAIZE46O771R	100% Real	This movie is okay, but don't ask any teens to watch it. I have to admit, it is a rather charming musical. Older people (I say that with the highest amount of respect)will probably enjoy along with young kids and Julie Andrews fans.	3.0	classic musical	2005-07-25	13	3	10
6304117752	The Sound of Music [VHS]	A1AOIRFI48Z2DZ	1970 Mach 1	I own the original tape when it first came out.  Then the DVD.  Both were kind of wash out in color.  When i learnt that the color was enhanced in this Blu-Ray version, I decided to buy it too.  Color is vibrant, whatever they did to enhance the video work well.  It is like a new experience once again watching this classic.	5.0	The Sound of Music	2014-05-09	0	0	0
6304117752	The Sound of Music [VHS]	A1S8NE555JD6JC	"#1 ""Amazoniac"""	Fabulous movie....pretty old copy of the dvd (which I bought 2nd hand)...doesn't play perfectly,  Some skipping and jumping.  That said, it has been hard to find a copy (surprisingly!) so I kept it.	3.0	Pretty old copy...plays reasonably well with a few skips/bumps	2013-05-16	0	0	0
6304117752	The Sound of Music [VHS]	A1D8MMTSSJXQB2	1Badman	Poor quality.  Jumps around, freezes and pisses you off.  I will be returning very soon.  Should have listened to the other poor reviews	1.0	Poor Quality	2014-01-06	0	0	0
6304117752	The Sound of Music [VHS]	A2JMI19CDXJB5Z	8grands	I wasn't sure my grandchildren would like it, but they love it.  Of course they love &#34;Sgt York&#34; and a lot of other older movies.  This is one of the best of the best.  Walt Disney movies were much better when Walt Disney was alive.	5.0	Loved it long and still love it	2014-06-06	0	0	0
6304117752	The Sound of Music [VHS]	A3AZV05G93JUV4	90s Kid	This is truly a great film. Great to watch with your family! I have seen it several times and will continue to watch it for years.If you haven't seen this film, I definitely recommend that you do.	5.0	Timeless Classic	2012-12-15	0	0	0
6304117752	The Sound of Music [VHS]	AFPQPO5INP7C3	923	i own all of the sound of music.this combo is the best in picture & sound.	5.0	the best	2010-11-03	4	3	1
6304117752	The Sound of Music [VHS]	AVHN134ADVP4R	"A4Q96 ""Gadget Lover"""	The Sound of Music --My kids became addicted to this movie during a weekend with their grandparents, and have been asking to get it since.  We finaly caved and bought the remastered version.  The remastered version is beautiful - great colors, sound, extras, etc.  Nice not having to change it out at intermission as well :)What's not to like? Great film, kid friendly, wonderful music.The story is well told - predictable but still holds your attention all the way through.  Julie Andrews and Christopher Plummer are, as they usually are, a treat.  The Von Trapp kids, though, (most with no acting experience) are a revelation.  The fact that they went on to do comparatively little in the world of film and song makes it all the more amazing.The music is wonderful - how many movies have so many classic songs in them (These are a few of my favorite things, Edelweiss, Do Re Mi, etc.)?  Add the beautiful scenery, interesting plotline, and Julie Andrews/Christopher Plummer and it's is complete.I watched this many times growing up, and enjoy it more than ever with my kids.  The Sound Of Music is a must have/can't miss to add to your DVD collection.	5.0	Great movie, great version.  What's not to like?	2010-05-26	1	1	0
6304117752	The Sound of Music [VHS]	A1HZRRQ57R7WGD	aarmasp	I love this film and now I have a beautiful box with lovely details of this movie. Highly recommended for collectors.	5.0	It'a a beautiful box	2012-04-22	0	0	0
6304117752	The Sound of Music [VHS]	A1V5LK5SL15D73	Aaron D. Feinberg	One of my all time favorites.  Was excellent in HD!  Don't miss the opportunity to see it again, still a classic.	5.0	Always great.  Better in HD.	2014-06-26	0	0	0
6304117752	The Sound of Music [VHS]	A3HDTCHYAXDKZX	Aaron Pacentine	I have not yet seen the DVD of &quot;The Sound of Music&quot; but I know it has a ton of thing, when it will be coming out Aug 29, 2000. I have ordered a copy of the DVD from amazon.com  The movie is timeless because of  the music it brings into your life, just like the songs do. It's full of  happiness and joy and most of all it shows the love of a family and the  care that they show for one another. I have seen the VHS tape and watch it  at different times when it has aired yearly on NBC. It's a great musical  for the entire family. If you have not seen it yet, buy a copy before it's  too late. It's the greatest gift of all, if you are looking for a family  musical! Buy it for your friend or for yourself today!	5.0	WONDERFUL SOUND OF MUSIC	2000-07-30	0	0	0
6304117752	The Sound of Music [VHS]	A9JWP771B3C29	A. Bauer	This is The Sound of Music as it should be.  Clear, crisp, plays great on our HD TV with our bluRay.	5.0	Great version of Great Movie	2014-01-04	0	0	0
6304117752	The Sound of Music [VHS]	A1TV21A2FPD2P2	a Believer	The Blu-ray is stunning!  I have other blu-ray discs that are basically mediocre, from what I have learned it all depends on how much money the studios want to spend when doing the transfer, they spent the money on this one.  Great movie, wonderfully acted with superb singing and timeless songs.I've read some reviews where the buyer says the discs won't play.  I've experience first-hand where one bluray player won't play a disc but another player will.  The technology is not perfect.  If a disc won't play there's a 99% chance it is NOT the disc but it IS the player.  At least in my experience.	5.0	Best Blu-ray I own!	2013-12-04	1	1	0
6304117752	The Sound of Music [VHS]	A2Q8YZCRPL98LM	Abook	Ok, I am not a techy person, so I am most excited that this combo has Blu-ray/DVD/CD plus lots more. What a great deal! My family loves watching this movie, and we have listened to the cd several times. The reprint of 1965 Theatrical Souvenir Book and the post cards are beautiful, and the little music box adds a nice touch. Everything came packed in a beautiful collector's case. Overall, I am very excited about this purchase. I wish all movies came in a set like this!	5.0	I wish all movies came in a set like this!	2013-11-23	2	2	0
6304117752	The Sound of Music [VHS]	A38YPNUFQJ69SN	"A. Bradford ""shopping expert"""	Seeing is believing, this Blu Ray is breathtaking in so many scenes. The scenes in the Abbey were so crisp I felt like I was 10 again seeing the film for the first time on the big screen in an early 70s revival. Salzburg has never looked this good. You can even see the delicate patterns in the tweed jackets.The audio is music to the ears (don't shoot me for the bad pun please). The 5:1 sounds studio quality again.Did anyone else have a crush on Christopher Plummer the first time you saw the movie?	5.0	Blu Ray Sound of Music stunning picture	2010-11-08	6	6	0
6304117752	The Sound of Music [VHS]	A5VTDU57432DO	A. Bruce Skelton	What can you say about such a great movie. My great grandkids were just held fast to the movie. And kids can tune into the music with ease.	5.0	One of the best movies ever made	2014-01-08	0	0	0
6304117752	The Sound of Music [VHS]	AIGHHFJAXWXXZ	a_coke4u	Story : Based on a true story, a nun (Maria) filled with wonders is assigned to the Von Trapps family as a matron. Maria at first sees the coldness between the relation ship with the father and his children; for the wife Von Trapp loved, and the mother the children lived had passed away. At first, the children dislikes Maria. But later, with various events, Maria becomes the light in the Von Trapps family they once had lost. Von Trapp and Maria falls in love with eachother, but the war occuring in europe effects their country Austria. Von TRapp, once a captain of a ship, has been forced to serve in the Nazi's army. In the end, the Von Trapp's family escapes on foot through the mountains once Maria had loved and sang of. With the dramatic scene, the Beautifull movie ends with such happyness and love.Music : The most important part in this movie is the music! So, many famous songs were written for this movie like &quot;Do-re-me&quot; song, &quot;&quot;the sound of music&quot;, &quot;Eldewies&quot;, &quot;sixteen going on seventeen&quot;, &quot;My favorite things&quot;, etc. These classic songs makes the movie such a beautiful one. It starts with Maria singing in the mountains and end with the Von Trapps family walking on the same mountains with the music in the backgraound. I just love the music~! Not even a single song makes this movie boring. It makes it even lively~!Characters: Maria has a very jumping and tough image with such a soft heart inside which affects the once very loving Von Trapp. Von Trapp is very cold, but later becomes such a gentleman with a great voice to sing with. Each Child of the Von trapp's has their own character which makes little stories along with the movie. They are the connecter of the love of Maria's and Von trapp's.in a rating scale from 1 to 10, i say 11~! academy award winner. A lasting movie than &quot;Titanic&quot; for sure~!	5.0	such a Beautiful and Lasting movie~!	2000-12-05	3	0	3
6304117752	The Sound of Music [VHS]	A2Y2YTTBL3C5OO	A.C.Sarah.C	I love this movie very much, and I had really wanted to watch it again, so I got it on Amazon. Great quality.	5.0	Love this movie	2013-03-24	0	0	0
6304117752	The Sound of Music [VHS]	A90APFONXVTUF	ActorBrent	While this has always been a favorite movie of mine, the extras on this set make it even more amazing.  There is an interactive map of the sites where filming occurred, an excellent documentary, screen tests, hours of extras that are fascinating and entertaining.	5.0	Amazing extras	2014-03-30	0	0	0
6304117752	The Sound of Music [VHS]	A2JJOLN5OIUCOI	A Customer	This all-time classic movie finally receives the wonderful dvd treatment it so richly deserves.A fantastic anamorphic transfer and a masterful sound remix make this film more enjoyable than ever.	5.0	brilliant	2002-07-24	4	2	2
6304117752	The Sound of Music [VHS]	A25A0MJV5TXDR8	"A customer ""yourpalvince"""	Is this my favorite movie?  No.  Top ten?  No.  Top thousand?  Nope.  But I always enjoy watching it when I come across it.  Robert Wise was no slouch; this is expert family filmmaking, funny and uplifting and even suspenseful.  Sure, it's supposedly based on fact even while we know that no family with this many kids of this many ages could possibly get along this well.  And sure, you can't expect complex moral dilemmas in a movie that posits, &quot;Nuns, singing, and children are good; Nazis are bad.&quot;  But no one approaches this movie without knowing what he or she is in for, and therefore I'd be amazed to find anyone who was genuinely disappointed by it.  Let's just be thankful there were never any sequels or prequels.  One is enough.	5.0	If it works, don't knock it	2001-01-04	2	1	1
6304117752	The Sound of Music [VHS]	ADYNDO2PY0T3F	Adambadam	This movie is such an incredible work of art that I tend to compare it in importance to Beethoven's Ninth Symphony's -- with a big Ode to Joy.  Sorry to get political, though: the politics are important because it reminds us of where we are today.  At one point Christopher Plummer-- when he was informed that communications were no longer private under the Third Reich -- remarked that that wasn't his Austria. Yesterday, it was reported in the Washington Post and Fox that the NSA is developing encryption breaking tools that will likely result in zero privacy for all citizens and companies.  This isn't my United States.	5.0	Best film ever	2014-01-03	0	0	0
6304117752	The Sound of Music [VHS]	A2FI1YJ0OPSXDM	Adam	This wonderful movie, known by virtually all in America, is an inspirational movie.  Julie Andrews brilliantly acts as the star of this classic.  It shows that one's vocation is not always what they expect it to be.  Even though one may think they're called to the religious life, they may be trying to hide a problem or fear by living in the monastery or convent.  That's what the character in this movie did, but, after a conversation with Mother Superior, she went back to the Von Trapp house and fell in love with the head of the household.  They then got married, and she was grateful that Mother helped her to discern her real vocation.	5.0	Classic movie for people of all ages	2000-12-19	3	0	3
6304117752	The Sound of Music [VHS]	AXJHQVF0D4BGY	Adam Wheeler	Bought this for my wife, as this is her favorite musical of all time.  She has yet to watch it (bought probably 2 years ago), and I refuse to because I hate musicals. lol	1.0	Good price, terrible movie.	2014-05-01	4	0	4
6304117752	The Sound of Music [VHS]	A1PUCSVQ2FISJ0	Addicted to Shopping	This was a great purchase. Great sale price, quick shipping. Highly recommended. I don't have a blue ray at this time but this package had a regular DVD and a blue ray so I'm prepared for when I do have a blue ray player.	5.0	Great purchase!	2012-01-08	0	0	0
6304117752	The Sound of Music [VHS]	AZXR5HB99P936	"A. Delaspozas ""Alicia"""	The Sound of Music is always going to be a classic. It is a very charming story and well done; it has some facts about the Trapp family, but of course some elements were made up for the movie, even so it is very nice to know how this young lady, Maria played very successfully by Julie Andrew gets involved with Captain Trapp&#8217; (played by Christopher Plumber) children and later fells in love with him.The music and choreography are outstanding, all the actors, even the smallest ones were very good singers.The quality of the DVD is perfect. I&#8217;ve got the bluray and the Alps scenes shown before s the movie starts look like they were filmed using 3D technique. Knowing that this movie was from 1965 and remastered to do this DVD is unbelievable for the results of this film.	5.0	A classic	2014-04-05	0	0	0
6304117752	The Sound of Music [VHS]	AH2NK070RRACR	"Adrianne M. LaPilusa ""amlapilusa"""	of all her work, but this movie is just incredible.  The story is well told, and the music is timeless.  The package includes a book that gives details about the movie, all wonderfully wrapped up in a box called &#34;My Favorite Things.&#34;  If nothing else, Julie's voice just transcends over everything.  A must have!!	5.0	Julie Andrews should be proud	2014-01-08	0	0	0
