asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0792151712	Titanic [VHS]	A2BQXTSS8G6ZL2	007	This was a very sad movie I with Jack had lived at the end the movie looks and sounds good with lots of special features	5.0	titanic	2012-10-23	2	1	1
0792151712	Titanic [VHS]	A1AAIZE46O771R	100% Real	I've  seen this movie at least dozen times and every time, I still cry!! I've always been interested in the sinking of titanic and this movie was absolutlely amazing!! Kate Winlset was so incredible, she is definately my fave actress and a star to watch. if by some sad twist of fate you haven't seen this movie yet, buy it now, no one doesn't not like it!!!	5.0	5 huge stars!!!amazing cast	2005-07-25	4	2	2
0792151712	Titanic [VHS]	A3B59JASR9B24L	13th floor	The main reason I watched this again was because I love the period costumes, hairstyles and jewelry and beautifully designed sets.  The storyline is okay, if a bit implausible.  Although Billy Zane is a fine actor, I felt he was too young and handsome to play a man that the young Rose deplored and felt pushed into marrying (by her mother) for his wealth.  They should have cast an older, less attractive man (or downright ugly man) - because honestly, most young women would have been thrilled to be engaged to the handsome, sophisticated and extremely wealthy Zane.  Still, it's a good movie to watch on a rainy Saturday evening with a big bowl of popcorn.	4.0	All about the the costumes and photography	2014-06-14	1	0	1
0792151712	Titanic [VHS]	A2ZFYU38CI0P0X	5150	Had this movie when it first came out on VHS and now have the blue ray 3D copy. I can indeed say that the blue ray 3D is amazing. The images of the titanic are just so clear, crisp, and just put right into ship. I would recommend this movie to anyone that has either owned the VHS copy, saw it in the theater or just wants to see it for the first time. This copy comes with some amazing extras of the behind the scenes of the making and also of the actual titanic itself.	5.0	titanic	2012-09-28	2	1	1
0792151712	Titanic [VHS]	A3FV933KPQHTZV	555	There is no doubt that this film is beyong great, but.... First of all, I hate the cover of this DVD...I like the VHS one better. Also, this DVD is SCREAMING for extra's. All this DVD includes is a theatrical trailer! What a joke. Such a great film, and not that old, and they couldnt even include a single commentary or interview. Also, the nudidty could have been cut out and perhaps kids could have been able to see it with a PG rating.... anyways... Good movie, BAD DVD	4.0	Great movie....bad DVD	2004-08-30	8	2	6
0792151712	Titanic [VHS]	A3AZV05G93JUV4	90s Kid	I will never let go...of this film! I remember when I first saw this as a kid. I was perhaps too young the first time, but it is an amazing film that will live in your heart forever. I had been waiting for this film to come out on Blu-Ray and I was very excited when it did. It looks amazing on Blu-Ray! I highly recommend upgrading to Blu-Ray for anyone that has been on board Titanic and to all of those who never have, you are missing out!	5.0	I'll never let go...	2012-12-15	1	0	1
0792151712	Titanic [VHS]	A3IY54P2NDQPDU	A 12-year old viewer	....but supprisingly kept me pretty entertained for over 3 hours. What really bothered me about this film was the overwhelming hype over a film that had a  terrible gym teacher style performance by Leonardo D' Caprio, a cheesy, annoying performance by Kate Winslet (who's highlight of the film was a mildly non-sexual nude scene), and an ignored, great performance by Billy Zane who played Winslet&quot;s violent tempered fiance. The plot: a romantic affair on the Titanic between a 3rd class boy Jack (Leonardo D' Caprio) and an engaged 1st class girl Rose(Kate Winslet).The film (mostly in the opening scenes and the sinking of the ship.) is entertaining. The scenes in which Jack and Rose are in really hurt the film. The old Rose telling the story of the Titanic uses a bit of rather stupid dialouge (&quot;The china had never been used, the beds never slept in.&quot;) When I saw it I yelled &quot;Yea right!&quot;.I would recommend this movie to those who can aviod the sappy love story and pay attention to the rousing scenes that focus on the ship. Peace out!	2.0	EXTREMLY sappy and inacurite....	2001-11-18	6	1	5
0792151712	Titanic [VHS]	ATAJ9LRGZOSI	"Aaishik Kar ""truthseeker"""	"A girl madly in love desperately struggling to save the life of the man whom she loves (which implies: a person struggling to preserve a sacred value, i.e. the person you love)....an old captain walking to his death with a guilty conscience (which implies: a man of honor punishing himself for having betrayed his own, independent judgment)...an engineer who is going down with his greatest achievement, now doomed to destruction, unable to abandon it at any cost (which implies: a man's love for & pain at the loss of the highest symbol of his capacity to think and create)...a mother putting her children(oblivious of their fate)to sleep with a bed time story, fully conscious of the fact that they shall all drown and die in a few minutes (which implies: a mother courageously protecting the magnificent, innocent spirit of (her) children, which has a great confidence in life, which knows no fear or ugliness)....This is what I call emotional intensity - which is nothing but an expression of a value-oriented view of life. Emotions proceed from values-and greater the emotional intensity, greater the role & importance of values in the lives of the people involved.""Titanic"" is not just a passionate love story (though within a somewhat clich&eacute;d setup of a rich girl and poor boy). It is about the opening up of the soul of a young, spirited girl disgusted with convention & conformity -desperate to be happy and live her life on her own terms-to the full. And Jack does not become a great lover just because he died for the woman he loved, but because he gave her a more precious gift: the vision of a life filled with joy, laughter and beauty - a life which Rose never knew existed - which gave her the incentive to live to be 101. To live life happily one must love life, to love it one must have a particular view of life - it is this view which Jack gave Rose.""Titanic"" portrays a wide spectrum of human emotions with an amazing force, vividness & effectiveness...passionate love & obsessive jealousy, frustration & depression, youthful exuberance & a sense of flight, fear & courage, yearning & despair, cruelty & horror. Whether it be a 100-year old woman recounting the most romantic moments of her life to a group of youngsters of the age of her grandchildren or an old couple who chose to die together rather than chose one's own life & the other's death - each emotion has a depth, intensity and sense of drama which radiates a warmth that has touched millions of hearts around the world and makes the viewer one with the characters in their feelings. In this depiction of human joy and suffering against the backdrop of one of the most heartrending tragedies of our times, combined with an overpowering suspense & adventure, lies the universal appeal of ""Titanic""Apart from the visual effects & background score which are marvelous, I loved the artistry & execution of various scenes. About the ""lewd"", `painting' scene (which I think was poetic), I'd say: I'm thankful to Kate Winslet - it was like getting a glimpse of paradise. As for the `car' scene: it was presented in a manner which conveyed sensuality, passion & tenderness - without the crudeness of the usual love-making scenes. The ""finger"" simply expresses free-spiritedness & a childish mischievousness properly directed towards an undeniably obnoxious man. (Rose never shows irreverence towards those who really deserve respect).The comedy is subtle, delightful & witty - never vulgar or offensive.In addition, the performances were very good - I particularly liked that of Kate Winslet.My favorite scenes are-the ""flying"" scene; the one in which the half-broken ship stands perpendicular on the waters for a few moments & then slowly starts sinking- I've yet to see anything to match them in all cinema (in terms of the emotions they evoke, their dramatic effect, grandeur & artistry) and the scene in which Rose leaves her lifeboat & returns to Jack (dramatizing the intensity of her passion).In short, ""Titanic"" is one of the best films I've ever seen and hope to see. I'd undoubtedly call it one of my favorite films."	5.0	No doubt this has been the most popular film ever	2002-02-23	6	3	3
0792151712	Titanic [VHS]	A194KVCNAOOA1O	A ALNEFAISHAN	I  am shocked when I received it because it was not  working in our region in mideleast in my countryI try it in many dvd player but it was not working	1.0	I am shocked	2014-03-27	2	0	2
0792151712	Titanic [VHS]	A3PFBH26G48ZOO	Aaron Bachler	I saw Titanic in 3D when it was re-released in 2012 and then picked up the 3D blu ray.  I can honestly say this film looks better on your home tv then it did in the theater.  The image quality and 3D are top notch.  This is a disc to show your friends.  I wish there were more bonus features and perhaps some added scenes, but the movie looks so good on blu ray, it's hard to complain.	5.0	It's better at home	2012-09-22	5	3	2
