asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPNO	Transformers (Two-Disc Special Edition)	A1XUZUHS4XNTTY	00slee	Not the IMAX cut, no lossless audio. Paramount is gonna milk this a few times, wait for the next release.	1.0	Don't waste your money	2007-10-16	24	7	17
B00005JPNO	Transformers (Two-Disc Special Edition)	A2BGVND193IZ7X	"1chigo ""elitist otaku"""	"Sorry to be so negative here, but this ""movie"", if you can truly call this cg-fueled Splenda fest that, is terrible.  First off, nearly *EVERY* movie based on a comic book/toy line is severely lacking in artistic credibility, because nearly every movie of this type takes liberties with the source material.  And the examples of this are endless.  From liberties taken with the storylines(X-men being the prime example of this. Also, see the newer batman movies, and heck even the last couple of ones made in the 90's), to rampant, pitiful miscastings(once again, the so-called ""x-men franchise"" takes the cake here - I mean c'mon....who in the heck could ever picture Wolverine being some girly-faced Aussie limp wrist?!?!?!?).  So with all that said who in their right mind would make a movie based on an 80 toy line and cartoon?? Answer, some talent-and-originality-impaired IDIOTS that are who.  Sorry, but as a dyed-in-the-wool Transformers fan- or more specifically, of the toy line which was imported here from Japan in '84, all I can say is this movie truly STINKS.  Now don't get me wrong, the storyline does indeed reek (as any ""story"" that attempts to use current events as fodder is lame, to say the least), the storyline never really mattered much to me.  Let's face it, the old 80's cartoon wasn't all that, as far as animated fare went, as it was just a promotional tool to get kids to bug their folks to buy them the toys.  Heck the toys sold themselves, as far as I was concerned.  So to sum up, the storyline of this odious flick is inconsequential.  However my main bone of contention is the way the characters (the Transformers that is) are depicted.  It's bad enough that the characters, who in their original-and dare I say PURER-renditions transformed into a variety of real-world vehicles from a variety of manufacturers-transform only into american-made JUNK in this sad waste of celluloid.  It's even worse that the Transformers, in their robot modes, look far worse than AWFUL - It looks to my eyes, like some chump with an H.R. Giger fetish and a couple hundred thousand boxes of Erector sets designed them -- and threw in some Battlebots and Mad Max elements in there for fun. And the way they move and lumber about, like some Mechwarrior reject, is laughably pathetic.  I also have problems with the way at least one of characters, Bumblebee, to be specific, was portrayed.  I'm sorry, Mr. Bay, that you don't like VW beetles, but that's what Bumblebee TF'd into.  And also, since when in the heck was Bumblebee ever a warrior?!?You know, maybe, just MAYBE, if the people responsible for this waste of celluloid and CG did the extra legwork, and got the license from the various automakers (Porsche AG, Freightliner, etc, etc) involved in the designs of the original TF characters, and heck even used the ORIGINAL and downright better, timeless designs, then maybe you could've had a winner here.  But as such, all you have is formulaic, CG-driven DRIVEL, ""lovingly crafted"" in the endless factory of mediocrity that is hollywood.  Which will be undoubtedly gobbled down by the clueless masses that are the moviegoers.Sorry, but due to the fact that Amazon doesn't allow no-star ratings, I give this one star."	1.0	another example of how hollywood has slid into the sewer	2007-10-16	28	15	13
B00005JPNO	Transformers (Two-Disc Special Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"No wonder Michael Bay's `Transformers' is destined to be one of the biggest box office smashes of 2007.  Looking at the commercial previews of the movie, I was not impressed.  Watching digitally enhanced transformer toys morphing across the screen looked too fake and too much.  It's good for kids, but I could wait for the DVD.  Not so.  After having watched the widescreen version on a small screen, I was in awe of the special effects and kept at the edge of my seat for most of the movie.  Thoroughly likable, the characters, the plot, and the dialogue are just all-out fun.As has been told countless time, the story is based on Hasbro's Transformer  toys, and involves metallic monsters coming from outer space to absorb our resources, obtain a wayward cube, and rule the universe.  Just like the 'Gremlins'Gremlinsbefore them, `Transformers' have good and evil operators.  Here Optimus Prime and Megatron battle it out in the city making toys of humans and SUV's.And in the human world there are two fronts:  One is in suburbia where a teenager, Sam Witwicksy (Shia LaBeouf) stumbles upon a disguised Transformer at a used car lot.  (LaBeouf plays a post-teenage incarnation of many Bruce Willis characters, and his Camero is not unlike ""Herbie, the Love Bug,"" with a lot more `tude and torque in his chassis.)  His side-kick is that all-too-familiar acquisition, Mikala (Megan Fox), a fantasy girl who dumps her mean-spirited jock boyfriend for him on a date where the accommodating car knows when to get them stranded.Meanwhile all the power vibes are picked up by the military.  Captain Lennox (Josh Duriamel) is tough, breaking through the red-tape of an alien takeover, and F.B.I. Agent Simmons (played comically enough by John Tuturro) is on a state of hyper-alert, treating ordinary citizens as criminals.  Jon Voight plays a high-ranking military official, certain that our enemies are wreaking havoc from across the borders rather than across the skies.With many fine movies under his belt, Shia LaBeouf is already a matinee idol of about the same stature as Tom Cruise.  His every man (kid) performance makes everything real.  Most of the rest of cast and crew keep this full-octane adventure from veering into snooze control.  I always admire a science fiction adventure that can alternate well between roller coaster suspense and big laughs.  Maybe it's not the same caliber as 'Star Wars'Star Wars Episode IV - A New Hope (1977 & 2004 Versions, 2-Disc Widescreen Edition)in this respect, but it's conspicuously better than 'Armageddon,'Armageddonfor which there's even one reference.`Transformers' in the end is a magnetically fun adventure that keeps the entertainment, like the morphing creations, ever energetic and new.  This is the kind of movie that will (and should) be re-released in the theatres in about ten years.  (3 1/2 *'s)"	4.0	"""Fun, Fun, Fun"""	2007-10-17	7	3	4
B00005JPNO	Transformers (Two-Disc Special Edition)	A3T4829CDPMJNN	A. Aldaiel	If you are big fan of the Transformers show you will like this movie, I know some people say it's different from the cartoon TV show, but still you can't give bad reviews for such a nice movie. Buy it today	5.0	Buy the DVD	2007-10-16	4	3	1
B00005JPNO	Transformers (Two-Disc Special Edition)	A1M4ZWPZBLG6P7	Aaron Flocker	This video to me was just amzing from start to finish full of all the litle things I love from action to comedy I say watch it most definately and watch out for mountain dew machines	5.0	Amazing	2008-01-20	0	0	0
B00005JPNO	Transformers (Two-Disc Special Edition)	A4HVTD1DMHZGD	Aaron L. Camilleri	best movie of the summer, possibly the best ever! i am biased, i was a big transformers fan growing up!best thing about this movie: optimus prime did not die,and it set up for a sequel!!!!!  with many omage (is that spelled right?) to old school fans of the old school series.  i'm 22 years old, and i felt like i was 6 again when i saw this movie! i literally jumped for joy at every scene!also, the other best part about this movie is megan fox! that girl is hooooooot!!!! [creams my pants!]buy this movie, watch it, love it, or else!!!!!	5.0	awesome!!!!	2007-11-15	2	0	2
B00005JPNO	Transformers (Two-Disc Special Edition)	A1Z46E3G016ZPR	"Aaron M. Litz ""ryokomocha"""	"I am so cheesed off that I'll ave to wait this long to get Transformers, a very, very, very awesome movie on Blu-Ray, because of the idiotic and asinine format war that went on for so long.  I've been a Transformers fan since the original cartoon and toys.  I've had the original animated movie on DVD since the very first time it came out on DVD.  And I was actually DREADING this movie.  Michael Bay?  The man who gave us such wretched CRAP as Armageddon and Pearl Harbor?  Forgetting the scientific absurdities of Armageddon and the HORRIBLE historical inaccuracies of Pearl Harbor, the movies were just flat out AWFUL. So when I found out that Michael Bay would be directing a movie based on an iconic element of my childhood I was aghast and horrified, to say the leastBut all I can say is Thank God for Stephen Spielberg.  Watching the movie you can actually SEE points where Bay was trying to veer off into his mindless ""blow stuff up who cares about plot?"" usual directing style, but then you can almost see Spielberg's hand reach in and smack him like a puppy who's just pee'd on the carpet and take the movie back where it's supposed to be.I loved this movie.  And I'd spent a year or two gearing up to hate it.  That's how good it is.But now, on to the matter of it being released on HD DVD instead of Blu-Ray.  Such an IDIOTIC, ASININE thing!  If it had been nothing but a matter of which type of disk was simply BETTER, there would have been no  contest at all.  Blu-Ray has ALWAYS been better.  I'll explain the differences below, but, unfortunately for us, a product being technically better than its competitors has never had much impact on the good old capitalism of our great country.  Remember VCRs?  Beta was MUCH better than VHS, but the company that made the VHS tapes and got paid royalties by everyone who used them had a better set of lawyers, marketers, and whatever other slimy creatures they needed to ensure that their inferior product came out on top in the vacuous wasteland that is American consumer culture.And during the past 2 or 4 years or so we'd been going through the same type of thing again, everyone: another Format War, between HD DVD and Blu-Ray, the successors to DVD.But we can thank God that THIS idiotic format war has finally ended, the respective megacorps having thrown all their support behind whichever pet project would have given them the most royalties, or made them the most bribes, and now that the dust has finally settled we have a winner and we can finally start getting Blu-Rays of all the movies we want, and the prices will start dropping as improvements in manufacturing techniques develop and the effect of economy of scale takes over.  Remember when DVDs cost 50 dollars?  The prices of Blu-Ray movies will now drop the same way, and before too long we'll be able to get 5 dollar discount bin blu-rays, too.Yes, it still came down to one megacorp bribing, whining, and cajoling enough other megacorps to secure their own royalties for their own format, and then finally ramming it home down everyone's collective throat with a videogame machine with a built-in player that cost less than most stand alone players of the format by a good amount...But this time we can be thankful that the format that won, Blu-Ray, is the one that is actually the BEST one.  Remember VCRs?  That time, the format that won the format war was the one that SUCKED.  Betamax was VERY much better tan VHS, which is what everyone now remembers as VCR tapes.But this time the best format won.Just compare: current data capacity for Blu-Ray is 50 gigs, vs HD DVD's 30 gigs.  Not much, you say?  Almost twice as much, actually.  And you have to consider that a DVD holds about 7 gigs.  SEVEN.  See how big a difference that is?But then we wet to the maximum theoretical limits, which means how much the two different types will be able to hold in, say, about 5 years.  And even after that they'll probably squeeze out a little bit more, just because we can do crazy things nowadays.Blu-Ray will eventually get up to 200gigs.HD DVD?  60 gigs.That's a HUGE difference, people.  HUGE.  The hard drive on my laptop is only 120 gigs.  So that means I could back up EVERYTHING on my computer on ONE Blu-Ray and have almost a third of the disk left over, but it would take 2 entire disks to do the same with an HD DVD.So, the ultimate lesson we can learn from all of this is that the companies that sell us stuff don't give a flying fig about what is better for us, they only care about what is better for them, by which I mean whatever makes them more money.  But we can be thankful that THIS time, in a fight between groups of millionaires and megacorporations, the consumers like us actually won something for a change."	5.0	Idiotic Format Wars	2008-06-25	5	0	5
B00005JPNO	Transformers (Two-Disc Special Edition)	A3GA6VQPAVDIS0	Abhijit I. Karmokar	I am not going to the review the movie as this is not a movie review. I just purchased and watched Transformers on Blu-Ray on my PS3 and Samsung 32inches 1080i TV. Must I say i was blown away with the video/audio quality of the DVD. Crystal clear images and audio and awesome extras ... Only one gripe .... Dunno if it was my Home Theater or the DVD ... somehow the voice felt little lower than the background music .. not a deal breaker I am sure ... All in all a great buy .... and you just cant beat Amazon's price !!	5.0	Most amazing Blu-Ray ever owned ... must have	2008-09-05	4	2	2
B00005JPNO	Transformers (Two-Disc Special Edition)	AYV2839PSGC0Z	"abraxasworld ""abraxasworld"""	Damn you michael bay!!!!!!!!! just stop!!!! This was a total rape of my childhood. Fine, there's a bunch of cool looking action scenes, but jesus!!!	1.0	please stop!!!!!!	2009-04-21	9	4	5
B00005JPNO	Transformers (Two-Disc Special Edition)	A29FUUTYWJGVZT	A. Butler	This is a great movie but if you are watching this on standard DVDs you are missing out. You must own this movie on HD-DVD to really appreciate the beauty of it.	5.0	Buy this in HD!!!	2007-10-17	5	2	3
