asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	AA9ZSOIWYST12	2CV	Not the caliber of Downton Abby, but none-the-less entertaining!  Most of the actors did a fine job and made the characters very believable. Season 2 was also just as good.  I think I will re-watch the original series from the 70s as it has been so many years.	4.0	Entertaining!	2013-05-14	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2TCQ5HBAEMUPJ	74 Wave	My grandmother was in service, until she married and this program gave a look into her life as a young woman living in London.	5.0	Enjoyable	2014-02-10	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2E1EFNIZL2FVA	&#9899;   RIZZO   &#9899;	I stumbled onto this wonderful period series recently, never knowing or remembering that the masterpiece production dates back to the early 70s.  The show, however, takes place in the early 1900s in posh London.  It is truly a first class operation, fine acting, beautiful sets, superb period costumes, enthralling storylines, and just plain fun to watch; yes there is a share of humor.The premise of the show is the upperclass extremely wealthy family of four, parents and their two adult children. The adult children make their presence periodically, and the servants have their share of dramatic escapades in the lower part of the mansion.The characters are all memorable, engaging, and quite entertaining to absorb.  What makes this such an addictive series to watch is what you learn about how the wealthy and servants behave, perform,  and communicate.  The episodes take you several places without one getting over exposed by the same sets.  It is a wonderful lesson on historical periods.What's good is that you may need to use the subtitles, due to the accents, and just to learn so many new phrases and words that cover interesting topics that one is no familiar with.  The subtitles for Season One are very good, no gaps, and correct titles.Plus, the episodes are fast-paced, nothing drags, content is filled with dialogue.Once you start this, you just keep going into more and more.... I call it addicting.... Love it!  Rizzo.	5.0	Definitely a masterpiece!  How refreshing	2012-11-28	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A31QD16CDM0PE2	A. Bernard	Like Downton Abby this series is enjoyable because of the interplay of the characters. If you liked Downton Abby you will like this.	4.0	Like Downton Abby	2014-01-07	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2LJ3OZO70RW6P	Abigail	I may be jaded because I just finished Downton Abbey. I was surprised that there were fewer episodes than expected.	3.0	Ok but not great	2013-06-01	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3N1MPYTGLTZ5	Adrian	Bought as a gift - It was very much appreciated by the recipient!  She loved it loved it loved it.	4.0	GOOD	2013-03-24	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A18ZMDLUT9KG49	"Aelnyana ""Celtic Girl"""	Wonderful show but Amazon streaming failed miserably on this one.  The show stopped itself so often to reload, I never got to the end. Skip this until/unless they fix the problems!	5.0	Bad video quality.	2013-11-29	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A7H7YNM81IA3Y	aggie02	Okay, it's no Downtown Abbey, but it is a very interesting story of an aristocratic British family in the 1930s and their downstairs help.	4.0	Entertaining BBC drama	2014-01-20	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3VBOZ6RW58XDE	AIDA K BARNETTE	I've only watched one episode so I'm withholding full judgment for now.  I'm also doing my best to keep an open mind since I've been spoiled with Downton Abbey.	3.0	Jury still out on this one	2014-04-02	1	0	1
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A1R0K89GQOYTI1	aileen andrews-bryson	The best series ever!  Can't wait for next season.  It's a must watch for anyone that enjoys a good plot.	5.0	Awesome,	2014-05-08	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A1GL32GNX83AZ2	Airport FAn	So many have Panned this as a poor effort to replace a beloved series but I for one say how sad BBC stopped it before it could take off yes its wonderful to see Rose again and see the inside of a great or nay minor house as it tries to weather the storms of life war and personal choices and yet its still heartwarming and touching I just wish they kept it going	5.0	Awesome sequel but Sadly too short	2013-06-25	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A1B3L9FIBVW0CZ	"Aj17 ""furrym17"""	Not a gripping, you absolutely must watch series but still good to see that this has been released.  It covers that pre-war era very nicely in terms of behaviours and ignorance.  I can't get away from Edward Fox as Edward in Edward and Mrs Simpson in my mind so there was some personal conflict in watching the Mrs Simpson bit but overall not bad at all - certainly worth a watch	4.0	a new era of Upstairs Downstairs	2013-04-09	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	AAZRWLML88IZK	A kids review	One of 2011's best TV releases, this is a must-see even if you've not seen the original program. Buy this now!	5.0	Upstairs Downstairs	2011-11-13	3	2	1
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A18GFW1A3WUU5K	Alana Brown Casey	After all these years, I still look forward to catching up with the intricate story lines and delightful acting. Viewing it years ago and then viewing it today, everything holds up perfectly.	5.0	A Perennial Favorite with Staying Power	2014-01-10	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A4V4YUEA4HJBS	AlaskanBargains	It's a great series with interesting characters and fabulous costumes! A window into an era of war and changing alliances. Fascinating!	5.0	Enchanting!	2013-11-01	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3D7P9HG3NDWKU	alberto de Leon	fairly poor interpretation of the libreto, disappointing decor,seen much better british series , i will not recommend this production to anybody	2.0	not as expected	2013-02-05	1	1	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2HQ2519M6WZ6H	alexis fleckenstein	It's my kind of show I love English movies and especially from pbs and especially upstairs, downstairs old and new	5.0	Love it	2013-12-24	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	AT5DDX1H8AZ5Y	algessner	I loved this series. I'm only to sorry they canceled it so that they're is only two seasons. But I totally recommend it. Especially if you love Downton Abbey.	5.0	Fabulous show!	2013-07-02	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A15GHI0YOBYL1F	Alice Francis	But then again I love BBC television - especially the older stuff where there is great language; no violence, no swearing - nice change.	5.0	Great	2013-02-26	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3V3M6PM6G4T96	Alice	WHEN I WATCHED THE FIRST EPISODE I WAS NOT THRILLED WITH IT, BUT THE CHARACTERS KEPT KEPT DRAWING ME BACK FOR MORE. I NOW WATCH ABOUT 3 OR 4 NEW EPISODES A DAY. VERY ENTERTAINING .	5.0	DRAWS YOU IN...	2013-05-10	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2O0G9H7M5TWYB	Alice L. Blanco	After about the first 1/2 of the first episode, I was really hooked. Watched all three Season in about a week.	5.0	Good series	2013-09-13	1	0	1
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A4WT6VJET24BJ	Alljoyus1	I enjoyed the characters and their  life style. I was impressed by the costuming and setting. Learning about social constrictions and manners was very interesting as well.	5.0	I really like seeing how people lived in that era.	2013-04-12	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A15DVAK0W0XSV5	amanda schumacher	I love the different issues this show addresses and I can not wait for the next season to come out	5.0	hilarious	2013-07-16	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2XMUJRJIKCRLQ	Amanda T.	All I can think of when I watch this show is that they're trying too hard to be like Downton Abbey. The story was slightly intriguing, but not enough that I'm going to keep watching.	3.0	Trying too hard	2013-05-02	1	1	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A39E6ALXB9OARI	A Marine	I began watching Upstairs because I enjoy Dowton Abbey so much.  Judging from the first episode Upstairs it is lacking.The production values and the depth of the characters are Dowton 'lite&#34;.  In fairness the latter may improve with further episodes.  However, the characters in Dowton hooked me in episode 1.  In Upstairs I came away with no interest in what happened to the characters.I also believe that Amazon is trying to profit from Upstairs on the coat tails of Dowton.  While I watched the first three seasons of Dowton on Amazon Prime instant video, Amazon is charging $2 for each episode of Upstairs.  That's like giving you a great, free strawberry shortcake, and the next time charging you for just the bowl.I'm not buying the bowl.	3.0	It isn't Dowton Abbey	2013-10-11	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A15A9P104LLF4D	Amazon Customer	Good show for Season 1, but just might not like where the story is heading.  Easy to rent from Amazon and streaming.	4.0	I'm not sure	2013-01-03	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2RASXCPCLD084	Amazon Customer	great cast , great storyline,great production values, as always for the bbc and masterpiece classic. we loved every minute of it	5.0	excellent	2014-02-07	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2SFSS8EWGMA2S	Amazon Customer	Great show - focus's in on a different time period then Downton Abby. But very similar in its focus. Political issues and how life changed and went on during some huge change in the world.	4.0	Not quite as good as Downton but still worth watching!	2013-05-10	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3Q8K9MP5XW61H	Amazon Customer	had many historical facts correct.... lots of errors, but was pretty well done. Good enough for the history buff, excellent for the drama of a war time series. Great picture and sound work, not amateur or lame production. I recommend this, it was fun!	5.0	If you like period pieces this is a good one.	2013-07-24	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	AOOCHD8YC7P9F	Amazon Customer	I am so glad I persevered through Season 1 Eps 1-4, for years I have heard of the greatness of Upstairs Downstairs so I had high expectations, I found Episodes 1-4 not very interesting don't let these episodes deter you, starting with Episode 5 the series picks up steam and just keeps going. I just finished Season Five and totally enjoyed the journey. Excellent characters: Mr Hudson, Mrs Bridges (my favorite), Rose, Edward, Ruby, Sir Bellamy and more interesting characters to come in future seasons. I give the series in its entirety five stars. I enjoyed Upstairs Downstairs just as much as I enjoy Downton Abbey.	5.0	Excellent Series - Don't Let Eps 1-4 Deter You.	2013-07-02	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A35PFAYQIU5CYN	Amazon Customer	I am watching the newer version and remembered my mom watching this.  it is quite enjoyable and amusing to watch.	4.0	Pretty good	2014-01-24	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	ALMJSJ9L82QBL	Amazon Customer	I found this series after the fact but really wish they would've continued it. Kept me engrossed like Downton Abbey.	5.0	Great!	2013-04-28	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	AMCJLG79FRNV9	Amazon Customer	I LOVED Downton Abby and until it resumes this is an excellent placeholder. It is not as serious and the acting is not as dramatic, but you really connect to the main characters. It is really good!	5.0	Nice period series to tide me over	2013-09-05	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A1VC3BSXFON17L	Amazon Customer	I love the production, it's a shame it's only 3 episodes ! Worth watching anyway !! Love the atmosphere ...	5.0	great	2014-04-02	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A28P6M16MWTAX0	Amazon Customer	I really enjoyed the original series and this one is good however it doesn't have the sincerity and warmth of the original series.	4.0	good period piece	2013-05-29	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2TGC44B2GHXUJ	Amazon Customer	I really enjoyed this series.  It is not as good as Downton Abbey but good.I hate the 'more words required' in order to submit feature.	5.0	Loved it	2013-03-08	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3P7R2RMV7AHAA	Amazon Customer	I tried this show because I had finished the Downtown Abbey series. It's not as deep or richly detailed as Downtown, but still a lot of fun to watch. Wish there were more episodes available, though.	4.0	pretty good show, if you like Downton Abbey	2013-02-22	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A4WROSE1LA5NX	Amazon Customer	Love watching this show.  Its story lines are interesting because they come from two points of view and incorporate humor and drama.	5.0	Very enjoyable!	2013-03-04	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2E5ZK0NAI7ONF	Amazon Customer	On the same vein as Downton Abbey - it's cast of characters are great.  Needless to say that I am a big fan of Britain's high quality shows.	4.0	Another from Britain	2014-02-18	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2NXF7JXGR9XV8	Amazon Customer	So well done.  We've watched it several times.  So sad there are only two seasons but it was canceled ironically because of Downtown Abbey. If you love all things British (or even if you don't ) this is worth the investment of your time.	5.0	So well done...	2014-07-06	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	AUM01WVR3NSIW	Amazon Customer	The show is just awesome.It is just scripted so well. Can not believe I have never heard of it before now	5.0	if you like downton abby you are going to love this	2014-01-06	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A3N1872TY9UI5Q	Amazon Customer	They are not comparable, really, but I enjoy this show so much more, although I don't dislike the other. Recommend!	5.0	"Better than that ""Abbey"" Program"	2013-05-19	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A24OOPW0MAQDBH	Amazon Customer	They really do not make shows like this anymore.  These days perfect plastic actors and actresses, big expensive sets, etc. dominate our media.  Yet there are very few programs that have a soul.  If you like Downton Abbey and have some patience/tolerance for an older show that is a little dated in terms of its look, then I cannot recommend this show more highly.  It is really a wonderful gem of a program.  I end up watching it again every few years and probably always will.  I am honestly sad it took me so long to come to it (I first watched it in 2008).	5.0	A magical experience.  If you like Downton you might like this.	2013-10-17	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2OZ9MWS7UY3JN	Amazon Customer	This series is entertaining but not quite as good as Downton Abbey.  It is still worth watching if you like this type of series.	4.0	Entertaining	2013-06-08	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2MKUOS5FC0Q0G	Amazon Customer	video & acting can't compare to the new one, but i'm watching it to get backround on current show. don;t watch on the big screen tv. it shows too many imperfections. it drives me crazy.	3.0	blewmoonie	2013-03-02	0	0	0
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A2RL2CVX1WBBBZ	Amazon Customer	Both seasons 1 and 2 were fabulous.  Can't wait for season 3 to be ready for viewing. Five stars, for sure!	5.0	Awesome Series	2013-10-07	1	0	1
0767002652	Upstairs Downstairs - The Premiere Season [VHS]	A7EJ3219UDQ86	Amazon Customer	I know it is an old series, however, the production values are poor. It makes it a chore to watch.  The acting is corny.	3.0	It's no Downton Abbey	2013-04-17	3	0	3
