asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A6Z8Q2R0WSL1P		GREAT	5.0	Five Stars	2014-07-14	0	0	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A16SHWKB2XOH0B	8uckeyenut	This box set is the standard bearer for all other anthology/trilogy/etc. sets.  The content is incredible and the packaging is sturdy and beautiful.	5.0	Standard Bearer!!!	2013-08-15	0	0	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A5DDKYDZM95N2	aabecker	If you like these movies, this is the way to buy them.  Very economical.  Great Christmas gift.  You get a lot of bang for your book here.  All &#34;Alien&#34; movies are represented and edited scenes are back in.  Plus there are quite a few fun xtras.	5.0	AWESOME!!!	2013-02-16	0	0	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	AG77WC4LSILNR	Aaron Gearhardt	Do not buy this.  I can't really provide a more detailed review as the discs do not work in my Blu-ray player.	1.0	Doesn't work in my Blu-ray player.	2013-12-26	4	2	2
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A1K4SX69U8RE13	Aaron Salas	Lots of extras with this package.  Well presented.  Unfortunately the First and Second are really the good ones.  James Cameron added a directors cut that is an extra hour to &#34;Aliens&#34;.	5.0	Great Deal	2013-08-10	0	0	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A3WYQKC720N0S	"Aarontjax ""aarontjax"""	So much is included in this set that I could not possibly talk about it all. Just getting all the bonus features for the first Alien movie is worth the money right there. You could almost watch this set 24 hours a day for 3 days straight.The picture and sound is awesome, the bonus features are incredibly cool. I found the info on the original idea and alien design especially interesting. The only bad thing is the stupid case. Whoever decided to go with the fold out box is an idiot. If you fold it out it's about 4 feet long which is awkward to say the least.Overall an excellent set worth every penny even if you're not really crazy about the last two movies like me.	5.0	Everything you'd ever want to know about Alien	2003-12-12	2	2	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A1AD5TPGBZIWE	Aaron Voitus	I've been a huge fan of these movies and this is a great collection. The quality of the packaging and the movies themselves are amazing. Even though the first movie came out in 1979, the picture quality is quite good. If your a fan of the Alien movies, this is definitely the collection to have!	5.0	Awesome Movie Collection!	2011-01-08	2	0	2
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A2JQ9103UHQUO5	abel	one.of.the.best.blu-ray.collection.Ever and i would recommend this to all aliens lovers. A must buy for ridley scott fans. A worth it purchase	5.0	good set	2012-07-07	0	0	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	AGLN54GTQYW7E	ableekertomorrow	I am truly impressed with the picture and sound transfers of these movies.  Alien and Aliens are practically completely different movies with the new clarity.  Anyone who is a fan of this series needs to pick up these version.  I owe the DVD as well, but other reviews(and a great deal) made me pick this up.  I am not remotely disappointed.  My DVDs may as well be coasters at this point; nothing could beat these versions.	5.0	A M A Z I N G	2013-05-15	0	0	0
B0000VCZK2	Alien Quadrilogy (Alien / Aliens / Alien 3 / Alien Resurrection)	A3GBJJI3QG27B0	Action Jim	"I recently purchased the Alien Anthology on Blu-Ray.  When it arrived, I was immediately disappointed to discover it has the same horrible ""book"" case as my Star Wars Blu-Ray collection. The ""protective"" case is supposed to look like a book, unfortunately the ""pages"" are what you slide the Blu-Ray disc into.  They are glossy cardboard envelopes.  This means, the more you watch and enjoy the product, the greater the chance you will scratch and ruin it sliding it into, or out of, it's case.The actual movies are amazing.  I am only taking one star off for 20th Century Fox's horrible case design."	4.0	Great Product, Crappy Case	2012-07-07	1	0	1
