asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A2ZV7RHLVKUZM3		Funny movie for all those that have worked in TV Broadcasting.	4.0	Four Stars	2014-07-14	0	0	0
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	AZ8S8PFKEQ541		Nice	5.0	Five Stars	2014-07-17	0	0	0
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	ASR6EDD3ES7JW		How rare it is when we get a comedy like this. I actually did not see Anchorman in the theaters, passing it by, thinking it was just one of those stupid crude, anti-women movies that focus all on sexual humor. Well two years later my friend sat me down in front of the TV on a rainy afternoon and we watched Anchorman on HBO. I was immensely surprised at how much I enjoyed this movie. It's that type of humor you have to understand to like--humor you find in movies such as Nacho Libre and Dumb and Dumber. You have to sit down and watch it with a complete open mind, because if you're expecting some genius great comedy movie, prepare yourself for a huge disappointment. I wasn't expecting a great comedy movie, and the humor is that stupid humor that makes you laugh harder than a solid, real comedy film. The acting is both great and hilarious with a side-splittingly hysterical role by Steve Carell and smart, classy roles by Ferrell and Applegate. It even features a hell of a lot of celebrity cameos, including Jack Black and Luke Wilson. And the best part about this movie? It gets FUNNIER AND FUNNIER every time you see it, until the point where you helplessly burst out laughing when you see the DVD on a shelf in Blockbuster. And then there's no turning back. You're officially owned by the Channel 4 newsteam now.5-Stars	5.0	Hilarious and non-stop funny	2007-03-22	3	3	0
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A3IKY2EW86W37O		I loved this movie.  If you are a Will Ferrell fan , this is a must see.The situations in this film are so unbelievably ridiculous, you can't help but laugh.This is recommended to anyone that has an appreciation for stupid humor.Ben Stiller and Steve Carell make unforgettable characters.Vince Vaughn too.	5.0	LOL	2007-02-27	3	3	0
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A2RSR8C10AERD	"10za ""10za"""	I just came back from Anchorman.  It is one of the funniest movies of the year.  NO it isn't highbrow but it is funny.If you like:WaterboyDumb and DumberOld SchoolThen go see it now!If you like:The NotebookAntiques Road ShowSeventh HeavenStill go and see Anchorman...you need to get a sense of humor.	5.0	Side spliting laughter--miserable, boring people won't enjoy	2004-07-11	8	2	6
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A199545U14YERT	"#1 Kiss Army Soldier ""Ramiro"""	I just saw this one ten minutes ago and I gotta say it was funny but very stupid. I like these kinds of comedies. I am speaking of both widescreen and fullscreen in every review about DVDs. If you like those kinds of movies where there are mature and crude humor, you'll like this one. I suggest you rent it and watch it. You'll have a great time filled with laughter and fun.	4.0	Fun and entertaining.	2005-01-25	2	0	2
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A7JAL0TT96UYC	"Aaron Kinney ""A.K."""	"This movie's comedy is not everyone's cup of tea because it's very unique. This is a very random film and it takes a real lover of Will Ferrell (and a person with unique sense of humor) to laugh it ""ow now brown cow"" and ""the human torch was denied a bank loan."" But if you like that sort of thing, then you will absolutely love this film. I did.Pairing David Koechner, Steve Carell and Will Ferrell made a great cast, plus the addition of many other fine actors, although I myself don't really care for Fred Armisen. Later on, Ben Stiller and Tim Robbins appear in the Battle of the Newsteams, which is one of the high points of the film. Brick Tamland (Carell) and his absolute stupidity are hilarious, like the times when he is, out of no where, just holding a grenade, when he says the most idiotic things like ""I love lamp"" and ""I'm Brian Fantana"", and when he kills the ""guy with a trident.""I personally believe that the dialogue and the ""Afternoon Delight"" song are what made this film. To hear Will Ferrell's take on what ""San Diego"" means is highly amusing. I love everything about this film, honestly. Ferrell's rendition of ""Aqualung"" by J-Tull was also pretty nice.If you don't like random dialogue and you prefer a more intelligent comedy, don't buy or watch this film. If you like Ferrell's work in Talladega Nights (directed by the same man, Adam McKay) and his brand of comedy, then you will love this movie."	5.0	Not everyone's cup of tea, but I loved it	2006-12-24	13	11	2
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A106FZWEPOCXL9	Aaron Yovanovits	...supposed to be funny? Loud, obnoxious, and funny can be hilarious like Jim Carrey or Eddie Murphy. Loud, obnoxious, and completely unfunny can be painfully excruciatingly, agonizing to watch like Will Ferrell and Jack Black. Saw the first hour of this movie surprised I made it that long.	1.0	Is Will Ferrell...	2006-12-11	16	5	11
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A18AXJ9LSRCM2T	Abby	One of the stupidest, funniest movies ever, if you like that type of humor. Will be buying the second one.	5.0	Oh my..	2014-06-16	0	0	0
B00005JMYI	Anchorman: The Legend of Ron Burgundy (Unrated Widescreen Edition)	A1HSGL5EXJUQQ5	Abbynichole	I've seen this movie a dozen times and it still makes me laugh everytime. I bet this movie was a blast to make!	5.0	best quotes!	2013-12-23	0	0	0
