asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0790733226	Contact (Snap Case)	A2TKIOLTED0PA1	1225grl	this movie would be better if mathew mcconahay wasnt in it. yes I know I probably spelled his name wrong. I just can't stand the dudes acting or looks.  this movie is good to watch once or twice a year. the price was good so I can't complain.	4.0	not to bad	2014-02-21	0	0	0
0790733226	Contact (Snap Case)	A4FL6C7YI4SW2	"2kids2dogs1stroller ""the family"""	I love this movie.  Sadly there were no new extras for the BluRay version. Picture is fantastic and so is sound.	5.0	Great movie!	2012-01-09	0	0	0
0790733226	Contact (Snap Case)	A6PM5RIXZXPGA	3d movie	One my favorite jodie Foster movies. Streaming was great. Excellent quality. I love Amazon Prime. I would definitely recommend this movie. It's Awesome!!	5.0	love it!	2013-04-29	0	0	0
0790733226	Contact (Snap Case)	A1BEDP4XUCVR1H	"5MileGal ""wvlizzy"""	Thanks so much for the quick turnaround time with my order. I was really pleased on how well the item was packaged and even more pleased with how fast I received this item. I've always liked this movie and had it in VHS form but wanted it on DVD, unfortunately I had been unable to locate it in our local stores. I took a chance and found here, again thanks so much for getting the movie to me as quickly as you did.	5.0	Great Turnaround time	2011-05-20	3	0	3
0790733226	Contact (Snap Case)	ARHUBLVXF8PGF	Aaa	"In Contact, Jodie Foster plays Ellie Arroway, abriiliant astronomer, maybe the smartest woman in thewhole world. Mathematics and science are every bit asnatural to Ellie as knitting a scarf or whipping up asouffle. Ellie's on a one-woman mission tofind intelligent life somewhere out in the cosmos. Itsure ain't in this movie. Here's how she quantifiesher excitement:""You know, there are four hundred billion stars outthere, just in our galaxy alone. If only one out of amillion of those had planets, and just one of out of amillion of those had life, and just one out of amillion of those had intelligent life; there would beliterally millions of civilizations out there.""OK, here's what I get: ""one out of a million"" of fourhundred billion leaves you with 400,000. So before youeven get to the second ""one out of a million"" you areout of millions to get one out of. This is not evenclose, and would probably get you a summer in remedialmath at even a crappy public high school."	2.0	Jodie Foster, Meet Larry Summers	2005-12-02	37	6	31
0790733226	Contact (Snap Case)	A26SKXNV8GBTS6	Aaron	I chose this rating because of the detail covered in the story and that science fiction and fact was mixed so well that it was believable.I loved the role played by Jodi Foster. She brought Carl Sagan's character Ellie to life.I would have wanted the ending to be different though. Instead of just sending Ellie back to Earth the Aliens should have also sent some proof with her.Someone should come up with a sequel	5.0	Amazing movie for Science and Science fiction lovers	2014-03-25	0	0	0
0790733226	Contact (Snap Case)	A2OZ0X109MNL3N	abba_7	True to the vision of Carl Sagan, Contact takes viewers on a not-so-fantastic voyage into the not-too-distant future.  The movie is about hope, about faith, and about the relentless need for exploration that has driven humanity since we first stood upright.  Jodi Foster is superb, and the visual effects stir the soul.  Contact will inspire the inveterate explorer in all of us.	5.0	Contact is a moving experience	2000-09-27	4	2	2
0790733226	Contact (Snap Case)	A1WVGETG4K9L86	A B	Excellent high definition transfer- major upgrade over the standard definition DVD.Recommended.	4.0	Excellent Blu Ray transfer	2009-10-26	3	3	0
0790733226	Contact (Snap Case)	A2CRUETJKX1WA5	absent_minded_prof	This movie stands head and shoulders above most science fiction.  I was really moved by it when it came out...  Before I forget, I want to recommend looking at &quot;Carl Sagan: A Life&quot; by Keay Davidson, or at &quot;Black Holes and Time Warps&quot; by Kip Thorne.  Both have some discussion of this movie -- Kip Thorne's discussion mostly has to do with Carl Sagan consulting him about the wormhole idea, but still.  Or, for more about the Drake Equation, look in your copy of Michael Crichton's &quot;Sphere&quot;.This movie captures the excitement of astronomy, and the feel of SETI-like programs, to a &quot;T&quot;.  Jodie Foster is terrific -- I wonder if she considers this one of her better roles.  I hope so, because she blew me away.  Tom Skerrit plays a complete jerk, which is sort of a stretch for him, as he generally seems to get more solid, midwestern-American-values sorts of roles...  He does a good job though.  Rob Lowe has a minor but interesting part, as the movie's version of the real-life Ralph Reed -- look it up, seriously, that guy is worth knowing more about.  Also, Angela Bassett plays a powerful African American woman with her usual aplomb.  She brings a lot of intelligence and vividness to her part.  James Woods is pretty terrific too -- I would give a lot to hear his input on various scenes, he's no dummy, science-wise, as a real-life M.I.T. graduate.The excitement of science is what you walk away from this movie feeling.  So often scientists in movies are &quot;mad scientists&quot;, or maybe an action movie hero type with a slightly introspective streak.  Jodie Foster's character is an atheist, a scientist, and of course a woman, but she makes a great heroine.  Generally this movie just rocks, and rocks hard.  I imagine that Carl Sagan would have considered this a fantastic curtain call, before he left this planet.  Two thumbs up.	5.0	Just fantastic	2000-10-18	4	3	1
0790733226	Contact (Snap Case)	AN9KJ8JFGYTM3	"A. Couch-Jareb ""Sofie Couch"""	Great movie. Great plot. This is one of those films I keep returning to watch again and again. Direction - fabulous. (How did they do that mirror thing?) Acting - fabulous. Characters are absolutely authentic. (Haven't we all known someone like the evil politicians/academics?) Writing - fabulous. Must see.	5.0	One of my return to movies!	2014-01-28	0	0	0
0790733226	Contact (Snap Case)	A1VQBHHXIKHIGS	A Customer	"He became so famous as an astronomer that it's easy to forget he was one heck of a fine wordsmith as well. Yes he was. You've watched six shows, at most, on PBS. Sesame Street, Are You Being Served, Monty Python's Flying Circus, The Hitchhikers Guide To The Galaxy, Red Dwarf, and Cosmos with Carl Sagan. If you're brighter than me, throw in The McNeil-Lehrer Report or its sequel. But that's it.Why COSMOS? Well, if I type ""billions and billions"" in quotes, you hear his voice in your head. Yes you do. The man made astronomy interesting because he was a wordsmith.CONTACT is a novel by Carl Sagan. Copyright 1985, which works for me. I read it when it was new. Back in my security guard days, down in Tampa Florida. (Yo Bob!) I later saw the film, very well done, with Jodie Foster, but I can't remember it. One of the advantages of getting old.How does the book stand the test of time? So well that I'm gonna recommend you get it right now. Of course the science is spot on, since this is Carl Sagan. If we ever do hear from somebody not of this earth, this is how it'll happen. But that's a given. What's easy to forget is that Sagan gave us some very well-drawn characters from his world in an eminently readable style. And, as always, accessible science that makes you marvel at the possibilities. Keep in mind that I've probably never used the word ""marvel"" in a book or movie review before. I'm too old and jaded to marvel. But heck, I marveled.As if that weren't enough, he had so much fun predicting the future. This far down the road, we can see where he misfired, which was almost never. We can enjoy how accurate he often was. This is where he let his subtle humor roam free, and we can love him for his wit. These are the traits I didn't catch 20 years ago, because I was looking for aliens. Which he also delivers, somewhat, but I don't even care at this point. I just know I love this book.And yes, the DVD as well, which is good since that's what I'm supposed to be reviewing here.  The DVD is true to the book, so of course it's excellent.  A whole lot of fine actors here too."	5.0	Contact	2006-08-27	6	0	6
0790733226	Contact (Snap Case)	A3PEMQAM8WICIO	A Customer	&quot;Contact&quot; began with promise.  The first 30-40 minutes told a compelling scientific detective story.  I looked forward to seeing the science team interact, detect, and piece together the alien signals.  Sadly, the intelligent characters were cast aside and the plot moved to  Washington, D.C., not known as a mecca for bold, original thinkers.With  all the richness and possibilities inherent in cinema, I was frustrated to  witness so many scenes revolving around TV news screens and the lingering  reaction shots of the cast.  Great scientific discoveries were being made,  but the director chose to show the characters having dull meetings and  watching TV.  &quot;Contact&quot; was weighed down by sappy music  throughout.It wasn't possible to take &quot;Contact&quot; seriously  after the tedious second act.  The main character was diminished by the  filmmakers' unimaginative reliance on crudely caricatured antagonists.  The  sets and special effects were well done, but there was no need to dwell on  them.Big Moments happened every 7 minutes, and the story's power was  diluted by the time Dr. Arroway began the space voyage.  When there was no  turning back and her face was at maximum contortion, I thought she finally  understood the true meaning of the cryptic Vega message: It's a cookbook!	2.0	I wanted to like it.	2000-03-11	10	5	5
0790733226	Contact (Snap Case)	A3QP8RGAUPF2OS	"A Customer ""Vicarious sycophants will abuse t..."	"`Revision..Not Concision'..Too Busy Planning the Y2K/9-11 Demolitions  Part IOriginally, review of this movie found some fault with the short shrift given to the novel's breathtaking resolution.  Usually the movie based on a book should at least attempt to preserve that, but it was mathematical, not unlike the computer models so excellently done in the movie--so it's debatable there were other motivations to further dumb down the content.  Computer graphics are ok, just don't give people any ideas; and that's roughly the paranoid police state's continuing theme from movie to movie.  So paranoid in fact, former head of creativity for Walt Disney Company Eric Hazeltine headed up a Discover magazine round table with American mathematics leaders to discuss no longer teaching long division in the public schools (9/'02).  The point is, he was also a figure in the NSA meddling by some `association', thus we have a connected set of reciprocating facts surrounding what Sen. J. W. Fullbright called, ""The Pentagon Propaganda Machine"", largely channeled through the movies.So it's all about this idea of using cybernetic controls to pose as an alien threat, or the ultimate hack into human consciousness or tool for propagating torture and psychological conditioning on the population called Quantum Information and Communications (many titles are in the university library).  And of course it has to have exclusive control over Artificial Intelligence, rumored to have begun development under DARPA way back in the 50s.  Noam Chomsky tries not to allude to it very much, unsuccessfully, in his book ""Language and Problems of Knowledge"".  The brain is sort of a language processor, so better look out for that character.  Thus, the public is condescended to in this film quite miserably; I was expecting less overacting and more science.  I guess any theater company's rendition of `Trouble in Tahiti' is going to disappoint some of the audience by a wide margin, or fail to capture many important elements of the story.  Certainly the effort to push Shakespearian English on the modern drama goes without question as the worst form of retro.  So when we go to the movies, expectations should consider anything possible.  I guess it wasn't so bad...except for the effort at incorporating docudrama...with news coverage and Clinton's Mars Rock tape.  That got off subject by confusing current events with a science fiction story.  Of course the San Diego cult's execution has nothing whatsoever to do with any of this, or that viewing technology misrepresented in ""Quantum Gravity"" by Lee Smolin, or that other industry promo by Spielberg in `Minority Report'.What can be done?  Any book is going to drive the movie projector and production of the imagination about 10 times better than a movie ever will or ever could.  This is why motion picture propaganda is so easily filleted.  (Take for instance the continent hopping, double murder insurance scam in `Flight Plan'--and other unsophisticated macho pieces) Movies are a kind of opiate for the masses, they're literally feeding off their sponsor's desperate desires to condescend and intimidate, pride in playing everyone for a fool, and more importantly a serious propaganda problem of a warfare level of escalation, such as the movie `The Forgotten' which tries to blame missing persons (like the prior movie) and modern disasters on aliens.  Is extraterrestrial intelligence an important question for concern? It certainly is so far as the evasion of crime under such a ridiculous proxy to condition public passivity.  Does it lend itself to any practical context with the down to earth?  I doubt it.  And the reason is actually more curiously redirected to the question...it is comprising more offshoot entertainment themes that posit a different universe or a different consciousness than was expected...movies like `The Matrix', `CUBE', `THX', `Planet of the Apes' or allegorical time travel settings.  So who knows?  It doesn't interest as much as it used to, the bigger questions of course being the unceasing war on many levels between the various cultures of human beings, and not short of arriving in the American daily life.  Science fiction has always been a social prospectus or blueprint for great dreams of beyond even urban planning, as have terrorist political movements always envisioned since earlier in the 20th Century.  Then here we are right where it's thinking nothing of clearing the way, i.e. building demolitions and war spawned genocides.Let's take a look at one thing that was brought up in the earlier review, that being the oddity of the crop circles and elaborate glyphs.  That certainly hints at a sign extraterrestrial presence maybe.  Because you know, science and technology are not a static thing.  In the 1950s diplomacy attempted to shake the earth in the South Pacific with hundred of enormous hydrogen bomb blasts, so called testing that was more a race of saber rattling...and of course its high aloft radioactive fallout disintegrated enough tri atomic oxygen to form the ozone hole...a fact that has to hide behind a courtesy screen in a book title like ""Ozone Diplomacy"".  The `official science' doesn't add up, contrasting the Northern polar region's allegedly intact ozone layer where all the industrial CFCs were produced after all, and by the way, all the ozone from tailpipes of millions of automobiles at the same time.See the unsettling conclusion to the review on the soundtrack...."	3.0	`Revision..Not Concision'..Too Busy Planning the Y2K/9-11 Demolitions  (Part I)	2006-07-21	15	0	15
0790733226	Contact (Snap Case)	ALFL34N868AMS	Adalberto Corona Jr.	Great movie that immediately overtakes you by the star-intellectual cast, and good visual effects . A must see movie .	5.0	Intellectually  Overtaken	2014-02-12	0	0	0
