asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0006FO5LO	Deadwood: Season 1	A1HEH34SJGQWMB	1AntiqueMore	Entertaining, lots of curse words, so not for young children to be watching.  Would highly recommend this series to watch	5.0	Excellent series	2014-06-19	0	0	0
B0006FO5LO	Deadwood: Season 1	A2ACLPLJPB8UHG	2 boys' mama	We don't have cable and my husband had heard about this series.  We were a little shocked when we first watched it due to its graphic violence and pretty explicit language and sex scenes.  The stories are very good, but it is definitely not good clean fun.	3.0	Graphic, but entertaining	2008-01-13	5	0	5
B0006FO5LO	Deadwood: Season 1	A3MCIAFO37VH14	"2-Stage ""2-Stage"""	This is a rough--the way it was--serial.  But really good acting and well put together.	5.0	But really good acting and well put together	2014-07-10	0	0	0
B0006FO5LO	Deadwood: Season 1	A3LW6FZ12WUX2A	"4MaskCurse ""Kyonshi Jiang Shi"""	"The 21st century will be forever documented in history as the age of stupidity.When people like Eminem are awarded as artistic genuises,reality tv gets the highest ratings and crap like this is considered superebly written,there is something seriously wrong with society.To the ones who say that this takes place in the grittish lawless west,and everybody talked like that and it sets the mood,I say that you obviously aren't that big of a fan of western movies.John Wayne acted in movies a hundred times better than this,and those films dealt with the same wicked lowlife villains.But did you hear him constantly saying F this and F that you Fing CSer??The same goes for the mind numbingly dull and pointless sex scenes.Do we really need a lesbian bath scene in a western?It's all just another excuse for Hollywood to justify this CRAP as ""art"".I have to laugh at all the people who are so guilable to buy into this.If you really want to see a good western,watch ""The Shootist"" orany of the other John Wayne greats.Deadwood is for people with an IQ under 80."	1.0	F**king C**ks**ker.... you people are morons!!	2005-02-24	172	19	153
B0006FO5LO	Deadwood: Season 1	A19T5Q8E2DSJ2U	5005	Terrific series	5.0	Five Stars	2014-07-10	0	0	0
B0006FO5LO	Deadwood: Season 1	AUMXMO306WA3S	70s Girl	All I can say is that I'm glad I checked this out at my library for free before spending a single penny on it!!  I love true western movies and tv shows as well as the actors: Clint Eastwood in Joe Kidd, John Wayne in Rooster Cogburn, Robert Duvall in Lonesome Dove, Sam Elliot in all of his westerns, just to name a few.  But when the writers have to use profane language every two or three words in order to get a point across, then there's no enjoyment left.  Even trying to give the show another chance is out the window. The vulgarity and unnecessary sexual scenes in this show are just too much.  The only credit I give this show is the fact that the actors themselves, all of whom have fantastic resumes, do a superb job! It's such a shame they had to be given the embarrassing scripts they recieved when hired on for this show.  We don't need high school and college kids writing this garbage, and that's all it is!!  You would think it was a contest between them all, and someone on the sidelines was keeping score to see who could use the most digusting language each minute!! I was sick of this before the first episode was over, and am only hanging in there to watch more because my husband, who is also sick of the language, is enjoying the storyline.  I hope he gives up quickly!	1.0	Sad disappointment	2012-08-06	14	3	11
B0006FO5LO	Deadwood: Season 1	A1K56WM1R3T8OS	91 Tiger	My favorite HBO series.  Great characters.  Language is very rough so I can't watch it when our child is awake.  I really hate HBO didn't do one more season of it.	5.0	Great Show	2014-05-27	0	0	0
B0006FO5LO	Deadwood: Season 1	A1P4APIZD79ZQC	"97XBAM ""The Future of Roll and Roll"""	I don't even know why anyone offended by the language on the show would have HBO,but if they bought the dvd set and weren't aware of the excessive profanity and are offended by it I will buy it for 40 bucks from anyone willing to sell it for that price.For season three I plan on having a dvd recorder,only having the first two seasons on vhs. Deadwood is gritty and lifelike,you can almost taste the mud and smell the greasy food in E.B. Farnum's dining room! The characters are very multi-dimensional and complex.To balance out the profanity(which I even find excessive at times,please David Milch,get rid of that toilet mouth Trixie!)there is beautiful dialogue obviously influenced from letters from that period in time.Realistic,gritty,violent,dramatic,funny,profane,eloquent,philosophic and character driven, putting the events in history in the background,instead emphasizing the people living through them,Deadwood has it all! Too bad some people can't get past the profanity to see that.	5.0	Best Show On TV!	2005-12-24	4	4	0
B0006FO5LO	Deadwood: Season 1	A2YSCBGINAT1GJ	Aaron William Defoor	What a portrayal!!! Never heard so much bad language in one show though, so parents might not want their kids watching. ... was made by hbo after all	5.0	Never heard so much bad language in one show though	2014-07-03	0	0	0
B0006FO5LO	Deadwood: Season 1	A2R9VESPA8U6EG	abby	this is very good as a western in the old days but still don't like all the vulgar swearing which is unnecessary	5.0	excellent western	2013-11-01	0	0	0
B0006FO5LO	Deadwood: Season 1	A236UVQMLTIXQ7	"Abby's Mom ""Abby's Mom"""	Lots of factual and many fictional stories to this series.  The language is so vulgar that I don't believe they used those words back in those days.  Some of the scenes also are so explicit that I was embarrassed to be watching it with my husband.  Because it does contain many historical facts, It is a very addicting series, if you can get past the language and the sexuality scenes.  It would be better if it was toned down to the actual language they used in those days.	3.0	x - Rated & Addicting but I would never my kids watch it	2014-05-28	1	1	0
B0006FO5LO	Deadwood: Season 1	A2VB2NUJECKXUA	A. Benson	The cast of Deadwood is outstanding and the set is so realistic I find myself cringing at the 'grubbiness' of these early pioneers. Ian McShane is scary evil and I never would have recognized Robin Weigert (Calamity Jane) she is so authentic in her character. I've only started the series and really look forward to every episode.	4.0	Very entertaining, almost too realistic	2014-06-05	0	0	0
B0006FO5LO	Deadwood: Season 1	A16H507CR5BC5N	A. Berlatsky	Ian McShane is hands down one of the best actors of our time. Where has he been?All the other actors in Deadwood are truly amazing. It is the best thing on T.V. today.David Milch is a genius!!	5.0	Deadwood is addictive!	2005-04-05	8	6	2
B0006FO5LO	Deadwood: Season 1	A2VG3994BE50BM	A. Clark	This so called western depiction of bad guys and really really bad guys only lacks some cannibalism to make it totally sick.	1.0	An never ending F-bomb dialog	2014-06-28	5	3	2
