asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	AWAA5TEE4KQAN		I like this movie very much.  The animated sea-creatures actually somewhat like they would in real life.	4.0	Nemo	2014-07-14	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A15C46S5SEZCU0		pleased	5.0	Five Stars	2014-07-21	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A1YEP749YW7MRH	"1swollenthumb ""Max"""	Oh my goodness, my stomach still hurts from laughing sooooo much.  My wife and I went to see this movie, surrounded by a lot of kids, and we have not laughed that hard in a long, long, time.  Disney is just totally amazing. We loved the movie, and now that its on Blu-ray, we'll love it many more times with our granddaughters.	5.0	My Stomach Still Hurts!	2014-06-02	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	AD34L1UE6LBOH	336ross	the kids forgot how many sayings they still use from this movie. They still get nervous throughout as well, aft6years of watching it. And they get tickled &nervous all at the same time during the &#34;touching the butt&#34; scene.	5.0	kids favorite after years	2014-02-08	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A227XLPY39USKX	"&#34;Clark W.&#34; ""rgoodman"""	I got this for my Grandson for his Birthday. He really likes it, as do I!  My favorite sceen is when the seagulls are all saying &#34;MINE-MINE-MINE !!!&#34;	4.0	Great Kid's Movie	2013-09-09	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A16WZQWRYCSOKG	A&amp;A'sMommy	I love this movie! It's one of my favorites. I already had it on DVD but wanted to upgrade the blue ray and I'm glad I did. Oh yea, and my kids love this movie too :-)	5.0	Great kid movie	2014-06-20	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	AC3NT34U7ZH1V	A. Anderson	Finding Nemo is one of my favorite Disney Pixar movies.  I love Ellen DeGeneres as Dori-she did an amazing job with this part. Great adventure and clever comedy make this a fun movie for all!	5.0	One of my favorites!	2013-08-03	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A1YE6OJ4ZX6LO6	Aaron Harris	Who doesn't like NEMO?! Cmon! Bought this for the girlfriend and I sat there loving it.  Don't judge me ok?	5.0	DORA!	2013-04-13	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	AADJXNY9HSKJF	Aaron	"I was skeptical upon seeing this, but was surprised to find myself as a 19 year old guy loving it. The animation was great, the cast wonderful, and the story was pretty good. ""Finding Nemo"" revolves around a young fish and his over-protective father. The young fish (Nemo) is caught and ends up in a dentist office aquarium. His father sets off on an adventure across the ocean to find him meeting another fish (Dorie) on the way *fabulously voiced by Ellen Degeneres.* This isn't a movie just for kids. All ages will love it. Highly recommended family entertainment."	5.0	Great Movie For All Ages	2003-10-11	6	4	2
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A32JKNQ6BABMQ2	"abe ""starman"""	this movie is by pixar.it is set in the great barrier reef out by austrailia.nemo is going to his first day of fish school.he has one gimpy fin and so he runs into trouble.lets not forget that his mother and thoiusands of siblings are killed by a shark.that wasnt necessary.what the hell is wrong with disney anyway?whats thier fascination with making movies with dead family members?anyhow,nemo is lost from his dad.his dad goes on an epic journey to go find and rescue him.meanwhile,nemo is being followed around by this really stupid,fat girl fish with[literaly] a like 20 second memory span.actualy,if not for the way the movie pokes fun at 1)dead mom,2)dead  siblings,3) the disabled it would have got a 5 star rating.the scenery is breathtaking!it is one of pixars best!the kids really like it.just divert there attention towards the start and theyll be ok.the fat,memory loss chick falls into the catagory of the obnoxious tag along character that is tragicly overpresent in todays childrens movies.finding nemo 2 would be an outstanding idea,but they should really not have him get lost again like that home alone kid.perhaps helping nemo or exploring with nemo?	4.0	beautiful!!!!!!!!!!!!!	2004-09-10	4	1	3
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A3L7K403L5QGDD	ablooming1	This movie is just not for the kiddies, but is for adults too! I rented this movie 'cause I had my nieces over for a weekend. Two thumbs up!!!	5.0	A Very Funny Movie!	2013-06-06	0	0	0
B00005JM02	Finding Nemo (Two-Disc Collector's Edition)	A2RKYHKHPIOSH4	A. Bowman	Great movie. The picture was great quality. G rated. My little three year old loves it. Her favorite charter was Dory of course.	5.0	One of my Favorite Movies	2013-06-05	0	0	0
