asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0792140923	Forrest Gump [VHS]	A1QOETPPOB2ONO	Aaron Moen	If you haven't seen this, you must. One of the best movies of all time. Tom Hanks at his finest.	5.0	A Must See.	2014-01-20	1	1	0
0792140923	Forrest Gump [VHS]	AXUX9XB1O1SUP	Abbi Stroud	It's a great Movie! It's a feel-good movie as well as an emotional comedy. A classic and a must have.	4.0	love it	2014-01-08	1	1	0
0792140923	Forrest Gump [VHS]	A34DIWK0GJH1WD	A. BERRY	It had been several years since I had seen this movie and forgot the GD this GD that several times.  Love the story line.	4.0	5 Stars if language was deleated	2014-01-14	1	1	0
0792140923	Forrest Gump [VHS]	A32JKNQ6BABMQ2	"abe ""starman"""	a special guy sits on a bench and tells anyone who will listen about his story book adventure style life.it stars tom hanks.he is abselutely hilarious while simaltaneously being simple and blissfully unaware.the kids can watch it but they should really not look when jennys around.shes a whore and a half.it is easily the best tom hanks movie ever made.this movie is for everybody.if you do not like this movie you need help because something is seriously wrong with you.it is a very emotional movie from watchimg gump struggle to walk as a child up to when his loved ones began dying.if you are the sensitive type,do not forget to take your prozac or youll ball your eyes out.the only chick in it is jenny.she toys with forrests emotions throughout the entire movie and puts out at least 9 or 10 times.there are a lot of people who play thier roles well here.most everbody does well.its one of those movies you have to watch on tape because it never stops being good long enough to stop for a snack or a bathroom break.its that good!if a second one were somehow dreamt up it would be only a shadow of its predecesser.it is long,but an abselute gem in any video library.	5.0	the best family film ever	2004-07-09	3	2	1
0792140923	Forrest Gump [VHS]	A157W6TKFM3RGU	Abhi	Anyone who rates this below 4 stars does not watch movies. This is an absolute classic. Seen it over a dozen times and it never gets boring.	5.0	One of my favorites	2012-06-13	2	2	0
0792140923	Forrest Gump [VHS]	A1C0C9IJO2HS03	A Customer	I love, love, love this movie. Maybe I'm biased because I saw it for the first time when I was 10 with all my older cousins who loved it, and then I've seen about a zillion more times in the following 6 years. I'm 16 now. Tom Hanks is genius in this role, and it made me add him onto my list of &quot;favorite actors.&quot; (He was good in Castaway, too.) I also love the soundtrack - all the relevant songs from the time period. The special effects that put Forrest in all those different events were impressive as well - I can't say enough! This is one of the best movies ever made.	5.0	...you never know what you're gonna get	2002-05-31	2	2	0
0792140923	Forrest Gump [VHS]	A1VQBHHXIKHIGS	A Customer	"In my mind, I had the bare bones of a scathing review that would showcase my slyness and writing skill. I was ready to hate this movie. Dumb guy juxtapositioned into great moments in history? Life is like a box of chocolates? Tom Hanks? Much to hate. However, I enjoyed it. If you ever see a guy in a white suit waiting for a bus, don't sit with him or he'll tell you his life story. I jest. It's a fine movie.My dislike of Tom Hanks goes way back to a sitcom called BOSOM BUDDIES, built on the unbelievable premise that the only way these two guys could find an apartment was to dress as women. What I noticed, week after week, was that Tom Hanks' lack of talent dragged down Peter Scolari. I've also seen Hanks in SLEEPLESS IN SEATTLE, SAVING PRIVATE RYAN, THE GREEN MILE and APOLLO 13, and he did nothing in any of them to raise my opinion of him.(APOLLO 13 works because a skilled ensemble cast and a wooden ""hero"" to lead them can be a highly effective device. Schwarzeneggar built a career on this, and I don't fault him for it.)But I can't conceive of anyone except Hanks as Forrest, Forrest Gump. He was excellent. I'm also proud that I immediately recognized the young actor from THE SIXTH SENSE when he was but a brief flash of hair. He has a presence that we'll enjoy for many years.The marketing department dropped the ball on this movie. They made it sound like I'd learn some deep life lessons from a guy with half my IQ. An offensive premise, and I don't even believe in IQ tests. It's not like that at all. It's such an unusual juxtaposition (there's that word again) that nobody knew how to pitch it accurately. Sometimes it's like that. We're authors. We know this better than anyone. I may hunt down the book."	5.0	Forrest Gump	2006-08-27	6	4	2
0792140923	Forrest Gump [VHS]	A3MV1KKHX51FYT	Acute Observer	"This film is a parody on American culture. Think of it as a comic book with actors instead of cartoon character. Does it remind you of Voltaire's ""Candide""? It starts by telling you it is who your Mom knows that is important, not what you know. We see how a mentally handicapped boy can get a college education through physical superiority (running). What else matters? Sending Forrest into the Army provides another way to reference the events of the 1960s. Jenny tells Forrest to ""run away"" from troubles; he does take her advice even if she doesn't. Forrest arrives in Vietnam, and rescues many of the wounded. After being wounded, Forrest recuperates and learns to be a ping-pong expert.Forrest gets the Medal of Honor and moons LBJ! [Some sort of comic touch?] The scenes of anti-war protest were re-created with some historical scenes. Next we wee Forrest as part of Nixon's historic flip-flop in recognizing Red China. Another amusing spot is putting Forrest on the Dick Cavett show with John Lennon. Forrest celebrates New Year with Lt. Dan, but things go awry. In another joke Forrest is at the Watergate Hotel when he reports men with flashlights in a dark room! So Forrest buys a shrimp boat and does well. His money is invested in an apple company and he becomes so rich he can work for free! Jenny returns and finds her old house an abandoned derelict. [Does this foretell her future?] Forrest's cross-country run parodies the jogging craze and the bumper-sticker mentality. Reporters ask whats its all about? People follow him like the lemmings of fiction. Then its over.Forrest gets a letter from Jenny, visits her and finds a little Forrest, the smartest boy in his class [mocking the ""science"" of eugenics?]. And then they marry, but don't live happily ever after. {A subtle joke?] The ending show little Forrest getting on a school bus, and Forrest sits and waits. This film is too comic for a drama, and not all that funny."	2.0	Parody on American Culture	2006-03-01	17	5	12
0792140923	Forrest Gump [VHS]	A1ABVP0DV1ZN89	Adam Sacks	The very interesting story of an autistic man played by Tom Hanks. He makes the most of what he has that's for certain.	4.0	Interesting story	2000-02-20	1	0	1
0792140923	Forrest Gump [VHS]	A1AXHNRDJEQ0B	Adi Adler	And this movie is not a very good one...One of my teachers in high school told the class that a plausible story isn't necessary a true one, but can also be something that technically MIGHT happen in real life. Forrest just had TOO many strokes of good luck and situations where he was at the right place at the right time to make it a good story in that respect. This might not be anyone else's definition of a good story, but it is certainly mine...Also, all the characters in this movie, especially Jenny's and Lt. Dan's, are just a huge cliche of amateur psychology and kitch... Nothing original or unexpected about them - two dimentional in other words.Many people here speak of the movie's great message of the triumph of human nature. But everything Forrest did was not because he knew it was the right thing to do at the moment, but just because he was there and he reacted to the situation in the only way he knew how to. I've read a review that brought his shrimping sucess as an example: the only reason Forrest became successful was because everyone else's ship sank, not because he did something extraordinarily well... Forrest did not think about the great task of representing his country while playing ping pong in China - he just did what he knew how to do, play ping pong.... And there are numerous other examples.But the worst part of this movie experience was Tom Hanks. I think that he has great potential as an actor - see Philadelphia, for instance. But since then, he seems to be acting out the same character over and over again: the basically good guy who'll eventually win - I couldn't tell the difference between any 2 parts if they weren't in different customs and situations. The fact that Hanks is potentially a great actor just makes his type casting even worse to watch...	5.0	Life is like a box of chocolates...	2001-05-25	1	1	0
0792140923	Forrest Gump [VHS]	A1Q2PCU8AOWWFY	Adrian Hermano	I can't believe that this movie won over The Shawshank Redemption at the Oscars for Best Picture.This movie is nothing but a box of chocolates loaded with lots of sugar which is bad for you.For your own good, stay away from this one.	1.0	Sappy, unbelievable melodrama	2008-10-01	62	19	43
0792140923	Forrest Gump [VHS]	A2PV6GK1HV54Y9	ADRIENNE MILLER	Forrest Gump starring Tom Hanks is still a sweet, tearjerker, and honest film about a man who may not have all his marbles intact but his sweet nature and common sense make him special wherever he goes. Great performance by Hanks, Robin Wright, Sally Field, and Gary Sinise. I can see why the Academy Awards gave this movie the best picture nod. This film will touch your heart and make you laugh for sure. I highly recommend it!	5.0	A lovable dunce.	2008-01-09	1	1	0
0792140923	Forrest Gump [VHS]	A1GAZXR1075NKI	Advillal	The best movie ever! Tom Hanks is the best, and this chocolate box it is so nice to my girlfriend	5.0	I love it	2013-02-18	2	1	1
