asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0783241038	Galaxy Quest [VHS]	A1ZQF8VR72YFYC	"07459 omega   ncc 1701 ""enterprise  nx 01"""	i think the movie should be a big hiti like the movie a lot i rented a copy from a videostore a month a go it is funny	5.0	galaxy quest  #1	2000-07-29	5	0	5
0783241038	Galaxy Quest [VHS]	A1GD1G8XXPRYQ8	"1337 ""It'll either be night to treasure or a ..."	I just watched the movie for the first time and I didn't expect it to even come close to be good by watching a no good movie trailer. Actors playing actors were good and special effects were average, but good average. Many of today's B-movies wouldn't have these good graphics or costumes or creature and planet effects. I thought the movie would be bad and the first alien species we meet look silly and quite stupid and I was thinking the movie wouldn't come close to be any good. I was wrong. While the plot is in no way realistical, the movie met my goal and it is to be entertained. It was also funny at times. I liked it. Despite it been a sort of childish movie, mainly because of the plot.	4.0	Didn't expect that	2013-07-29	2	1	1
0783241038	Galaxy Quest [VHS]	A1Y09QLADQYQJG	&#34;T=H=E --- 'Older Than Dirt' --- Time Tra...	"There are almost 700 reviews for this movie. Some people practically restage the entire movie.I just wanted to tell you the obvious:STAR QUEST is actually a brilliant parody ofGALAXY TREK. I meant to say that the movieGALAXY QUEST is a CGI SFX action-packed version of aSTAR TREK-like cast that have become ""has-beens"".This movie was great on DVD, and is even better on BLU-RAY! The climax to the film, especially,gives your 5.1 suround sound system a work-out!NEAT!Two words:=======> BUY IT!"	5.0	You didn't READ all 700 reviews, did ya?	2013-02-14	3	3	0
0783241038	Galaxy Quest [VHS]	A2LG92H6TRXY3	A 12-year old toy enthusiast	Fun to watch. It has become a classic with our family. This is 3rd copy that we have purchased. We've loaned the others out to friends. We find ourselves quoting dialog from the movie. All in good fun.	4.0	Galaxy Quest	2012-02-08	1	1	0
0783241038	Galaxy Quest [VHS]	A12ODO5Y5AKJV7	Aaron W. Dougherty	If you like Star Trek, AND you have a sense of humor, you'll like this movie. It really does show a lot of the classic parodies on the series, including the man in the red shirt. It's not as funny as Spaceballs, but  still very good. The only problem I had was, it had a period of about 45  minutes, where it got too serious, and not as funny. Aside from that, it  was very good.	4.0	A must see for Star Trek fans	2000-05-24	1	0	1
0783241038	Galaxy Quest [VHS]	A3IZQSBHKCTDNH	Ackmed	A great cast bring this Star Trek culture spoof to hilarious life. A must-watch for the entire family. The Blu-ray brings a decent transfer with some fun extras on disc	4.0	Great movie, especially if you are a fan of Star Trek	2011-10-30	1	0	1
0783241038	Galaxy Quest [VHS]	A2ACDH9MNFSQAJ	A. Conner	Terrific cast and funny, funny, funny take off of space TV and space movies.  Great for a gathering of good friends' evening of entertainment.	5.0	Funny!	2013-11-23	0	0	0
0783241038	Galaxy Quest [VHS]	A2SPW94P37IW5K	A covert	One of my favorite movies.  Funny, clever, great acting.  Love the cast!  I love star trek, but you don't have to love star trek to love this movie.	5.0	One of my favorite movies!	2013-11-17	0	0	0
0783241038	Galaxy Quest [VHS]	A2T4R3A2IL45Z0	A Customer	This film parodizes the STAR TREK series and features state-of-the-art special effects and features a great comical performance from Tim Allen of HOME IMPROVEMENT.  Also stars Alan Rickman of DIE HARD and ROBIN HOOD:  PRINCE OF THIEVES and  Sigourney Weaver of ALIEN series and GHOSTBUSTERS  fame.  This film performs well on DVD and is packed with extra features and  in WIDESCREEN so that you are not MISSING NEARLY HALF THE PICTURE (2.35:1  compared to 1.33:1).	5.0	A great comical twist of STAR TREK	2000-06-22	0	0	0
0783241038	Galaxy Quest [VHS]	A1RXE35HCZ7W0E	a dahlin	excellent cast, acting script and premise.Even those that are not &#34;trekies&#34; it is great. Clean enough for the whole family but not boring for the parents	5.0	great classic comedy	2014-01-25	0	0	0
