asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A1LW69G6WT1BXD	&#34;Plimpy&#34;	HP & the Goblet of Fire got here quickly & undamaged.  Also couldn't find this version (Collectors Edition) in the stores any where.	5.0	Got here fast	2008-01-18	1	0	1
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A24OOX2JEVC5ER	"4eyedworm ""4eyedworm"""	What can I say, we love all the Harry Potter movies. Very nicely done, again! These movies seem to have all the elements that make watching multiple times very entertaining.	5.0	Yes	2014-04-30	1	1	0
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	AIZO3C0MDZ88A	A. Alger	I would have liked this movie if I hadn't read the book first.  The first 3 movies did some justice to the books.  This one followed none of the fun story lines and couldn't because of time contraints.  The story wasn't 100% all about the contest and the ball.  They show a hint of the reporter and her lies but what Hermoine does to her in the end and how she got her scoops that is the real fun part.  This movie was all about eye candy graphics and time contraints.  I suggest you watch the movie before you read the book (if your interested in the potter movie series)  But my ultimate suggestion is Read the book skip the movie.	2.0	Read the book skip the movie.	2006-12-14	4	1	3
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A26AMW7NJ7ZV6K	Aaron J. Wiegand	This damn author of these books should realize that she is just copying the Star Wars storyline, get some of your own ideas lady	1.0	0 STARS IF I COULD	2006-02-10	74	3	71
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A3UJGBACYAS51S	A. Barrett	Enjoyed the movie, but would rather have VHS to go with the other three~I have shopped for the VHS of movie 4 and as of yet have only found it on DVD~ I have a DVD player but find them to easy to scratch!	4.0	Only DVD	2006-03-23	13	1	12
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	AWY60P6PA6AFJ	"abbakate ""Kate"""	Purchased as a gift for my 16 year old grandson.  He has been a fan from the beginning.  He said it was a 10 out of 5.	5.0	Harry, adieu	2007-08-15	2	1	1
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A2R8JM9PFT443S	Abby Tharp	It's really good quality! I give it 5 stars!! I love Harry Potter!!! It doesn't freeze up or anything! Not a scratch!	5.0	AWESOME!!!	2014-04-14	0	0	0
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A3DGB4HN3QCGAL	A. Burchfield	It's been four years since I've read the book so I can't say for sure how close the movie kept to the text. I think they probably did a pretty good job considering the amount of material that had to be trimmed out.If you don't mind the darker tone to the movie (much more serious, and was the weather so overcast all the time in Potter 1-3?)it is pretty good, lots of action and adventure- might not be exactly like the book. It's more violent and some of the characters do more swearing than in the other movies (I think the later books are that way too). It's a good adaptation.	3.0	Not bad, darker tone than past movies in series	2006-03-27	4	1	3
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A34VV92TSLC37R	Adam Craig	"After finishing the novel, I was extremely excited to see the film version of Harry Potter and the Goblet of Fire.  I was very happy with the result as I left the theater.  There was just so much that happened in the book that could not be fit into a movie that wasn't 3 hours plus long.  The movie is 2 and a half hours long as it is, and that is with it missing a lot of stuff that happens in the novel.The biggest missing pieces is the presence of the house-elves.  Winky and Dobby play an extremely important role in the novel, yet they do not appear at all in the film.  In fact, the group that Hermione creates, S.P.E.W., is never mentioned in the film, either.  I personally really enjoy the presence of house-elves in the novels, although I could see how some people find them annoying.  It just seems like there could have been a middle ground, and then they wouldn't have to be written completely out of the movie.I guess the down side to trying to make movies out of a book like Goblet of Fire or Lord of the Rings is that so many HUGE things happen, that it is really tough to develop any characters other than the main, ultra-important hero/villain/sidekicks.  Specifically, the absence of any story whatsoever about Fred and George is a little disappointing.  Their constant disobedience and troublemaking in the novels is a welcome aside from the foreboding nature of the rest of the novel, and I think the twins are also a little underutilized in the movie, and they are turned into that classic movie-twin cliche of whenever they are onscreen, they are basically just there to say something together (like all twins do all the time).  Since this film focuses more on the big picture of Harry vs. Voldemort, the characters of Draco and Snape are also pretty much absent for most of the film.  I think Snape only has four or five speaking scenes, and you just don't get the vibe of hatred and enmity between Harry and Snape that you get from the novels.  Draco is also limited to very few lines.  His most important scene is probaby my favorite scene from any of the books so far, and that is when Mad-Eye Moody turns him into a ferret, thankfully that scene is in the film in its entirety.  In the book, though, Draco was there during almost every important scene that involved Hogwart's.  He made Harry's life miserable during the tournament, and the film doesn't really give you that impression at all.  The only bad thing that comes from Harry's entrance into the tournament is a fight with Ron, that is drastically cut short also.So I guess I've only said critical things so far, but I gave it four stars, so I better back myself up.  The visuals in this film are absolutely amazing.  Reading the books, you just can't help but think ""man, I can't wait to see that dragon on the big screen,"" and the dragon scene is amazing, though the filmmakers did take quite a few liberties with it to draw it out a little more and make it a little more ""blockbuster action sequence"" than the book gave us.  Both of the other schools  that compete in the tournament look great.  I thought the filmmakers were spot on with their representation of Beauxbatons and Durmstrang.Ralph Fiennes finally gets to really appear, and it was amazing.  I don't think that there was a better choice out there for Lord Voldemort.  That's why I was a little disappointed that his speech in the graveyard didn't go as long as it did in the book, but what we do get from him is amazing, and I can't wait for more.  I think if I was 10 years old, and I saw this movie, I would have nightmares for a while.  Voldemort is that creepy.  Everything that I hoped for.Something also needs to be said for Daniel Radcliffe.  I think he's done a great job, but I also feel a little bad for him.  I feel bad because I think he really is a good actor, but he will always be known as Harry Potter, and it will be really tough to watch him act in another role and be convincing.  But I'm glad that Harry's character is in as good of hands as it is with Radcliffe.Overall, the film was great.  Yeah, a lot of stuff wasn't included that I would have liked, but overall, the studio is out to make money off of these movies, and it's tough to market a movie that is over 3 hours long.  Although I hope that they go at least 3 hours with Order of the Phoenix.  Harry Potter fans are die hard enough, that we will sit through any length of movie."	4.0	About as good as you could expect	2006-02-16	10	7	3
B000E1MTYK	Harry Potter and the Goblet of Fire [HD DVD]	A1IDHT7P50QRP9	Adam Lenhardt	"""Harry Potter and the Goblet of Fire"" is perhaps my favorite of the Harry Potter movies. It's fast, funny and character driven -- and features some of the best action sequences of the series so far. But as this release uses the same transfer as the original standard definition Blu-Ray, the film alone isn't a reason to buy this Ultimate Edition. It's the extraordinary hour long documentary on the second disc that makes this release worth the premimum price. Part four of an eight part documentary on the making of the Harry Potter series, this feature delves into all facets of the musical scores and sound effects from the first six Harry Potter films. Exclusive, high-definition interviews will all three composers on the series makes this a special treat. It was particularly fascinating to hear what they each had to saw about the work of the other two. Lots of others involved in the movies in general -- including cast members Daniel Radcliffe, Emma Watson and Bonnie Wright -- and the production of the music in particular are interviewed as well. Easily the best documentary I've seen on any aspect of the Harry Potter series so far, I highly recommend it to everybody who's interested in the Harry Potter movies or how films are scored."	4.0	Great film but Ultimate Edition worth it for the Music documentary	2011-01-01	4	3	1
