asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"After three and four, this fifth installment is disappointing. Order of the Phoenix is too short and leaves out a little bit too much. Make that way, WAY too much by serious fans of the books, but when isn't that the case? At times the viewer is not provided with background and significant details which would make the story more interesting and sensible. All of these movies seem to made with an assumption that everyone has read the book. This movie should have included more and that it was shorter running than previous adaptations is inexcusable and the wrong decision by the filmmakers. This fifth story leaves you eager for six and seven while making many people concerned about the choice of David Yates (director of Phoenix) to be director of all three. However, what is very promising is Yates's desire to do the seventh and last book as two seperate films in order to do justice to the story.I had a problem with the bluish tint seen in much of the movie and that sort of digitale film look, I guess you could call it. Hagrid's giant half-brother was just sad. I mean, how could they accept that result? It's acceptable by mid-90s standards. Maybe they figured people wouldn't care.There are a few things that stand out in this movie, however.I liked the Department of Mysteries. You wondered what it would look like on the screen and it did not disappoint. Dolores Umbridge is evil incarnate. She is one of the most horrible, disgusting, unlikable, disturbing villains I've ever seen. Most of the time villains, particularly in the movies, are famous for having the best lines and great style. They have a stricking apperance and often more personality and charisma than the heros. Not the case with Dolores Umbridge. She has none of this going for her. No great lines but some slightly memorable ones like she confesses, ""You know, I really hate children."" That squeaky voice, the knit pink oufit, and torturing kids... It's Big Brother in pink with a bad hair-do as your worst nightmare teacher from grade school and ""a cross between Margaret Thatcher and Hyacinth Bucket""(The Daily Mall). Well, truth is she is not as horrible as Margaret Thatcher. All the performances are good. Gary Oldman is great as Sirius Black as is Helena Bonham Carter as Bellatrix Lestrange. She is the embodiment of the twisted, evil, cackling witch.The obvious highlight and climax of Order of the Phoenix is the battle at the Ministry culminating in the epic duel between Dumbledore and Voldemort. Out of all the wizard fights I've seen portrayed in the movies, this one was the most impressive. It was fierce and conveyed the two masters awesome abilities without seeming cartoonish or leaving you feeling like your favorite character was short changed. (I umm, have a couple movies in mind here. You guess what they are.)"	3.0	Harry Potter and Big Brother	2008-08-18	2	2	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A3ABM1U2CE12FJ	3ofSeven	Good movie but very short compared to the book. A lot was left out and as usualy the book is much better. In spite of this it is a good movie that I recommend.	4.0	Good Movie	2008-01-08	0	0	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	AP0K8XE7AIIVZ	ABP	I was interested to see how the movie makers would translate a huge book into a feature film and agree with many that they lost most of the feeling as well as much of the story arc.  Alas, that was bound to be the case.  But the casting of new characters was good in that the new actors were all accomplished without being overpowering.Having enjoyed the actor/director interviews and in-depth behind the scenes footage in the previous movie releases, particularly #3, I found myself highly disappointed with the bonus material on this release.  There was a feature with a whirlwind of 10 second interviews stitched together with old movie clips to replace the actor/director interviews.  The Tonks tour was cute, but very shallow.  There were far fewer deleted scenes than previous and none of them helped in capturing the emotion that would have underlaid the plot or given additional insight.  And the movie editing section was rather silly.  In short, the material was lacking.  While I would understand that if the producers wanted to do something different for the bonus material on this release compared with previous ones, they went too far the other way.  It seems like they could have at least done some real-time commentary on a few scenes.So keep this DVD in your collection.  But be prepared to fill other people in on the plot after they watch it.  And don't spend the extra money to get the bonus material.	3.0	adequate	2008-03-08	1	1	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A1GWNPLODAAT8J	Abraham Moses Genen	It could have been a more detailed account of what was in the book - but that might have made the movie too long.	4.0	Well excerpted	2013-06-10	1	1	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A1J4V00B0SSDW7	Abraxan	"I loved ""Harry Potter and the Order of the Phoenix"" in the theater (saw it many times, including in IMAX), and having the DVD is wonderful.  Daniel Radcliffe has matured tremendously as an actor, and his performace during the possession scene, in particular, is chilling!HOWEVER . . . I have a bone to pick with Warner Bros.  I want to see in-depth interviews with the cast.  The interviews on this DVD are minimal.  I loved the ""Trailing Tonks"" feature when it was on the movie set, but you didn't need to spend so much time in the canteen!  The extra scenes should've been in the film itself - some of them added a great deal to the meaning of the film.  And I read about ""pop-ups"" the actors took a great deal of time to do, and they only appear in the HD version????  A lot of people aren't buying HD or Blu-Ray players until the HD/Blu-Ray ""wars"" are over and the prices come down!  So why tease us with interviews with Dan saying these pop-ups he did took a lot of effort and show how serious he is as an actor, and then make them unavailable to most of the world???  I am very disappointed with Warner Bros. as a result of this - and the films are entirely too short.  I hope they won't shortchange us on the rest of the films in the series!Overall, the sets, lighting, all the crafts work are fabulous.  But WHY doesn't Dumbledore have any other robes than these stupid pale blue ones??  Those aren't at all like what he wore in the books (he wore brilliant colors in the books with shimmering embroidery that moved!).  And the string around his beard is just stupid.  Gambon does a good job of portraying Dumbledore in this film, much better than in previous films, but still, he isn't so unlike the book Dumbledore, it's sad, and it's all Cuaron's fault for changing Dumbledore's ""look"" in Prisoner of Azkaban.Rupert Grint was wonderful in this film and the new screenwriter finally let him be the hero he's meant to be, not the buffoon Steve Kloves made him into in the last several films.Evanna Lynch finally made me like Luna Lovegood, who never excited me before.  Evanna was a wonderful find - kudos to whoever cast her!  And I loved the Thestrals - they were fabulous!And Dan Radcliffe - he was simply wonderful in this film.I hope Warner Bros. treats the fans with more respect and gives us more interviews with the cast and more features about how the films are made on future DVDs - and doesn't keep special things like the pop-ups exclusive to the Blu-Ray ones! Bad form, WB!!!!  Shame on you!"	4.0	Order of the Phoenix is wonderful!	2008-01-19	0	0	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A3DGB4HN3QCGAL	A. Burchfield	"Like all of the other movies this one came so long after the book that I can't remember a lot of details but the adaptation seems as ""good"" as any to me. It is, after all, a darker toned story that still managed to get details right in spite of being heavily edited down from book form. ""Goblet of Fire"" seemed to have more color in it if my memory is right, this one is dark and depressing colorwise.The ""extras"" disc is pretty much a waste of time with Tonks tour of the studio being kind of silly, not telling a person much, the editing section was the usual stuff too.I'm waiting for the next movie now."	4.0	"As good as any of the ""Potter"" movies probably"	2007-12-23	0	0	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A2KEAEC8ZP7454	A. Burton	I thought this was a good movie.  Of course it doesn't compare to the book but pretty much all book to movie adaptations are that way.  What shocked me about this was the quality of the video.  It's grainy and full of compression artifacts.  I can't believe that Warner Brothers would release a movie like this.	2.0	The movie is the good but the DVD transfer is terrible	2008-04-20	0	0	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A1A5KP6KAZM6E6	AC	"I am sorely disappointed in the extras on the 2-disc edition. (I'm not going to comment on the movie itself - you know already if you liked the movie well enough to buy the DVD!)The extras menu is a little difficult to read. Quite pretty, to be sure, but not everyone has a 50"" HDTV, and not all fans are young with great vision. Some of us are adults who need glasses and spend moderately on technology ;) Clearer text next time.I can't get the computer-based items to work (either the interactive ROM stuff or the ""Digital Copy""). All the content is locked up in DRM, and for some reason, my Windows Media Player *can't* upgrade its security and is giving the vaguest of error codes as to why.  So I apparently won't be seeing these items anytime soon. (FYI - if you send an e-mail to WB about problems with the Digital Copy download, you will receive a long auto-reply e-mail that refers you back to their support page. So helpful.)The additional scenes are interesting - but not interesting enough to make up for the lack of cast and director interviews or outtakes.I saw the documentary on A&E; already.  And where is the HBO ""First Look""?  They are usually more fun, if shorter and less content-heavy. I am also puzzled - if you're buying the 2-disc edition, aren't you probably enough of a Harry Potter fan that you know the history and foreshadowing that ties this movie into the overall story arc anyway? Couldn't WB have put something more directly related to the movie there instead of this filler?I liked the ""Trailing Tonks"" extra, but I wish there had been more content involved. It's nice to see the behind-the-scenes stuff, but she didn't cover any production concepts in depth.While I found the ""Magic of Editing"" extra interesting, the game at the end provided me with another little lump of frustration. I really wasn't interested at trying my hand in editing at the time, and there was no obvious way to exit back to the menu - pressing the menu button on my DVD player told me the action was blocked! I had to use the arrows on my remote for a while to find the right hot-spot.Interestingly enough, I bought my copy at a Target store and received a ""bonus"" DVD on building the sets. I haven't watched it yet, but why couldn't WB just put all the extras on the second disc and let everyone see all the bonus material?  That's why you pay extra for a 2-disc DVD set!  Not to mention - if you received this as a holiday gift, then you had no control over where the DVD was purchased.  So if you're lucky enough to have a friend or relative shop at Target THEN you get the bonus material?  That doesn't really seem right.Bad show, Warner Bros. Really bad show. What happened to all the great extras like the ones for the previous four movies? Next time, I'm waiting and reading message forums and reviews before I bother spending extra on extras that are barely worth the time."	3.0	The extras are disappointing.	2007-12-28	1	1	0
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	A32ZP0VTRGS0UO	A Customer	First I would like to say that I have several combo disks and have never had a problem with any of them.I thought that the picture quality was better on this HD DVD than the prior Harry Potter HD DVD, which I also own. The sound was also somewhat better than the prior Harry Potter HD DVD.As far as the movie itself my son thought it was the worst of the Harry Potter movies, but I thought it was one of the best, if not the best. Maybe my son was looking for more action than this movie has, while I enjoyed the story and the acting.	5.0	Very good movie.	2007-12-15	8	6	2
B00005JPI2	Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)	ASUPBULG49R4S	"Adam J. Nejedlik ""ajnejedi"""	I am very disappointed in WB for not putting out the extended editions.To put the record straight, THERE IS AN EXTENDED CUT OF GOBLET OF FIRE!!!  Every time I watch ABC's Harry Potter weekend they add about 3-4 (or so, never counted) minutes of footage (i.e. Snape in the grounds during the Yule Ball talking with Karkarov and busting a couple in a car, Durmstrang students asking Hogwarts girls to the Yule Ball and bowing, etc)So why is ABC family allowed to show this version if the director said he didn't want to do a director's cut?  He obviously already made one and these versions will be released in a year or two once the Potter Series wraps up and WB feels the need to milk a few extra bucks from the franchise.Nothing in Prison of Azkaban, and I am all good with that, but to not release an extended cut of Goblet or Order when we know the footage is out there is insulting.It's like the Special Extended Editions of Lord of the Rings, or Star Wars on dvd when George Lucas said he would never release the original versions on dvd, i bought the special editions, then two years later had to double-dip to buy the regular editions.Why are the studios so intent on robbing us all blindly?  I own over 200 blu-rays, the format is really only 4-5 years old, and they're already doing re-releases on some of the title I bought a few years ago.  I feel ripped off, and I'm getting sick of it.	1.0	Extended Editions vs Regular Editions	2011-04-27	12	8	4
