asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A2NL8HSXD8PIPO	2014S	This is an awesome movie. Im a huge fan of horror/sci- fiction movies and this movie turned into a big blockbuster. Will smith is the only man alive and with his dog he soon finds out he is not. Get your popcorn ready and enjoy the ride, I give this 5 stars !	5.0	Will Smith and monsters !	2008-02-20	7	2	5
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	Maybe it is the last third that blows it. What went wrong? This could have been good sci-fi. What a pity. We've had a lot of vampire and zombie movies over the years and many post-apocalyptic movies. I like 'em even if they aren't done that well, as does apparently a large swath of the public. So, I say the first half or so is excellent. Seeing a realistic depiction of a large city devoid of human beings, crumbling bit by bit, nature all around reclaiming ground, is interesting. New York City is the most cinematic location to digitally degrade with cutting edge computer effects with it's famous monuments and streets and gigantic skyskrappers and celebrated bridges. I've found Will Smith to not always be the most interesting actor but his performance works. Basically Smith is a military scientist in responsible for finding a cure for a super-virus similar to the disease in 28 WEEKS LATTER which turns people into fleshing eating crazed turbo-vombies. Luckily for Smith the ghouls in this flick are like vampires destroyed by sunlight. This allows him free reign over almost all of Manhattan during the day, except of course the insides of darkened buildings where monsters shelter themselves from deadly ultraviolet light. Meeting the monsters is the highlight of the movie for me. I was nervous. As for these transformed mutants of the night, they sound scary and look deformed by disease but fake. For the longest time I've said use make-up and masks when you can and cost effective computer effects for the extras--for the background zombies or zombies in dark environments when detail is less an issue. Up close in the light you got video game level quality and that is very lame. Things started to go downhill for me with a strange trap Smith gets caught in that I simply didn't buy and never found a good explaination for. After this his character is disapointing when confronted with a painful loss. Then we discover he is a man without faith in god which is a bad thing?? Not sure where they were going with that and if we're supposed to believe he got it back I simply missed that part--not that I cared in the first place. Without spoiling anything, the final nail on the coffin is the absurd conclusion to Smith's story. The timing of it! Yeah okay. And speaking of timing, got to love the scene on the wharf. Just in the nick of time, outta nowhere...What are those odds? In the end the movie wraps up and your just left with an uninteresting conventional movie.	2.0	First half 4 Stars  /  Second half 1 Star	2008-12-16	3	2	1
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A3HS5U2UUSQP0N	"&#34; Anti Microchip &#34; ""Jesus Christ can ..."	"first, Will Smith's performance was poignant and right on target. For most of the movie he was performing to the camera exclusively (no other actors). His performance was believable, but not as good as Tom Hanks in ""Castaway."" However, I have to say that a good portion of the movie had this drag to it that almost made me fall asleep. Very slow in development, and lacked in suspense for a good portion of the movie. The strongest scene for me was immediately after his dog was attacked. I won't ruin it for you. The ending for me was a little disappointing and left me feeling empty. I felt like nothing was resolved.Conclusion: 3 stars, Smith is believable, however this was sold as an action movie and it failed at this miserably in this reviewers honest opinion."	3.0	I Am Legend, Will Smith	2007-12-17	5	2	3
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A1P4APIZD79ZQC	"97XBAM ""The Future of Roll and Roll"""	I saw this movie the first day it opened and due to the fact that it had the same name of Matheson's book , I expected something closer to what the author intended than previous film versions . Instead it was the worst of all three movies based on the book . Plot holes galore ,  CGI effects among the worst I've ever seen in a film , an ending that looked tacked on and rushed , and a heavy religious theme , where none at all existed in the book made this movie a huge disappointment . It was so bad it would've flopped horribly had it not been for the superstar drawing power of Will Smith . If you must see it - rent don't buy !	1.0	Worst screen adaptation of Matheson's novella yet !	2008-03-21	41	28	13
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A3HQXFLZ6WI70Q	Abdul Fazrul	"Verdict:Movie is really nice (simple story but cool). I prefer the alternate ending (much more realistic; I hate happy endings). CGI of the monster is too ""smooth"" but still believable enough. This is the movie where I realized Will Smith can actually act (the same way I realized Ashton Kutcher can act after watching Butterfly Effect; which I also own).Bluray: Very nice video and audio."	5.0	Very cool movie. Very nice bluray	2010-12-26	3	2	1
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A28ZFQ8THENPF1	A. Buller	I thought the movie was great. One bit of information that isn't listed though is that the Digital copy only works on Windows. I have a Mac and can't access that or any of the other computer-only special features. Just a heads up.	5.0	Digital Copy	2009-01-17	3	2	1
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A3IXDFFI6JKD70	AC3	I enjoyed the purchase. A must for movie and Will Smith fans. The price is great for what you get in the set.	5.0	Great purchase	2012-11-17	1	0	1
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A1LBAC84TLIGAX	"ACEMAN1 ""HERE TO PISS YOU OFF"""	I Am Legend is one of the better films to come out of Hollywood in a while. It's dramatic, compelling, bizarre, and it can be rather suspenseful.WHAT IT'S ABOUT: In 2009, a virus ravaged the world and killed most of the population. There is virtually no one left except for the few people who are immune to the virus. But most of the immune were killed off by the infected. One man; Robert Neville; is the last man in Manhattan. He was a military virologist when the outbreak occurred, now he lives in Manhattan with a German shepherd named Samantha, trying to survive and find a cure for the virus and see if there is anyone else left alive.MUSIC: The music is good, especially considering the guy who did this film's music also did the music for The Happening.COMPELLING FACTOR: This film isn't exactly action-oriented, but it is rather great at setting the stage for suspense and dramatic, depressing moments.ENTERTAINMENT: If you're hoping for an action-packed film you're not going to get one. This film is more focused on story and characters than action. It is a compelling movie that is worthy of a purchase. If you easily get bored of movies, you probably won't like this one, but give it a try.OVERALL: There were parts of the movie that got boring, that is the main flaw. But the rest of the movie is superbly executed and creates a dramatic, compelling post-apocalyptic world.THE GOOD: Good storyline, cool action scenes, great characters, and good music.THE BAD: Boring scenes of nothing.	4.0	A RIVETING, COMPELLING, INSTANT CLASSIC  8.75 OUT OF 10	2008-08-02	0	0	0
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A39IDAUEE4VEFZ	"ACoss72 ""ACoss72"""	I purchased this DVD a few years ago and sometimes I'll still just pop it in and watch it.  The alternate ending was a nice twist.  I'm sure the price has gone down drastically so I say give it a shot.	4.0	Pretty Good	2014-01-14	0	0	0
B00005JPTK	I Am Legend (Widescreen Two-Disc Special Edition)	A1GMWZ241WHISV	"Adam Haas ""Xoxidine"""	A bit slow to start, but this is not your average movie. There are no vampires or superstitions or anything like the movies Hollywood has been putting out. This stands on its own, rooted in science. Though it dosen't keep alot of stuff I wish was in the book (for time reasons obviously), this is a great exciting film. Very sad, very dramatic. 3D was, ok, enviorments were redecliously good (check the behind the scenes). Great story though.	5.0	Will Smith does it again!	2008-04-21	1	0	1
