asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A31NMNX4T7GH6R	"10th Doctor ""Zorro710"""	This is one of the best and truest comic book to movie adaptations ever. Robert Downey is absolutely perfect as Tony Stark, and the supporting cast was all on the money as well.  Technically though, if you are looking to showcase your hi-def equipment, either Iron Man or The Dark Knight is the way to go.  Crisp vivid transfers, and TrueHD audio make both of these movies tough to beat.  I have to say I enjoyed them much more in my home theatre than in the movie theatre.  With the recent price breaks in Blu-Ray equipment AND movies, there is no better time to buy.  BUY THIS MOVIE~You won't regret it!  Zorro710	5.0	IRON MAN: Blu-Ray's Finest	2009-03-13	0	0	0
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	AR5YYDGY61TMO	"240C ""GateCrasher"""	Alright, I am not here to take you through a step by step synopsis of the movie. I have been reading Marvel comics for as long as I remember and have basically experienced the rise and fall of their illustrious movie career. I lost faith after Spidey 3 and Ghost Rider and when I heard Iron Man was coming out I nearly hung myself. I watched it last night and I nearly cried for Marvel has redeemed itself finally. The movie was awesome, the dialog was snappy and the fact that they did not concentrate on the armor was excellent also. And when they mentioned S.H.I.E.L.D at the end, I jumped for joy because Marvel finally incorporated another part of their universe into one of their movies. Now my faith in Marvel has been restored and you know what, I started collecting and reading comic books again. I feel the fan boy coming back and I love it. I hope they don't massacre the sequel and I pray they don't massacre the Avengers, Thor and the Punisher War Zone. FANBOYS UNITE!!!!	5.0	This makes up for SpiderMan 3, Ghost Rider, the first Hulk and many others.	2008-10-06	2	2	0
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A2TXCYRUG29X86	2Real	It only had one disc when it was suppose to have two. It didnt have any of the papers that was suppose to come with it, it didnt even have a case to come with it. Just sloppy aka I HATED IT!!!!!!!!	1.0	I HATED IT	2010-09-17	31	0	31
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"`Iron Man' is awesomely cool,U.S. forces and Afghanistan duelFrom highlands and desolate cavesStark Enterprises allegedly savesTony's the successor, a living prodigyOf what weapons' development ought to beUntil selling his Jericho multiple warhead,Ensuring the enemy will all but be dead.Finding the enemy is well armedBy weaponry he never meant to have harmedOur own side by enemy forcesTrickling in by unknown sources.On his deathbed from an explosion,Tony must produce from a dungeon,A new Jericho weapon to beat allAgainst U.S. troops and bring to a pall.Now he makes himself the Iron ManDefending the innocent whenever he canFrom imminent danger of a major threatDefending his company during the upset.With a humanitarian touch, not based on moneyAnd Pepper Pots, his helper, proves to be a real honey,They face a greedy nemesis found in Stane,Board-of-directors' man keeping investors sane.See 'Iron Man' if you haven't yet.Your entertainment value is a safe bet.(The snappy dialogue and the awesome flying shots go well with the funny, slapstick test flight scenes from Tony Stark's Malibu laboratory.  As others have often stated, Robert Downey, Jr. makes a fabulous, half-hapless hero.  Gwyneth Paltrow is alluring and likable as his caring, but witty assistant, Pepper, and Jeff Bridges makes a welcome return as ""Oby"" Stane.  Terrence Howard is believable as gung ho Colonel Rhodes.  Directed with finesse by Jon Favreau.)A J.P.'s Pick 4.5 *'s= Very Good-Exceptional"	5.0	The New 'American Hero'	2008-08-12	4	2	2
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A3ABM1U2CE12FJ	3ofSeven	I'm usualy pretty pick when it comes to movies but I was unexpectedly impressed with this movie. It's an action packed movied with a good story line.	5.0	One of the better movies out there	2008-11-22	2	1	1
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A2ZU8Q206749S5	A.A.	This is it. Great movie to watch with buddies, family, etc. Nice saturday night movie!	5.0	If you like action...	2009-09-21	2	1	1
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A20PO1C4MVEUVJ	"Aaron Schrader ""mortalgod"""	great movie but you can't watch it unless you own a kindle fire!i cant use it for anything not my Ipod, or the crapy ultraviolet.  ultraviolet sucks too its streaming only and you need to open 3 accounts to get started.	1.0	no refund on junk!!!!!	2012-12-17	7	0	7
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A1AFE5N4AXRYBZ	Aaron White	"I have ordered used DVD's through Amazon.com ALL the time! It is the best way to save money, and I have always got EXACTLY what I ordered UNTIL NOW! The seller of this ""Two-Disc"" Iron Man Blu-ray sends me ONE disc... That is not even an ORIGINAL copy.. It was burnt at home and the Blu-ray cover, printed at HOME on HP paper! Besides false advertisement I am pretty sure that is against the law seeing as how they made 13.00 profit off of me for something that they never paid for to begin with. I am going to try and contact Amazon.com to see if I can get this seller removed but until then buyers BEWARE"	1.0	You should ALWAYS get what you order! Buyers BEWARE!!!!	2010-05-06	30	1	29
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	A1GULMTN211EOQ	Abdluhameed Alsaeed	The real success here is in the bold move of casting an actor over-40 to be a superhero. This takes guts, because no matter how appropriate it is, most studios would have said, &#34;no, change the story and make him younger so we can churn out as many of these babies as we can.&#34; I don't know how he did it, but Favreau got Marvel to get Robert Downey Jr. to play Stark, a sarcastic Lothario with the brain capacity of Einstein. I truly can't think of anyone better suited to the role and he proves it by nailing every single scene. I'm sure there was some ad-libbing, but even if not, his comic delivery and ability to switch on a dime to a sincere seriousness at will shows his masterful craft.	5.0	very good	2013-07-14	0	0	0
B00005JPS8	Iron Man (Ultimate 2 Disc Edition)	ANDR90VLB09Z3	abiddings	I watched this movie because my BF is a huge marvel comics fan and had seen all the marvel movies and was tired of explaining all the avengers to me. So I hunkered down and watched all the Iron Men and avenger movie character movies.I actually really enjoyed this movie and Downey, Jr was perfect in this role. So funny and really brought this character to life. For a chick who normally doesn't like action (bang, bang shoot em up) movies, I thoroughly enjoyed Iron Man.	4.0	I surprisingly liked it	2014-06-06	0	0	0
