asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A125HU56OZCAT0	0987	I am a huge Jane Austen fan so naturally this story is one of my all time favorites.  I can't tell you how many times I've watched this movie and everytime I find the actors portrayals of this novel to be fantastic and truely capturing the essence the Jane Austen wanted the reader to walk away with.	5.0	Love this movie	2012-06-27	1	1	0
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A3GB2QONW3YCI2	1derwoman	Just awesome. Colin Firth is a fabulous Mr. Darcy and the rest of the cast is right on target in this wonderful Austen classic.	5.0	A favorite	2013-11-15	1	1	0
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	AKO0RBILD3BFF	4stuff	This was a beautiful set. I love this movie and enjoyed all the extra insights this set provided. Good deal!	5.0	Love this movie	2014-03-06	0	0	0
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A3T9W0U8PNUVDE	"A. A. Alfonso ""shopgirl-13"""	I had it in english but my mother wanted to watched also in spanish.  The translation is gread and the picture wonderful.  Yes, I will recommended with my eyes closed.	5.0	Great DVD Set	2013-02-17	0	0	0
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	AGXY5T0N1M4G	Aaron R. Bevier	I recently bought and reluctantly watched this film with my wife.  It is funny because as it turns out, I enjoyed watching it.  Colin Firth does an amazing performance as Mr. Darcy.  His presence dominates even though he may hardly speak a word at times.I would definitely recommend that husbands buy this for their wives...and actually watch it with them!  I promise it will be enjoyable!Regards,Aaron Bevier	5.0	Colin Firth in Pride and Prejudice	2007-02-07	6	5	1
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A3EYEZ5NH2HFFY	Abbys	&quot;PRIDE AND PREJUDICE is the story of the lively and rebellious Elizabeth Bennet, one of the five unmarried daughters living in the country side of the 19th century England. In the world where obtaining an advantageous marriage is a woman's sole occupation. Elizabeth's independent manner threatens her family's future. Will her romantic sparring with the mysterious and arrogant Darcy end in misfortune - or will love's true nature prevail?&quot; --copied from the back description of the DVD cover itself.The MOVIE concentrates on the three (of 5) Bennet sisters: ELIZABETH: I was quite taken by her from the very start. She is indeed lively, outspoken, smart and independent. Mr. Darcy however was hard to like in the beginning. He hardly smiles. So arrogant that I wanted to swat him. hehe. But as the film progress, you will eventually like him. He might be High-and-Mighty but he is helplessly in love. Ha! Their love story's a touchy one. My favorite scene is Mr. Darcy's proud confession to Elizabeth's as well as their unexpected meeting in one of Mr. Darcy's estate. I can blabber all day about them, really. JANE: Elizabeth's elder sister was described as the most beautiful of all the Bennet sisters and indeed she is. I liked her as well. She is gentlier and very refined. A bit too good of a heart but still realistically humane. I too like Mr. Bingley from the start. He is a gentleman through and through. Very friendly, polite and handsome in his own right. Perhaps a little blind, dense but this is what made their love story longing... Both a lovely match! Meanwhile, the infamous LYDIA, youngest of the Bennet girls is a pain in the behind. Young, impetuous and ambitious. She deserves the wayward. Mr. Wickam on every turn. These three different and challenging love story made this film very captivating from start to end. Truly A Classic. Classic at its best!After reading the book, I searched for the movie and learned its limitation. This movie is not even available for rent in Blockbuster or Hollywood Video. My sister eventually lent me her DVD copy and now I am thinking of not returning it (until I get a copy of my very own, of course). :-) I have read more than 80 historical romance novels in this year alone and watching this movie truly connected me with my books. It soared my heart. It's only been in my mind that I picture clothings and backgrounds of the books I've read through the authors' descriptions so seeing it first hand on film simply enthralled me. Their attires, the castle's, great mansions, the carriages, the freshly green and brown of the countrysides, the Soiree, Waltz and other dance steps... It's just beautiful! The music is an added wonder to this film. I even ordered the soundtrack already. Overall, PRIDE AND PREJUDICE is a must see, especially if you are into romance genre with 18th-19th century setting. I find the courtship, dialogue and ways of living of that time period rather fascinating. I suggest you read the book as well before or after this movie. Watch this one and be &quot;AWED&quot;.Note: Since this movie was derived from A&amp;E's TV shows as a series, it is not played continuesly as one movie would. It is in about 6-7 segments, which I had to fast forward to skip introductory contents to see the next fragments. This didn't bother me one bit though, I just thought I'd mention this to others.	5.0	Classic at its best...	2001-07-11	6	5	1
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	AJ3F1F6SNMMEI	Abha R. Aggarwal	If you like the book Pride and Prejudice, and you own a Blu-ray player, you simply must buy blu-ray dvd of the A&E adaptation.  The picture is amazing and the sound is great.  I was completely lost watching it and that too, when I have watched it many times on the regular dvd.  It was like watching it for the first time.  You will love it.	5.0	Pride and Prejudice (Blu-ray)	2012-02-16	5	5	0
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A3GQALU6H9CF5L	Abigail	First let me say that I really enjoyed this version of P&amp;P. I liked all of the production elements within this movie. It is very good and any fan of Jane Austin's work will probably enjoy this. My only points of contention are with the casting (the aunt &amp; does Colin Firth ever smile?)and occational &quot;dumming-down&quot; of the original text. If you want a alternate version check out the 1982 version from the BBC. The sets aren't as nice but the casting and language are much more in line with the book.	4.0	Good but...	2000-12-12	11	3	8
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A3QP8CSXB7DTAA	Abrar	I received it very quickly, and its fantastic quality! The only difference with this is that it ends segments (like its being played as a show on tv)	5.0	Pride and Prejudice	2013-01-08	0	0	0
6303921248	Jane Austen's Pride and Prejudice (Six Piece Collector's Boxed Set) [VHS]	A2GDEPPC8BAZRY	"A. Casalino ""V^^^^^V"""	&quot;That a single man in possession of a good fortune must be in want of a wife.&quot;  So commences what is very likely the purest and most marvelous work of fiction in the English speaking world - And thus, as would be well fitting, ventures to introduce Jennifer Ehle as Elizabeth Bennet, our undaunted heroine, in this brilliant A&amp;E production of the same.Jane Austen's PRIDE AND PREJUDICE is undoubtedly the most beloved work of literature contained in the whole of my vast library.  I should therefore find myself hard pressed to ever discover a movie adaptation even approaching the magic of that flawless story. Yet - low and behold - in this wonderful movie I'm sure I've actually found something coming close...quite close indeed!Miss Ehle and Colin Firth are simply lovely as Miss Bennet and Mr. Darcy.  The pair have a wonderful chemistry, and this is definitely the best work that either have performed in the whole of their careers.  Truly, they seem to have been born to play these roles!  Supporting them is a cast amazingly well chosen for this so daintily woven tale of romance and self-discovery evolving within the intricacies of civilized manners and politics of the gentry in Regency England.Alison Steadman and Benjamin Whitrow are perfect as the famously mismatched pair, Mr. And Mrs. Bennet, the parents of five daughters - Jane, Elizabeth, Mary, Kitty and Lydia.  Mr. Bennet is a country gentleman with a modest estate, which is unfortunately to be entailed away upon a distant cousin, Mr. Collins, in default of heirs male.  His wife therefore spends much of her time preoccupied with trying to get her daughters married and obsessing over the state of her nerves.  Mr. Bennet, on the other hand, spends much of his time in his study reading and sipping brandy.When a neighboring estate is let to Mr. Bingley, a single man of good fortune, Mrs. Bennet is simply beside herself with the rapturous anticipation of his being introduced to her daughters and, in good turn, marrying one of them.  Mr. Bingley arrives with his two sisters and his friend, Mr. Darcy, who it is soon discovered has a fortune and estate of over twice Mr. Bingley's worth.  Mr. Darcy, however, is aloof and somewhat haughty - characteristics that quickly make him unpopular.  Bingley, on the other hand, is friendly and outgoing, and is almost immediately taken by the charms of Jane, the eldest Miss Bennet.  Jane and Mr. Bingley quickly fall in love.  Yet with the differences in status and fortune, as well as the rather frequent improprieties exhibited by Jane's mother and three youngest sisters, the couple's road to happiness is to be a rocky one at best.At the heart of this movie is Elizabeth, whose graceful charm, sharp wit, and intelligence catch the eyes of Mr. Darcy, who gradually comes to feel a passion for her against his own will.  Elizabeth, who is for quite some time oblivious to this, is meanwhile aware of the attentions of two other suitors:  Mr. Collins, the heir to her father's estate, and Mr. Wickham, a soldier in a regiment stationed nearby.  Mr. Collins is a fawning, silly man, quite ill favored for such a pretty, clever heroine, and Mr. Wickham, though attractive and good-natured, doesn't quite make the sparks fly for Lizzy.The sparks do fly, however, in every single scene of interaction between Darcy and Elizabeth.  His &quot;pride&quot; and her &quot;prejudice&quot; go down the dance in perfect eloquence.  Every phrase, every look or expression, every manner of movement between them speaks volumes.I only have a couple criticisms to this movie, and they are minor, indeed:  first, I would like to have seen Lizzy exhibit a little more softness of feeling and understanding toward her mother and younger sisters, especially her mother, whose first priority is to see her children well settled and secure in life - a valid concern which, to all appearances, her husband does not seem to share.  In the novel, Lizzy understood this, and though those precious little offerings were very subtle, they were always there beneath the admonitions and sighs of frustration.  Ehle's Lizzy appears most of the time to rather disdain their existence.  Yet I see this as a flaw with the script and not with the actress.  Another little problem I had with this film was how Mr. Wickham was presented.  In the novel, he was more physically attractive than Mr. Darcy, and his personality was very open and warm.  From the moment Adrian Lukis' Wickham first appears, one can see he's just a little bit shady.  I don't think he hid his true nature well enough to attract someone as sharp as our Elizabeth Bennet.  My final criticism applies to the dvd version only:  for some reason, the soft, warm coloring is gone.  Everyone looks quite pallid and washed up.  Though it's inconvenient to change tapes six different times, I still very much prefer my vhs to the dvd.Finally, all I can say is that this A&amp;E presentation is not only the very best film adaptation of PRIDE AND PREJUDICE ever made, it is the finest movie I own!	5.0	&quot;It Is A Truth Universally Acknowledged,...	2003-03-06	3	3	0
