asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JKDQ	Monsters, Inc. [VHS]	ASXTOKZN8JXS2	111ashe	Not so much a hit with my 2 year old.  But my older child loves it.  Hilarious and entertaining.  Something everyone can watch.	5.0	A family movie.	2013-12-03	0	0	0
B00005JKDQ	Monsters, Inc. [VHS]	A1NV780MRV2XFN	123456	Wonderfully original, heartwarming, and full of laughs. Its a great watch that the entire family can enjoy, regardless of age.	5.0	A Pixar Favorite	2013-07-24	0	0	0
B00005JKDQ	Monsters, Inc. [VHS]	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	Great Movie! Only gave it 4 stars because I had to explain to my girls ages 4 & 3 a few times that there are no such things as monsters! They weren't scared of them, since the movie teaches them that the monsters are really cute, cuddly, funny, furry things!- but they wanted to know if we had some in our closets!It's a story about Monsters who come out of closets to get you to scream-because screams are what their world is powered by.  The monsters think that KIDS are scarry! One kid gets into the monster side of the world and that's where this story takes off. They have to get her back to her world - but in the mean time they fall in love with this kid.Worth your time & money! Disney did it again!!1smileycat :-)	4.0	Monsters!? - Not!	2003-03-17	1	0	1
B00005JKDQ	Monsters, Inc. [VHS]	A1UNN1EODHRC3D	28yrmom	Box looks fine and the DVD too but the movie it's self looks like copy not very happy at all	2.0	Looks like a copy	2014-05-22	1	1	0
B00005JKDQ	Monsters, Inc. [VHS]	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"Some of the best stories for children have presented their worst fears only to have the menace brought down to size.  ""Jack and the Beanstalk"" works that way perfectly.  'Monsters, Inc.' helps to tuck the kiddies in and give them the giggles, too.  Taking near day-glow colors, the Monsters in this fluid Pixar picture are hideously cute.  They live in a ""green"" world where the renewable resource of children's fright powers the Monster community.  Looking like the sorts in (Lucas Films, Ltd. is credited here) a 'Star Wars' bar scene, the film's focus is on the power company where the employees go through magic doors, their portals to children's bedrooms where the fright factor generates their power plant.Heading the troops is big blue ""Sully"" (John Goodman) a good natured monster, proud of his ability to be the equivalent of ""Employee of the Month"".  Keeping track of his generating power, he is out to set a plant record.  His green, one-eyed sidekick, Mike Wazowski, (Billy Crystal) has a Martian appearance, but his voice couldn't scare a mouse.  He is smitten by one-eyed purple princess, Shroopsy with hydra hair (snake braids).  They all face their competition with rascally Randall, (perfectly villainous, Steve Buscemi) the salamander-like monster with invisible capabilities.  Pivotal to the plot is Mr. Waternoose, (James Coburn) a tycoon who resembles a tarantula in a three-piece suit.  In the causality is 'Silkwood'-like contamination if any child or remnant remains in the Monster world.  (In other words:  Just like parents often say about insects or some animals:  ""They're more afraid of [children], than [they] are of them."")  Sully and James come across ""Boo"" whom they find in their best interests to return to the dark realm of her own bedroom.Formidable to the fore, 'Monsters,..."" takes a premise that could have been a dumb non-starter, and provides supporting plot structures with enough heft to turn the adventure on.  With Pixar animation, the movement is flowing enough to take the technological edge off the look, and Andrew Stanton and Daniel Gerson's screenplay keep the dialogue fresh and funny.  Director Pete Docter gives the movie proper assembly.  'Monsters, Inc.' is therapeutically good for children's dreamscapes as well as their funny bones.  (Highly recommended to rent and to own.)"	5.0	Power-ful Kiddie Entertainment	2007-06-21	2	1	1
B00005JKDQ	Monsters, Inc. [VHS]	A1HSL0XKDVO0XJ	"350HRSS ""T. blondi"""	Great movie!  Keeps you on your toes!  A great buy!  A definite must have for the collection!!	4.0	Good movie!	2006-03-10	3	2	1
B00005JKDQ	Monsters, Inc. [VHS]	A27EGGQNE3AEB8	"A. Abeyta ""mbcsxpress"""	This is a great movie for all ages as well as family gathering.	5.0	Loved it.	2006-03-15	2	1	1
B00005JKDQ	Monsters, Inc. [VHS]	A16WZQWRYCSOKG	A&amp;A'sMommy	I already had this movie in DVD but I love it so much I decided to purchase the blu ray version. The video quality is much better than the regular DVD. Highly recommend.	5.0	Great family movie	2014-01-06	0	0	0
B00005JKDQ	Monsters, Inc. [VHS]	A2NFTFQYW8GXIQ	A. Andersen	This DVD release is well worth the price - you get two discs,full of information, interviews and in depth studies of howthe film was designed, computer animated and finished.  Althoughthe film is only 92 minutes, the material that accompanies it isfour and a half hours long.The film is a delight, very original in concept and beautifullydesigned.  There is plenty of action and thrills without a greatdeal of evil, which is a relief.  The colors are crisp and thelighting is luscious.  The characterizations by John Goodman andBilly Crystal as the lead montsers are full of nuance, especiallyGoodman.The film earned a number of Oscar noms including Best AnimatedFeature and won the Oscar for Best Song - deservedly.A great addition to the family video library and great fun for the whole family.Highly recommended!	4.0	Delightful, original story - stunning digital animation	2002-09-03	2	2	0
B00005JKDQ	Monsters, Inc. [VHS]	AQBBWEX883U9L	Aaron	Good movie just as good as first  movie mike and sully pull it off again  glad I watched this movie	5.0	Great movie	2014-01-18	0	0	0
B00005JKDQ	Monsters, Inc. [VHS]	A1EPTOYTJ1K2ZM	Aaron L.	The boys from Pixar saved Disney! After some really bad movies from the Disney studios (i.e. Emperors New Groove - horrible!)comes Monsters Inc. This brilliant and also very funny movie has it all. Not only can it make you laugh but it also warms your heart as you follow Mike, the one-eyed witty small guy and his best pal James Sullivan (or Sully). After finding a human child (considered dangerous to the monster world) they become attatched to the child and need to figure out what to do with it. The storyline is smart and the animation is brilliant. This is a must have for any DVD owner.	5.0	Monsters Inc. AWESOME!	2003-01-06	2	1	1
B00005JKDQ	Monsters, Inc. [VHS]	A1MQLF2AC6FS3X	Abba	Both discs don't work at all!!bummer!!  I'm not sure but maybe there is z way to return them?!Waste of money otherwise?!	1.0	Faulty discs	2013-03-01	18	2	16
B00005JKDQ	Monsters, Inc. [VHS]	A32JKNQ6BABMQ2	"abe ""starman"""	this movie involves monsters in the closet,something have been trying to rid our kids minds of for years.thats just stupid.thanks guys for carrying this sick tradition on!the story is about a whole other world filled with monsters.instead of electricity,theier world runs on screams collected from children at night.are you sure this is disney?it sounds more like stephen king.the top scream getter,a huge blue with purple polka dots guy accidentaly pulls a little girl back into monster world with him.well in monster world,she is considered toxic.sickisnt it?so all the government and people are on a manhunt for this helpless three year old girl.so he and his partner decide to save her.that fat guy from the tv show roseanne.they must have payed him good to put up with her all that time.shes one of the top 5 worst people on a tv show ever.i dont think its for kids myself.its not really all that good.theres a cool chamielion whos the bad guy.this movie sucks!thats the truth.	2.0	boooooooooooooooooooo	2004-09-10	33	5	28
