asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6303118240	My Neighbor Totoro [VHS]	A2YSZOJHK3PO05	Aaron M. Miller	We have 8 Studio Ghibli films. They have all been worth the price of purchase. I would recommend any of his movies.	5.0	Miyazaki is the Best	2014-06-03	0	0	0
6303118240	My Neighbor Totoro [VHS]	AT1IO0M00QU95	A. Atwood	"My Neighbor Totoro is a favorite in my family, and my daughter wanted her own copy for her birthday. I had no idea that Disney had redubbed the original English version with new actors - why? The original version was so charming - it DIDN'T NEED ""IMPROVING"" with famous actors! This new version is stupid and unwatchable. I feel seriously misled and tricked into purchasing the wrong version of a favorite movie. Thanks for nothing!"	1.0	Wrong version!!!! Buyer beware!	2012-07-30	10	3	7
6303118240	My Neighbor Totoro [VHS]	A38Y2TS5E5TL21	"A. Benson ""book nerd"""	My family loves My Neighbor Totoro. There are some cultural differences in it--it can come off as a little strange to people in the US. But I like that about it. I've heard it said that Totoro is as popular a character in Japan as Winnie the Pooh is here. If you've seen and liked other Studio Ghibli movies, you've got to see this one.	5.0	My Neighbor Totoro	2012-12-16	0	0	0
6303118240	My Neighbor Totoro [VHS]	ARSR4TV170715	Abigail Rosenberg	My Neighbor Totoro is great fun for adults and children alike. It also gives one a glimpse of 1940's era Japan, replete with scenic rice paddies, fashion, culture and tradition. Satsuki packs an oishii (delicious) lunch box for her family as she helps her father, a professor at a local University cope with the illness and absence of his wife.Meanwhile a mystical Neko-bas (cat buss) gives the eldest daughter and her little sister (Mei) a ride to see their mother in the hospital. This tale is filled with delightful Totoros ranging from the smallest (kototoro) to the largest (ototoro) who greets the children with a mighty roar, however let's them fall asleep on his belly...Simply charming. The film maker, Hayao Miyazaki, contributes a valuable new addition to the world of animation comparable, yet distinct from Disney's finest classics. Jyodeki (very good).	5.0	Simply Charming	2005-02-03	10	9	1
6303118240	My Neighbor Totoro [VHS]	ACYAG4UWLQCDW	A. Boyce	This video is #919 in DVD's on Amazon.  This alone should tell you how popular the film is, and not all viewers are idiots.A wonderful film for (cliche coming) children and adults alike.  I own less than 40 movies, and this is one of them.  Miyazaki is a genius.	5.0	number 919 in DVD's on Amazon	2007-09-30	0	0	0
6303118240	My Neighbor Totoro [VHS]	A1K5F0CJO04GI9	Abs	I would recommend this to anyone who loves foreign film. It's an adorable movie about a family learning to overcome something difficult in their lives, along with the help of the troll Totoro. Super cute and the disk itself was in good condition. One of my all time favorite movies.	5.0	Totoro	2014-03-31	0	0	0
6303118240	My Neighbor Totoro [VHS]	A389ENB676SW5M	A Customer	This animation is about two young girls who meet up some &quot;spirits&quot; from the local forest. It deals with the beliefs (and realities?) of children, especially with a loving father who is happy to  share their young outlook on life.I have shown this movie to a group of  13 adults  (including one &quot;critic&quot; who likes to analyze every  film that comes along) who end up with tears in their eyes and who came up  to me later and told me what a great film they thought it was.The  characters were very &quot;real&quot; to me. The nanny is old and ugly, but  has an incredibly kind heart. The children act like the real children I've  known - mostly responsible, but sometimes messing up. It was so easy to  forget this was a &quot;cartoon&quot; and to identify with these  people!I love the style of animation. It reminded me of  some of the  early Disney animations. When people laugh their mouths are too big, or  steps are too long, or those things that exagerate and communicate  something that &quot;realistic detail&quot; can't do.It is a full length  feature film with plot,  character development and it runs you up and down  the emotional tone scale (from very sad to very happy) several times.	5.0	Great, spiritually uplifting movie!	1999-04-05	5	5	0
6303118240	My Neighbor Totoro [VHS]	A57WPGJ6BGEDZ	"Adam Comstock ""Adam"""	i've slowly been replacing all my SD anime with HD versions.  it is well worth it.  my TV does res-up SD but, it's not quite the same and occasionally will &#34;glitch&#34;.packaging was pretty standard.  i do like that it's from Disney so it has the Disney code.  (so many free movie tickets from cashing those points in.)my wife and didn't stop yelling TO-TO-RO for like a week after watching this.  now she just needs a life-size plush of Totoro.  (not gonna happen... those things are redonk expensive.)this one is a little older than some of the other Ghibli films and it shows.  only so much you can do to res it up.  also, the opening credits had the top &#34;border&#34; cut off.  maybe i could have changed a setting to fix that but i was upset that i couldn't anticipate the spider dropping down.	4.0	classic in HD!	2013-07-02	3	2	1
6303118240	My Neighbor Totoro [VHS]	A1ZURNVW6CQGPL	Adam C. Rhea	"The beautiful thing about Hiyao Miyazaki is how sort of ""foreign"" his story elements feel, but how readily identifiable his human characters are.  The two sisters in this movie are cute to watch and interact believably with their world, not in an exaggerated manner like in many kids movies.  The movie moves at a relaxing quiet pace too, not racing along and full of explosions, again, like many kids movies."	5.0	This is a beautiful quiet fun kids movie adults will like too	2007-09-21	0	0	0
6303118240	My Neighbor Totoro [VHS]	A2PRL1JJ3O19E3	Adam Herbst	Don't tell anyone, but there is animist Japanese religion all over this perfect animated movie.  Does that make it animated animism or animist animation?  I don't know and does it matter - NO!  This movie is sweet and beautiful with a marvelous soundtrack.  It is gentle without putting you to sleep.  How come the only good Disney movies come from other studios these days?  Because there were never any good Disney movies.  (Oops, tipped my cards).  Bottom line:  buy this for your kids and it won't be long before Porco Rosso makes a crash landing at your sty.	5.0	Shinto for the Kindergarten Set	2008-07-31	3	3	0
