asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JNBQ	Napoleon Dynamite	A18AN226PCZAO7		Freakin' IDIOT! GOSH!	5.0	I love this movie!	2014-07-12	0	0	0
B00005JNBQ	Napoleon Dynamite	A1AAIZE46O771R	100% Real	"They gave Napeleon Dynamite 1 1/2 stars and that about all it deserves. While some people who like wasting their precious time may enjoy it, there's a name for those people, we call them idiots. Napoleon Dynamite is a complete waste of time and has defined the phrase, ""Is it over yet?"" It's a drag about nothing and I'm still waiting for it to start. I advise you to never even consider seeing this movie."	1.0	I agree with the crtitics on this one!	2005-07-27	15	5	10
B00005JNBQ	Napoleon Dynamite	ADDIWS77RBIIS	"2littlereds ""Diane"""	This is a family favorite. Its Lighthearted humor. If you were a teen in the 80's this movie is for you!	5.0	Funny!	2013-08-16	1	1	0
B00005JNBQ	Napoleon Dynamite	A2LNR55TM67AU4	&#34;Gimpy&#34; Peach Johnson	"For nearly a year, I've had to endure siblings and friends quoting this movie and breaking into uncontrollable fits of laughter, so I finally decided I had to see it too so that I might laugh along. From the opening scene, things looked mildly promising. Napolean, the nerdiest, sleepiest-looking high-schooler you've ever seen hops on a school bus where another kid asks, ""Napolean, what are you going to do today?"" Napolean replies ""Whatever I feel like -- GOSH!"" with a little jerk of his head. Then he pulls a plastic figurine from his pocket, ties a string around its neck, and lowers it out of the window, letting it drag along the ground behind the bus. All right, I thought, this is going to be one of those screwy comedies full of eccentric characters who do random things. I was prepared for that, but I wasn't prepared for the 90-minute borefest that ensued. With no real plot to speak of, and characters that just aren't that likeable or interesting, I found myself longing for the movie to be over only a few minutes into it. I stuck it through in the hopes that it would improve, but no such luck. As far as comedes go, the humor in this one is quite subtle, and consistent in style throughout. If you like the first ten minutes, you'll probably enjoy the rest of the movie. If after ten minutes you find it isn't your cup of tea, stop there--it doesn't get any better.I was tempted to give only one star, but I felt like being a little generous, perhaps because after suffering through this movie, I finally can understand references to it (those ""Vote for Pedro"" bumper stickers and tee-shirts, my family's quotes, and Heder's recent appearance on Saturday Night Live, which was quite funny after seeing this film). Apparently, this is a film you either love or hate. I can't stand it. If you have not yet seen this move, I'd recommend borrowing it or renting it before buying."	2.0	Just not that funny -- GOSH!	2005-12-03	17	10	7
B00005JNBQ	Napoleon Dynamite	A2NBS3T65WHSH9	"77vqmous ""-e-"""	A lot of people wonder which era this movie takes place in. The clothes, the music, the technology. Fact is, this movie captures perfectly the atmosphere of small town U.S.A. in any decade. For that, it's timeless.Napoleon will remind you of at least one of your K-12 chums (where are they now?). He's no hero, but it is fun to watch him blunder through a bad couple of days. Surrounded by familiar characters that almost need no introduction (Uncle Rico, a study in casting/character acting perfection), he sets off on an explosive, action packed effects extraviganza.Well, maybe not, but the fact that you can almost smell the tater tots and soiled elasto/parachute/hammer pants makes this a trip down memory lane. Any more, I enjoy getting thrown a curve ball when I go see a movie. Napoleon Dynamite satisfied that, and should be considered among the great works of restrained, simplistic, comedic genius.Don't forget to stick around after the credits for the second happy ending.	5.0	oh moon boots, where art thou?	2004-12-24	6	5	1
B00005JNBQ	Napoleon Dynamite	A1H9BKI1AE594Q	7th Angl	Simply put, Napoleon Dynamite is a very odd movie.  A conventional plot involving a student election and a prom sub-plot, never really materialize in a decent climax (albeit, the wedding scene could be construed as such, though it does not even appear until after the movie credits).  But this misgiving in some measure is balanced by the bizarre performances, for Napoleon and his cronies are quite remarkable and memorable.  Napoleon is a character who appears to be in a perpetual state of angst and/or oblivion, and is very hilarious in his own right (not to mention the stoned expression on his face which he wears throughout the whole movie). At times Napoleon Dynamite feels like it was made in the late seventies or early eighties, there is a definite retro quality to it that is difficult to articulate.  One should take heed, however, if one is bored by the film after half an hour of viewing it.  The pace remains very slow, and character development is basically established and finalized within the first quarter or so.  But the comedic elements are very curious and subtle, and, at times, unrelenting which makes for Napoleon Dynamite's unique stature as a film that effectively synthesizes drama and irony.	4.0	Compelling Performance by Jared Hess	2004-12-27	1	1	0
B00005JNBQ	Napoleon Dynamite	AR9QPZFX65LDV	Aaron Alexander	Napoleon Dynamite doesn't have too much of a plot to start with; A high-school geek and his friend try to find a girl who will want to go to the school dance with them sums it up in a nutshell. There are still lots of laughs to be had throught the movie anyway. The fact that no matter what the situation, the same wierd expression on Napoleon's face never changes got a lot of laughs out of me. I watched it with a group of people of many ages and they all found something they liked in this movie. The younger kids thought things like Napoleon's uncle takeing a self-defense class and the old farmer shooting his cow (with a school bus driving past and covering the scene) were funny, and everyone was laughing when Napoleon started danceing for his friend Pedro's class presidential election skit. There are many great things for the casual viewer to enjoy, but don't come anywhere near this movie if your looking for something with a Lord of the Rings plot depth. I don't think I would pay to see it again, but I wouldn't necessarily avoid it.	3.0	Funny, but not very deep	2006-01-02	4	1	3
B00005JNBQ	Napoleon Dynamite	A2H38ZYOWNV0A	aau	Case has a notch cut out of it, otherwise great condition.I love this film more every time I watch it. Be sure to watch through the credits, there's a wedding!Try watching with the commentary, very interesting.&#34;Do you think anyone want's a round house kick to the head while I'm wearing these bad boys?!&#34;	5.0	No problem with disk	2014-03-04	0	0	0
B00005JNBQ	Napoleon Dynamite	A35HP4PZ6A6Y3S	A. Banford	In my opinion, this movie is WAAAAY overrated.  I rented it after hearing raving reviews of this movie, but I was only dissapointed.  Granted, I carried fairly high expectations from the geeky fawners of this movie.I heard this movie was about a boy struggling to be himself in a world full of the same.  When I watched, I found no evidence of the boy struggling at all.  Even if this wasn't the true plot of the story, the movie followed little plot at all.  There were a few funny parts in the movie, but none were wonderful enough to make me laugh out loud...and I laugh a lot!Halfway through the movie, I became bored.  There was no substance to hang on to and the main character was too awkward and lost in his own world to even follow.  I couldn't figure out what he was thinking!  Did he like the make-up selling girl or did he not care about her at all?  I had a hard time finishing this movie and that hasn't happened since I saw Beethoven in the theatres.If you are contemplating seeing this movie, I suggest you see Life Aquatic with Steve Zissou.  It is a similar movie, but it has a bit more substance and better humour.	3.0	Funny, but not that funny.	2005-06-07	4	1	3
B00005JNBQ	Napoleon Dynamite	AVX8FJHQYQS4B	A. Bennett	This is one of the funniest movies ever. I watch it about once a month at least. Vote for Pedro!	5.0	The funniest!	2012-12-09	2	2	0
B00005JNBQ	Napoleon Dynamite	A35QF1GDLAFYCL	"A. Calabrese ""othernj"""	"As I watched this film, I kept thinking, where is it all going?  Well you do end up, in Idaho.  John Heder as the everyman geek is great.  It is refreshing to see a kid who gets pushed around, but is not afraid to stick up for himself.  That is what makes this ""teenage"" genre movie exceptional.  The actors make Idaho seem as if it is some kind of alternate universe, other dimensional.  But, it all works.  Great little movie.  Sweet.  Very enjoyable."	5.0	The answer for every pushed around High School Kid	2005-03-20	3	2	1
