asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0783211856	Schindler's List (Widescreen Edition) [VHS]	A2RSR8C10AERD	"10za ""10za"""	"I disagree with the majority of viewers.  This is no masterpiece.  It is a pretty good movie with a story that is moving.Spielberg never uses subtlety.  He hits you over the head with each point and I find it insulting to a viewer's intelligence.  Shots linger too long... characters explain their actions..If you can get over Spielberg's in your face style this is a great and sometimes moving story.  The acting is above average but nowhere near approaches the performances in &quot;Sophie's Choice"", &quot;Europa, Europa&quot; or even the made for TV mini series &quot;Holocaust&quot;This movie is worth seeing but given the choice I would first view the others I have mentioned."	3.0	Very overrated... as sophisticated as a made-for-TV movie	2004-03-27	32	12	20
0783211856	Schindler's List (Widescreen Edition) [VHS]	A1YEP749YW7MRH	"1swollenthumb ""Max"""	Steven Spielberg is one of the greatest producers, writers, and film makers of all time. Without a doubt this movie is one of his greatest.  My only wish is that none of what happened during the Hitler era had never happened.  There is so much hate in the world.	5.0	Heartwrenching	2013-06-13	0	0	0
0783211856	Schindler's List (Widescreen Edition) [VHS]	A3C79H3ZNJ0CMS	5star	Its a good deal and I couldn't pass it up. It took a little longer then the estimated date expected but the movie is soooo good that I didn't even care. It took almost a week longer but it was worth the wait!!!!!	5.0	worth the wait!	2011-03-30	0	0	0
0783211856	Schindler's List (Widescreen Edition) [VHS]	A59HU91GDMDP1	Aaron	I ordered this used with the title of almost new but the CD has rather large scratches and is cracked in the center where is connects to the case hole in middle.  The crack just is starting to work it's way into the CD similar to a cracked car window. I guess almost new is not very good.	2.0	Almost new is not very good	2013-08-29	0	0	0
0783211856	Schindler's List (Widescreen Edition) [VHS]	AIK4V5XVK9VUZ	Aaron	Ranks as one of the great films ever made, if for anything, a reminder of how film can translate a message of history that will last forever in your mind after you see it.	5.0	OUTSTANDING	2014-04-09	0	0	0
0783211856	Schindler's List (Widescreen Edition) [VHS]	A3EN6NDS6S7N9N	Aaron Jordan	After hearing all the hype about this so-called masterpiece, I went ahead and watched it when it came out on PBS.  What a disappointment.  PBS showed terrible judgment by putting this film on television.Sure the story is interesting, but the way in which this movie portrayed the holocaust fell short of that dignity which such a story deserves.  That dignity was captured much better by Corry Ten Boom's &quot;The Hiding Place&quot; or Viktor Frankl's &quot;Man's Search For Meaning.&quot;  Schindler's List tried to reach for that dignity, but got mired a little too much in the shock factor.  And what a travesty to use the sacrosanct experience of holocaust victims as an excuse to throw more gratuitous sex onto the screen.  Even the nonsexual nudity was unnecessary, as was the bad language and even some of the graphic violence.  Sure the story should be honest and accurate, but overemphasizing the shock factor distracts the viewer from the real human element of the story.  Spielberg took the holocaust and turned it into yet another manifestation of bread and circuses.This film was also too condescending in its moralistic approach.  A good story doesn't have to overtly tell its audience what to think, and the ending just fell flat.  I know Spielberg and the actors were trying to make it moving, but it ended up being....well, kind of sappy and cheesy.This film had potential, but it failed to reach it, and it has been far too overrated.  It definitely does not do justice to those who endured the holocaust.  What a disappointment.	3.0	A Big Disappointment	2001-08-07	50	11	39
0783211856	Schindler's List (Widescreen Edition) [VHS]	A3NM43CKQO1KRU	Abe Greenberg	After making a fortune on silly but entertaining blockbusters like Jaws and the Indiana Jones movies, Spielberg decided to take himself seriously as a Jewish filmmaker and do a holocaust movie.  The predictable reflex is  to say the movie is great, because it is about the holocaust.  But I find  the BUSINESS of recreating the holocaust for Hollywood a disturbing and  potentially dangerous endeavor.  A re-enactment can remove the audience  from the reality of the event, so authenticity is critical.  This movie,  which was purported by many to be realistic, was filled with flaws.  It was  in B&amp;W, which was a big problem for me.  There seems to be an ongoing  debate about this issue with some of the other reviewers, but my feeling is  that the holocaust happened in color, so the movie should have been in  color to bring it closer to home.  I sensed the B&amp;W was an unnecessary  and unsuccessful attempt at an artistic touch.  The movie also should have  been done in German with English subtitles.  Imagine a German watching  Schindler's List in Germany, reading subtitles to understand the English  dialogue.  Does that sound realistic to you?  If you want to learn about  the holocaust, watch Shoah or read a book by Primo Levi.  Don't watch the  Hollywood version by billionaire profiteer SS.	1.0	The Hollywood version of the Jewish Holocaust	1999-12-05	87	28	59
0783211856	Schindler's List (Widescreen Edition) [VHS]	A1OT7DSRMJ8PSK	ACD	Strength, courage, mercy, compassion, sorrow, joy, and horror. This move encompasses so many emotions in a beautifully horrific story about a concentration camp in Nazi Germany. No one can hope to save the entire world, but Schindler proves that no matter where you are, in whatever capacity, you have the ability to change the lives of individuals around you.	5.0	A Must See Film	2013-12-21	0	0	0
0783211856	Schindler's List (Widescreen Edition) [VHS]	A1LZUJF8AQ796R	ACRA	Incredible film, you are drawn into  Shindler's world and into his mind. You feel what he feels and what  the Jewish people went through, this is a must see film, you will never look at a Jewish person in the same way, and you will find yourself asking how can we as human beings be so utterly cruel to other human beings, it is quite a lesson in life.	5.0	Amazing	2013-11-07	0	0	0
0783211856	Schindler's List (Widescreen Edition) [VHS]	AWYWQMXHY3CH7	A Customer	One of the most honest and frank motion pictures is a jet-black masterpiece. The Holocaust is portrayed magnificently by Spielberg, who directed Jaws, of how over 6 million Jews were killed in shootings,  ghettos, and concentration camps. Absolutely moving, with terrific  performances.Spielberg delivers digression of our anticipation, shocking us  with the deaths of the innocent Jews( particulary the death of the grateful  man with one arm). A generally unprecedented drama/horror that deserves  your full attention.	5.0	Incredibly moving, shocking, and dramatic	2000-02-15	0	0	0
