asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JL3T	Signs	A2RSR8C10AERD	"10za ""10za"""	M. Night Shyamalan at his best. This tops even The Sixth Sense as Night's supernatural thrillers just keep getting better. In the movie there are many important messages about faith. Mel Gibson plays one of his typical rolls and has a stellar performance.The film took place on a farm out in Pennsylvania. The scenery and filming is beautiful with great aerial and reflection shots. There were lots of very suspenseful scenes, and some humor thrown in a couple times. Joaquin Phoenix steals the show with a performance even better than his in Gladiator. The overall plat involves Mel Gibson's wife dying and him questioning his faith. Then there begins to be sightings of Crop circle including one on his family's yard. then they begin to attack, and the best part is that they show the TV stations so you really think that they are attacking. Night pulls of an ending even better than the sixth sense and everything pulls together.I think that the title of the movie can account for the two main plot strands of the movie; one being the signs that he will regain his faith and his wife didn't die for nothing, the other being that of the Crop Signs.Overall, it is probably in my top ten movies of all time.	5.0	Great movie in all aspects	2004-03-17	3	1	2
B00005JL3T	Signs	A2738T5N2HFFO	"""17yearoldmovielover"""	"In my book, Signs is one of the top films of 2002... (Behind Road to Perdition and Minority Report, of course)Like in all my reviews, I am not going to waste my time telling you that you NEED to see this movie... BUT... I will point out the aspects of what makes it a truly wonderful film.Being a film student I have had the chance to study M. Night Shyamalan's use of placing certain items in the film that will, or already has, reflect events to come. Such as: A red door nob in ""The Sixth Sense"". Is it just me, or was Signs chock-full of circles and stars. I mean... THEY WERE EVERYWHERE! Stars on Mel Gibson's bed! Circle on the wall paper! Everywhere. Truly brilliant in my opinion. Hats off to Shyamalan!The score in the film has got to be one of the most chilling scores to date. Reminds me all to well of the haunting score from ""The Others"", which was not used to make you jump out of your seat, rather pull you deeper into the movies fear-envoking scenes.I can honsetly say that Signs terrified me... not visually... but with sound. A dog barking, then squealing in pain, gives you a mental picture of ""what [...] is happening out there?""Mel Gibson's performance as a priest who has lost his faith is absolutely flawless. The two children provide very true to life performances. ESPECIALLY the little girl.One final note: The main reason this movie was so good... and so scary... was the fact that it seemed so real. I'm not saying the aliens were real... so don't get me wrong. I'm saying that you begin to feel as if you are part of this family, trapped in this house, in a deathly situation... with no way out. Not only that, but you keep wondering how the movie is going to end. And when it does, the  reaction from the audience was: ""Oh, [...] I get it now!"""	5.0	Chilling... Haunting... Wonderful...	2002-09-14	5	4	1
B00005JL3T	Signs	A1VKEVP3GO1G9R	Aaron Amos	This movie is a War of the Worlds and ID4 wannabe. The aliens are hardly there.Most of the movie takes places in Mel Gibson's farmhouse. There is one crop circle in this whole movie. Sure it's hyped and critrics are saying it's one the years best films.Mainstream movies maybe?There is tons of plot holes and dialogue problems, It feels like a made for cable movie. Sure people will be screaming at the parts where you jump. Save your hard earned money and wait for this movie on DVD and video.If you must see it wait until it hits the second run movie theaters!	2.0	War of the World/ID4 wannabe	2002-08-17	7	3	4
B00005JL3T	Signs	A2D9CYWR7ZIG4F	Aaron Harrington	"Signs was by far, one of the greatest movies I have seen in a LONG time. It was excellently written, and told from a point of view no other ""sci-fi"" movie has doen before, that of a single family experiancing the event as it was happening. It doesnt even have a clear genra either. It was part sci-fi, part thriller, part suspence all rolled into one. It was especially personal in the scene with Joaquin Phoenix sitting watching the TV waiting for something to happen. After 9/11 we all know what that feels like. This movie was down-right incredible, and anyone who didn't like it is simply retarded. Nuff said. Go out and buy this movie, it will be the best $20 you spend."	5.0	One of the Best Movies I've seen in a LONG time	2003-01-03	0	0	0
B00005JL3T	Signs	A2LYFQEKJT6X6F	"""abbateen"""	Despite a good, juicy plot with plenty of foot-stamping, nail-biting anxiety builders and an unsettlingly ominous feel that was present in his previous films, Shyamalan doesn't repeat the twist ending that `The Sixth Sense' became massively popular for. Instead, he takes the one thing that was concealed throughout the entire film and throws it awkwardly in front of our eyes during the `grand finale'. It's unfortunate that such a superb talent like he would let something like this slip, but...he slips. Much of the film's mystifying appeal draws from the fact that you can't see just who is causing all this ruckus down on Earth, even though we already know they're E.T.'s pals. Still, it contributes greatly to the gnawing anticipation, and makes you wonder if Shyamalan had to compromise a more head-spinning conclusion at the studio's request in order to broaden the film's commercial appeal. Nonetheless, `Signs' puts on a hellish circus that keeps eyes and minds darting back and forth across reality and utter insanity. The lengthy scenes allows the tension to rack up to almost agonizing levels, keeping your mind and your heart racing at supersonic speeds. A lackluster finish, but it's still one hell of a ride.	4.0	Signs	2003-07-20	1	1	0
B00005JL3T	Signs	A1586VHLR1KE0U	Abby	I teach high school literature classes. Although there are some fairly obvious plots holes (aliens can't handle water yet invade a water-filled planet), this is an enjoyable movie that my often hard to please students can sit through and contribute to lively discussion afterwards. Terms such as symbolism, suspense, foreshadowing, flashback, character development, and foil are just a few well illustrated examples of literary elements that the students are able to see put to action from watching this movie.	4.0	Great Teaching Tool	2013-09-09	0	0	0
B00005JL3T	Signs	A2GCGMIX4KYP5F	Abq-John	The acting in this movie is excellent, they all seem to do the right movements and lines at the perfect time.  I always love the part where Mel Gibson and Joaquin Phoenix run around the house trying to scare whoever they think is out by their house.	4.0	Well done Mel Gibson movie!	2013-05-02	0	0	0
B00005JL3T	Signs	A3B0UOLTDMQ1SJ	A Customer	"I haven't seen a great movie in a long time and Signs didn't disappoint, don't expect to spell things out like they did in those biblical epics like the Robe, but I think that they did a pretty good job with this movie.Its not ""horror film"" scary, though its suspensful, there is some minor violence. In a way its filmed like those 40's shows like The Twilight Zone. Its suspensful in that way.There were subtle hints of faith and God and I think that they did a good job of it. Nowadays hollywood usually portrays people of faith in bad lighting, but this one didn't, and I think that it didn't offend for those that aren't religious.It was very well done."	4.0	Great	2002-12-21	0	0	0
B00005JL3T	Signs	A3ICCTSCBT7GS9	A Customer	I have seen this movie yesterday (tuesday) in the night and i've never been able to quit my eyes of my T-V !!! ... It's the first time which a movie can make that for me ! MEL GIBSON, PHOENIX and the two childs, and the evident  NIGHT SHYAMALAN realy, are merveillous, fabulous ! Mister NIGHT SHYAMALAN, probably, is now after this great movie a serious concurent for Mister Steven SPIELBERG but ( with a good consideration for them )I have a high respect for a man who's able to make many goods movies !	5.0	A MOVIE WHICH CAN GIVE SOME WONDERFULL... DREAMS	2003-02-26	0	0	0
B00005JL3T	Signs	A2MHCZTKRIIPFP	A Customer	I really think that a lot of people have missed the subtle point of this movie........it is NOT about aliens.  If you are expecting a hollywood blockbuster about alien invasion,  and the allies saving the day, then rent Independence Day.  This movie is about faith, family and hope, and what happens when these things are taken (or threaten to be taken) away from us.  That nothing in the world, good or bad, is a matter of chance it was simply ment to be.This movie displays one familys struggle with these concepts when there world, and way of life is threaten by an outside force and it appears that God has abandoned them.Many people have attacked Mel Gibson's portrayal of a father, a reverend who has lost his faith, as a weak attempt at acting, but he is simply playing a man who is still in shock and grieving at the recent loss of his wife.  Joaquin Phoenix (Mel's younger brother) is excellent in this film giving it much needed comic relief and providing both hope and faith in the face of his brother's dispair.  The two children are also delightful and the cast comes together well as a family.Watch this film with an open mind and follow the signs to Mel's revelation that there really is someone watching out for us all and we are never really alone.	5.0	Look a little deeper, you might be suprised	2003-02-06	0	0	0
B00005JL3T	Signs	A2426DQR551BJZ	A Customer	I wasn't on the edge of my seat, I wasn't exactly scared out of my mind, it's a little slow at times, and YES, several things were not logical. But hey! It's a pretty good movie. Great for the sci-fi fan. Special features are very nice, as well.	4.0	Good movie.	2003-03-09	0	0	0
B00005JL3T	Signs	A2CWDJ8MMQDTIR	A Customer	There is a deeper meaning to this movie other than &quot;ET's&quot;.I loved SIXTH SENSE and M.Night Shyamalan urges the viewer to think past the obvious and be more aware of SIGNS all around us...some guiding us through this life if we are aware.	4.0	Fascinating	2003-02-09	0	0	0
B00005JL3T	Signs	A188RC55NFSA7O	A Customer	This is a thoroughly enjoyable, scary/suspenseful movie.  I thought the opening credits were a bit corny (it actually reminded me of Monty Python and the Holy Grail's opening credits :) ), but the movie itself was very engaging and well-done.  I was hooked from the first scene!	4.0	M. Night's best so far...	2003-02-14	0	0	0
B00005JL3T	Signs	A2ITJ2M7NYT5LZ	A Customer	This movie attempts unsuccessfully to blend a Man vs. Himself theme with a science fiction theme involving aliens. The editting was confusing. Several deleted scenes should never have been deleted as they would have made the movie make more sense. Still others I wonder why they were put in to begin with.	3.0	Ah Mel, I expected much better...	2003-02-26	0	0	0
B00005JL3T	Signs	A2DXPESVGP95NR	A Customer	This movie was about a farmer who happens to be an ex-father, whose wife just died, and is living with their two kids &amp; his brother. Early one morning the find crop circles in thier crop. It was orginally thought to be a hoax but later prooved wrong.It was a great thinking movie as well as a great scary movie.  However, people who just like the scary part may be a little bored when it comes to the stuff you have to think about afterwards.  Also, it jumps right into the plot and you don't get to see daily life before the ailen stuff starts.Overall, it was a great movie and leaves you thinking are you a part of group 1 or group 2.	4.0	Great Movie	2003-02-08	0	0	0
B00005JL3T	Signs	A3FZLIQUSN2UQB	A Customer	Well, it started off good -- no lengthy drawn out beginning, it immediately got into the whole issue of the crop circles (i don't think I'm giving anything anyway by mentioning the circles).  Cute kids -- interesting concept -- but towards the end, it seems to have lost its way.  What started off as an intriguing concept degenerates to a weird ending.  I think M. Night Shamalan (the writer) has tried too hard to make the ending as unique as the Sixth Sense.  Came away with a feeling of disappointment as the storyline is resolved.	3.0	Well, it started off good ...	2003-02-06	0	0	0
