asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPY0	The Dark Knight [Theatrical Release]	A169CJ2NJQYIM6	"007 ""cmyth007"""	This was a solid movie, but way too long. It was as if they kept putting in another scheme for the Joker to pull off...then another...then another. Why? They could have cut 30 minutes from the movie easily.I have to say that I was expecting much more from Heath. While his performance was certainly solid, it was by no means the oscar winning portrayal I was hoping to see. And for him to have said that the role was so disturbing that it was causing insomnia and a lot of his problems--he clearly had some emotional issues then, because the Joker was actually a lot more tame that I thought he was going to be. All in all a solid movie, but it was too long and over-hyped.	3.0	Good, but not great	2010-08-16	6	2	4
B00005JPY0	The Dark Knight [Theatrical Release]	A2QB4F1510HPL8	13 Ways And Counting	This is one of the first blu-ray titles I've purchased that was produced in the last year. Most movies these days are not worth the price of admission to a movie theater let alone the price of a blu-ray disc. Dark Knight is the exception to both statements. I won't prattle on about plot, story, Ledger, and so forth.The picture quality here is superb! I didn't see a single film-grain and that has been present in every other blu-ray I've purchased. Hell of a nice change there. The blacks are dark as pitch which overall helps the contrast of color in the movie immensely. The IMAX shots are breath taking. When Batman is in China and does his dive off the sky skraper I was sucked in - exactly what it was supposed to do in the theater but failed on me. One of the biggest perks here - no make up lines on the characters. The director knew this was the time of HD - I challenge anyone to find a flaw in this presentation.The single downside here is Batman. Christian Baille bale - wahtever - his voice as batman sounds like he just sucked down 3 packs of cigs while having larengitis. He might look like Batman/Bruce of the comics but he sounds like sh... really bad :)Bottom line - a great movie, great BD transfer, well worth every penny. It's easily demo material	5.0	Dark Knight Blu Ray	2009-03-03	1	0	1
B00005JPY0	The Dark Knight [Theatrical Release]	A2GBR9ON9A00XU	"30 cent ""30 cent"""	that must have been the studios motto when they made the standard dvd. This has to be the worst transfer I have seen in modern film making. I am absolutely perplexed why this film was not made in DTS except as others have pointed out that perhaps they are trying to push Blu Ray.Its a great film ( I saw it three times in IMAX) but this dvd is a disappointment. We deserved better.	3.0	Why so serious....	2008-12-10	4	3	1
B00005JPY0	The Dark Knight [Theatrical Release]	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"(4.5 *'s) Everything is in place.  When a comic book action movie gets tipsy between the fortunes of good and evil, and one forgets the good guys are supposed to prevail, then you have a real comic adventure.  As tangible a menace as we could ever hope for (here played formidably by the late Heath Ledger), the Joker's every appearance rarely lets up with shock and surprise.  For these reasons, `The Dark Knight' is destined to become (along with `Spiderman 2') one of the greatest comic adventures ever made.Excellent performances, an intelligent script, and tension to match the riveting action, render `Batman Begins,' the acclaimed start-up, as just that--a beginning.  The only real fault I can find here is a resolution that lingers too long.  Too many winded speeches, while important and illuminating, take out some of the dramatic tension delivered in the movie's first two acts.  What the screenwriters accomplished in effective sound bites, turns the movie slightly too ponderous toward the end.  More a plus than a minus, though, just when you think the movie's over, it ain't over yet.The film wastes no time as Joker's clown-faced warriors hand glide across pulleys to rob a bank.  Treachery is in their ranks as the Joker has them kill themselves off ""so there will be less to split the share.""  The bills have been marked, however, and a would-be client of millionaire Bruce Wayne has them tracing it to an accountant from Hong Kong.  The Bourne element doesn't last too long, but once we're planted back at Gotham, the mob, the Joker, and the foreign gangsters, all have a stake in the bank money.  But as we're about to see, the Joker isn't after the city's money, he's after its soul.  ""Madness is like gravity,"" he chortles.  Actions speak louder than words; however, for surely it is chaos he covets.""A hero with a face"" (at least for now) Harvey Dent (Aaron Eckhart) is Gotham's District Attorney, a stalwart force to bring criminals to justice, jeopardizing his own life for the city's welfare.  The Joker will have none of it and breaks up a local crime meeting to instill a greater resolve among the crime syndicate.  With a menacing video, he threatens to kill targeted innocents unless the Batman is unmasked.  At Dent's side is fellow attorney and love interest, Rachel (Maggie Gyllenhaal), one with a keen sense of every situation and a steely resolve.  Constantly threatening the lives of key law-and-order figures:  The mayor, a judge, Lieutenant Gordon (Gary Oldman), Rachel, and Harvey, the Joker makes a relentless and suspenseful shell game creating endless tension throughout the movie.  Whether dealing with individuals or groups, The Joker leaves burdening choices testing the nerves of the entire city.Heath Ledger is simply masterful.  Ledger restored the creepy, sinister menace as the Joker was originally intended.  It's hard to compare him with Jack Nicholson.  Nicholson gave us great entertainment, giving us both the Joker's malice and laughter.  His romp was admirable, but I have to give Ledger the edge.  His laughter and jokes only send chills up one's spine.  Indicative of his talent, it's at those knifepoint moments when the Joker shares three separate stories about his indelible smile that Ledger's magic works the best.  When the Joker asks his interrogator, ""How many of your friends have I killed?"" I thought I was listening to the Devil's voice in `The Exorcist'.  Rumors of a posthumous Oscar nomination are not token gestures.Christian Bale is slightly eclipsed, but he still brings a quiet, brooding appearance as he did previously.  Second honors, rather, should go to Eckhart who adds so much.  As a multi-faceted actor, he does good and evil with tremendous skill.  Gyllenhaal, who's had her fine moments, really delivers a truly round and believable Rachel as if someone forgot to tell her the movie had comic strip origins.  Michael Caine is a perfect Alfred, and Morgan Freeman plays Lucius Fox, the second Alfred of Wayne enterprises without seeming extraneous.  None of the supporting players seem to falter, either.Screenwriters Jonathan and Christopher Nolan do a great job, except where I've indicated, but some of the plot points are going to lose some children [including me] along the way, and although they limit the clich&eacute;s, they're even smarter to make them count.  Both Nolan and editor, Lee Smith, deserve loads of credit for what they've created.  If they tightened up and hadn't gotten so ponderously philosophical near the end, they could have made a perfect film.  Here they come awfully close.(Although I'm from nearby Chicago, they transform the Windy City nicely enough to make us forget where the mayhem is actually transpiring.)"	5.0	"""Either You Die a Hero or You Live Long Enough to Become a Villain!"""	2008-07-18	25	18	7
B00005JPY0	The Dark Knight [Theatrical Release]	A382MGFJ8NGMJS	&#34;Sunshine Susanne&#34;	I purchased this blueray for my son's PS3 before Xmas and it arrive just in time for him to unwrap, We both Love this movie and got an awesome deal!!  Thanks	5.0	Love Heath Ledger	2010-01-07	0	0	0
B00005JPY0	The Dark Knight [Theatrical Release]	A7GOZOWJPV2PP	#3	I dont have to tell you how great this movie is, but it arrived on time and i was satisfied	5.0	The Joker	2009-01-07	2	1	1
B00005JPY0	The Dark Knight [Theatrical Release]	A3N26CT3Z7WA6K	A &#34;Billy T.&#34;	Without a doubt, this was the best of the Batman Trilogy movies.  The only similarity to the Batman movies of a couple of decades ago is that the Joker, played by the late Heath Ledger, still steals the show (there is a reason he was awarded a posthumous Oscar!).  The movie picks up after Batman Begins, with the Joker beginning a anarchist and murderous reign of terror over Gotham City.  Even the organized crime elements are no match for his evil, and Batman finds himself in the fight of his life.  He does not escape unscathed from this fight, and this movie in particular hits on the torture this hero experiences when purpose becomes loss.As would be expected, the clarity of the Blu-Ray disc is amazing, although there are numerous dark scenes (the actual footage, not just the theme of the movie).  The better your television, the more you will enjoy the film.  The Blu-Ray trilogy came out after I purchased this disc, but if you just need this movie, don't hesitate to purchase it.	5.0	BEST OF THE BEST!	2014-03-28	0	0	0
B00005JPY0	The Dark Knight [Theatrical Release]	A1L5ILUCJ2RXYK	A. ANDERSON	This is one for the ages. It may have been Ledgers last role but boy it was a great one. 5 out of 5!	5.0	Over the top	2008-12-05	7	4	3
B00005JPY0	The Dark Knight [Theatrical Release]	A3OWMX70M5NXVQ	"Aaron F. ""aaronfissel"""	I went to see this movie expecting something that was dark and entertaining. And guess what? I was completely entertained! The Joker, played by Heath Ledger, is one of my (if not) favorite villians. Here ihe is played a sick and demented being. And I liked it. I love a good psychopathic character. But, you have to give him some sympathy.The Joker is a character that has had a harsh and brutal life. So, it is only natural that he is violent and fearless. But that is what makes the character very amusing.I recommend this movie to anyone who loves the Joker or is a fan of Batman. The acting, special effects, and entertainment are great. So if you are looking for a great action movie, then this is the one to pick.	5.0	The Dark Knight- The Return of the Joker	2008-09-02	4	3	1
B00005JPY0	The Dark Knight [Theatrical Release]	A6P9RFAQRGXCA	Aaron	Best movie of the trilogy and now I get to see the Joker in glorious 1080p thanks to my ps4	5.0	Heath Ledger	2014-01-14	0	0	0
