asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6302610702	The Godfather Collection [VHS]	A4AVLZZGA1HWQ	1IJACK	Beautiful restoration of 3 classic movies enjoyed them before really enjoy them now couldn't ask for a better purchase at a fantastic price.	4.0	Exactly what I wanted at a good price	2013-08-18	0	0	0
6302610702	The Godfather Collection [VHS]	A1TNQWDYPFTCLE	243	"Love the Godfather. This collection item is great! Cannot get enough. I can sit down on any given day and watch these. Great buy. Must have for all the ""Godfather"" fanatics like myself."	5.0	A CLASSIC!!! GREAT BUY!	2011-04-15	1	0	1
6302610702	The Godfather Collection [VHS]	AQD5KCJGFC62Y	"3 Manx Mom ""Cat's Mom"""	I've been waiting for the price to drop on this restoration pak for some time. I really like it alot!	5.0	Godfather Collection great buy!	2013-09-17	0	0	0
6302610702	The Godfather Collection [VHS]	A1EBRB7NB3M2N9	7amaDa_93	The Godfather (1972) is my no.1 all time favourite movieAnd This DVD Set is AWESOMEThe films are beautifully restoredpresented in widescreen, 5.1 dolby digital audioTONS of special features (which includes the 2001 DVD bonus Features and new bonus features)I rate this set 10/10a must have in any movie collection	5.0	The Godfather Has Never Looked This Good	2012-01-19	3	3	0
6302610702	The Godfather Collection [VHS]	AYKGXWBE5YYFC	A.A.	The excellent quality met my expectations as Blu-ray and the cost was equally as gratifying. I have waited quite some time for the perfect deal and have finally found it!	5.0	Excellent quality!!	2013-07-05	0	0	0
6302610702	The Godfather Collection [VHS]	A3RYL7AVK13IU5	Aart19642007	It is still a great movie after all those years. Orginal movie transferred on BlueRay do not expect a &#34;clear and clean movie&#34; but way better than watching your old VHS tapes :-)	5.0	Can't go wrong with the GodFather!	2014-06-09	0	0	0
6302610702	The Godfather Collection [VHS]	AFQGXWXT38P96	"A. Augustin ""shopaholic"""	The Godfather DVD is an all time classic movie collection.  This set is definitely not for loan.  I have seen this movies countless times, but it never loses its charisma for me.	5.0	all time classic	2007-08-28	0	0	0
6302610702	The Godfather Collection [VHS]	A25TM6Q7ROIR0Y	ABC317	This set is perfect!  The sequel is on of the best!  The third movie although not as popular is still a necessary part to the trilogy and I respect if for what it is.  Overall this set is a MUST HAVE!	5.0	A TIMELESS CLASSIC!	2012-12-01	1	0	1
6302610702	The Godfather Collection [VHS]	APJTY0TCO4V70	"Abdelaziz Almijrin ""Azizan"""	"there is a say in my country, "" its Like a Fire On A Flag ""it means that there is no one that doesn't know the God Father ^^,received it in factory Seal"	5.0	fantastic	2010-09-14	10	1	9
6302610702	The Godfather Collection [VHS]	A1G0IHVBEN8ZTB	Abdulla M. Al Qasim	If I've seen this movie once, I've seen it a million times! I used to have the set on VHS but never went out and got the set on DVD again for some reason... even though I no longer have a VHS player.First of all, I bought this item because I just love the trilogy and had to have it... couldn't always wait till they showed it on TV! Plus they always show it at some bizarre time during a week day! (Not really worth getting the talking to from the boss because you showed up to work as a sleep deprived mindless zombie over a movie!)Secondly, after reading some of the reviews and their comments on how these movies were restored and how the picture and sound are pin sharp and such, I thought that it would be as if I was seeing it for the very first time... I guess my expectations were very high at first! But To be honest they were right... once you actually ignore the movie and focus on the image... you do notice it.. you don't see any of those fuzzy objects, blotches, and dust that shows on film or VHS tape... it is clear in that sense. In terms of the sound, it is a lot more audible especially when the characters speak in low voices, in the past you had rewind and crank the volume up to hear the dialogue... not the case with this restored version.Thirdly, I always prefer buying movies in complete sets, even though I think that Godfather III was not up to par with the other two! Hey, it doesn't hurt to have it in there, especially at the Amazon price!Fourthly, the price definitely makes it an obvious choice! Three classic movies for an amazing price in one pack!Can't complain really about anything with this item and I am generally very pleased with it and recommend it to any true fan of the trilogy.	5.0	An Offer You Can't Refuse!	2011-06-12	3	3	0
6302610702	The Godfather Collection [VHS]	A14HSQ5AZ1SS0G	A. Bosche	Great DVD collection. I like being able to watch the set instead of having to wait for the next part. Great acting and action scenes.	5.0	Great DVD collection!	2013-12-01	1	0	1
