asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0790705141	The Shining [VHS]	A2QB4F1510HPL8	13 Ways And Counting	"We've all seen this one, know the lines, and you likely have this on VHS and DVD.That being said; a really good Blu-ray transfer. Shelly Long and that hideaous gaping maw of a mouth has NEVER looked so repulsive. Her giant piano key teeth really pop out during the beginning of this movie. It was the first thing my fiance and I noticed.Jack Nicholson looks just that much crazier in hi-def. If you like the original film/DVD/VHS this is worthy of your Blu-ray collection.On a side note - the TV mini-series movie thing is also on DVD. In my opinion it is far superior to Kubrick's rendition of the shining any day. You'll know exactly what I mean if you've read the book. Get this one on Blu-ray and also purchase:""Stephen King's The Shining (Two Disc Special Edition) (1997)""Use the above text in a search on Amazon, it's only $7.50 - you won't be dissapointed!"	4.0	Blu-ray Review - Worthy of purchase	2009-01-06	2	1	1
0790705141	The Shining [VHS]	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"(4 1/2 *'s) After all these years, I hedged at the prospect of watching `The Shining`.  Having seen the snippets of Jack Nicholson's skillful performance, I partly dismissed the movie.  In my mind, thinking of his famous line, ""Here's Johnny!"" the film seemed a novelty, something entertaining in a way it wasn't intended.  Between Stanley Kubrick's amazing direction and Nicholson's and Shelly Duvall's excellent performances, first impressions can be misleading.  Watching `The Shining' is a real treat.Most people are familiar with either the film or the Stephen King book or both, so I'll be brief about the plot:  Jack Torrance (Nicholson) is a former Vermont school teacher, transitioning as a novelist.  He interviews as a hotel keeper during the off season in Colorado's high country with the prospect of bringing his family to the empty domain.  During the interview, his new employer delicately lets him know about a tragedy at the hotel several years ago:  A former caretaker became unhinged by cabin fever and had slain his entire family with an axe.  Unfazed by the history, Jack signs on the dotted.  At home his son Danny has rough times.  A visionary of sorts, his other personality picks up on future ominous events, making the boy dread their new venture.  At the hotel, they meet the head chef, Dick Halloran (Scatman Crothers), who picks up on little Danny's perception with an ESP type awareness.Both the story and Kubrick's masterful direction make 'The Shining' a horror classic.  From the start we get vertiginous mountain views and all of the visions seep into our unconscious core, making the deep winter mountain adventure chilling indeed.  Seldom have I seen such an effect of going around the bend.  Whether from the point of view of boy on a Big Wheel  or in an outdoor labyrinthine evergreen maze, the suspense of danger around every corner is palpable.  Foreshadowing is amply present, constantly building up every scene to each chosen climax.While nearly a flawless horror movie, there are a few objections.  Jack makes some connections to the horrible past in ways that are meant to be authentic, but break some of the mood of the movie.  While the time frames are well connected between present and past, the execution leaves something to be desired as Jack finds a key player in the past.Despite this minor objection, `The Shining' is a thriller.  The aftermath of my latent viewing is awe for Nicholson's creepy performance as the slowly transforming Jack, and Duvall's portrayal of growing terror is unnerving and frames Nicholson's performance perfectly.  Like Linda Blair before him, Danny Lloyd is perfectly believable as the little boy.  Happy Halloween! -JP |:>["	4.0	Just Around the Corner	2007-10-31	2	0	2
0790705141	The Shining [VHS]	A1ZHWV6CXS3SHO	"A. Afzali ""Betty Afzali"""	"Being a fan of ""The Shining"" I was impressed with the clarity of the detail and the sound.  I felt I was watching it at the movie but with the comfort and the privacy of my home.  Whether you have seen this movie or not it is really worth your money.  And the price is priceless.  Good Buy"	5.0	Wonderful, like being there	2009-02-20	2	0	2
0790705141	The Shining [VHS]	A4E14C94X8BHE	A. Ambriz	This movie is fantastic. Stanley Kubrick is a genius. Since I bought I have watched this movie at least 10 times.	4.0	Awesome	2009-04-12	4	0	4
0790705141	The Shining [VHS]	AF5W4DFT7LM8A	A. Berry	As usual. But this is a good movie nonetheless. it's Kubrick, for God's sake, what do you expect? I was surprised to read that Stephen King did not like the adaptation. Of all his movies that were adapted, I think it was one of the best. Again, the book is a must read. Jack Torrance was a much different character, and his transformation at the hotel was much much scarier as a result.	5.0	The book is better	2014-04-11	0	0	0
0790705141	The Shining [VHS]	A32JKNQ6BABMQ2	"abe ""starman"""	"the only flaw in this one is a lot of people dont understand what the hell the shining is and what the hell is going on.well,in this movie it is included but its not really necessary to know.the story was written by stephen king who is widely called the best horror writer ever.it was directed by the greatest film maker ever,stanley kubrik.it starred the greatest actor ever,jack nicholson.how could you miss with a lineup like that?the story goes that ol jack and his kid who sees dead people and his flaky ol lady stay in a giant house all winter and cant leave due to snow.jacks a writer and so he thinks the quiet will be good.it sets him crazy.jack nicholson stars in it.if youve been in a coma since the 50s he was in such greats as easy rider,one flew over the cuckoos nest and hells angels.the kids will get freaked by this so put them to bed.this is a horror film if i havent made that abundantly clear already.theres this one part where hes chasing his wife up some steps and he says all cooly,""i dont wanna  hurt ya,i just wanna beat your brains out"".it was classic!the director is the best one ever,stanley kubrik who made such classic films as,2001:a space oddysey,a clockwork orange,full metal jacket and eyes wide shut.whoever that chick is was on a stanley kubrik documentary.she wasnt trying hard enough and he bitched her out in front of everyone.he said something to the effect of""if your not going to try,what are you being paid for?youre wasting my time and everyone else in heres time too.all you have to do is drag this 6 year old around and look scared.whats so hard about that?""it was hilarious!its a classic!id say kubriks 3rd best film and the 12th best film ever made!the best horror film ever so therefore the best stephen king movie also.any true film lover will love this one.there are parts where thier boy suffers with his mental problems.this is a bit emotional.but you know stephen king,hes not happy unless some kids getting wasted or has some serious problem.hes a real sicko!someone should lock him up.i think there was only one movie released in the entire 70s that was better.his woman is very weird looking.shes also stupid and obnoxious.jack nicholson gave  his best performance ever here.although one flew over the cuckoos nest is neck and neck for his best acting.is it as good as the hype?no.ITS WAY BETTER!!!!!!!!!!!!!!!!its a long one but worth every minute."	5.0	the best horror film ever	2004-10-01	4	0	4
0790705141	The Shining [VHS]	ATEUA58FJ025B	A. Biggs	Wonderful film, Nicholson most assuredly owns his role in this film like no other. I only gave four stars instead of five because the captions are about a minute to fast which makes them both distracting and effectively unusable.	4.0	Wonderfully scary, horrible captions.	2013-11-01	0	0	0
0790705141	The Shining [VHS]	A2C9Z0KRV0J3N1	A. Bird	loves this.  Jack Nicholson is again his best.  If you want an edgy, disturbing thriller ... this flick is for you	5.0	My son-in-law	2014-03-17	1	0	1
0790705141	The Shining [VHS]	A22AD8M2SSOFHJ	"A. C. Ege/Acedoh ""acedoh"""	This classic remains a sensational, psychological thriller over 25 years later.  The story remains the same but now it comes in fantastic high definition.  Stanley Kubrick's vision was different from how Stephen King originally wrote it.  Although it's Kubricks vision that makes this movie so enjoyable.Set in beautiful Colorado the story is dark in a bright environment.  Jack Nicholson plays an average father named Jack.  Jack has been unemployed for a few months and is trying to be a writer.  To further his writing he takes the opportunity to move his family to a desolate resort in the Rockies.  The resort closes during the Winter and hires Jack to be a caretaker during that period.Jack's son Danny has begun to exhibit abnormal behavior by making an imaginary friend out of his finger.  This friend tells Danny things that seem to exhibit a special ability.  Jack's wife Wendy just seems to want everything to go right in their lives.  Unfortunately the move to the resort is the worst thing that can happen.Most of the acting is excellent in this movie and the scenes are still scary at times.  Even though movies have become more action packed and fast paced The Shining still shines.  That is why movies like this get even better with time.The Blu-ray version is okay.  The remaster is not the best I have seen for an older movie.  The picture is more defined but still not what I would like to see.  I am not going to mark down the score since this movie is too good for that.  The picture is better and the price is right.  For people who want to add a wonderful classic to their Blu-ray collection, The Shining is quite the movie to have.  For the price it can't be beat.	5.0	Still Sensational	2007-12-29	7	4	3
0790705141	The Shining [VHS]	AO3JW5VHT2GQ	A Customer	Summary:Jack Torrance (Jack Nicholson) is a writer looking for some time to get away from the hectic humdrum of modern life so he can focus on writing.  Hearing that a a Colorado resort, The Overlook Motel, closes for the winter because of extremely deep snow but needs a maintenance person to stay there during the winter months to prevent major damage, he signs up, bringing along his wife, Wendy (Shelley Duvall), and his son, Danny (Danny Lloyd)...My Comments:I remember seeing this on TV (edited obviously) when I was younger, but I didn't remember much of it by the time I watched it again, just a few shots of Jack Nicholson's crazed face.  I can only guess that I tried to forget it as a child so I could sleep.  This must be a very disturbing movie for children seeing as how Danny's father, one of the people he is supposed to be able to trust, is trying to kill him.Of course, I'm no longer a child and my opinions have changed.  Watching this as an adult I found the movie to be absolutely entrancing.  There are some problems, of course, but nothing particularly major.  First, as the movie worked its way into the depths of Jack's mania my wife and I were discussing what we believed would happen (I really couldn't remember the plot, so this was a fair discussion).  It wasn't that hard to guess based upon the setup - ...  But despite knowing pretty much what was going to happen, there were still a number of unpredictable surprises.  I found the delusional conversations with people out of the past of the motel to be particularly engaging.The other problem I had with the movie was Shelley Duvall.  Is she not the biggest whiner and wimp you have ever seen?  I think it really came out in the 'making of' featurette that she is all about getting attention; she's like a spoiled child.  Perhaps this worked perfectly for her role, her constant crying and giving in to Jack, but just the story itself and the performance by Jack Nicholson were probably enough to guarantee that whoever played his counterpart would be good.  Not that I can really question Kubrick's decision, it did, after all, work very well, but Duvall is still whiney and annoying.One final comment about the special featurette on the DVD... Though the behind the scenes shots included in the featurette were very interesting and gave a nice additional perspective to what was going on, Vivian Kubrick is not Stanley.  Apparently she hasn't tried to hard to follow in her father's footsteps, thank goodness.  I don't know how you could really spoil the 'making of' featurette of this movie because pretty much everything about the movie is fascinating, but the way she arranges the clips and includes some bizarre shots is more distracting than entertaining and educational.  There isn't really much of a need to be overly artistic with a 'making of' video.Overall, I don't think I would recommend this movie for children.  However, after having seen it I think I'd like to visit the 'real' Overlook Motel (the outside shots were of Timberline Lodge on Mt. Hood in Oregon) to get a pictures; I drove through Fargo, ND for the same reason.  It's a great movie with a classic performance by Jack Nicholas.  If you want to be entertained by a classy thriller, see The Shining.	4.0	Amazing!  No wonder it scared me as a child	2003-07-01	0	0	0
