asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A24WS6O2QEMADN	212wonderwoman	I can't believe I didn't watch it sooner! The acting and writing are amazing! And who doesn't love a good mob series?	5.0	Loving the Sopranos...	2013-12-23	1	1	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A3RYP0AI866AGP	2j	I never watch this show when it was on, but I am very happy that it is now on Amazon Prime.  The show is a little slow in spots, but the characters are great, they are very real, don't seem fake.  I am looking forward to watching the rest of the show.	5.0	Great Show	2014-06-05	0	0	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	AD5TIO149QRVF	4realguy Beaumont, Tx	I liked the show when it aired originally and i wanted to pass some time so i just picked this show . I like looking back at old shows, it took me back to a place in time. I would recommend this show to all that haventn't seen it and those that have,	4.0	This was a nice show	2014-06-28	0	0	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A2CXTQCBDO8RIU	7413	Fantastic acting complex personalities black humor psychological drama and especially interesting psychiatric sessions. Always looking forward to see what happens	5.0	Compelling and engaging esp. Dr Melfi	2014-03-25	0	0	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A1EPTOYTJ1K2ZM	Aaron L.	I can only think of one word to describe the incredible HBO show known as the Sopranos: amazing. This show has everything necessary to be the best show on television. After every viewing of these awesome episodes, i leave feeling great and want to share the Sopranos with everyone i know. You have to check this show out if you haven't already. And if you have, you already know what i'm talking about.	5.0	Sopranos AMAZING!	2003-01-06	2	1	1
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A26NP96OTW6GW3	Aaron M Stenehjem	If you're looking for a good mob story, congratulations, you've found one of the best.If you're looking for something more, stick around, this one has depth.  A long, unflinching and often brutal look at the changing nature of family in the 20th and 21st century, Tony's story gives a window into the new needs and changes in american culture in general.  The old ways are old, the new ways are unknown, and all of the characters struggle to find new paradigms to guide them into the unknown.  For both Tony's family and for his &#34;family.&#34;That's just the tip of the iceberg.  Motherhood, men and women, ambition, the american dream and more are all indicted, investigated and dissected.	5.0	A good mob story with vast depth and complexity.	2014-06-30	1	1	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A3VZVDG1D0OM8J	Abdolreza Sagakhaneh	i had seen it before but is still good the second time	5.0	Five Stars	2014-07-08	0	0	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A1NGZ529J2CWNK	"A. Covati ""@covati on twitter"""	This show stands the test of time. It's well written and has great plot with believable characters. I also appreciate how they don't shy aware from violence, but still manage to not become gratuitous -  though this may be more a factor of the era in which it was made.Either way, this is definitely in my top 10 of shows.	5.0	A classic	2014-05-30	0	0	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A3MV1KKHX51FYT	Acute Observer	The Sopranos, Season OneThis show created a sensation when it was shown on HBO [similar to what &#8220;Peyton Place&#8221; did around 1965]. They both discussed events that were censored in the corporate media, then. Both gave people a topic to gossip about at work. Even today there is little said about &#8220;organized crime&#8221; and its function in today&#8217;s society, except on rare occasions. Did America have a problem with organized crime before 1877? I didn&#8217;t read about it in any schoolbook. One reason may have been the existence of the citizen&#8217;s militia, and a more rural life. One reason for avoiding this topic is the usefulness of organized crime by the ruling class, such as union busting or taking over a union. I once read a newspaper article that told how the Teamster&#8217;s Union was formed in the Mid-West by socialists in the 1930s only to be taken over by organized crime when the US Government prosecuted the founders. The corporate media rarely features the workings of organized crime, except as history.This First Season is contained in five VHS tapes.Volume 1 has episodes 1, 2, 3:&#8220;The Sopranos&#8221;; &#8220;46 Long&#8221;; &#8220;Denial, Anger, Acceptance&#8221;.Volume 2 has episodes 4, 5, 6:&#8220;Meadowlands&#8221;; &#8220;College&#8221;; &#8220;Pax Soprana&#8221;:Volume 3 has episodes 7, 8, 9:&#8220;Down Neck&#8221;; &#8220;The Legend of Tennessee Moltisanti&#8221;; &#8220;Boca&#8221;.Volume 4 has episodes 10, 11:&#8220;A Hit is a Hit&#8221;; &#8220;Nobody Knows Anything&#8221;.Volume 5 has episodes 12, 13:&#8220;Isabella&#8221;; &#8220;I Dream of Jeannie Cusamano&#8221;.Was this story of a mob leader based on reality of just a clever story to attract viewers? I think a mob leader who sought psychiatric help would suffer either from his own gang or rivals who sensed a weakness. What leaders in business or government do this? Did this show have any imitators? &#8220;Imitation is the sincerest form of flattery.&#8221;	4.0	Based on True Crimes	2014-03-20	0	0	0
B00003CXOO	The Sopranos - The Complete First Season [VHS]	A2QTU5CFK5I4VY	"Adam Elgabri ""gabri2"""	"The Sopranos is probably the greatest TV series ever. Each actor in the show plays a complete human being. Filled with layers of psychological depth complex relationships, which are combined in a way which mimics life in such a way that anyone anywhere can see a bit of themselves in middle aged mobster, Tony's ""other"" family and in every other character on the show. Because the Sopranos takes the time to capture the little things which make us uniquely human. Every character has flaws and is filled with contradictions, each character lives with their contradictions and ignores those of others. David Chase once said the joke of the Soprano's was ""that America has become so selfish that even a mobster they guy who invented the idea of me first needs therapy."" I think that is defiantly a central theme of the Sopranos especially this first season. In latter seasons the characters will develop further in the eyes of the viewer as they face life and all of its trials and tribulations. All deal with it differently some to great success others to their ruin; but in the end this system of theirs sustains itself a general balance remains. The show comments on the questions the modern American is often forced to consider. I do not think history will forget the Sopranos the show which redefined what many expect when they sit down to watch TV. In all likelihood you will be totally captivated. Each epidode builds on episode various tentions are layed down and are pulled as the season builds to its final climax. The final episode of this season stands in my opinion as one of the best episodes of the Sopranos."	5.0	Without a doubt like no other	2004-12-17	3	1	2
