asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000A59PMO	Veronica Mars: Season 1	AVINP5V1PXZLW	Aarion Hill	It's a s good today as it was when it came out. So glad I'm able to watch it on Amazon Prime!	5.0	Witty and Timeless	2014-03-13	0	0	0
B000A59PMO	Veronica Mars: Season 1	AD66EAK1WVOAG	Aaron Hobbs	Good Storyline and very good character development. I m a huge fan of Buffy the Vampire Slayer and this falls in line with those teenager not-yet-an-adult stories we all experienced....	5.0	One of the Best Semi-Innocent shows ever	2014-03-03	0	0	0
B000A59PMO	Veronica Mars: Season 1	A1N0U3TU52PFEF	A. Babcock	The first episode was a little too intense for me, but I'm glad I stayed with it.  The next two episodes just keep getting better!	3.0	Enjoyable	2014-04-08	0	0	0
B000A59PMO	Veronica Mars: Season 1	A39R6IEDN82KDD	AbbyL	Smart, funny, intense! Veronica is the coolest young woman ever; I wish I coukd be just like her! I loved this show!!!	5.0	I loved this show!	2014-03-21	0	0	0
B000A59PMO	Veronica Mars: Season 1	ANR9L9OKGNZQ5	abdallah aljaser	It's very nice TV show and interesting story with very clear HD high Quality. I hardly recommend to watch if you have free time.	5.0	TV show.	2014-01-28	0	0	0
B000A59PMO	Veronica Mars: Season 1	A2UMF9D5EH20S9	"Abdulaziz Mofarrij ""Aziz"""	Veronica Mars is the best tv show right now. I don't have alot of time explaining what the show is about, But i can tell you this. It's Perfect!!	5.0	Best Show Right Now!	2007-01-23	3	1	2
B000A59PMO	Veronica Mars: Season 1	A2621S1LEBPORZ	A. Beyer	I don't think that I have truly known what it is to love a show until I started watching this one. Consistant and complex writing week after week, such a rare and precious thing to find on television today . These DVD's cannot come out soon enough!	5.0	True Love	2005-04-20	10	8	2
B000A59PMO	Veronica Mars: Season 1	AQPA1P5XVMALW	Abigail Grimaldo	Really great show. Awesome. Great story lines really good acting. Veronica and her dad make a great team and are there for one another.	5.0	Awesome	2014-01-28	0	0	0
B000A59PMO	Veronica Mars: Season 1	A2AZI1YFSL2WQC	Abigail Peterson	Gripping, compelling. Kristen Bell is brilliant and convincing.  Highly recommended to anyone who likes mysteries and/or strong, original female leads.	5.0	Amazing	2014-03-06	0	0	0
B000A59PMO	Veronica Mars: Season 1	A3QJDW1W85YL1F	Abraham Lincoln	Good writing....good directing....good acting.I'd give it 5 stars but while I liked &#34;Veronica&#34; using her creativity and questioning mind for public good and to help others, she acts like a brat when she breaks laws and societal rules to advance her own personal curiousity and personal goals. Of course, she's only 17 in season 1.....perhaps as I watch the next two seasons I'll find she grows up a bit and develops a code of personal honor.	4.0	Close to a must-see because you may really enjoy it though that's not guarenteed	2014-06-01	0	0	0
B000A59PMO	Veronica Mars: Season 1	A1QD2VXG0F3ZJ9	Abraham Perez	This show is very underrated. It doesn't get 5 stars because of the over sexualization of the main character on one or two episodes. The show can stand on its on two feet. Other than that it is very good	4.0	A must watch	2014-03-28	0	0	0
B000A59PMO	Veronica Mars: Season 1	A2Y4BTPSV1PGYO	"A. Byrum ""internet gold"""	My desire to respond to people in a veronica-esque way grows stronger with each episode.fun characters and annoying as well.	5.0	A great show	2014-02-04	0	0	0
B000A59PMO	Veronica Mars: Season 1	A4FG9HVYV806Z	"A Clark ""Auriella"""	I don't know how I missed this series when it was originally on tv but I wish I hadn't! Plus I watched it just in time for the movie to come out. It's greatfor everyone. My husband didn't want to like it but got hooked too.	5.0	How did I miss this?	2014-02-18	0	0	0
B000A59PMO	Veronica Mars: Season 1	A3B6OPGJ5NQQHT	a. corbino	Normally I would have passed on any teenaged show. I'm a senior citizen  that does not enjoy our youth's fascination with vampires, super natural and weir wolfs. I did watch Twilight while visiting my 45 plus year old son over the holidays. (not my choice) It was a well done production and to me the story line was stupid..Veronica Mars has a good mystery story line for each segment with a thread of believable personal relationships connecting one with the other and by the star ratings others have thought so as well. WHY only three seasons. The bachelor has been going on forever with two stars see what I mean?	4.0	Impressed with the quilty of the series	2014-02-13	1	1	0
