asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6305368139	You've Got Mail [VHS]	A1AAIZE46O771R	100% Real	You got Mail is a cute love story, but really predictable. i did like it though, Tom and Meg go together really well. The main stiryline is two bookstore owners going head to head and they can't stand each other, but little do they know that they are chatroom friends!! Twisted and sweet. Although, I has to say that it portrayed NYC very unralistically,clean streets, sunlight everywhere. kinda odd, but still good, give it a try	4.0	Alright, it was cute..	2005-07-25	2	0	2
6305368139	You've Got Mail [VHS]	A2MUGA5ZZV6J9S	2boys	This movie is a fabulous movie.  It is both funny and romantic!! Highly reccommended.	5.0	You've Got Mail review	2009-03-29	1	0	1
6305368139	You've Got Mail [VHS]	A36SGX0Q73BK8V	"&#34;Motives&#34; ""CL"""	Has Prime for a year now but it's the first time watch Prime instant video. Very nice and smooth! Best part - convenient and FREE!	5.0	Free movie watch at home!	2013-10-19	0	0	0
6305368139	You've Got Mail [VHS]	AKD68P643ZY8A	"AAH1234 ""AAH"""	I absolutely love this movie. Hanks and Ryan have so much chemistry together and the story is so adorable. I have watched this movie so many times and love it more every time!	5.0	Wonderful	2006-08-20	2	2	0
6305368139	You've Got Mail [VHS]	A1OTPK4RGJDBO1	ABS	This is a dreamy New York City film that everyone wishes was their real life!Myself included.It's basically the beginning of the internet for personal use in the late 90's, and a love story of sorts plays out in a strange way online. To complicates things, a rivalry ensues.I adore the cast of charachters. Even the ones with small roles, like Birdie and Joe's grandfather. I love the wording of the emails that are sent from both Joe and Kathleen. I love the locations, and the apartments are to die for!New York is also one of the stars of this film. There are so many city scenes in this movie, and it makes you wish the New York of today was more like it was then.To sum it up, I think this is Nora Ephron's finest film (screenplay and direction) to date. I watch it several times a year. And even though it's from 1998, it is still the one movie which makes me truly happy every time I watch it. It's sweet, romantic, and my favorite movie of all time.	5.0	Favorite Movie Of All Time...	2011-02-13	4	4	0
6305368139	You've Got Mail [VHS]	AWDZELKEBQYN9	A Customer	I loved this movie.  I am huge fans of both Meg Ryan and Tom Hanks and love all their movies that they are in together and seperately.  Some critics said this was &quot;Sleepless in Seattle&quot; just done with  computers and instant messaging.  Well, I disagree.  It's a great movie and  any fan of either Tom or Meg will love it.	5.0	This is a wonderful movie	2000-01-11	0	0	0
6305368139	You've Got Mail [VHS]	A25A0MJV5TXDR8	"A customer ""yourpalvince"""	I can appreciate most of the negative criticism toward this movie, but I choose to disagree with almost all of it.  I found the movie just pleasant enough not to take too seriously; Ryan and Hanks have great chemistry; and I'm a sucker for New York location movies.  My favorite parts were Hanks' riff on The Godfather and the look on his face when Ryan told him he was nothing more than a suit.  (At that moment, I became aware of how far Hanks has come as an actor, how much more depth he gave to his performance than Ryan could give hers.  As one critic said when it was first released, look at the facial expressions on each of them when they're typing -- you can see how effortlessly Hanks conveys his thoughts, whereas Ryan mugs as if her monitor were a vaudeville audience.)My biggest complaint--and I had the same complaing about Sleepless in Seattle, but to a lesser degree--is that Ephron relies too much on familiar songs to trigger emotions the story itself should be supplying.  And since the story does supply them, the music is really unnecessary.  She all but sabotaged the entire project for me when the finale was suddenly disrupted by &quot;Over the Rainbow.&quot;Still, I do enjoy this one; it's one of those imperfect movies that's nevertheless watchable anytime, anywhere.	4.0	Delightful, but drop the soundtrack	2000-12-13	1	0	1
6305368139	You've Got Mail [VHS]	A213YBEA9563Z8	"Adam Apple ""Adam"""	Entertaining and fun relationship flick with the outstanding team of Meg Ryan and Tom Hanks.  These two always work great together!	4.0	"Good Film -- even the guys should like this ""chick flick!"""	2006-11-04	0	0	0
6305368139	You've Got Mail [VHS]	AT1DJ8U7KUV6K	adaminchains@earthlink.net	I place &quot;You've got mail&quot; right up there with &quot;Breakfast at Tiffany's&quot;, &quot;Sabrina&quot;, &quot;My fair lady&quot; and all the other movies that when you see them reach into your heart and never let go.  It's not filled with nudity, violence, excessive swearing, or all the  other things that are the death of good films.  It's very well paced, and  has the feel of a warm book more then a movie.  For all of you who search  the video store desprate for that perfect love-story movie, &quot;You've  got Mail&quot; won't let you down.	5.0	An great movie for the heart.	1999-05-13	0	0	0
6305368139	You've Got Mail [VHS]	A2PV6GK1HV54Y9	ADRIENNE MILLER	You've Got Mail starring Tom Hanks and the oh so adorable Meg Ryan is their third pairing onscreen and boy the sparks sure do fly brilliantly. In my opinion, Sleepless in Seattle is their best film together but they only have two scenes together in that film so I highly recommend You've Got Mail because their chemistry in this film is amazing. This movie is based on the classic, A Shop Around the Corner starring James Stewart. This verison has that same old-fashioned love story feel but has a modern twist to it, instead of writing letters to each other like the original, Meg and Tom communicate via e-mail and it works! Buy this cute and simple movie today, sweet as can be!	5.0	"""I was hoping it was you."""	2006-08-09	1	1	0
