asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6302760046	2001: A Space Odyssey [VHS]	A319PM1MXFDS03	#1 D.C. fan Gene (GeneleeX@aol.com)	2001 is one of the best movies out there.  Yes it is slow.  Yes the dialogue takes up only a fraction of the entire movie.  The reason why this movie is so good is because it makes you think- it's a lot like reading a  book.  There's a lot of symbolism and meaning, and if all you're looking  for is plot, you'll be sorely disappointed.  If you don't like to think,  then this movie is not for you.If the movie confuses you, read the book  and then try watching it again.	5.0	Great movie if you have a brain and like to use it	1999-07-25	1	1	0
6302760046	2001: A Space Odyssey [VHS]	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"Please permit me to ramble for a moment. Or skip to my 2001 review/analysis recommendations ---YOU DO NOT WANT TO MISS THIS STUFF.I feel like being a dork. And I know I ain't tellin' ya anything you probably don't already know. 2001 is boring? Most boring movie ever? See the review below or a recent skit from the usually hilarious ""Robot Chicken"" show late at night on Cartoon Network's Adult Swim lineup.To some viewers -of all ages- it is boring. Typically people that already don't like science fiction, movies without a lot of ""action"", and/or that have an aversion to ambiguity and being in any way challenged by a movie.But obviously more people born in the 1980s and after do have a problem appreciating this classic because they have grown-up in a media environment in which mind blowing special effects are taken for granted. An era (it needs repeating) that came about due in part to the groundbreaking work done in making 2001. Before 2001 movies did not have good ""special"" effects (arguably a couple or so minor exceptions). Kids today have been raised on a steady diet of video games and Hollywood films in which speed and action are taken as necessities and continually evolving and supposedly improving graphics and eye dazzling imagery are completely expected. Supposedly better because for the most part the look of 2001's ships, space stations and costumes, while perhaps in some regards is aesthetically dated, do look better, more real, more realistic and more probable. Just compare 2001 to the cgi showcase that was the Star Wars prequel world of George Lucas. It isn't surprising that when you hear Lucas talk it is usually about the cost effectiveness of his digital Baroque Nerdism. (That term was coined in a hysterical review from the Village Voice titled ""May the Force Be Over"". I recommend it.) The media world younger generations are coming out of has left them with very short attention spans (even more than my generation!) and overstimulated senses to the point that the mind is dulled.Nothing will change this. But maybe some historical context and some interesting analysis would help. You have to care in the first place, BUT to those that maybe care to appreciate this movie instead of bash it, I got a couple of supplemental reading and video presentation suggestions.*************Much has been written about genius Stanley Kubrick's groundbreaking masterpiece. I want use this space on Amazon to share some recent discoveries of mine. If I were a fan or if had never heard anything about this movie I would appreciate checking out this stuff. So this is in the spirit of making this ""review"" useful or helpful to Amazon customers, but I have nothing original or interesting to say myself. People much smarter or more interesting than me -and who have dedicated more time than I ever could- have analyzed this movie as much as movie can be analyzed. And some have probably gone a little too far....but that's for YOU to decide. You'll probably at least enjoy the ride. It gets pretty ""out there"". More than you'd ever believe.---Read Rob Ager's analysis: ""'Kubrick: and beyond the cinema frame' An in-depth analysis of 2001: A SPACE ODYSSEY"". And then watch the incredible video version of the review on his site, ""Collative Learning"", or You Tube.---Then check out ""2001: A False Flag Odyssey"" by Joe Bisdon. There's a link to it on Ager's site.---And of course worth going to is ""The Kubrick Site"". Lots of articles on Kubrick films...---You know what? Wikipedia is great. Lol. It's often criticized as unreliable source of information but it's usually worth checking out. In any case, the entry on 2001 is loaded with interesting tidbits on the making of the film and the fascinating development of what story to tell and how to tell it, as well it's reception and unique cultural impact. Plus you'll find ""External links"".Like stated above, there is just a ton off great stuff out there, but Ager's work kept me busy for a awhile and added even more to my experience of a film that I have loved so much over the years. Hope you enjoy it as much as me!!In the end I value this film not because of some secret meaning perhaps embedded within it or as an interesting puzzle to be solved, or because of it's important place in cinematic and cultural history, but rather because it triumphantly does for me what it's creator exactly intended. And I can't think of the medium of film going beyond the achievement of this type of experience for the viewer.""They are the areas I prefer not to discuss, because they are highly subjective and will differ from viewer to viewer. In this sense, the film becomes anything the viewer sees in it. If the film stirs the emotions and penetrates the subconscious of the viewer, if it stimulates, however inchoately, his mythological and religious yearnings and impulses, then it has succeeded"". -Stanley Kubrick"	5.0	NOT boring, if you can pay attention: Appreciating 2001 - A Space Odyssey	2009-07-12	15	9	6
6302760046	2001: A Space Odyssey [VHS]	A1Y09QLADQYQJG	&#34;T=H=E --- 'Older Than Dirt' --- Time Tra...	"I'm an old man. I saw this film after a Jimi Hendrix concert, but before I went to Vietnam... in the 'sixties.Now thatIam in MY sixties... the film sorta reminds me of coming from a Hendrix concert, stoned out of my mind... beforeI went to Vietnam. The movie's beginning and end is a token of my.... life. Had trouble figuring THAT out, too,but wouldn't've missed a moment of either.Big difference is that my 19"" TV in '68 was B&W.; It's 55"", now --- my eyes are worse --- and I have a Bose 5.1 sur-round sound system --- I often listen to at setting ""90"" --- don't want to ruin my BAD ears!Ain't life great?STILL cannot figure out 2001; 2010; 2012... and havin' trouble with 2014... and IT ain't even HERE, yet!"	5.0	Great movie... confounds MOST of us... surreal --- out there --- stuff!	2013-09-18	2	2	0
6302760046	2001: A Space Odyssey [VHS]	A36ZLE3M589MFL	3ron	Just finished watching it. What a snooze fest. While ,for the time, the special effects for space were great except they did look heavy for being on the moon. The rest was sooo boring.  So very disappointed. This sucked the energy out of me so badly i cant bother to write a full review.	2.0	zzzzzz	2013-02-12	8	1	7
6302760046	2001: A Space Odyssey [VHS]	A1NOLEWY3EBW01	683	"Many think that ""2001: A Space Odyssey"" (1968) is one of the greatest films of all time, and even some think that it's the greatest, and I can say that this Stanley Kubrick masterpiece is one of my favorite films of all time! Everything in this film is absolutely beautiful. The stunning visuals, the harrowing plot, the haunting music, the lush cinematography, the beautiful directing by none other than Kubrick. ""2001"" is way more than a film. It's a cinema masterpiece like no other, just like Kubrick's other films, like ""A Clockwork Orange"", or ""The Shining"". This film is simply one of the greatest. The thing about ""2001"" is some think it's one of the best, and some think it's one of the worst (although very few, and I don't know why they would hate it so much), but the reason that they hate it is for it's slow pace and that there's only about 40 minutes of dialouge in a 2 1/2 hour movie, but the scenes without dialouge, with slow pace really show the beauty of the film, and only Kubrick could have made each and every scene a masterpiece. If you see it for the first time, you might not like it, but the second or third time you see it, you'll most likely be blown away by the beauty (although in just my first viewing, I absolutely loved it). ""2001"" is an epic sci-fi that questions life on other planets and human destiny, that apparently gets affected whenever a striking black monolith appears. You may not understand this film fully the first time, but the beauty of Kubrick's films is that it takes a few viewings to understand Kubrick's message, and it's amazing.""2001"" is broken down into four sections, ""The Dawn of Man"" where it shows what the title suggests. It shows ape-like humans who learn to fend for themselves. It's about 20 minutes. ""TMA-1"" shows a Pan-Am space plane orbiting Earth. It focuses on Dr. Heywood Floyd (William Sylvester) going over plans for a trip to Clavius Base, which is on the moon, with a large number of other members to the very futuristic ship. It's about 35-40 minutes ""Jupiter Mission: 18 Months Later"" shows spaceship Discovery One, with 2 members, Dr. David Bowman (Keir Dullea) and Dr. Frank Poole (Gary Lockwood), and 3 other members in hibernation. On that ship is a very intelligent computer named HAL 9000 (voiced by Douglas Rain), who eventually wreaks havoc to the ship. It's about 55 min.-1 hour long. Finally, ""Jupiter and Beyond the Infinite"" shows Dr. Bowman's psychadelic and frightening trip through space, which includes the ""Stargate sequence"", showing flashing lights moving forward for a few minutes, following the next few minutes of cosmic phenomena and strange landscapes that actually kind of creeped me out (I saw this film in the dark), leading to the ending. It's about 25 minutes, leading the film to 2 hours and 28 minutes, including the 3 minute overture, intermission, and exit music, along with ending credits.The special features on this two-disc special edition of ""2001"" are pretty good, but they felt sort of repetitive to me. The Disc 1 comes with the film, along with a commentary by Keir Dullea and Gary Lockwood and the theatrical trailer, and then there's the disc 2. The first special feature is titled ""2001: The Making of a Myth"". It's about 45 minutes long. It's narrated by James Cameron, and shows different people talking about the making and legacy of the movie. It was pretty good. ""Standing on the Shoulders of Kubrick: The Legacy of 2001"" is about 20 minutes long and is another film that talks about the legacy of the movie and different film critics, including Roger Ebert (when he could still talk), praising the film. It's really not much that the earlier featurette hasn't said. ""Vision of a Future Passed: The Prophecy of 2001"" is 20 minutes of Keir Dullea, the main star of ""2001"" speaking about the film and what Arthur C. Clarke, the author of ""2001"" wrote and said about it. It also includes black-and-white audio footage of  Arthur C. Clarke. It was a pretty good featurette, but I really like the 60's vintage featurette ""2001: A Space Odyssey - A Look Behind the Future"". It's about 20-25 minutes and it shows the film being made including footage of Stanley Kubrick. It's one of my favorite featurettes. ""2001: FX and Early Conceptual Artwork"" is 9 minutes long and shows Stanley's wife, Christiane Kubrick, talking about the artwork and paintings made for the famous ""Stargate"" sequence in the film for 3 minutes, and the rest shows the original sketches and paintings. It's pretty cool. ""Look: Stanley Kubrick!"" is 3 minutes long and shows a montage of photos Stanley Kubrick shot in his few years before directing when he was still working for ""Look! Magazine"". Here, you see Stanley's extreme talent for photography, which definitely influenced his creativeness in directing. The real treat here is the 1 hour, 17 minute audio-only interview from 1966, where Jeremy Bernstein interview's Stanley Kubrick, titled ""Audio-only interview with Stanley Kubrick"". Here, he talks about his childhood, his photography days, his first movie, ""Fear and Desire"", and later on, talks about each and every one of his films, leading up to ""2001"", which was still in production at that time. It's extremely interesting and worth listening to. I think it's the best featurette on the second disc.""2001: A Space Odyssey"" is a truly beautiful, mesmerizing, and amazing film that everybody should see, and it's brilliance just can't fit into the 6000 characters that Amazon reviews allow. All I have to say is, if you haven't seen this Stanley Kubrick masterpiece, see it now! And see it multiple times after that. It's one of the greatest."	5.0	One of the greatest films of all time.	2011-10-14	6	6	0
6302760046	2001: A Space Odyssey [VHS]	A3TS93NJJ7AADI	800thlifetime	I've seen this movie several times, and it never gets old. I love the story, the characters, and the visual imagery. Sci-fi at its best!	5.0	Timeless Classic	2013-06-18	0	0	0
6302760046	2001: A Space Odyssey [VHS]	A24QKJEGSWTGPE	9 2 5...	Few auteurs in film history possess the visionary talent that Kubrick had.  His Space Odyssey, the first film of its kind, proves that.  Invoking awe and wonder in new audiences and old, the film stands the test of time and continues to inspire.The film is meant to be viewed on a large auditorium screen, and though Kubrick was an avid supporter for mono sound, today's modern sound technology provides for a much better experience.  The hums and clicks of the spaceships, the vaccuum of space, and the brilliant soundtrack create an eerie aura, made more believable with surround sound.  The best way to view this film is to do so in a theatre.  Kubrick intended for his audience to view the Odyssey on the big screen.  This way, the film transports its audience to space itself, and embarks on a timeless journey for the ages.  There are many long shots of spacecraft and nebulae that a television set simply can't reproduce on the same scale of the theatre.  It's like viewing the Mona Lisa on a mail stamp.The story should be familiar to audiences by now.  On the surface, the plot is one of Kubrick's more simple ones, but critics go very deep into its symbols, allegories, and other interpretings.  Many filmgoers are turned off by its curious ending, but that is because they simply don't understand it.  Just keep in mind that the ending represents man's evolution.As for the DVD, many complain that the transfer quality is poor, but I hold no grievances whatsoever.  I enjoy viewing the film in its original state, just like its first audiences saw it.  It is clean enough to enjoy without distraction, and the sound was upgraded to Dolby Digital 5.1 Surround Sound.  If you are a true Kubrick nut, however, then you will want to alter the sound output to mono, but that option is up to your discretion.	5.0	Kubrick's Magnum Opus	2007-06-04	5	4	1
6302760046	2001: A Space Odyssey [VHS]	AAKF9UNZU7AFO	"""aaagew"""	Before you watch this movie, you should be aware that this is not a typical movie...at all.  If you are used to romantic comedies or even Star Wars-esque space operas, you will be dazed and confused by the end of the movie.  There is very little dialogue, not much of a concrete plot and no set antagonist and protagonist (except the HAL/David part).2001 is one of those rare movies that actually ask you to think and form your own conclusions about what is happening.  Because the whole movie revels in ambiguity, I can only give my impression of the message.  To me, it is about the thin line between a tool and a weapon, and the destructive possibilties of each that we rely heavily on for our survival.  To me, it's about the loss of humanity when we become to dependent on things other than ourselves (which seems to be the theme of Radiohead's &quot;OK Computer&quot;).There is a little bit of actual plot to it.  A strange, black, rectangular object (the Monolith) appears at crucial points in human evolution.  Other than that, it's very vague.I read that, when it was released in 1968, hippies would take LSD and lay on the floor of the theater, staring in awe at the movie.  I can certainly see why.  The last half an hour is, without a doubt in my mind, the &quot;trippiest&quot; visuals ever put to film.While this movie is not for everyone, nearly everyone who researches film history must be insane to say it is not a groundbreaking film.  The special effects are still amazing 33 years after its release.  The science is very well thought out and accurate (spaceships do NOT make sounds in the vacuum of outer space).  I would highly recommend this visually stunning, groundbreaking, thought-provoking film to anyone.	5.0	A classic, a masterpiece, a...you get the idea.	2001-01-11	10	9	1
6302760046	2001: A Space Odyssey [VHS]	A1AMETU2F0W5DQ	Aaron	like i said. its the best damn movie ever. it has class, great special effects, and a strong message that you can only get if you read the book.	5.0	the best damn movie ever	2000-01-07	3	0	3
6302760046	2001: A Space Odyssey [VHS]	A1KEYYYPNKNM65	"Aaron P. Hart ""dangerr"""	This has to be the best sci-fi movie I have ever seen. Stanley Kubrick pushed the envolope and showed a futurist showcase of the life of tomorrow. This movie almost feels like you are watching a ballet from start to finish with the music and the dancing images. Also, no movie has ever showed Alien encounters of this magnitude. You feel confused and full of questions about what happens during the encounter and what happen to Dave Bowman (even more so then Contact). One word of addvice for people who do want to watch this classic, read the book first. If you don't read the book, you will have trouble following the movie because of the little dialogue that occurs in this movie. Other then that, it ahould be in every sci-fi fan's DVD collection.	5.0	The best sci-fi movie ever made, no question.	2003-08-03	3	3	0
