asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000AE4QD8	Doc Martin Series 1 [Region 2]	AQXB4AR9HCZTE	1912 House	Ok, so I am a hardcore lover of BBC, have been for more years than I care to share. PBS has offered BBC comedies for decades now, however this is the most recently produced series available on PBS to date (at least in our area).  When our local PBS station went into it's month-long fund-raising they stopped the regular programming and we decided to watch this series via Apple TV instead (and Amazon's Prime video app). The PBS station was showing the episodes out of order (very annoying since it is a cumulative story line) which was another reason we wanted to be able to watch the series in order.  There are currently 6 seasons out, with the first being aired in 2004 and Season 6 aired in the fall of 2013.  According to internet news,  there WILL be one additional season made, to tie up the story lines, but at this time it is unclear whether it will air in 2014 or 2015.Technical Notes:  We had some difficulty with Amazon Prime's video streaming dying in the first five minutes of many of these episodes. Not sure if it is attributable to this series, Amazon's app, or possibly the Apple TV.  If this happens, you may have to restart the video several times before it runs properly. The opening credits are displayed faster than when watching these episodes on regular tv - maybe Amazon is trying to save bandwidth, not sure, but it is the fast forward during the opening credits that is causing the streaming to fail I am sure.	5.0	BBC Comedy-Drama at its best!	2014-04-01	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A37K9F94Y5JADV	1cmw1234	I don't like some of the really down ends to some of the episodes. Taken as a whole over several seasons they are bearable but just barely. But the rest is just superb! A super set of supporting characters and great leads. You just want everything to work out for them.	5.0	the support characters are as much fun to watch as the leads	2013-02-27	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A11MWJIE8GXHRC	4trosmom	Excellent British humor that is family viewing worthy. Great writing. Keeps us wondering what will happen next. Worth ones time.	5.0	Great show!	2014-02-12	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A19ETLLLLNBXC	"abcteacherla ""abcteacherla"""	Lots of fun to watch and very touching as well - great character study.  How many people can possibly get sick in one village!!??	5.0	Funny and poignant.	2013-12-20	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A1HUSZA7APSK2D	"A. Brown ""ZiggyB"""	This series is on my short list of favorite British shows.  Beautiful locale and wonderful believable characters.  Martin Clunes is so sarcastic but lovable.	5.0	Love it!	2011-09-28	2	2	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A3O2KLCKP7RF2	A. Carraro	A great mix a British humor and drama with a little bit of mystery too. I love this show! Can't wait to watch the other seasons as well.	5.0	Love it!	2014-05-09	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	AGE2GKKEJYJIT	Ada Rodriguez	I recently started to watch on Public TV and I really liked it, and therefore, wanted to watch the show from the beginning.  Was thrilled to see that Season 1 - Season 5 were on Amazon. Loved all episodes of Season 1.	5.0	Loved it!	2013-10-05	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A2AC6MEGGWIQDN	"AdelaideJoe ""Joe in Adelaide"""	If you liked House but found him too caustic, then you will love Martin for the reason that anything with a British accent sounds far less caustic!	5.0	A Proper 'HOUSE'	2013-02-18	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A3IQQ3570JFZ4E	Adelle Schwan	It seems to be a character study of real people in small towns.  Wish there were more episodes about Doc Martins married life!	5.0	Doc Martin - Excellent	2013-12-01	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A37GJN8HO8EN9T	"A. Denise Daniels ""Denise Daniels"""	Really enjoyed it right fronm the first episode. I am now a fan. I can't just watch one at a time, I watch serveral in sequence.	5.0	TOTALLY TO ME BY SURPRISE	2013-09-21	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A2HJURXR48FXQJ	Aguabebe	Doc Martin -  Interesting and fun to watch,  We will watch some more of them.  Thank you very much again	4.0	Doc Martin	2014-02-10	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A3VNGMS69XKAEL	"ainchan ""tiger_lux"""	I know many people have talked about how good this show is,so I won't go into that. I watched season 3 first -- I receivedseason 3 as a Christmas present. When I read the descriptionof the series on the back of the box, I wasn't sure if I'd like it.That description makes the series sound kind of campy ormadcap. If that's also your concern, rest assured that thisseries is funny, but not silly. Yes, the characters are unusualpeople, but truth is stranger than fiction.I also went on googlemaps and looked at Port Isaac! You can&#34;walk&#34; down the same streets yourself -- pretty cool.	5.0	Addictive!	2014-01-28	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	A3IGCA7BDSQ8P	"alan posner ""romano"""	This is a charming series that also makes serious points.  The acting is uniformly accomplished and the humor is understated.	5.0	Gentle but with a bite	2014-02-12	0	0	0
B000AE4QD8	Doc Martin Series 1 [Region 2]	AFULMWJIG6N2J	Alberta Haught Goshorn	My husband plays his favorite segments over and over again. We eagerly await the season that the cast has not yet taped!	5.0	Doc Rocks!	2013-02-04	0	0	0
