asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0000AQS0F	Firefly: The Complete Series	A1E4FWHSCVDMGW		Love Nathan Fillion so the show is as I expected	4.0	Four Stars	2014-07-13	0	0	0
B0000AQS0F	Firefly: The Complete Series	A35JJGO50Q130R		watched it over and over	5.0	Five Stars	2014-07-13	0	0	0
B0000AQS0F	Firefly: The Complete Series	A354HH188OAJUU		"After a severe rough patch in the road for science fiction in general (Farscape and Firefly fall victim to a fatal form of the same disease; network myopia!), there's something to cheer about!I have rated fewer than a dozen books or movies at 5 stars in the last 25 years.  I have never been hooked so hard, so fast by a TV show, regardless of genre.  The individual characters gave me that kitten with a ball of yarn feeling... I HAVE to know more! Add lots of action and the creator's signature (rapid-fire, often slicing, and usually unexpected) character interaction, and I thought I was about to escape from network sitcom/""reality show"" hell!  Unfortunately, it didn't last.There is room in good scifi for all kinds.  Over the years, I've enjoyed more so-called ""mainstream"" scifi such as Star Wars, Trek, and Gate, SG1, B5, and countless others for different reasons.  (Unfortunately, far more have landed in the mediocre to sub-sewage categories.) Firefly was one of the few that appealed to my taste for something further out on the edge; a little dark, definitely adult; often laugh-out-loud funny- no laugh track required; where everything may not be what it appears, or it just might be; something you have to work at a little to understand, but always beautifully written and acted.  If that might also interest you, I strongly recommend this series in whatever form it is available, wherever, whenever. My husband and I agreed- we're getting the DVD as soon as it's available; THEN we'll worry about getting a DVD player!!!  Serenity definitely deserves to keep flying!"	5.0	All Hail ONE bright Spot in Recent Scifi...	2003-08-09	10	10	0
B0000AQS0F	Firefly: The Complete Series	A2LOFZGS9HRHPQ		Everything about this series is brilliant. The camera-work is superb, it lacks some of the computer-animated flashiness of Babylon 5 but also absent is the latter's visual phoniness. The laws of physics are for the most part obeyed. The setting is no Trekish utopia, but rather a real, believable world inhabited by a mishmash of cultures and peopled by a realistic mix of saints, sinners, criminals, tyrants and heros.The dialogue was hands-down the best-written of any television show I have ever seen. It was witty and heartfelt. Mandarin exclamations and curse-words add to the realism of the multicivilizational melting-pot of the series while detracting nothing from the viewer's enjoyment.The acting was excellent; all the characters pulled their respective weight but none more brilliantly than Nathan Fillion, who played the sometimes-tortured, sometimes cheerful, sometimes-generous, sometimes-mercenary Captain Malcolm Reynolds with ablomb and great skill.Sadly, the powers that be at Fox killed this series in its prime. Even with the details revealed in the movie Serenity, we may never learn why the Alliance held Book in such high regard, how the civilization depicted in the series developed, what ultimately happened to the Reavers, Niska, or the duo of Kaylee and Simon. And we are denied future quotations from the works of Shan Yu. More's the pity.	5.0	Best. Sci-fi. Ever.	2006-02-21	14	13	1
B0000AQS0F	Firefly: The Complete Series	A106016KSI0YQ		FIREFLY is one of the most fiercely loved cult television shows ever made, and it greatly deserves to be. In its abbreviated only season, it managed to produce such a memorably palpable universe and set of characters that it was eventually allowed to continue its story in a film version, SERENITY, that did not do as well as hoped in its theatrical release but that has enjoyed enough success on its DVD run that it has produced a whole new set of fans curious about the original show (myself included). Its central idea is elegantly simple: set in a future analogous to the Reconstruction after the American civil war, a group of renegades, led by a soldier on the rebellion's losing side, try to make ends meet by accepting dubious work smuggling goods (and even sometimes pulling heists) in a very corruptly run political system. The brooding romantic captain and his cohort form the nucleus of the band, with her jokester husband, a tough hired muscle, a sweet-tempered mechanic, a stiff doctor, his mysterious and emotionally disturbed younger sister, and an extremely ethical preacher forming the rest of the group. Oh, and of course in this homage to John Ford's STAGECOACH there is also a (state licensed) prostitute with a heart of gold, whose ongoing bantering love-hate relationship with the captain forms one of the highlights of the entire series (and seems surprisingly fresh).The episodes are written more like miniature films than typical television hour-long shows, and there's usually a fine sense of atmosphere (moreover, the special effects are surprisingly sophisticated and convincing). The tone from episode to episode can shift dramatically, from very jokey episodes to very haunting or grim ones. The show's creator Joss Whedon is best known for his earlier series BUFFY THE VAMPIRE SLAYER, but FIREFLY is surprisingly quite different in style and type from BUFFY, although it retains the very best things about that earlier (and more widely popular) series: the strong and original characters, the funny and unexpected banter, and most of all the emphasis on community and on heart.	5.0	Days of future past	2006-02-04	14	13	1
B0000AQS0F	Firefly: The Complete Series	A3USP7JY7U3TW2		"First off, I haven't seen the Firefly series and even after the movie Serenity came out, I ignored it. However, due to the repeated recommendations of Amazon, I decided to check it out at my local store. And boy, I didn't realize what I was missing!If you're a Star Wars fan, partial to ""weird west"" cartoons like Trigun, Bravestarr and the more recent Gun X Sword and lapped up the PC game Privateer a decade ago, Firefly is a must-see TV. It also echoes the venerable Star Trek franchise, with the crew dropped in (mostly illegal) situations during their voyages. However, Firefly transcends them all with its witty characterizations, uncontrived plot twists, brisk pacing and all around energy.I would not go into the plots since it's mostly covered by the editorial and customer reviews. But one thing I noticed about the Firefly series is its refreshing lack of space battles. In fact, the ship Serenity itself has no guns and that is a major ""twist"" in space-based TV shows.The show hits all the geek notes in the right way. From a roguish crew, evil corporations, criminal lowlifes, and even lesbian kissing. It's almost like Han Solo: The Series, but better.The DVD set itself is way, way excellent. Aside from humorous and enlightening commentaries from Joss Whedon, it features the aforementioned final three episodes, deleted scenes and a gag reel. One caveat though for parents. Firefly contains sex scenes (you cannot label it ""suggested sex scenes"" since you can see them doing it clearly - there's no other way you can interpret it otherwise - hey I'm not complaining! :)) and other scenes of sensitive nature. The violence part, is surprisingly tame for my standards (even the torture scenes) but there is a substantial chunk in the series.Overall, after seeing the series, you will wonder what were the Fox executives thinking when they cancelled an excellent series like Firefly. Good thing, there's DVD (and movie franchises) to make up for capriciousness and ignorance of network executives."	5.0	Must-see Sci Fi TV	2006-06-05	14	13	1
B0000AQS0F	Firefly: The Complete Series	AQBRMBQ99ESI7		"I had never heard of this series. I ordered the DVD set on a lark. I have always like Science Fiction and have looked for film/video adaptations. I have usually been disappointed but I keep trying. Finding a gem like this one makes the effort worth while.The basic premise is of the crew of a tramp freighter who make their way by carrying freights, the occasional smuggling job and a few other less than legal operation. These are invariably conducted against people who deserve to have been on the losing side. The captain and first mate are old war buddies. They were both on the losing side of a civil war. The mate is married to the ships pilot. The ship's engineer is a sweet, somewhat nave and technically competent young lady. A tough, mercenary type rounds out the regular crew.In the first episode, they take on a series of passengers. One of them is a ""shepherd"", which is a sort of itinerant Christian priest. He has a mysterious past we never really learn about. A brother and sister also come on board. The brother is a highly skilled surgeon and the sister is a genius who had secret experiments run on her by government agents. They are on the run from the same government agents. The other ""permanent"" passenger is a courtesan. She leases one of the ship's shuttles as her place of business. While the crew is doing their thing, she does hers.Much of this series seems like a cowboy picture, right down to the horses, saloons and brothels. In a strange way, it works well in the context of the series. It is well done. I am very sorry that the series was cancelled because it is very good.Synopses of the episodes appear below:Serenity - the crew of the Serenity agrees to pick up a less than legal cargo but gets stiffed on their fee when they try to deliver it. Unless they can find somewhere to sell it, they won't have the cash for parts, fuel, salary or anything else. So they try to less it on some border areas. To help pay the way, they take on some passengers also. One of the passengers turns out to be smuggling a fugitive and another is a federal agent sent to bring in everyone. I get the impression that the government types are not very nice. When you throw in a courtesan, some cannibals and a preacher, things get interesting.The Train Job - This one seems more like a western but doesn't suffer from that. The crew is hired to rob a train on a frontier planet. The goods they are hired to purloin belong to the Federation government so no one really minds or things it is ""wrong"". They also enjoy doing the job right under the noses of Federation troops. The crew doesn't really know what they are stealing. It is only when the train gets to it destination that they learn that they have stolen desperately needed medical supplies. The leads the crew to try to return the goods without getting caught by the feds or the crime boss they were doing job for. This is to be done while the crew is still be pursued by the secret government agency from whom one of the passengers escaped. It's a good and exciting episode.Bushwhacked - While doing nothing in particular, the crew of the Serenity encounter a derelict floating in space. When they go aboard, they find that the crew has been slaughtered by the Reevers (cannibal lunatics) mentioned in the first episode. They left one survivor and a valuable cargo. The crew attempts to help the survivor and salvage the cargo but their efforts are interrupted by a Federation ship. The captain of that ship assumes that it is the crew of the Serenity who committed the atrocities. The crew have to protect themselves, establish their innocence and hide the fugitives who have become passengers.Shindig - The crew returns to the planet Persephone, where the series started. They are looking for business opportunities as usual and a possibility pops up. The captain sees an opportunity for a smuggling run and goes to make contact at a fancy party hosted by the local gentry. To keep this episode interesting, Innarra, the staff courtesan has a date with a local bigwig. He and the captain have a bit of a tiff and wind up in a duel...with swords. There is not a lot of call for swords on spaceships.Safe - In seems that nothing can go right. The crew of the Serenity make planetfall with the consignment of cattle they picked up in the last episode and are about to collect their payment. Then things go wrong as they inevitably must. The local law shows up to arrest the cattle buyers just as the money is changing hands and the crew get involved in the shootout. They help out the law but the parson gets himself shot...very seriously shot. The only two missing from the scene are the two fugitives who have wandered off. The captain thinks they might get in the way of the deal making but now the doctor's services are needed. Unfortunately, he and his sister have gotten themselves kidnapped by some religious types who live in the hills. They are glad to have the doctor but they think the sister is a witch and must burn. Saving the preacher and rescuing the siblings proves to be a sticky situation.Our Mrs. Reynolds - Somehow, we don't really know how, the crew of the Serenity find themselves helping a rural community defend themselves from bandits. After the big celebration, the crew get back on board take of and find that they have an extra passenger. It seems that, according to the local customs, the captain has gotten himself married. That is news to everyone. The young girl is seemingly nave but she is not what she seems. Someone wants the Serenity for scrap.Jaynestown - Jayne Cobb is perhaps the least likeable member of the Serenity crew. He is selfish, not too bright and always ready to fight. He has a long history of leaving planets behind while being on the run. In this episode, the crew sets down to pick up an illicit cargo and Jayne is worried because he knows he left the place on the run. He adopts a disguise. Much to everyone's surprise, everyone learns that Jayne Cobb has become a folk hero to the people on the planet complete with a statue in the public square. All of this came about because of a misunderstanding. He never intended to help those people; he did it by accident but he is still a hero. Heroes have people who don't like them and on this planet that include the local magistrate.Out of Gas - Most series wait until at least the second season before having a retrospective episode. This one takes place halfway through the first season but it has a difference. Instead of recycling footage from old episodes this one has all new footage. The situation involves a serious mechanical failure while the ship is in transit. Life support is failing and the captain sends his crew off in the two shuttles while he stays aboard to try and fix things. While this is going on, we are treated to flashback showing how the crew came to be assembled.Ariel - When the mysterious female passenger with mental problems starts getting worse, her brother the doctor comes up with a seemingly simple scheme to serve everyone's needs. The crew is to help the doc smuggle sis into a hospital for some tests and the doc agrees to help them steal some high dollar drugs to sell on the fringe planets. These are not recreational pharmaceuticals but vital medicines in short supply. The plan seems to work smoothly until treachery becomes apparent.War Stories - In the second episode, the crew is hired to pull a train heist. They pull it off but, when all is said and done, they find that they don't want to keep the goods. The natives need the stolen medications more than the crew needs the money. This is all good and noble and such but it hacks of the crime boss who put them up to it. The crew returned the money but the boss wants revenge. In this episode, he manages to capture the captain and the pilot. It is up to the rest of the crew to get them out.Trash - A few episodes back, the captain got himself accidentally married. The blushing bride turned out to be a con woman and they only barely got away with their lives and their ship. This time, at a Smuggler rendezvous, the captain runs into an old war buddy who happens to have gotten himself married to the same piece of trash. When the story comes out, the wife gets stranded. Captain Mal is about to strand her as well but she manages to talk him into one of her schemes. Naturally, the ""lady"" has an angle of her own. Make that lots of angles...and curves...and treachery. The crew has a few ideas of their own but nothing is going to go as planned.The Message - When the crew stops at a station for a mail call, they get a surprise. A corpse has been mailed to the captain and Zo. The corpse turns out to be an old war buddy. His last request is that the Serenity take him home for burial. Things are not as they seem, however. The corpse is not dead. Instead, he is smuggling body parts and there are other who want the parts, without the rest of the body. As everyone turns on everyone else over conflicting loyalties, the situation gets tense.Heart of Gold - When Inarra, the courtesan, gets a distress call, she talks the crew of Serenity into helping an old friend of hers who is the madam of a bordello on a backwater planet. A local powerbroker with a barren wife want to sire an heir on one of the house girls. He manages to plant his crop and intends to claim it by force. The crew intend to prevent that. And a good time is had by most.Objects in Space - River, the female fugitive, continues to get more and more erratic. This troubles the crew who fear not only for themselves but for her as well. Things are not helped in that there is a very large reward for her capture. This tends to promote suspicion with many of the people with which they deal. In this episode, a bounty hunter manages to sneak aboard and waylay the crew one by one. River, though, is not without her own methods."	5.0	Cowboys and Spacemen	2005-11-15	14	13	1
B0000AQS0F	Firefly: The Complete Series	AY99DYCVRKBQA		"I'm not good at writing reviews for anything, and never really have in the past. However, I really need to write one about this series ... I can't for the life of me figure out why Fox cancelled this series. It had the making to be the absolute best SciFi series ever produced, far surpassing any Star Trek with it's depth, story, believability and addictiveness (and I'm a Trekkie). Because of the very odd way it was aired on Fox (not in order, pre-empted a number of times, 3 or 4 eps never aired) it was extremely difficult to follow it when it was new, but still managed to win awards and a cult following. The series is even more engaging since it can be watched in order on DVD -- get them, if you're a fan of ""smart SciFi"", you'll fall in love with this and end up wishing someone, somewhere would pick it back up and make a season 2 (HBO, Showtime, SciFi???)"	5.0	Firefly ... Best SciFi series that never was	2006-03-01	14	13	1
B0000AQS0F	Firefly: The Complete Series	A30HHIBP7IIUZT		I never knew this show even existed when it came out. I just recently found out about it when I watched Serenity. A friend let me borrow his FireFly DVD's to watch. My wife and I ended up watching the entire season in a weekend. We just couldnt stop watching them. We even went through a second time and half of a third through the next few weeks. Friend wanted them back, now I am purchasing my own along with Serenity.I do like sci-fi stuff and this is like none other I can think of. The show has a very good sense of humor. I think all the actors did a great job with their characters, they each have their own pesona and they all fit together wonderfully.I can see why this show would have been canceled not starting from the begenning. It can be kind of confusing and you dont get a real chance to meet the characters. Start with the very first one and I bet you will keep watching like we did.	5.0	Great show for all. Definately one of my all time favorites.	2006-05-13	14	13	1
B0000AQS0F	Firefly: The Complete Series	A3P1WBPDJ1S0B8		"After Battlestar Galactica, science fiction series are not quite evaluated by the same standards anymore. Trying their best in ""Firefly"" doesn't quite make it happen either. Presented as a kind of western in space story results regrettably in a space opera more like what we see in ordinary action series. As science fiction it fells short of its pretensions, as an action story it is relatively entertaining. What are missing are probably a somewhat better plot and more fascinating personalities. But if you are anything like me and misses science fiction series, it is much better than no series at all."	4.0	Spacewestern	2006-07-21	22	2	20
