asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	My then 4 & 5 yr old girls and I stumbled upon this on TV one day - and watched intently to the end!  It captivated all of us!Harry Potter (Daniel Radcliffe) learns that he is the son of 2 wizards and has powers of his own.  Harry sets off for Hogwart's, a school where young witches and wizards learn witchcraft and wizardry.  There he meets and befriends Ron (Rupert Grint) and Hermoine (Emma Watson).  The three of them are great together!  We watch their adventures as the 3 of them learn different spells and how to use their wands and broomsticks.  Some of the rest of the cast; Alan Rickman as Snape, the Potions Master, the late Richard Harris as Dumbledoor, the Dean of the school, Maggie Smith as Macgonagall, and Robbie Coltrane as Hagrid, the friendly, giant like, lover of strange animals who also befriends the kids.Harry learns how his parents died and then faces the very evil Valdemort, who tried to kill Harry when he was a baby, leaving a scar on his forehead.  Harry and his friends keep the Sorcerer's Stone safe from evil and the ride along the way is brilliantly done with special effects!  There is one VERY real game of chess played - magnificently orchestrated and will keep you on the edge of your seat!I don't want to give it all away!  This is an excellent movie for kids and adults alike!  I recommend it fully!1smileycat :-)	5.0	Excellent!	2005-01-31	24	20	4
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A2Q4NN103KKTUG	"2crowded ""crowded2"""	My 11-year old daughter and I both have been reading the series of Harry Potter books. We saw this movie in the theaters and we both loved it. It was one of those movies that we just had to keep talking about long after it was over. Of course, as soon as the DVD came out, we had to have it!It is, in my opinion, one of the very few movies that actually holds true to the book. The cast and movie direction - it's look and feel - are right on! Everything in the movie is how we imagined it while reading the book. An excellent movie for kids and adults alike.	5.0	Classic for a new generation	2003-01-24	0	0	0
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A3KWI0WMXIUH7M	"""34spaz"""	Who doesn't love Harry Potter?  I've been a fan since the beginning and I'll be a fan until the end.	5.0	Harry Potter Rules!	2002-10-06	1	1	0
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A95CSH4O4LBVR	"60srocker ""60srocker"""	It was pretty good, but I had the VHS of the same movie.  I only bought this to 'round out' my 'collection' of Harry Potter movies on DVD (Blue-Ray is just too expensive and unnecessary).	4.0	As advertised, a Harry Potter movie	2014-06-26	0	0	0
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A7F009SKXMX94	A 10-year old viewer	This is SUCH a good movie!  It follows the book closly without cutting so many parts and good characters! (Unlike Kavik....)  They chose all the characters very well!!! I don't think any movie as close to this has so many special effects!	5.0	BEST MOVIE EVER!	2002-02-22	0	0	0
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A1V9VDM07S25LC	A 12-year old viewer	I think that this movie is great!!! Except for that some of the ideas and settings in the book don't happen in the movie. But other than that I thought that it was an excellent movie. I would recamened this movie to anyone who likes mistery and whole lot of fun!!!	4.0	Harry Potter the Movie	2002-03-11	3	1	2
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A12RRPR8661IYS	A 9-year old gamer	they could not put everything or it would be way to long. they left out peeves.but that doesn't mean that you shouldn't see the movie or get the dvd.it was a great movie and i felt like seeing it again.i recommend it to anyone who likes a action-packed,sligtly scary,funny movie.	5.0	obviously  didn't  have the whole book but still awsome	2002-02-10	3	2	1
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A1EPTOYTJ1K2ZM	Aaron L.	After the first viewing of Harry Potter and The Sorcerer's Stone, i was simply amazed. The movie is absolutely phenomonal and viewers of any age should enjoy it. You'll fall in love with the kids, teachers, and even monsters of Hogwarts as you find yourself wanting more than the already long 3 hour fun.	5.0	Harry Potter is brilliant!	2003-01-05	3	3	0
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A1PIGCPED659KW	Aaron Oppliger	We had the original DVD set, but decided to upgrade to the blu-ray Ultimate Edition to get the extended cut (and make the jump to HD).  The purchase was well worth it, with the additional scenes making an already great movie even more fun for fans of the books - or just fans of the movie who want to see more.  The image quality is great, and the Ultimate Edition extras have a little something for everyone.  Although I'm not usually a big fan of all the little things that come with a collector's set, the book and behind the scenes material here is fun, and worth diving in to if you have the time.  As for the rest of the Ultimate Edition collection, I'd say that Chamber of Secrets is also worth the Ultimate Treatment (since it also includes an extended cut), but 3-7 are worth skipping in their ultimate formats unless you absolutely need every special feature.	5.0	Ultmate Indeed	2013-12-05	0	0	0
B00003CXI0	Harry Potter &amp; Sorcerer's Stone [VHS]	A32JKNQ6BABMQ2	"abe ""starman"""	first id just like to say that there are many fine movies about witches that people have loved for years like mary poppins and wizard of oz.i swear!the church would complain about god if they could.i think the movie is a bit slow in places.other than that its quite good.this is a childrens movie and if you have a kid with a good attention span than this is a good movie for them.as far as types go,id say fantasy.there are 3 parts.i like the 2nd one a tiny touch better.ive yet to see the 3rd .anyone who thinks witchcraft and satanism are the same will not like this.owever,they are not.witches dont belive in god or satan.only someone who belives in satan can be a satanists.so,the only one who could be are the church.it is very emotional in places as the chuldren are put into grave danger.i havent read the book but i hear its a classic.however,in classic books' defense id like to say the term classic in reference to books is used pretty freely.the hype is nearly always way worse or way better than the actual movie.this one is about average leaning towards good.oops!did i forget the plot?3 kids go to witchcraft school and eventualy venture into a secret room  full of magic and secrets.the message here is,if you want a movie to criticize,this isnt it.how about all these chick flicks that encourage women to wear as little as possible,lie to men,cheat on them with thier best friend,run off with thier kids etc.harry potters not the bad guy.the most intense part is when the 3 kids are in the secret room and are forced into a game of wizards chess.this is where the game is played with real life characters and when slain its for real.ifr theres any part that may be too much for the kids,this is it.one more minor note,the architecture is exquisite!	3.0	whats all the fuss from the church about?	2004-09-10	4	2	2
