asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A10KJXM3JBCJVU	62656	The DVD was great, but there are no extras at all on this disc, which was kind of a let-down, considering.	3.0	No extras!	2012-11-29	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A1O1L7SNF75XO5	"A. Adams ""stitcherannie"""	I had it on VHS, but wanted it on DVD, and it was a great price. Even if it's not 3D, it still startles me after all these years!	5.0	I've loved this movie for a long time	2013-05-02	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	AIZD53ZA79HCB	Aaron	Movie was good but quality was horrible kept pausing for no reason and was blurryI had to fix it each time so I couldn't enjoy movie	1.0	Horrible	2014-04-30	1	0	1
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A1QKGUDE0CDUPE	Aarthi	Enjoyed watching it for the 2nd time- the T. Rex scenes are gripping!A great family pick for those dull Sat nights!	5.0	Great family movie!	2013-09-25	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A3RN4M00WJO76H	Abbey Williamson	I have the best Internet package I can get in my area. The video quality on this particular purchase is terrible. Every ten minutes or so the video reloads and then skips the scenes that it was last playing. I know it's only $2.99 to rent but I mean I would just watch Netflix for free if I knew the quality would be this poor.	1.0	Poor Quality	2013-06-03	7	0	7
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A3NHVWVR1EY337	abbie	Grand kids like it all but gross parts we fast forward thru, ( there only 3 ) so they only see good parts, they luv dinosaurs now there are not too many out there.	5.0	Oldie but goodie	2014-03-14	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A6IVQQG4Z1JGE	AB	Greta movie. Saw it a long time ago but now seeing it again and it is still great. Great sound.	5.0	Great now as before.	2013-09-04	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A2K0OG5R55WEZ6	A. Blades	Jurassic Park is a loved classic and I was sceptical about buying used. I must admit though that the movie was in excellent condition. I am very pleased; not only with its condition but prompt shipping.	5.0	Pleased Customer	2012-06-16	2	0	2
0783222734	Jurassic Park (Widescreen Edition) [VHS]	APZAJ6LGXH02F	Ace Reader	"""Jurassic Park"" is in theaters NOW! Go see this thrilling dinosaur film now before it's too late. You won't be sorry! Seeing the 20th Anniversary version of 1993's ""Jurassic Park"" in IMAX 3D format is a grand, entertaining and emotional experience. I think it's totally worth the steep admission price ($17.00 per person), to see it. I'm a happy customer and you can be too!I love this film and always will. This film is a joy to watch and is magnificent entertainment value. It's just as spectacular now as when first released twenty years ago to it's stunned and thrilled audiences. This new copy of ""Jurassic Park"" is clean looking, crisp and sparkling. It's ground breaking special effects look really good now on the big IMAX screen with special 3D effects that rival many of today's new films in this category. The new 3D depth of field is really good and works well with this thrilling story.""Jurassic Park"" is so much better than most of today's new releases in theaters right now. It really has no competition because of it's overall entertainment quality. That being it's intriguing well written story line and it's always witty dialog, plus it's excellent performances from all members of it's well known and beloved cast. Everything about this film speaks of the love director Steven Spielberg has for (Dinosaurs), film making and his ability to make and tell a well told adventure tale. Suspense, thrills, humor and terror run rampant throughout this enjoyable film causing today's new fans to laugh and scream in the autotoriums again. Many young people are watching this film for the first time on the big screen because they weren't born yet or were not old enough to watch it during it's first release. All the actors (Laura Dern, Sam Neill, and Jeff Goldblum), are all so young and fresh faced in this film. It's kind of time warp feeling to see them back in the theater again after all these years looking so young. Time flies when you're having fun! Musical maestro John Williams soaring beautiful iconic soundtrack touched me the same way it always does when I hear this rousing soundtrack. As usual it brought tears to my eyes during the first glimpses of this films magnificent Dinosaur's.Go see (today!), director Steven Spielberg's ""Masterpiece"" now in IMAX 3D format or you will be cheating yourself out of a rare treat for your senses. A good movie! I highly, highly recommended this film to everyone except little children. They will have to wait for it to be re-released again in another 20 years for it's 40th Anniversary, and they (and hopefully us) will get to see whatever new and improved special effects Hollywood will have dreamed up in our future. I can't wait! Enjoy!Original Release Date: 11 June 1993New IMAX 3D Version Release Date: 5 April 2013Rated: PG-13 for intense science fiction terror.Running Time: 127 minutesScience Fiction/Adventure/ThrillerGrade: A+***Look for ""Jurassic Park 4"" in 3D, coming 2015.The fourth installment in the blockbuster series based on the work of author Michael Crichton.Director: Colin TrevorrowWriters: Michael Crichton (characters), Rick Jaffa (screenplay), Amanda Silver (screenplay), and Colin Trevorrow (screenplay). Written by IMDb."	5.0	"""After 20 years it's back and better then ever""."	2013-04-07	3	3	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A9RJGZ5WGNZ11	A Corley	Such a great classic. The special effects still don't disappoint. I watched it as a kid and maintain the same level of excitement.	5.0	Best Dino Flick Ever!	2014-03-25	1	0	1
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A1IJKK6Q1GTEAY	A Customer	Very good movie and though I usually don't care all that much for scary movies I though that Jurassic Park could have been scarier with a lot more scary scenes with the dinosaurs. Sam Neil, Jeff Goldblum and Laura Dern were great and I thought the girl who played the granddaughter of the owner of the park was good too, I'm not sure what her name is but I think it's Ariana Richards.	4.0	Very good but could have been scarier.	2002-07-22	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A11QNZUGBFIT0H	A Customer	The best of all three. the Sequels were ok. I've loved jurrassic Park since i saw it in theaters in 1993 when iwas 9 years old. I own the dvd set, but can't wait for the movie to come out on Blu-Ray. I'm just gonna get the first movie because, lets face it. It's the best. i'm hopping that the picture and sound will be even better than the DVD and VHS version. I hope it has many lost deleted scenes and great extras.	5.0	Still a great movie, after all these years	2011-01-10	1	1	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A2HK818LYE2V9I	Adam Casillas Sezate	I shouldn't have to review this because if you haven't seen it, your life is truly a darker place.  So watch it.	5.0	Yes	2013-07-27	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A3ALCBH07I7TWJ	Adam j Murphy	I have a 20 mb connection. I never got this to stream in even a decent picture. Not anywhere close to hd. I ran a speed test half way through and my connection was still 17mb. Amazon servers were sad tonight...and I paid extra for hd for us :(	1.0	terrible stream	2013-06-12	7	0	7
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A3EFQNLPCV5XNV	Adam Rutledge	I can't tell you how many times I have see this classic movie. When I was a kid and now. Its still great to watch. For how old it is, the special effects are still amazing even for now. This movie was truly ahead if its time. If for some unknown reason you have not seen this show. You need to go buy it ASAP.	5.0	classic movie	2013-05-01	0	0	0
0783222734	Jurassic Park (Widescreen Edition) [VHS]	A2NSX3ASG1MFI6	Adam Stoneman	Epic in it's day, still great now.  Loved how they didn't need blood and guts to tell a good story and keep the audience watching!	5.0	Great movie	2014-04-17	0	0	0
