asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1569494126	Schoolhouse Rock! - Money Rock [VHS]	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	"I was soooo excited to get this home and play it because I grew up listening to these cartoon segments every Saturday morning!  But it bored me.  They just weren't as good as I remembered them, I guess.  I ended up fast forwarding through most of it.  I paused for the classics ""I'm only a Bill"" etc, but I didn't seem to recognize most of them anymore.If you're looking to relive a little childhood, rent it first-  then if you think you can live with it, buy it.  Perhaps you need to check to be sure you recognize more than 1/2 of the titles too.  (I 'thought' I did!) -I personally wish I had my money back.  (My kids even begged me to shut it off!) Just my opinion...hope it helps those of you looking to purchase it.)1smileycat :-)"	1.0	I'm Disappointed.	2003-03-17	80	12	68
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A3PXP53XA8S7GQ	2Foxcee	I was in awe when I purchased the entire volume.  Growing up I never realized that we as young kids didn't see the entire Schoolhouse Rock!!! None the less I view it now... I'm 38 and my son that I purchased it for LOVES IT and he's 3!!!...Any cartoon, show,play or movie that was out when we were growing up is it what I would call the CAT'S MEOW of the entire tv industry.  If the era wasn't phenomenal how come everything that comes on is a remake? No origianl ideas at all - I feel sorry for today's kids - they have nothing enjoyable and good to watch or listen to for that matter(My opinion!)!!!  Enjoy -  touches on subjects that are fun while learning!!!	5.0	Nostalgic Viewing!	2005-10-11	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2B2Z2QMVQWX5N	45mph K-9	I loved these as a kid & I think they are more enjoyable now that I can watch them with my kids.  They have watched them over and over.  Sounds cliche', but they are timeless.	5.0	As great as I remember!	2007-05-27	3	3	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1Q37OU314RRVQ	"""718191"""	This is a must have for all Gen-Xers and for their kids.  The songs are great.  The picture has been cleaned up with vibrant colours.  Not to mention that there is something to be learned from each short.The one negative point I have to make is the glossing over of history in favour of a pro-American stance, but all historians are biased.  It is still very enjoyable.	5.0	Must have for all Gen-Xers	2002-08-29	3	1	2
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2QJC8A2HN5FWW	718 Session	"This is the DVD I've been waiting for.  All of the Schoolhouse Rock cartoons are here.  You were either born at the right time to appreciate these or not, but they're (mostly) great.  The extras are (mostly) fantastic and the new one (""I'm Going To Send Your Vote To College"") leaves me wanting more.Enjoy!"	4.0	Good, bad, ugly, it's ALL here	2003-01-15	1	1	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A6SM40ZD3H11J	"7SEVENJ9 ""Janine"""	This 30th anniversary edition is the perfect gift for my nephew! I loved this show as a kid and now I can pass that love on to the next generation this Christmas!	4.0	Loved this as a kid, now I can pass it on !	2012-12-04	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A3NQ3QA40LDCZQ	"A. Band ""toy story"""	This is not up to date...the songs are old and my kids were not excited by it.  the words are sung SO fast you can't even really understand what they are saying.  unhip.	1.0	Not what I expected	2008-08-10	169	3	166
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1V29TSJUC2EM8	Abbie A. Gasaway	So fun to hear old songs I heard when I was growing up. My daughter likes it a lot and has learned a lot!	5.0	Great!	2013-09-19	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A3SVJ2NGY9LXP3	Abe	Very cool.Kids need to know about good money management skills, and how better than with awesome fun songs.This and the SCRIPTURE ROCK together give a balanced view of what kids need today.	5.0	COOL- pair it with SCRIPTURE ROCK	2002-12-24	12	4	8
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A3M1TPW11KYJ5U	A. Bilger	The songs I remembered (and loved) are better than I remembered! I'd forgotten several that came back to me as I watched them, and they're great. The newest ones aren't quite as good, but they're not bad and they're pure bonus.  I'm so impressed by how many songs have been included.  The audio/visual quality is great, the selection screens are very nice, and all of this for so little money!  Yay!	5.0	Beat my high expectations	2010-01-18	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1ABZZ5ALZFMAG	A Buckeye Fan	"How much did we learn from these little snipets on topics from ""how a bill becomes a law"" to ""conjunction junction!""  ???  Fun to watch with nieces/nephews and let them pick out their favorites!"	5.0	Memories	2008-02-23	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2OUMON7GX93QJ	A. Bush	We actually got this about 10 years ago and hadn't watched it - VHS format. Our kids are now 2 1/2 and just 5 and they LOVE these videos. The 2 1/2 year old sings along to the songs and the 5 year old is asking questions about the different songs and he hasn't started kindergarden yet. Hubby and I grew up with these videos and it's a lot of fun to see our kids enjoying them now. Admittedly, the first couple of times the kids watched it, I was a little bored, but the more that I listen to it as I do things around the house, the more I'm enjoying it. And since my kids love it, it's a winner.	5.0	Schoolhouse Rock 30th Anniversary Edition	2013-11-15	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A3OGWBZV2F8M74	"Adam Rosenbaum ""Author of 'How to Remember No..."	As the cover says, this two-DVD set includes every School House Rock song ever created, and then some.If you spent time in front of the tube on Saturday mornings in the 1970's, these videos about conjuctions, adverbs, electricty, and how bills become laws will be quite familiar to you. In retrospect I realize how much I actually learned from these great songs.The only negative about the DVD is that the videos are organized in an on-screen jukebox, which is somewhat cumbersome to manage with your remote control. However the selections are categorized by theme (grammar, government, science, etc.) within this jukebox, and you have a variety of options on how to play them, including a Top Ten, all songs in a category, or one-by-one.For fans of School House Rock this is a terrific and complete collection that you will enjoy and also be able to share with your children. I highly recommend it.	5.0	Brings back memories	2005-07-24	4	4	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1078L9AXZRGT7	"A. Debban ""HistoryBuff"""	"All those videos you remember and sang along to are here - ""Conjunction Junction,"" ""I'm Just a Bill"" and the rest.  When shown on HD, the pixilation shows from its older recorded format, but the sound quality is good.  Show these to your children and grandchildren, and sing along like you used to!"	5.0	Relive the videos you loved as a kid!	2011-11-29	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1D0V3O8BB4NHM	Adriana	"I am using this with my grandson of 41/2He loves the ""my hero, the zero"" song and has watched it about 25 timeshe also enjoys the other songs.He chooses one he likes. And then as we watch that one, he then opens up to watching other ones.It acts as an intro and gets across basic concepts.The melodies are good and the animation is fun.19 mo old even watches it."	5.0	A wonderful introduction to subjects	2007-12-02	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2M3N76Z2X2TUA	Adrienne Leider	Schoolhouse Rock is great!  I got it for my 5 year old & wasn't surprised that she loved it. Of course for me, it brought back a flood of Saturday morning memories. And it made me look like a rock star because I was able to sing along to most of the songs. She is slowly finding her favorites and is learning the words...plus alot more ; - )  This dvd has stood the test of time for a reason. I recommend this to everyone!	5.0	Same as it ever was! And works just as well!	2014-02-26	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1ZNZOQO936KD0	A. Fitzsimmons	Received item promptly - ALL of the Schoolhouse Rock videos are on there from when I was a kid!! LOVE it!!!	5.0	EXACTLY the same!!!	2007-03-08	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A1WR6Q9VCUJWK9	A. G.	Your kids will love it as much as you did when you were little.	5.0	Great stuff	2006-02-18	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A17B97YRZOV7BI	A. Harrington	This is a good video for kids.  It worked for me along time ago.  I learned the preamble from this video and to this day if I need to recite the preamble I sing it.  Not only the preamble, you learn spanish, bill to a law, conjunctions.... this video is timeless.If you have kids get this for them, makes at least the basics for 5 subjects in school easier for them.	5.0	This is a good one	2006-11-05	2	2	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2O44KYO82X4Z6	A. Haywood	This is a good dvd set to not only remember the good times of childhood, but to teach your grandchildren about grammer and math etc. I'm watching it now and I remember The Preamble Song. I seen it when I was about 7 but when I took the constitution test in 8th grade and had to write The Preamble, I remembered the song and got an A+ on the test. This set is for everyone.	5.0	OH SWEET MEMORIES!!!	2009-08-22	0	0	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2Q4AP69BXLRFK	"A. Heath ""ANN"""	The dvd was listed in used but good condition.  What arrived was a case that was completely broken down the spine.  The cover was scarred and sticky, like a three year old had attacked it with a jelly doughnut!  The dvd itself has scratches, but none so significant that it hasn't played the tracks that I need.  This was purchased because I teach American History.  I don't have time to go through every track.  When I get to them I'll find out if they work.Bottom line....never again from this seller	2.0	NOT in used/good condition	2009-11-27	21	2	19
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2G7M3SES2HOY6	"A. Hunt ""life lover"""	"This is the third time that I am buying this DVD, because everytime I show it to someone, they remember it, wish that they had it and I end up giving it to them.  (I'm 36 yrs old), as children, we grew up on Schoolhouse Rock and I want my two daughters to enjoy it and learn from it just like I did.  I remember my 9th grade Civics class singing ""We the People..."" while taking a test.  I wish they had more programs like Schoolhouse Rock...our children are truly missing out on the ""good old days!!!""Don't be fooled by those who have negative comments about this DVD.  It's worth every penny that they charge for it, if only for the memories alone."	5.0	The Best Ever!!!	2006-02-19	1	1	0
1569494126	Schoolhouse Rock! - Money Rock [VHS]	A2N7AP38QXGONE	Aileen May	The best part of growing up with television and school combined at home!  Ah the memories!  Love it! :D &#9835;&#9834;&#9835;&#9834;	5.0	Great home teaching for little kids!	2013-12-04	0	0	0
