asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A28DL4WF7ZENS7	"1422ann ""1422ann"""	This DVD arrived very quickly and was in excellent condition.  It was advertised as previously owned.  But the only way you could tell is that there was no cellaphane around the DVD.  We have really enjoyed our purchase.	5.0	Snow White DVD	2009-09-04	5	1	4
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A1VD0E37YQW8MM	2joysofmine	Thanks for having this.  Somehow we missed it when it came out.  Christmas was a happy day for the wife!	5.0	Happy wife	2013-01-03	0	0	0
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A1C9K3I20UPVQA	"A. A. Silva Barron ""Alejandro"""	Let's just put it plain and simple. If you ever plan to understand and discover the possibilities of the DVD format this is the DVD to have.A classic flawless animated feature, and the most comprehensive DVD extras ever produced. This is a milestone DVD a must have.	5.0	Snow White a milestone in digital entertainment	2001-11-22	2	1	1
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A3ETQ9N24HADQ7	"Abby N. Holsinger ""Abby Dabby"""	Do not buy this if you can't speak the Asian Language (i can't identify which it is) that it's in.  It can be put in English, but for the money you spend on this one, you could buy one in English.  I was really mad because the description did not say it isn't originally in English.. don't make the same mistake I did.	2.0	A Waste For An American	2009-03-23	4	3	1
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A2YK2MBP8KH1FD	"A. Carey ""adamarket"""	At last Disney gets it right. Of all the Disney DVDs I've bought my daughter, this was the first one to get it right (Dumbo the 60th anniversary edition is pretty good too).Aside from having cleaned the movie up until it looks even better than when it was originally released in 1937 (a process explored on one of the disks), this release of Snow White includes a detailed look at how the movie came into being, from initial sketches to how it was marketed via old trailers and movie posters.I always appreciate seeing the original drawings and sketches when an animated feature is the topic of discussion. It's interesting to note how the witch changed from being a frumpy Alice in Wonderland-type character to the more svelte looking queen we know today. This image was almost duplicated by the producers of The Wizard of Oz who fortunately decided to go for a more traditional looking witch prior to shooting (but that's another DVD extra).The disk also explores how Snow White was technically produced. I particularly enjoyed the segment on how Disney pioneered the use of a multi-plane camera (which I now recognize whenever I watch other Disney movies for its unique quality of depth).The DVD also offers some fun, interactive items. My daughter loves Dopey's Wild Ride, where she has to answer questions in order to help Dopey save Snow White.Overall, this is the best release this movie could have possibly received. I rank this DVD right up there with The Wizard of Oz, Willy Wonka and Shrek for its robust and extensive complement of extras. It's nice when the extras on a DVD become almost as worthwhile as the original movie.	5.0	Snow White is fully loaded even without 7 Dwarves	2001-12-12	2	1	1
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A2TEZATCDNLIDR	A. Connor	The colors were so vivid in this edition.  My four year old danced and giggled during the entire movie!	5.0	Vivid Colors!	2010-01-09	0	0	0
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	AOSAH3MM19LYL	A. Cox	The dvd arrived in the specified time frame and was in wonderful condition upon arrival.  I would buy from this group again.	4.0	Good quality product	2008-09-09	2	0	2
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A69ORVVZQ6BJN	A Customer	Snow White is one of the greatest animated films of all time, and thus deserves the golden treatment for DVD. For once, the home video department at Disney doesn't fail us.Both discs included allow you to fully understand the process behind making Snow White. Areas like the Abandoned Concepts, Deleted Scenes, and the Camera Tests are all fasinating. The archival radio recordings and trailers too are a great look at the past.I do have to note that some of the extras glorify Disney (the company) maybe a little much. The &quot;Disney Through the Decades&quot; extra is wasted, what with Jodi Benson and Ming-Na telling us how great it is that Disney has their own hockey team and such.But dispite these flaws, Snow White is still a must own disc. The film still holds as a classic, and the extras are definately worth checking out. There may be better DVDs, but I honestly can't think of any off the top of my head.	4.0	A great DVD even for non-Snow White fans	2001-10-19	0	0	0
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	A2GR3H560WKCPX	A Customer	"DISNEY has finally come to their senses!!!  I am an avid DVD collector (200+) and I do not own a single Disney-animated DVD.  Why?  For years, people have been begging Disney to put their massive catalog on DVD.  Disney obliged and the resulting DVDs were horrible- nothing more than inadequate upgrades from their previous VHS format.  Simply put, their presentation in the ever-so-popular DVD format was RIDICULOUSLY skimpy (in terms of bonus features)!!!  Do you remember the 9-DVD box set they put out in 1999 for $300?  They called it &quot;The Classic Disney DVD Collector's Set!&quot;  HA!!  It was a box of tripe!  The box was anything BUT ""classic.""  It included none of the memorable DVDs of days gone by.  FAST FORWARD 2 YEARS...they have sold millions of &quot;bare-bone&quot; DVDs and now are re-re-re-re-re-releasing them to the public...in a format they should've been in initially!  Either Disney purposely planned to MILK MILLIONS from their customer base or someone threw a brick upside their heads- finally making them comes to their senses.  Whatever the case, the latter case being said in EXTREME sarcasm, Disney is finally starting to release QUALITY DVDs.The PLATINUM 2-DISC edition of Snow White is a must have for everyone.  The picture and sound on both discs are flawless.  The sound on each disc is THX certified and has been remixed in Dolby Digital 5.1 (English &amp; French).  Also, BOTH DISCS have a truckload of features including rare newsreel footage from the premiere, an insightful look at the restoration process, archaic featurettes and original trailers!  WAY TO GO DISNEY!  This set is truly worth every penny!  My only hope is that Disney will continue to do this with future titles and re-re-re-re-re-release all of the classics (The Lion King, Beauty and the Beast, Sleeping Beauty, etc.).  PRE-ORDER/BUY THIS TODAY!!!"	1.0	I think it's safe to say that...	2001-08-03	82	27	55
0788828126	Snow White and the Seven Dwarfs - Platinum Edition	AHC2ATRQRWNT5	"Adam J. Wishman ""Broadway Bound"""	"I cannot put into words how happy I am that Disney is releasing their tied for first greatest film of all time!(tied with ""Sleeping Beauty"" which I hope will be on DVD soon) Plus with such a great offer, for just pre-ordering this masterpeice you get a free Disney DVD! ""Snow White"" is the one that started it all, it spawned an empire that did, and still does, and always will produce the greatest movies ever made. And let's get this straight, the studio is not cheating anyone by not giving a widescreen edition, we are seeing the entire movie, and seeing the movie that we have all seen before. The cover art, and disc art are absolutely beautiful, and capture the essence of the film is glorious majesty. And this is the most packed DVD I have ever seen in my life. An entire extra disc for special features, and a ton of them on the film disc, what a special treat. With so many features, this truly is a DVD that I could, and will spend an entire day with many times. I cannot wait till this is released, and I can own this historical DVD. YOU MUST PRE-ORDER/BUY THIS TODAY! You will not be disappointed. Don't miss out on the special features, the majestic animation, the wonderful story, the irreplacable characters, and the film that has touched the heart of millions all over the world! Be a part of history, and get this amazing DVD today!"	5.0	A DVD Landmark!	2001-08-25	5	5	0
