asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
141983049X	The Closer: The Complete First Season	AIJ11Y5FR19H0	0xyjen	Best season. Self enclosed, it can stand alone. I've seen it 4 times now. Huge fan. If you like crime solving, this throws deceptive interview skills in mix.	5.0	one of my top 5 series ever	2013-10-04	1	1	0
141983049X	The Closer: The Complete First Season	A15HEN8S6D1B5U	1LT Tevye L. Holloman	If you love crime, mystery, drama with a little comedy mixed in then you will absolutely love this show. I missed all the seasons and looking forward to catching up on all seasons. This is a must see if you love the genre.	5.0	Incredible	2014-03-04	0	0	0
141983049X	The Closer: The Complete First Season	A3SMIJLRCZC5MJ	&#34;By_George&#34;	I have watched this series on and off over time.  It is a comfort program.  Like Law and Order.  when there is nothing else on that you want to watch I would go and watch the closer.	5.0	Great Series	2014-03-15	0	0	0
141983049X	The Closer: The Complete First Season	ANPTCTBKNJGSQ	505ldh	Each episode gets better as the writers come together with a caste of interesting characters and winding stories. I love the feminine, strong, female lead.	5.0	Best season!	2014-03-31	0	0	0
141983049X	The Closer: The Complete First Season	A16U1B4Q4YLYGW	Aaron Anton	Brenda is you typical Southern woman with an edge. I like her character although some of her mannerisms are a bit too repetitive.It was fun to watch how her team slowly got used to her and how she handled all the hurdles that came her way.Great crime cases too!	4.0	Interesting cases	2013-04-04	0	0	0
141983049X	The Closer: The Complete First Season	A2UON94RMOPSRZ	Abhijit Mukherjee	Good drama series with the main ingredient being the quirky nature of the main character in the series, Deputy Chief Brenda Johnson.	4.0	I like the quirky nature of the main character in the series, Deputy Chief Brenda Johnson	2013-02-10	0	0	0
141983049X	The Closer: The Complete First Season	A2HSOGZMOE3PIN	A. Bland	I really like watching this. Great watch. One of the best detective series. Each segment allows you further insight to each character. Love the main character and how she works her cases and team. Awsome in how she wins each one over. Each case great.	4.0	Worthit	2014-07-05	0	0	0
141983049X	The Closer: The Complete First Season	A195FNU8R8DOE1	Addie A. Evans	The main character Chief Brenda Johnson is really charming, funny and fascinating. The crimes are also intriguing and the production is a little more artsy than your average crime show. I love it!	5.0	Great show!	2010-10-24	0	0	0
141983049X	The Closer: The Complete First Season	ABEOLV0QB9LMT	Adonna Wilkinson	This series got me hooked from the beginning since I am a native of Los Angeles.  There was always something familiar about the locations.	5.0	Home	2013-01-19	0	0	0
141983049X	The Closer: The Complete First Season	ADEMO8XR51I41	Adrian G. Jones	I Love watching the Closer all the seasons.  I think the case is great and want to see more.AGJ	5.0	The Coloser	2013-03-09	0	0	0
141983049X	The Closer: The Complete First Season	A10HEGUKB405IY	"A. Eddins ""ANE"""	Like the show, it is keeping my interest. Not a have to finish this season right now kind of show, but it is something to watch.	4.0	Pretty Good	2013-07-05	0	0	0
141983049X	The Closer: The Complete First Season	A1HEPFAL93AKWQ	"A. Galanter ""Higher standards for all"""	"When boxed sets of old TV series started being released I thought what a dumb idea it was. For the most part, I still feel this way. ""The Closer - The Complete First Season"" is the first TV series boxed set I spent money on. The show is fresh and full of new ways to massage the medium. Each time I view an episode again I discover more depth of character, more layers in the scripts, and one surprise after another in a show that I've watched 3 or 4 times already!! The extras are not much to write about and I hope the producers of future ""Closer"" boxed sets hire some real talent to work on them. I still give the show and the First Season release 5 Stars because I'm sure some things in the following sets will be vastly improved! Even if the extras remain at the same standard as 1, the show is brilliant enough on its own to justify the price of admission."	5.0	Even better the 2nd, 3rd, and 4th viewing!	2007-01-11	3	1	2
