asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0007TKNI8	The Phantom of the Opera [VHS]	A19BPVVLV1PQDY	&#34;Phantom's Lover&#34;	I bought this movie after seeing many versions of the move. THIS ONE IS THE BEST. This movie is really similar to the Broadway show. It has the Same music and storyline. I would defidenly suggest buying this move.	5.0	One of the Best Movies Ever	2009-08-20	0	0	0
B0007TKNI8	The Phantom of the Opera [VHS]	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"(3.5) Going into a musical, one expects to open one's senses.  Andrew Lloyd Webber, not quite at the height of his powers, gives us a few reasons to celebrate his musical brought to the screen in Joel Schumacher's rendition of `Phantom of the Opera'.There are two main interlocking stories, and while they give one another meaning, they sometimes are conflicting to the musical's spirit.  In front of the stage, Andre (Simon Cowell) has acquired the Paris Opera House.  He must keep everyone happy, particularly his siren voiced prima donna beauty, Madame Giry (Miranda Richardson).  She now must compete with her understudy, the equally alluring and talented, Christine (Emmy Rossum).  At night, darkness takes over as she is seduced by the mysterious ""Phantom"" (Gerard Butler).  He takes her beyond the underground of the city's sewers to his own lair.  However, like the classic story, his love of beauty reaches a vengeful crescendo.  The scenes where the two are together are filled with tenderness with Webber's songs truly suited for the occasion.  Chills run down one's spine during this element of the movie, but compared toCats - The Musical (Ultimate Edition), Webber doesn't provide this often enough.Schumacher's careful shooting is impeccable.  The camera turns in a cemetery scene are nearly flawless and the art direction is superb.  The focus, lighting, and framing are what all musicals should contain.  Besides the accomplished voices of Rossum and Richardson, both leading ladies have a breathtaking beauty.  Matched by early performances by Butler and Wilson, the movie provides hunky handsomeness for women as well.  There's a lot to look at in this beautiful film.My main criticism is that some of the best elements are punctured by the main story.  We need to see the front of the stage to appreciate the backstage developments, but some of ""the show must go on"" sentiments and songs go better with `A Chorus Line,' but not here.  A comparison with the best musicals, including 'The Sound of Music,' 'Oliver!' 'An American in Paris,' `Amadeus,' and the recent release of 'Sweeney Todd - The Demon Barber of Fleet Street,' all point to a story and song venue that resonate much better throughout.As a sensual feast, 'Phantom of the Opera' belts the best notes through the opera house; as a vehicle for the best songs and best story execution, the venue falters in places and makes all the atmospherics go flat.  I fault no one for their enthusiasm for this film, but the cohesiveness is spotty due to some of it's failings.A J.P.'s Pick 3.5 *'s=Good-Very Good"	3.0	Sensual Feast with Songs for a Beast	2008-07-29	9	6	3
B0007TKNI8	The Phantom of the Opera [VHS]	A3FV933KPQHTZV	555	This is a very faithful adaption, not to the book, but to the original musical on stage. The actors, despite the critcs' iffy reviews, were amazing in all aspects, as well as the sets, costumes, and cinematography. Joel Schumacer didnt do a very good directing job, but who cares about him anyways. The only thing i'd like to warn buyers is that if they want some AWESOME bonus material, go to amazon.co.uk and buy their DVD. The UK version has everything the US one has, and more...MUCH more. Endless featurettes on the sound, jewelry, prodution, 4 promotional music videos, and more. So anyways, this is still a great movie, and makes me cry everytime I see it because the story alone is just so beautiful and heart-rending.	5.0	Best movie ever...BUYERS BEWARE	2005-06-27	0	0	0
B0007TKNI8	The Phantom of the Opera [VHS]	A32T1FQQ5CH1ME	A and G	I absolutely love this movie!  I went again to see it today and want to see it for a third time in the theater.  I thought the sets were beautiful, the voices were fantastic and the actors did a great job! Especially Gerard Butler.  He is wonderful.	5.0	One of the best movies!!!!!!!	2005-02-05	5	4	1
B0007TKNI8	The Phantom of the Opera [VHS]	ASCWUTYEU9BOG	Aaron T Smith	So after about a year of trying to get me to watch this, my wife finally won the battle. I've never really enjoyed musicals and despise opera. I settled in for what I thought was a long, boring movie but was pleasantly surprised with the way the movie intertwined two stories that reels you in right from the first scenes. Past and present come together to form a very intriguing storyline. The music was very good as well and fit well into the storyline. Although, I began to roll my eyes everytime a person began singing, I was immediately drawn back in by the quality of the song, acting, and story. This is one movie that I will definitely recommend!	5.0	Surprisingly Good!	2014-05-04	0	0	0
B0007TKNI8	The Phantom of the Opera [VHS]	AZGLLJ3TIFOOT	A. Ayre	If you love Phantom from the stage show, you will be very disappointed with the quality of the singing in this movie.  If they were going to lip sync anyway, why didn't they hire spectacular singers?  The only shining star is Raoul.  The rest are weak at best, except the voice over for Carlotta (Minnie Driver plays the character).  I love the stage show and the music CD but this is a big disappointment.  The costumes and special effects are well done but when the show is all about the music and that part is lacking, the costumes and special effects don't really matter.	2.0	Stage show lovers don't buy this dvd.	2007-02-25	6	2	4
B0007TKNI8	The Phantom of the Opera [VHS]	A3NEDVNM8W41OD	A. barre	if you loved the the play, Phantom of the Opera, you will love this film. There are no restrictions in presenting these scenes, unlike live theatre, the characters are real, the music is sensational and the acting superb. I love this and I loved Love Never Dies, a follow on from the Phantom.A must have for both. Thank you Amazon!	4.0	the phantom	2012-07-11	1	0	1
B0007TKNI8	The Phantom of the Opera [VHS]	A25TM6Q7ROIR0Y	ABC317	The cast is perfect in this version!  The music is excellent as well!  The whole production is done VERY well!!  I HIGHLY RECOMMEND THIS MOVIE!!	5.0	A WONDERFUL MOVIE!!	2012-12-01	0	0	0
B0007TKNI8	The Phantom of the Opera [VHS]	AQ63GDPLQLC	A. B. Coleman	Though Sarah Brightman is still the best &#34;Christen,&#34; Emmy Rossum was better than the Broadway substitute we saw.  It was easier to follow the plot watching the movie, and the ability to pause and rewind made the experience very enjoyable.	4.0	A great experience	2013-08-15	0	0	0
B0007TKNI8	The Phantom of the Opera [VHS]	AMDTG2H4PPLKH	"abcool100 ""abcool100"""	Phantom of the Opera, is one of my favorite movies EVER!!  The songs are great, the characters are amazing, and the actors and actresses themselves made this movie awesome.  I've watched this movie more times than I have fingers, so that goes to show how much I love it.  This is the only movie that I've bought with my own money, + the soundtrack.Patrick Wilson is amazing.  I love his smooth voice when he sings, and these confused looks he gets on his face when he talks to Christine about the Phantom. Should've been nominated for Best Supporting Actor somewhere, even if not the Oscars.Emmy Rossum is absolutely fantastic in this movie.  At the age of sixteen she absolutely showed that she has one of the brightest futures in Hollywood right now.  She totally stole the show.  Her voice is so powerful, and you can feel how frightened she is as she sings and speaks of the Phantom. I love that girl!!Gerard Butler is the most amazingly talented, (plus amazingly hot), actor that I have seen from this century so far.  You can feel his emotions when he sings the songs even when you are only listening to the soundtrack.  When you see it on screen, it totally rips my heart out to see his eyes, his tears and his love for Christine.  If it were up to me, I would've given him some recognition for his splendid take on the misunderstood Phantom.Recommended for anyone who enjoys a good musical, and possibly a good cry, too.  100 out of 10 stars for me!!	5.0	The Best Musical EVER!!!	2006-07-18	8	5	3
