asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00006RCNW	The Shield - The Complete First Season	AR9J01LEI43U2	"#1 Consumer ""Consumer Reports"""	This show is as exciting as Breaking Bad. It's definitely one to see. Just a warning to casual viewers, this show is addictive!	5.0	Outstanding!	2013-04-24	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2IDT0VPLW787H	2 Bad Cats	The characters are fully developed and interesting. Plenty of action. Unfortunate that all there is no one to root for ( ie. they will win) as all are flawed.	4.0	Action Packed	2013-10-04	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1YD4OQUAV6EKR	4483wahoo	Great show awesome suspense!! you can never guess what will happen next!! Highly recommend to anyone looking for an addicting show!!!	5.0	AWESOME!	2014-02-18	0	0	0
B00006RCNW	The Shield - The Complete First Season	A9ID9GX98363L	"A. A. O'Connor ""A.A.O"""	Show is brilliant.  I have never watched the pilot without someone's eyes popping out of there head in shock.  Cop shows are generally so bad.  Crime at the beginning and solved at the end the show.  The Sheild is totally original and trashes that format right from he beginning.	5.0	Best cop show ever!	2013-12-12	0	0	0
B00006RCNW	The Shield - The Complete First Season	A232TIAOMCAMAL	"Abe M. Huffstickler ""Abe"""	When people talk about cop shows on tv they will always mention The Wire, Homicide life on the Street now they can add to that Shield as one of best a true orignal form the piolt to the very last episode a true five star classic	5.0	A must see	2013-03-24	0	0	0
B00006RCNW	The Shield - The Complete First Season	AWYU9SROX3DSN	A. C.	Awesome show. The characters will have you attached with all the left and right hooks that are thrown at them throughout the season.	5.0	Another favorite show to add to the list.	2013-09-15	0	0	0
B00006RCNW	The Shield - The Complete First Season	A19I6IE5EAW6FM	Adam Brandt	this show is about a pudgy bald guy and his 3 white trash buddies who supposedly rule over and intimidate all the gangs in LA.  We're expected to believe they NEVER get caught (until the end of the series), and the writing is just so lazy, as is the acting.  AWFUL AWFUL AWFUL	2.0	if you like bad acting and ridiculous story lines watch	2013-04-18	2	1	1
B00006RCNW	The Shield - The Complete First Season	A2AP0LLWJD2W6R	Adam	My boyfriend and I were looking for a new show to get in to and we love The Shield! We are fans of &#34;Sons of Anarchy&#34; and this show is linked with Kurt Sutter and many of the same actors. The episodes are fast paced and I GASP a lot! Highly recommended.	5.0	NEW FAVORITE SHOW!	2014-01-16	0	0	0
B00006RCNW	The Shield - The Complete First Season	AH87K1CGLO3TK	Adam	One of the best shows ever...seen every episode a few times and still am just as entertained as if watching for the first time.	5.0	One of the best shows ever	2013-10-05	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1NIVLV2F22UFF	Adam M Sheridan	All 7 seasons of the Shield with Chiklis are at the top of my list!!  I especially enjoy the camera direction, which provides intriguing views of all the scenes and characters in every episode!!	5.0	All 7 seasons of the Shield with Chiklis are FANTASTIC!!	2013-07-09	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1TY3NNXNUH2K8	"Adam Ruining ""My reviews are genuine."""	"A stirring examination of the duality of man, ""The Shield"" follows detective Vic Mackey, head of the Strike Team in the fictional LAPD district of Farmington.  Along with fellow detectives Shane, Lemonhead, and Ronnie ""Moustache"" Dobbs, Vic navigates the back alleys of LA, committing criminal triage, allying himself with a wide array of characters like the two-bit drug dealer Rondell, the drug running rapper Kern, and drug cartel businessman Tio.The underlying question of the series could be, ""What sacrifices, man?""  What sacrifices, man, indeed.  Through the continual snowballing of smaller infractions, the Strike Team finds itself ever more mired in the seedy underbelly of the streets.  Planted evidence here, blackmail there, and suddenly Vic has gone from sterling detective to ultimate supercop, capable of bringing in and bringing down the most horrific of criminal offenders.  What sacrifices, man!  I applaud Vic for making the difficult choices others cringe away from, and making them in a manner that brings the most harm to alleged felons while protecting some innocents.That's not to say the show is perfect, mind you.  There's an entire infrastructure of other, more law-abiding police Hellbent on preventing Vic from violating a street thug's 5th Amendment rights and stopping crime in the streets.  Fortunately, the bulk of these officers aren't that bright and even if they do wise up to Vic's war on crime, there's nothing they can do about it -- Vic cleans up his own messes, if you catch my drift.*Spoiler* Vic kills some people to cover his tracks. *Spoiler*Also, Vic's wife doesn't deserve Vic; man, you have got to get away from that girl.For fans of Greek tragedies, some of Shakespeare's more grim plays, and people who love watching cops beat the ever living Hell out of punks."	4.0	It's okay.	2008-09-02	15	4	11
B00006RCNW	The Shield - The Complete First Season	ABGAL4ZQ7ZG0Z	Adelaidian	I remember this show being on Australian TV a few years back but didn't watch it. After recently seeing the DVD sets on sale at a local department store, I decided to give season one a go. Boy, am I glad I did, as every episode blew me away. I received a buzz similar to that of watching Hill Street Blues on DVD for the first time or seeing NYPD Blue when it premiered on television. The Shield though doesn't have anywhere as much humour as HSB and is somewhat more violent than NYPD Blue.There are only 13 episodes in the set but the drama and action is in your face. There are times when the strike team cops are heroes and times when they are villians. They'll do almost anything to get results but often leave many loose ends along the way, which have to be attended to in future episodes. Michael Chiklis was born for the role of Vic Mackey.Soon after watching season one, I went out and bought season two. Took me just a few days to watch all the season two episodes and am now in possession of seasons three and four. Only gripe with my Region 4 DVDs is that I've come across a couple of faulty discs (occasional vibrating/whirring sounds on more than one DVD player) and have had to exchange two of the sets. Still gave my review 5 stars since Amazon.com is not selling Region 4 discs (although did notice that previous reviewer (American?) experienced some problems - is Sony having problems worldwide with these sets?).Anyway, hold on to your seat and enjoy the ride! One suggestion though: you may want to keep the remote control close by in case you need to refer back to the subtitles after missing some quick dialogue, and so you can turn down the volume of the closing theme music. While the theme suits the show, I do find it quite loud and annoying.	5.0	Not for the faint hearted	2009-05-16	2	2	0
B00006RCNW	The Shield - The Complete First Season	A2J2BHU6ULDWTF	Adrienne	I gave this dvd 5 stars it was clear but the best was how fast I got this dvd that was best.	5.0	Got it super fast	2014-01-28	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2GQFABCUFKKG0	Aekdb552	Exciting and grity series. This show is a lot of fun and draws you in. I can watch each episode over and over	5.0	Great series	2013-08-29	0	0	0
B00006RCNW	The Shield - The Complete First Season	AE2AHF1R449G	"AEnvdeyrt ""Andyman"""	It is a lot of fun to back and watch this again, great season. Time to start season two...... A+	4.0	The Shield, Season 1	2013-06-05	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2GAL2VIYXZKTZ	A	Missed this show when it first ran on FX.  So glad I read the review and started watching it.  Great characters, wonderful acting, top notch writing.  A great &#34;escape&#34; for 45 minutes each episode!	5.0	Such a great start!	2013-08-09	0	0	0
B00006RCNW	The Shield - The Complete First Season	ATPX0VYTLP3ZJ	Alan Benson	This is an intense graphic show (cable I'd rate it &#34;R&#34;) if in a movie, but interesting story line and makes draws you into the next episode!!	5.0	Great show, but not for young kids	2013-04-19	0	0	0
B00006RCNW	The Shield - The Complete First Season	A3PC0MA2BUB7EA	"Alan Davidson ""alan1476"""	Very believable and played well by a well put together cast. You can tell a lot of research went into this because it shows things that actuall happen on the street, maybe its a little overdone but its TV and it has to be exciting.	5.0	One of the great Micheal Chiklis TV serials	2013-08-10	0	0	0
B00006RCNW	The Shield - The Complete First Season	A220G54R10S945	Alan Hascall	This show first caught my attention about ten years ago and I am glad to be able to revisit this engaging police drama again. The main characters are so well cast and the storyline keeps you hooked. Chiklis is amazing in this show. His role is as Detective Vic Mackey is so well played you just want his team to &#34; keep cleaning up the streets&#34;. The Shield is a show that you can watch and become very engaged in the high stakes that everyone is playing for.	5.0	Excellent show. Great acting  and cutting edge intense drama.	2013-07-06	0	0	0
B00006RCNW	The Shield - The Complete First Season	A18FOYUOLE3YM	Alex Aliksanyan	One of the best shows EVER produced on TV.  Gripping from the first minute to the last. It ended years ago but seems like yesterday.	5.0	Amazing show, you will love it!	2013-05-02	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2GMQQIMLGYLD2	Ali Hesami	I enjoy the fast pace and grown-up nature of this show. It deals with issues that, while often show their age, still speak to the ills of our society, and often even the world, and it manages to accomplish this without either becoming an over-stylized action show or bogging down in righteous self-reflection. The camera work is a bit inconsistant, which is sometimes fitting and other times jarring. I think it works over all, but it probably is a matter of personal taste.One slight disappointment is the lack of a back story in the first season. It's there in the second season, but it feels a little too late, and at that point it feels like filler.All in all, a very strong and enjoyable first season. I'm very glad this show is finally available through Amazon Prime, and look forward to the other seven seasons.	4.0	No-nonsense but not dumb	2013-04-27	0	0	0
B00006RCNW	The Shield - The Complete First Season	A22G4381GO9G1C	Allen Lau	Love the writing and acting.  Storyline is building up this tension that is about to explode , so you want to see what happens next.	5.0	great show	2014-02-20	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2Z370N59KW4BN	Alyce Cato	I loved The Shield at the beginning, it was edgy and dark. 10 years later it's not, Vic is silly and bombastic.	2.0	and then breaking bad came along	2013-04-04	1	1	0
B00006RCNW	The Shield - The Complete First Season	A2MGLOLYG3SPUV	Amanda Johnston	Excellent! Then again anything where Kurt Sutter is a writer is going to be ingenious!!!!  Now that is good television.	5.0	Hell YES!	2014-04-29	0	0	0
B00006RCNW	The Shield - The Complete First Season	A3A04ULZE6ETON	"Amazon Customer ""David"""	The scary thing is at least half the time I totally sympathise with Vic Mackay.	5.0	Superb	2003-03-19	1	1	0
B00006RCNW	The Shield - The Complete First Season	A3IXC8PP2QD4P0	"Amazon Customer ""Gerrymander"""	Not your typical police storyline. Will keep you captivated.	5.0	Watch this show!	2014-07-01	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1IN6INTN12OCN	Amazon Customer	all I can say is this cop is good but bad as well I got the season 5 of this cop show and let me tell you if you are not careful you will be in the tv all the time watching this show I was. great job	5.0	the man you want to hate but cant	2013-04-17	0	0	0
B00006RCNW	The Shield - The Complete First Season	A3079K0UE2KP37	Amazon Customer	Best tv show ever produced ...It was the biggest shame ever when they canceled the show... I'm still super pissed about it and it's been like 5 years.....chicklets gives the performance of his life time.	5.0	Why did they ever cancel this show?	2014-05-20	0	0	0
B00006RCNW	The Shield - The Complete First Season	A3FL9S1ZTH532G	Amazon Customer	Fantastic show with lots of drama. Michael Chikilis plays his role so well, one of the most underrated actors of our generation.	5.0	Great show	2014-06-10	0	0	0
B00006RCNW	The Shield - The Complete First Season	A368CEUCJ6G9K8	Amazon Customer	Grabs you from the start. Covers an array of topics. Chiklis does a great job of the good bad guy.	5.0	even bad cops have hearts	2014-05-16	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1CGMPJERQ4IPM	Amazon Customer	Great drama. The plot pulls you on from the first episode. This series is a prime candidate for binge watching.	4.0	worth watching	2013-12-22	0	0	0
B00006RCNW	The Shield - The Complete First Season	A15SE01ODC59LJ	Amazon Customer	I believe a lot of what is in this show is true for the LAPD.  Not all cops are dirty, but when they are...	5.0	Great show	2013-03-20	0	0	0
B00006RCNW	The Shield - The Complete First Season	A313A8Z2OMK7W9	Amazon Customer	I have been watching this show since day 1 and there is no better show than this.  I have already pre-ordered season 2.  If you have not seen The Shield yet you do not know what you are missing.	5.0	BEST SHOW EVER	2003-03-28	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1WZAH6ZE0GNPA	Amazon Customer	I just finished season 1 and loved it, on to season 2.  Lots of entertainment here.  I love this show!!!!	5.0	what I hoped for.....	2013-08-04	0	0	0
B00006RCNW	The Shield - The Complete First Season	A269NM7OQRE53H	Amazon Customer	I love all these cop dramas and missed this when it originally aired, so glad it is available to watch here as it is not on netflix. Thanks Amazon Prime	5.0	Love the Sheild	2013-05-31	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2M34MWYSSUD7M	Amazon Customer	I'm not sure who to root for....there seems to be some good om the villians and some bad in the 'heros' I really want to see one of the villians (anti-heros ) get what he has coming to him	5.0	I'm confused	2013-04-13	0	0	0
B00006RCNW	The Shield - The Complete First Season	A20YZL4ALVDKDG	Amazon Customer	It was great I enjoyed it very much I cant believe how it kept me on the edge of my seat	5.0	great	2014-04-07	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2O84II4UUNL76	Amazon Customer	Really captivating and the storyline keeps your interest. The show moves at a quick pace and provided characters that are believable.	5.0	Great show!	2014-03-16	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1KN0CWT5BW2EQ	Amazon Customer	The bad boy behind the badge you can't help but root for! Masterfully written with actors perfectly suited to suck the viewer into their world. The Shield isnt just another cop show! It gives you a glimpse of life behind the badge and into the lives of the people who wear the uniform. Showing us that they are people doing a super hero job where perfection is expected from flawed humans doing the best they can. Shining light on how good people can do bad things with good intentions.  Watch the first season and you will be hooked!	5.0	Mind blowing television!	2014-06-21	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2DMNBVT17YYKF	Amazon Customer	The Shield is the most exciting Police show ever. You will see some of the best acting by many of the cast along with scripts that make this the best police show ever produced.	5.0	Greatest Police Action Series	2013-04-04	0	0	0
B00006RCNW	The Shield - The Complete First Season	AGMZ6J5RG8PI2	Amazon Customer	Unlike many other series, there is no &#34;wait to develop the story line.&#34;  It is gripping for Episode 1, Season 1.	5.0	Gripping from the start.	2014-01-12	0	0	0
B00006RCNW	The Shield - The Complete First Season	A9IRGIIHYOH09	Amazon Customer	The Shield is the best cop show on tv. I have seen season 1 through season 4 and can't wait until season 5 is out!!	5.0	Awsome show!!!	2007-02-04	3	0	3
B00006RCNW	The Shield - The Complete First Season	APNABIJRDH1MW	Amazon Customer	I am new to the party but riveted by this show. It's gritty, dirty and a guilty pleasure but so damn good. You love Vic Mackey then you hate him.But you always come back for more.	5.0	You gotta see this!	2014-01-03	1	1	0
B00006RCNW	The Shield - The Complete First Season	A2C7Y9VZ9OYRT1	Amazon Customer	I was really surprised at this show - not knowing what to think, I think I missed the whole purpose of this show.  A little too violent for my tastes.	2.0	The Shield - Lesson in Deceit, Loss of Honor and Murder	2013-04-29	3	1	2
B00006RCNW	The Shield - The Complete First Season	A2PM7CQZTMMT6I	Amazon Customer	"I am one of those people that kept seeing commercials for this show and thinking ""Hmm, that looks ok, maybe I should watch it."" but never getting around to it. Well, one day they had a marathon of The Shield going on, and I finally had nothing to do, so I sat down and started watching it. I got through the second episode on the marathon and I knew I was hooked. I rushed right out and bought the first season on DVD so I could see the entire set in the correct order and without missing anything. The show is great. I would put this show right up there with The Sopranos, but unlike Tony and gang, the cops in The Shield are trying to do good things....as long as it doesn't interfere with profits. The moral ambiguity in the show really helps make it believable and work for many people. You might find that you like a cop like Mackey being able to get the answers and information that no regular cop can, but you might find that you dislike him for using the methods he does to get them. The show presents the question ""Is a win for the good guys a win no matter what the cost?"" and then leaves you to answer it for yourself."	5.0	One of the best shows on TV right now!	2004-11-06	3	3	0
B00006RCNW	The Shield - The Complete First Season	A2OWVLMZGQW3NP	"Amazon Customer ""jimheh"""	Excellent story line that is as real as life in a big city.	5.0	Best cop show ever.	2014-07-04	0	0	0
B00006RCNW	The Shield - The Complete First Season	A3I95I98ZFT94A	"Amazon Customer ""Julie d"""	It's good and fast paced, but not too original. The cop characters are nuanced, like the older (and better) Hill Street Blues. I confess I only watched the first half of season one, so I might not be fully informed.	3.0	Another dirty cop show	2014-01-04	1	0	1
B00006RCNW	The Shield - The Complete First Season	A103T4L14A5O42	"Amazon Customer ""Mean Gene, MN"""	I'm glad I started watching this show. Production is a little rough, but writing is awesome. You can feel Kurt Sutters' (Sons of Anarchy) hands in this show.Looking forward to watching the whole series. It's only going to get better - I can feel it.	4.0	Check it out Sons of Anarchy fans!	2013-12-05	0	0	0
B00006RCNW	The Shield - The Complete First Season	A288I7EY4X3Z1Q	"Amazon Customer ""msshedd"""	Show begins with serious corruption yet the writers begin to build the characters so you have a love hate with the bad guys	5.0	Corruption at its best	2013-05-17	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1K2EGXBHX7AW1	"Amin R Marcalle Farina ""Amin Farina"""	This is by far the best series i have ever seen, action, romance, thrill, adventure. This is my kind of series, i love it.	5.0	The Shield, the real cops	2014-05-02	0	0	0
B00006RCNW	The Shield - The Complete First Season	AX0RTXJPIQGRL	a-MN-azon	Its an ok watch, but hard not to compare to The Wire, which is a WAY better series, aired about the same time!	3.0	its ok...The Wire is way better!	2014-02-19	0	0	0
B00006RCNW	The Shield - The Complete First Season	A1C8IY9FL6IOX	Amy Curtis	I started watching this show because I love Sons of Anarchy and that show's creator Kurt Sutter was a writer on The Shield. I have also discovered that many cast members from The Shield have guest starred on SOA. The Shield is a great twist on the police drama!	4.0	Different take on cop drama	2013-03-26	0	0	0
B00006RCNW	The Shield - The Complete First Season	A3D2L8YEA7FTQ	Andrew Cho	Action packed and never a dull moment. Team Mackey for life here . IMO more exciting than breaking bad. yeah i said it	5.0	Team Mackey	2014-02-18	1	1	0
B00006RCNW	The Shield - The Complete First Season	A2BEJ9V3A3RNRD	Andrew F.	Amazing cast and writing. One of my favorite series ever. It's a little gritty, but tells a great story. Fascinating.	5.0	Outstanding.	2013-11-24	0	0	0
B00006RCNW	The Shield - The Complete First Season	A2W6FW4D3GD1QW	Andrew	This is the best show on TV. Watching both 1st and 2nd season straight through (or at least in a shorter time period) adds so much more.  Makes the stories and the plot that much deeper.Great purchase	4.0	AMAZING	2004-03-08	2	0	2
B00006RCNW	The Shield - The Complete First Season	A35PM29K04XLK2	Andrew Sindelar	Loved this show since I first saw it. Watched the first season in one sitting when my brother introduced me to it!!	5.0	One of the best cop dramas ever!	2013-10-19	0	0	0
B00006RCNW	The Shield - The Complete First Season	A337ZEWBA6Y4OC	Angela	Great Show! Writers for this show are great and Michael Chiklis plays this part so well you dont want the show to end	5.0	Love the Shield	2013-03-20	1	1	0
B00006RCNW	The Shield - The Complete First Season	A13LMDFRYIE6WC	"Anil Gupta ""anilg14"""	I was looking for something similar to 24. This one is good. It does not come even close to it, but definitely watchable. 24 one could at least watch sometimes with kids with somewhat caution. This one, definitely not, because of language used.	4.0	Good	2013-09-02	0	0	0
B00006RCNW	The Shield - The Complete First Season	A38G7HX0SSYBNT	ann27	I never watched the shield and now I know why. If you like crudeness and bad language.....if that impresses you about how tough these men are then you might like this video. Offensive from the getgo. I quit watching quickly.	1.0	crude tv show	2013-03-20	10	2	8
B00006RCNW	The Shield - The Complete First Season	AU6BY2H2XQELW	"Anneconnelly ""love to read"""	First rate acting by all. Great story lines and characters with lots of twist.  I would recommend this show to those who enjoy quality tv.	5.0	Great show	2013-09-29	0	0	0
