asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JNTI	War of the Worlds	AWOY8WPL84PIB		Holds up better than you all thought. It is a huge, timeless story. And even after this amount of time, it does not look like egos were bigger than the story they were telling.  A very satisfying movie.	5.0	Steve and Tom did OK.	2014-07-16	0	0	0
B00005JNTI	War of the Worlds	ANNMIGVQ3I3UY		What can I say. IT's an awesome movie, one of my favorites from the 2000's and Im so glad to own it now!	5.0	Like the movie? Then it's a must have!	2014-07-23	0	0	0
B00005JNTI	War of the Worlds	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	Being a dad is hard. The wife (and her new dorky husband) brings them over to your house when it's your weekend. You have to deal with so much nonsense. And on top of everything in this post 9-11 world things in America seem less certain than they used to. Spielberg cracks me up. Leave it to him to make a story about an alien invasion of the planet and the freakin' end of the world into a portrait of a man learning what it means to be a father to his kids. But of coarse, it's brilliant. As non-presidents and non-elites most of us would face disaster with the perspective of Tom Cruise's character and his family.If you don't like the changes one of our greatest film directors made to the old story look -- WHATEVER TO THAT. Yea that reminds me of King hating THE SHINNING (at least he was the author of the book). Does it matter? NO. Who cares? NOBODY. Because it's a cinematic masterpiece and this Spielberg sci-fi flick is a real fine film.I'd argue it's (at least) a minor sci-fi classic. Sci-fi combined with another genre sometimes produces the most incredible results: In this case we're treated to sci-fi/horror. And I've never seen an alien invasion portrayed this realistically. Your on the ground with regular people, running and getting trapped, barely missing getting zapped, or feed into a machine. It's great.-----ALL THE NEGATIVE REVIEWS FOR THIS MOVIE SUCK-----.*The special effects are great.*The acting is great.*The cinematography is excellent.*The directing -top notch-.*The movie is dark and very suspenseful.*The movie is ultra-realistic!	5.0	fatherhood	2008-10-08	12	9	3
B00005JNTI	War of the Worlds	AR9QPZFX65LDV	Aaron Alexander	"I don't understand why there's so much criticism towards this movie. So what if it didn't stay %100 true to the book. So what if there are some unlikely things about it and in the invaders motives and planning. Just because it has Tom Cruise in it and Steven Speilberg directed it means that unless it's flawless it's not worth seeing at all? War of the Worlds isn't supposed to have a deep plot. It's just about people trying to survive a Martian invasion. It's more of one of Speilberg's more realistic ""what if"" movies, like Jaws. There are things about it that aren't close to the book, such as the setting being today rather than the late 19th century, the story following a family in America rather than one man in Europe, ect. The tripods are very true to the ones described in Wells book. They destroy the human race with heat rays and are complete with the earth-shattering foghorn-like noise. Many other parts of the movie are very true to the classic book, like the scene in which Ray (Tom Cruise) and his daughter are trapped in the basement of a house surrounded by patrolling tripods with a man who is planning to go underground and destroy the invaders when they don't expect him. The special effects are very good and the tripods look amazingly realistic. The acting is pretty good for the most part, other than the fact that some of the people running away from the tripods looked about as scared as morning joggers (and Dakota Fanning's screaming gets really annoying). If you really hate everything about this movie, so be it, but I don't see one thing in it that qualifies it for the worst movie of the year. It's one of my favorite films and it should be a great pick for any action/suspense movie fan."	5.0	Give this movie a break people	2005-12-31	3	2	1
B00005JNTI	War of the Worlds	A29H5ABNLR4D47	Aaron Felker	I can't say much because the movie isnt out yet, but from the trailor i saw, it looks like it will be great.  I am very excited to see what they will be able to do with CGI and other special effects.  Hopefully it will be alot better than the old version movie.  If this movie is anything like the book, it will be great.	5.0	Gonna Be Great!	2005-01-18	6	3	3
B00005JNTI	War of the Worlds	A2FCBHJZ3J3LGJ	A. Barber	"I watched this movie for the first time last night. I've heard that it was ""OK"", but watchabe. So I watched it. I liked the beginning, it was story building about Cruise's character Ray and how it all started. It was very suspenseful through the chase scenes and the will-they or won't-they be caught scenes. But it wrapped up so quickly that it was insulting to the viewer. I was really into the movie for a while, but all of a sudden, it ended; and without good reason. It's almost as if the guys ran out of money to make or ran out of ideas to end it. It had a lot of potential, but it just lacked an ending. It's certainly worth watching once, but I wouldn't bother with it again."	2.0	Great potential, but fell far too short.	2006-08-03	6	4	2
B00005JNTI	War of the Worlds	A3PIPHWD45VOGI	Ace-of-Stars	"*I hate ""happy endings.""Well, that's not entirely true. What I hate are ""CONTRIVED"" happy endings -- something Spielberg is a master at (see his phony dopey ending to his handling of the Kubrick project ""A.I.: ARTIFICIAL INTELLIGENCE"" for the ultimate example). And the sad fact is that EVERYTHING in this movie seems ""contrived,"" not just the 'happy ending.'While keeping with the spirit of the original H.G. Wells story, this movie expects us to believe that for untold ages, prior to even the appearance of man on Earth, an extraterrestrial alien race had buried war machines deep underground and waited until the early 21st century to begin engaging in an extermination campaign? For what? For ""sport""? (Damn, that would mean that they've got greater patience than the ""Predator"" race -- re: ""AVP."") Or for ""colonization""? (Why could they have not colonized the Earth ""before"" the advent of man?)One of the more vocal complaints I hear about this movie concerns the unfortunate portrayal of yet another example of a ""disinterested"" and ""incompetent"" father, but since no explanation was ever given as to why this family was fractured as it was, or why Ray (Cruise) was seemingly so out of touch with his children and their lives, it was something I could personally overlook and for which I could form any number of interpretations.But as so many others before me have already expressed, one of the biggest problems-- if not 'THE' biggest --is that there are just way too many plot holes spattered throughout this film that it makes it difficult to be considered as even mindless time-wasting popcorn entertainment. It's main saving grace is its stunning visuals & detailed special effects -- and its pacing is, for the most part, very well executed (kudos to the editors).I've since come to accept the ease with which the first successful destruction of one of the tripods occurred and how Ray was able to be pulled free from it with amazingly little difficulty, as this would likely coincide with the timeframe in which the microbial 'incubation period' had reached fatal levels and began to affect (weaken) the invaders. But the 'wrap-up' came much too quickly, not only immediately after this incident but also for the conclusion of the film. Yes, we all know the reason for the sudden massive & undignified deaths of the invaders, but it would have been nice if the characters had been shown coming to this realization on their own, rather than concluding with a rehashing of the narrative epilogue we're all familiar with.I hate to say it, but overall I found the entire movie boring and less than compelling. This had less to do with the 'entertainment value' of the movie (as I still considered it entertaining enough to grant it a ""three star"" rating, though a more accurate reflection would be a ''low three'' -- roughly a ''C-minus'') and had more to do with the truckloads of illogical situations & explanations -- everything from the attack vehicles' being 'buried for millennia' before being utilized (in perfect working operation without so much as a speck of rust on them) to the extremely unlikely happy-sappy 'family reunion' ending.If it were all meant to be satire I could easily forgive some, if not all, of these discrepancies and non-sequiturs. But since Spielberg & company decided they wanted to play it 'above board,' it has no 'veritas.'Spielberg's take on ""WAR OF THE WORLDS"" could have been handled much better, in my opinion, but at least it was better handled and more believable than that other horrendously over-the-top Spielberg project, ""MINORITY REPORT."""	3.0	"As ""Mr. Spock"" would say ... ""ILLOGICAL"""	2005-11-02	18	13	5
B00005JNTI	War of the Worlds	A3MV1KKHX51FYT	Acute Observer	"The War of the Worlds, 2005 filmThe story begins at a port where huge cranes move shipping containers. A man is asked to work overtime but refuses (family first). This looks like the New York city area. A couple plans to leave for a visit out of state. The TV news tells of strong electrical storms abroad. This man and his son play a game of catch until one throw is missed. This family has problems. There is darkness in the sky and a high wind. Lightning flashes in the sky, people are scared. There is no electricity! Cars have stopped running! Was it a solar flare? People look at a hole in the street. Cracks appear in the street and cause damage to property. Water spurts from a broken main. Something big and dangerous erupts from the ground! People scream and run. ""OMG!"" Rays of force annihilate people on the ground! Houses, too. What can they do now? Get a revolver?""Get in the car or you're going to die!"" shouts Ray. [Why did one car manage to work? Product placement?] They don't wear seatbelts. Some houses have lights. No one is home. They sleep in the cellar. There are strange lights and noise. Outside they find a crashed jet airplane. ""Once the tripods move into an area no news comes out."" They drive away. [Where did they get gas?] Bodies float by in a river. Soldiers pass by in their military vehicles. They drive and see refugees on the road. Some beg for rides. A crowd attacks their car after it crashes. Shots command attention. Their car is hijacked, it leaves without them. They walk across a bridge. There is a horrible sight. People try to get on a boat to cross the Hudson. Then the boats lists to one side and capsizes! People and cars slide into the river. Rachel, Ray, and Robbie reach land. They see tripods in the distance. Military forces advance towards the lightning and thunder. Robbie wants to see the action. Ray rescues Rachel.They seek refuge in the cellar of a house. Those tripods were buried beneath the surface for a million years. Will they exterminate humanity? A man advises against running away. Can they kill the tripods? What can they do? The noise outside stops. A tentacle invades the cellar, like a long snake. Will they be discovered? Strange creatures enter the basement, look around, then leave. The morning light shows what happened to the people caught by the alien creatures. Ray keeps things quiet. There is a sudden surprise! Ray uses his axe. Is there no escape? A tentacle gathers another trophy. One tripod gets indigestion. The survivors walk to Boston. Some of the tripods fell down. An anti-tank rocket hits another. We see one of the alien creatures. Rachel meets her Mommy. Robbie is there too. A voice explains how microbes killed off the invaders.Herbert George Wells wrote this over a century ago. This may be the first movie adapted from it. Did the plot inspire ""Night of the Living Dead"" and similar horror movies where humanity is threatened by strange invaders. The idea of strange beings planted below ground echoes the ideas of vampires or zombies. Who can believe that? Does the happy ending seem tacked-on? The great terror in this movie suggests it would not be successful. It has some spectacular events and large crowd scenes. Given the lack of electricity (as with Hurricane Sandy) where did they get the gasoline (no fuel pumps), water, and food (no refrigerators or transport)? These disaster films become popular during economic depressions, like in the 1930s. While this movie has some good special effects the story isn't that great overall. There are too many boring scenes for an action movie, and too few horror scenes for a scary movie. Do these disaster films become popular during economic depressions, like in the 1930s? Do fears about political turmoil create an audience? While this film has some good special effects the story isn't that great overall. There are too many boring scenes for an action movie, and too few horror scenes for a scary movie."	3.0	Invasion From Inner Earth	2009-08-25	2	1	1
B00005JNTI	War of the Worlds	A1NKSOKXSSI7KO	Adam M. Fay	I absolutely loved this film and couldn't wait to buy the DVD. Well, I bought the disc when it came out...and let me tell you, not only does this disc have ZERO special features save a DTS audio track and the making of the aliens featurette. The transfer from the film print to the DVD is unwatchable. Not only is the resolution very low, colours appear washed out and light glares, almost like you are looking through dirty glasses. The picture basically looks like you're watching a washed-out VHS or LaserDisc from the 1980s. I turned it off and went back to watching regular broadcast TV, and the picture was MORE CLEAR watching regular TV and mind you, this is on a new HD widescreen TV.I am writing to DreamWorks to hopefully get my money back. If your a big fan of this film, wait for DreamWorks to get their act together and release a DVD version of this movie actually worth watching.	5.0	Great Movie, Terrible DVD	2005-11-26	7	0	7
B00005JNTI	War of the Worlds	A3OGWBZV2F8M74	"Adam Rosenbaum ""Author of 'How to Remember No..."	"I had heard mostly negative reviews of this film prior to seeing it this week, so I was pleasantly surprised when it turned out to be an attention-getting and often funny movie.Tom Cruise, who I like in these leading hero roles, plays a Joe-Sixpack father who leads his two children away from the invading machines and monsters that have come to destroy life on Earth. The action scenes from the very beginning are intense and well-executed and the plot flows nicely.A couple of criticisms include the tedious subplot of Cruise's strained realationship with his teenage son. A few minutes could have been cut from these scenes and no one would have missed anything. Also, the middle and ending were weak with respect to the science surrounding the fate of the invaders. The movie could have used a boost of ""Michael Creighton"" here, especially since the first and last scenes focus on this very topic.Before going to the movie I read a few (mostly negative) reviews from some of the professional critics, one of whome was concerned about the fact that the machines in the film were tripods, which made them unstable and therefore unbelievable. To these kinds of comments I can only say that next time you see an invading force of alien machines, make a sketch so we all know what's realistic and what's not.I recommend this movie for its pure entertainment value. It's not an intellectual exercise like the Andromenda Strain, but neither is it roller coaster ride like Independence Day."	4.0	Pleasantly surprised, but the ending could have been stronger	2005-07-27	5	4	1
