asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1415724784	An Inconvenient Truth	A3A1OA237FOZFK	#1 Amazon Fan	While I greatly respect Al Gore's devotion and passion for the causes he believes in, the things he presents here are simply not provable in the grandest sense.  How many of us have been around for a few thousand years to see and know firsthand how factual this information truly is?  The earth has gone through many changes and will continue to do so, but the whole greenhouse effect and global warming theory is just that - theory.  Yes, you can put up factual information and I won't deny it, but that doesn't mean you mix it up with theory and come out with the end all cause and solution.It's just like those who want to blame everything that happens in the US on the President.  A president can be in office for 3 months and something dramatic happens to the economy, and suddenly everyone blames him.  Like a president could have that much effect on the entire economy in such a short period of time.I am not discouraging anyone from watching this film, but rather am saying that people need to start listening with both ears and that includes listening, reading, and watching all sides of an issue and then coming to an educated opinion/position of their own.  Quit letting others do your thinking for you and telling you what you should or should not believe.  These statements are inconvenient truths, and I hope you are open-minded enough to realize just how much they are.	1.0	You can't believe everything you hear	2006-12-11	108	24	84
1415724784	An Inconvenient Truth	A1N46HBQOQECBB	"2bP31 ""2bP31"""	"This movie was a class assignment that I was required to watch otherwise I still would have never heard of it.I am very impressed with Al Gore because of his work towards this project,  though this cannot be considered just a project but instead a total overhaul of the way is Americans are living.It sincerely concerns me that not enough of the right people are listening so that direction can come from the top.  But as he did,  if anyone admits to the issue,  they will also have to take ownership toward the effort.  And unfortunately too many politicians are too concerned about their own agendas.In a sense America is sadly not only proverbially going up in smoke, but also literally.  Brings to light a different meaning to the term ""melting pot"".  Hmm... is not just culturally, is it?"	5.0	Extremely enlightening	2013-06-16	2	1	1
1415724784	An Inconvenient Truth	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"Vice President Al Gore and director Davis Guggenheim have teamed up together to provide a compelling presentation.  Using charts and statistics with the simple, effective skills President Reagan used, Al Gore goes through diagnosing, sampling, then convincing us of the existence of global warming.  Having been no stranger to the topic for decades, he demonstrates stunning global pictures that document its effects upon the entire global landscape.  Beautiful cinematography and quiet evocative music garnish his presentation that is poignantly laced with autobiographical narratives of key moments of his life.  Also, he interrupts his lecture to tell some funny jokes to keep the electricity of the audience flowing.  The former Vice President takes his composite picture and evidence, and, then he asserts that it is a moral, not a political imperative that we reverse these trends with a myriad of CO2 reducing porposals.  He also, like a skillful debater, surfaces the rebuttals by the opposition and offers his own counterpoints.  (For instance, he honestly shows that C02 levels go in cycles over a long history even before scientists obtained the means to measure it, but one of his most eye-opening statistic is that C02 levels have never been 300 parts per million until now.  No cycle has ever looked as C02 saturated as long or as hugely as the time in which we now live.)This documentary should be seen by everyone, especially the skeptics.  Most of the people who comment about the movie were already convinced of global warming, but that isn't to say there's no wisdom in firing up the troups.  Global warming is such a divisive issue, and the ramifications are so important that, even those who believe that global warming is a hoax or that it is real, but a natural cycle, need to know what they're debating.  It is always illuminating to know more about what you believe, but it's also important for the general public to get a hearing about a major issue.There were a couple of minor weaknesses.  First of all, Vice President Al Gore is a politician.  Most commentators say this isn't a political DVD.  Not true.  To the liberals, I say, it is political.  To the conservatives, I say, who cares?  In the middle of the DVD, the movie shows the 2000 Presidential race debacle.  This happens a long time after the Vice President makes the point that the Bush Administration has abandoned its promises about the environment.  The context of film clips of the election is political.  Convincing the public of global warming is a political debate.  Al Gore does a great job, but I thought the brief lapse with the 2000 election detracted from his message briefly.  Secondly, and also minor, his charts show that global warming has brought about an increase of new species.  (Shouldn't we be frightened if the changes didn't?  Afterall, where would we be if that didn't happen with the climate changes that wiped out the dinosaurs?)  He then adds that trees have been devastated by growing species of beetles.  (Maybe new, sturdier trees will evolve.  Of course moral presumption in environmental matters isn't prudent, either.)One of the best arguments he makes is about money.  He shows how little dissent there is among scientists, except those paid by corporations, like oil companies.  One of his best analogies is when he shows that there were ads after the surgeon general's claims about smoking, which read, ""More doctors smoke Camels than any other brand.""  Such is the opposition now to global warming.Is Al Gore cherry picking highlights or an environmental Henny Penny?  The results are too important not to be focused and find out for ourselves.  Everyone should see this movie."	3.0	Compelling Lecture	2007-01-31	10	4	6
1415724784	An Inconvenient Truth	A30A7NPXS2M14S	"37 Bonaire ""37 Bonaire"""	Doubt there is global warming?  Pay close attention to the ice core drilled in Antartica.	5.0	What Global Warming?	2007-01-15	6	2	4
1415724784	An Inconvenient Truth	A1N1RXRN66DNJK	68	Great eye opener. I believe it and everyone should do their part. This affects us all.I enjoyed the presentation. I will try to do better by the Earth.	5.0	Amazing Eye-Opener!	2013-02-15	2	1	1
1415724784	An Inconvenient Truth	A2DTDGJBYCY96B	"80's tv lover ""tv junky"""	"Well folks you don't have to watch this movie to review it.  You either believe in global warming or you don't.  I myself believe in god and believe that there is no way possible that human beings are going to destroy this planet by using fossil fuels etc.  Thousands of scientists have dismissed global warming as a good myth, but nothing more.  The earth has actually been cooling since 1998, but the libs and ""environmentalist"" would have you believe that we will all be dead very shortly.  Actually according to the great Gore we should've all died yrs ago isn't that right liberals????  Gotcha!!!!  Global warming is the biggest hoax ever created and it was created to tax everyone and everything and it will help lead to a one world government and then well christians you know the rest.  If liberals really want to help they should just go ahead and cease breathing since their co2 is killing the planet.  I mean just the fact that humans are breathing out co2 is killing the planet so really we should all go find another Jim Jones to follow and drink the cool-aid so we can help save the planet.  Now thats funny right there I don't care who you are.  Keep up the lies libs we conservatives just keep laughing!!!"	1.0	Environmentalist:  The new home for communism	2009-10-13	21	8	13
1415724784	An Inconvenient Truth	A3UO195ZCOA59U	"Aaron D. Chacon ""goes_m"""	"The movie is technically well made etc and allows one to see Al Gore more of a person than the wooden figure he seemed to be when running for president.  Although parts of the movie seem to play like ""Al Gore for President Mk II"" for the most part the movie is non-political and blaming  people seems to be avoided.The movie is for the most part a recording of a presentation that Al Gore has given many times about global warming.  It seems smooth (but not slick) with touches of humor etc to underline its points.  It is aimed at the non-technical and I would imagine that just about anyone who reads the newspaper will be able to come away from the movie understanding its message.It would seem that the filming of a lecture style presentation would be boring (I have been to more lectures than I care to remember) but they manage to keep it moving along and I did not find any parts boring or slow.Given the nature of the debate about global warming, I would watch this to see a good presentation of the issues.  Then you can go decide."	4.0	A quick run down for the non-scientist	2006-12-20	15	8	7
1415724784	An Inconvenient Truth	AQDEZTLMMS80P	A. Bernstein	this movie was a true eye opener. some people do not like Al Gore, but the simple display of the truth is compelling and undeniable. please see this movie.	5.0	great movie	2007-01-11	7	5	2
1415724784	An Inconvenient Truth	A3F62UZI9MG5SC	A. Bitincka	"The only negative points on this documentary that I've seen in some reviews here, in other places and in the media as well are that Al Gore shares too much of his personal life and his lifetime important events that might have little to do with the subject of global warming.I think that almost every reference made to his personal life if taken without the prejudgment of personal promotion is relevant in making this movie more complete and more interesting. It shows his personal journey with ""the possible climate crisis"" as he faced some very interesting facts as early as his undergrad years.If you carefully connect the points about the attitude shown by politicians and even people in general to the weight example and fog parallelism even the death of the his kid and sister do make a lot of sense on what he trying to achieve.I do think though that they could have cut a few of scenes just showing Al Gore working on his presentation (moving pictures around) on his apple laptop. With that said it is more compelling to me at least to see the person with a struggle, that should be everyone's struggle, every step of the way than just a scientific documentary with a narrative on the background."	5.0	Comments in regards to Al Gore's personal life in the movie	2006-11-24	5	3	2
1415724784	An Inconvenient Truth	A22AD8M2SSOFHJ	"A. C. Ege/Acedoh ""acedoh"""	This movie is for anyone who cares about the future.  The FUTURE of Humanity and the Earth.  We have heard the cries for many years now to make changes.  Although it seems that in the United States we have an attuitude of plenty.  This movie has an ability to help people realize that the tap doesn't flow free.  Unfortunately we may hit a major dry spell if things don't change.  In the next fifty years we may see changes that would be uncomparable to any time in our history. These dramatic changes can be very sad to watch.  The emotion soon turns to anger and hopefully from that turns to positive action.The signs are obvious and continue to become more dramtic as every year passes.  The Earth has always fluctuated between ice ages and natural warm ups.  Except now we are seeing something on such an expansive and dramatic scale that we are hard pressed to find anything that has occurred comparitively in the history of this planet.  It may be to late to change.  I hope it's not.  I hope that everyone who sees this will try and make a commitment to help make this world a better place.  This message is not political.  I don't want people to make this an issue of politics.  I want this to be an issue of our future and the future of our children.	5.0	If you have or haven't awoken...PLEASE WATCH	2006-11-28	19	14	5
