asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00006C7G9	Band of Brothers [VHS]	A3AHTZHSX1O04I	"1row Books ""1row Books"""	Though the story and interviews with actual soldiers is powerful, the potential buyer needs to know that profanity dominates the script, and there is a totally unnecessary pornographic scene that assaults the viewer with no warning!  Shame on the Producers and Director for stooping to sleaze for no reason.	3.0	Viewer Beware...	2011-01-22	32	4	28
B00006C7G9	Band of Brothers [VHS]	A32E8JQ1WYE2RI	237	Excellent WWII movie	5.0	Five Stars	2014-07-12	0	0	0
B00006C7G9	Band of Brothers [VHS]	A3MCIAFO37VH14	"2-Stage ""2-Stage"""	The pivotal time in history..maybe all history.  It's from this that we were born into a new world.  Great acting and accuracy.  Thankfully HBO took this on with the right directors and dedication.	5.0	Pivotal and Riveting.	2014-07-02	0	0	0
B00006C7G9	Band of Brothers [VHS]	ATN8IGOY7F80O	3 cat mama	The world is losing World War 2 vets at an exponential rate.  WW2 vets chose to go home, go to work and take care of their children without speaking about the horrors they endured.  They perceive those who died on the battlefield as the heroes.  The downside of this is the kids of today need to know of this sacrifice before any history revisionists have the opportunity to do damage to the truth.	5.0	Necessary education!	2014-06-02	1	1	0
B00006C7G9	Band of Brothers [VHS]	A16CY0UYS4REZ5	4olives	Very well done.  Read the book, too.  It is much better and you can see some of the unnecessary changes that were made.	5.0	Classic	2014-06-23	0	0	0
B00006C7G9	Band of Brothers [VHS]	A39ARU1U63BUE8	7twelveWellness	Have watched this over and over. I am watching all the way through for probably the 5th or 6th time. One of my favorites.	5.0	One of the Best War Films Ever	2014-06-29	0	0	0
B00006C7G9	Band of Brothers [VHS]	A3S6CBA0OB8Z7T	8D	Have watched the whole series several times and I still enjoy it. Casual movie fans and WW2 buffs will both love it.	5.0	Great series. Must watch.	2014-05-24	1	1	0
B00006C7G9	Band of Brothers [VHS]	A3VQKWVJJ4PUT6	A911356kindaguy	As a big WW2 fan (like you probably, if you're reading this) not only did I enjoy receiving this nicely, packaged set, tin and all, the series is surely a keeper to be enjoyed more than once.  Perfect personal acquisition or perfect gift for someone who has key interest in the European conflict.  There's just not any way to mess up by getting this one.	5.0	Food for the Soul	2010-07-02	1	1	0
B00006C7G9	Band of Brothers [VHS]	A1SJ4I15UI1CPZ	A. Anderson	Band of Brothers follows a group of men from training to D-Day through to the end of the war. The history is interesting and the filming is well done with great actors.  The title sequences are slightly melodramatic, but the story is engrossing and you will want to go from episode to episode without a break.	4.0	A well done story.	2014-05-26	1	1	0
B00006C7G9	Band of Brothers [VHS]	A395N4X8SLXNGM	Aarongmoore	What can I say?  This is one of the greatest TV series ever made. (HBO does it again).  I watched this when it originally aired, purchased the DVD when it came out, and now thanks to Amazon 'Awesome Prime'  I enjoyed again on my Ipad.	5.0	One of the best.	2014-07-02	0	0	0
B00006C7G9	Band of Brothers [VHS]	AY93GRD30BGAE	Aaron	An outstanding series in all aspects. It is a good story, has great actors, good screenwriting, and good cinematography. Will continue to watch in years to come.	5.0	must - see series	2014-06-19	0	0	0
B00006C7G9	Band of Brothers [VHS]	A19XY14J27WCOG	Aaron	You have to see this series.  war truly brings out the best and the worst in mankind.	5.0	essential	2003-06-24	4	1	3
