asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A3LZGLA88K0LA0		The producers of CARS will probably have to dust off their shelves to make room for the Oscar it will probably get for Best Animated movie.  CARS certainly has dazzling animation and its basic selfish guy gets a heart premise will probably find its way into the hearts of the families that watch it.  Is it really all that different?  Other than the fact that the characters are CARS, it's really just a rehash of films like ICE AGE, OVER THE HEDGE, ETC. ETC.  But one can't deny it's entertainment value.  Randy Newman's delightful song OUR TOWN will probably garner him another nomination, and the voicing is really fun.  Owen Wilson is speedster Lightning McQueen, the hero whose self-importance takes a bruising when he finds himself in the small almost deserted town of Radiator Springs.  There he meets a Porsche lawyer voiced by Bonnie Hunt; a towtruck named Mater which is Larry the Cable Guy; and a former racing hero named Hudson Hornet played by Paul Newman.There are some cute moments and the animation IS brilliant, so CARS is a fun film to enjoy.	4.0	HOT ROD HEARTS	2006-11-12	5	5	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	ASXTOKZN8JXS2	111ashe	This is one of the few things that holds my 2 year olds attention while I work on other things...	5.0	My little one loves this movie.	2012-12-28	0	0	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A4IJBVEONRRPP	1443giggles	I love cars.  i will always love it and watch it frequently.  it is great for kids and family.  I am very happy i bought this movie.	5.0	Love It!	2013-02-27	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A2NL8HSXD8PIPO	2014S	This will look amazing on blu-ray. Pixar and Disney is blu-ray exlusive. I saw an Cars blu-ray trailer on the Pirates of the Caribian disc and its what you expect of Pixar, fantastic picture.I thought the movie was on of the best, maby Ratatouille was a little better, but great overall entertainment for the whole family.Now where is that Finding Nemo movie Pixar ? ;)	5.0	Pixar Cars great family movie !	2007-10-14	13	8	5
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A2ESCA4MLAK1QF	2kasmom	This movie has to be an out right Disney Best Ever!!  There was great and accurate scenery, funny jokes for all ages, Girl stuff, boy stuff.... humor the whole family can enjoy.  This is truly the best work of the Disney list.  Check it out!	5.0	Zooming to a DVD player near you!	2006-11-06	3	1	2
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"'Cars' relies on such a beautiful personification, we forget the characters are really cars.  The whole human world has been transfigured, as ""Braking News"" comes on television, and cars watch their fellow heroes in Nascar-type races in the stands.  Playfully, we enter into the world of ""Lightning McQueen"" (Owen Wilson) who is trying to win his first ""Piston Cup"".  He is full of himself and not just engine oil, so he lazily creates a three-way tie with two other prima dona cars.  The tie-breaker takes place in California, but his smugness gets him off guard, and he is stuck with a sleepy desert town, Radiator Springs, off Route 66.  Here he meets some interesting fellow cars, including Hudson ""Doc"" Hornet (Paul Newman), a former racer and the town's judge, a rundown tow truck, Mater (Larry, the Cable Guy), and Sally, a Porche from L.A., enjoying the slower life as a lawyer in the country.  There's a love interest, but her distaste for his ego provides a series of events to have his egomania retreaded.'Cars' has a lot of heart inside its chasis.  We forget we are dealing with cars that our laughter and tears come to the fore without us thinking about it.  It's the human comedy with a theme to reflect on slowing down and enjoying the road(s) in life.  Surprisingly effective, the story is beautifully executed with nuances like vocal appearances by Bob Costas and Richard Petty, which authenticate the movie even more.'Cars' is the best of a great lot of animated features this year.  While 'Curious George' and 'Monster House' help reinvent animation, 'Cars' gets to the finish line better with a great story and a funny, touching delivery."	5.0	Cute and Classic	2006-11-08	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A2B28GLZ1TO0TO	&#34;T&#34;	This movie is an excellent blu-ray transfer; very crisp,clear and the colors were excellent. Pixar did a great job.	5.0	EXCELLENT BLU-RAY TRANSFER	2008-02-13	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A24BURR7I3UT58	925reader	Another great Pixar movie! My kids love Cars and this DVD has been watched many times. If your kids love Hotwheels, they will love Cars!	5.0	Kids love it!	2013-11-24	0	0	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A3N26CT3Z7WA6K	A &#34;Billy T.&#34;	This film came along at a very special time in my son's life.  He was just growing out of Thomas the Tank Engine, and was thoroughly immersed in Finding Nemo and Happy Feet when this film came along.  All of a sudden, he was into cars and NASCAR, and a whole new world opened up.Compared to Toy Story or the Incredibles, the storytelling of Cars is not as strong nor the characters developed as deeply.  Nevertheless, it is extremely entertaining.  There is naked merchandising throughout the film and the pop references (Car Talk guys) aren't so limiting that they would date the film.  I've never been to a NASCAR race, but the race sequences appear to be pretty authentic.  As with many Pixar films, the &#34;shorts&#34; are entertaining.At the risk of sounding like a movie critic, if The Incredibles and Toy Story are the cream of Pixar's crop, Cars gets a solid B!	4.0	A VERY GOOD FILM	2014-02-25	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A4PCMQT7ZYF9W	"A. Anatoly ""Ray"""	This is very good movie.  After 5-10 years people will tell you it's the classics of animation.Good combinations of subject, music and very bright characters make this movie something special.	5.0	classics	2006-12-17	3	2	1
B00005JNS0	Cars (Single-Disc Widescreen Edition)	AV3KU5IG5GYXD	AandT	This is my first time seeing it and I've never been a fan of talking cars but it has a wonderful story and a great family film. Pixar has yet to disappoint.	5.0	Cute!!!	2013-04-19	0	0	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	AK3ZP3E8NQYF5	Aaron	The movie plays absolutely great, however the packaging was from some library. It looked like someone put it through the dishwasher before sending it. But no worries, the DVD player accepts it & so do I.	3.0	Happy with the movie	2011-07-06	0	0	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	AICI5YGCLDH10	Aaron Schlaegel	Cars is a great movie, and my son (and my whole family) continue to love the story and characters. Anyone who has not seen the movie yet, should go buy this great movie with a great story.Unfortunately, there is little on the DVD but the movie itself. This is uncommon, and leaves me feeling that there will be another release with director commentary or some other extra. I somehow feel cheated these days when I get a DVD without a director's commentary.	4.0	Great Movie with little DVD extras	2007-01-04	3	3	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A32CAU7K4U4236	Aarti Kabra	I am very satisfied both by the product that I got & also the speed of delivering this.	4.0	very good service	2009-02-23	0	0	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A45G1B3S8VXP1	A. Axe	My daughter went through a Cars-addiction when it first came out, but unlike some of her other movies this one annoys me. Could be Lightning's voice. Kinda whiney. The songs are great, though.	4.0	Daughter requests it, mildly annoying to mom	2007-01-21	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A32JKNQ6BABMQ2	"abe ""starman"""	this movie was really cool.its not just about a few cars going left a lot in circles.first,theres a 3 way tie at the winston cup[nascars world series].this never happened before although kurt busch did finish 1st and jimmie johnson was 8 points behind 2 years ago.theres a lot of nasbar related stuff in there.1-only like 2 actual #s ftom a real nextel cup car are used.2-one of the cars on a 3 way tie is called the king.thays richard pettys old nickname.and the car was a old dodge superbird like the one ol king used to drive once.then theres a green and white car thats really aggressive.thats obviously dale earnhardt with a different paint job.then theres lightning mcqueen.hes the cool break out rookie who gas a chance to break a record by being the 1st rookie to be champ.anyhow,those 3 must race in a 3 car only race off at the end of the movie.any nascar fan i think will really enjoy it.it isnt just tossed together.someone actualy took time to research racesars.there the bump and run ,drafting,the skingshot and also as an asses bonus the racecars do famous things from nascar history like the pass in the grass and winning a race backwards.i think in all movies for children only toy story 1 and 2 are better.there are 2 poinrs i didnt like.1-mcqueen isnt a very cool name for a manly racecar hotshot rookie.unless of course you mean lightning is like jeff gordon then it all makes sense.2-the other thing i didnt like was the outcome of the big race  at the end.of course i cant say who won but they were booed and  had stuff thrown at them.thats just not a good thing to teach kids eveb if they font know that car was patterned after the greatest racecar driver ever.	4.0	really cool for a kids show.maybe the 3rd best kids movie	2006-08-29	9	3	6
B00005JNS0	Cars (Single-Disc Widescreen Edition)	AQ9DCDZQRO4DV	Abigail Ryan	My son loves this movie.  He asks to watch it every day.  It keeps my interest, too.  The characters are fun to watch.	5.0	Great for my 2 Year Old	2014-01-03	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A3MV4VT9T0NRTZ	acstare	My 2 year old daughter loves cars and trucks, so we got this for her to watch.  Obviously, a 2 year old isn't interested in watching the entire movie from beginning to end, but she enjoys it in small segments.  I am sure she will love it more when she is older,The only con is that sometimes the humor and relationship situations are a little more &#34;adult&#34; oriented.  It isn't too obvious to children (unless they are very wise to this sort of thing), but some of this sort of humor and situations is unnecessary in a children's movie.  Otherwise, fun movie.	4.0	Decent cartoon movie from Pixar	2014-01-03	1	1	0
B00005JNS0	Cars (Single-Disc Widescreen Edition)	A2XUYTGOQVVZNS	AdamF	Great for my car/train/truck loving 3 year old son and my 6 year old princess alike! Even without the flying and explosiveness of Cars2 the original is still the best. Quality was excellent using Amazon streaming.	4.0	Still a good movie	2013-02-25	0	0	0
