asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	Cinderella is a story of a young girl who's only living family left is her (mean) step-mother and (equally rude) step-sisters.  Cinderella is forced to be the housekeeper, cook, chore girl, etc.  She takes care of all needs of the step-family.  Her only friends are the animals she takes care of, except for Lucifer, the mean old cat.It is made known that the Prince is looking for a bride.  The animals help Cinderella by creating a beautiful gown from an old dress.  When the step-sisters become jealous of how beautiful Cinderella looks, they rip her dress to shreds and leave her to stay home while they attend the ball.  This is where Cinderella's Fairy Godmother steps in and creates a nite worth remembering for her.I hesitate to say anymore for fear of ruining the movie for you!  This is a Disney classic that should be in every family's video library.  My 2 girls, ages 4 &5, love this movie! After watching it, you'll find them in their room, dressed up, pretending to be Cinderella for days!Wonderful family movie!1smileycat :-)	5.0	Enchanting!	2003-08-05	70	51	19
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A1YEP749YW7MRH	"1swollenthumb ""Max"""	Its amazing how many of those Disney Classics are available to play over and over for my Granddaughters. My one granddaughter plays this Blu-ray over and over and over.  Shes loves it and there are no scary parts.  Very entertaining and well worth the money to see smiles on my granddaughters face.	5.0	Great Classic	2014-06-02	0	0	0
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A2NZVLP930ZWTY	2teachsongs	This movie is a classic and I was excited to be able to get it in blue ray!  It should be in anyone's collection who has kids at home.	5.0	A classic	2013-05-26	0	0	0
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	AM57FHGK463EU	"30something shopper ""Staff"""	It's Cinderella what more needs to be said. Bought for my wife as a gift she loves it but after six months has yet to watch it lol.	5.0	It's Disney buy cause they said so	2013-12-06	1	0	1
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	AVHN134ADVP4R	"A4Q96 ""Gadget Lover"""	My kids are in a We Love Disney phase.  Cinderella is well re-mastered, with everything you need to enjoy.  Love it.	5.0	What's not to like?	2010-05-26	0	0	0
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A2CT55RSVJQEJT	Abby127	What's NOT to LOVE ! It's Cinderella! I bought this DVD for my 3 year old daughter, WE All love it!	5.0	What's NOT to LOVE ! It's Cinderella!	2013-06-21	0	0	0
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A1DSAKEKA39M2O	aceatrump	Sent thus to a little girl who had said she wanted it on VHS. Heard back that she was very pleased.	5.0	A gift	2012-05-17	1	0	1
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A1ZMDM2C0BXTBC	"A. Chavez ""tina"""	Looks like it might be a bit leg copy even though it came in a nice bow with art work. Save your money and buy it at the store where you know its real	1.0	don't do it	2014-03-01	4	0	4
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A193S3HLI8D00C	A. Cory	I received the Cinderella DVD in time for my daughter's birthday, thanks to the seller's promptness.  The movie was in excellent condition and my daughter has already watched it several times.  Would do business with this seller again.	5.0	Cinderella DVD	2010-04-18	0	0	0
0788802194	Cinderella (Walt Disney's Masterpiece) [VHS]	A1456GM8GQSUOX	Adam	Hard to mess up a classic!  The timeless tale of Cinderella comes to life in HD.  My 3 year old LOVES it.	5.0	A classic!	2014-01-27	0	0	0
