asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000083C6V	Family Guy, Volume One	A199545U14YERT	"#1 Kiss Army Soldier ""Ramiro"""	"No introduction. Just check my review:Season 1 (seven episodes)1.- ""Death has a Shadow"".- This is a great episode and a fantastic debut.- 10/10.2.- ""I Never Met the Dead Man"".- This is a great one, full of laughter.- 10/103.- ""Chitty Chitty Death Bang"".- This one is funny.- 9/10.4.- ""Mind Over Murder"".- This is great one. I love it.- 10/10.5.- ""A Hero Sits Next Door"".- This one is hilarious.- 9/10.6.- ""The Son Also Draws"".- I didn't like this one too much, but it was funny overall.- 8/10.7.- ""Brian: Portait of a Dog"".- I loved this one. Hilarious and it shows how Peter found Brian.- 10/10.Season 2 (twenty one episodes)1.- ""Peter Peter Caviar Eater"".- This one is one of the best episodes ever. I loved it.- 10/10.2.- ""Holy Crap"".- Very funny and suspenseful.- 9/10.3.- ""Da Boom"".- I loved this one too.- 10/10.4.- ""Brian in Love"".- I liked this one very much.- 10/10.5.- ""Love Thy Trophy"".- A great one. Top 10.- 10/10.6.- ""Death is a Bitch"".- Also a top ten. Hilarious.- 10/10.7.- ""The King is Dead"".- A very funny one.- 10/10.8.- ""I Am Peter, Hear Me Roar"".- One of my favorites.- 10/10.9.- ""If I'm Dyin', I'm Lyin'"".- This one is very funny.- 10/10.10.- ""Running Mates"".- Very, very funny and pittyful.- 10/1011.- ""A Picture is Worth A Thousand Bucks"".- Hilarious.- 10/10.12.- ""Fifteen Minutes of Shame"".- Great, really.- 8/10.13.- ""Road to Rhode Island"".- Hilarious.- 10/10.14.- ""Let's Go to the Hop"".- Very cool and trippin'.- 10/10.15.- ""Dammit, Janet!"".- Funny, but not the best.- 8/10.16.- ""There's Something About Paulie"".- Hilarious.- 10/10.17.- ""He's too Sexy for his Fat"".- Very, very funny.- 10/10.18.- ""E Peterbus Unum"".- Good episode, but not that fun.- 7/10.19.- ""The Story on Page One"".- Hilarious. Great.- 10/10.20.- ""Wasted Talent"".- Extremely funny. Top ten.- 10/10.21.- ""Fore, Father"".- Very funny and pittyfull.- 10/10.Well there you go. Check out my other review about ""Family Guy Vol. 2 (season 3) Go buy this DVD NOW. 'Cause.......""FAMILY GUY"" RULES"	5.0	He's a FAMILY GUY!	2005-01-09	6	0	6
B000083C6V	Family Guy, Volume One	A3LW6FZ12WUX2A	"4MaskCurse ""Kyonshi Jiang Shi"""	There's really not much else that I can say,that hasn't already been praised about this show.It really IS extremely funny,and this DVD set is a great collection.You get 28 episodes which is ALOT of show and alot of laughs... about 14 hours worth of viewing.It's a great way to just forget your problems and have fun!I love how the show will just pan to some hysterical situation(the bert and ernie scene and also the scooby doo murder files!)and of course Brian the dog and Stewie rock!Why Fox took this show off the air is a mystery... did they really think something like American Idol would be better?!?	5.0	Hilarious!	2003-05-17	0	0	0
B000083C6V	Family Guy, Volume One	AEWZD9P0D5M4F	Aaron	"Anyone who thinks this is better than ""Blue Harvest"" is kidding themselves.  Unfortunately, the powers-at-be who write for Family Guy were more infatuated with themselves when writing this than with Star Wars.  With ""Blue Harvest,"" the focus was on creating a true parody of the movie using the Family Guy characters.  With ""Something Something...,"" they completely lost focus.  If you're going to buy it, buy it used and as cheap as you can, and then it should be worth the price."	3.0	Such a disappointment	2010-02-03	4	3	1
B000083C6V	Family Guy, Volume One	A35R8PJSEURHHF	Aaron Merkel	I was a very big fan of Family Guy. This was Very boring, I had to force myself to stay awake to watch it.  The jokes were very bad and the characters seemed very bland.  This is not movie quality.  I laughed only a couple of times.  If yoiu watch THE CRITIC you can see how it is like family guy but better, in my opinon. Avoid this unless you need help sleeping.	1.0	What????????	2005-11-01	15	5	10
B000083C6V	Family Guy, Volume One	A26PN7O602PZDP	Aaron Shoun	...But there are no extra features like there are on the dvd. This, as with all Amazon Unbox downloads, is a very high quality Windows media file taken from the DVD apparently, as all curse words etc. are intact, but with one audio track and no subtitles or captions. Digital downloads are no substitute for DVD, so save your money; if you are looking for the best value I suggest getting the DVD here on Amazon or on ebay, possibly even your local discount superstore. I long for the day when Digital downloads will contain all the features that a DVD does, it's mighty convenient.	3.0	Love Family guy and this is a great price but...	2008-11-04	1	1	0
B000083C6V	Family Guy, Volume One	A1VRDZ5HMESQA1	"A. B. Crain ""&#34;SydCrainBop&#34;"""	Not since South Park has an animated show been so honest, edgy, ballsy, and out-right hilarious! The Griffin family deals with situations that even The Simpsons dare not touch. If you are sensative and easily offended, this is not a show for you. On the other hand, if you like jokes straight from the hip, no holds barred, and characters that say everything that you wish you could say in public without being jailed, shot, or run-over, then this is the show for you! Also, for those 40 and over, Family Guy makes endless hilarious referances to pop culture from the 60's, 70's, and 80's! Check it out!	4.0	Funny, rude, edgy, and freakin sweet!	2008-02-08	0	0	0
B000083C6V	Family Guy, Volume One	AQPWHXNTXZBUU	"A. Bitetto ""Tony/Ris"""	I bought this video not so much because I really like Family Guy, but because I have all DVD releases and I feel it isn't right to exclude any.  Now, I did like Seth McFarlane's interpretation of the next story of Star Wars, but I find it hard to keep buying these releases when they are so overpriced (come on, this is just 2 episodes afterall).  In the beginnning, a box set was a season, now it is only 13 episodes, or about half a season, and still at the regular list of $40, sooner or later I'm gonna call it quits.  But, not any time soon.  So far.	4.0	Goin' through the motions	2010-02-10	0	0	0
B000083C6V	Family Guy, Volume One	A34HQBT3HVPVLC	"""abones80"""	"I bought these DVDs with high expectations, and they were not met. If you want clever humor, or even jokes that make sense more often than not, look elsewhere. First of all, the cast and premise are shamelessly lifted from the Simpsons. Its almost pathetic, a fat dopey dad, a nagging wife, a brother sister and a baby...where have I seen that in cartoon form before? The majority of the plots are just pretext for Peter's stupid mugging and most of the jokes either fall flat, make no sense, or get a couple of cheap laughs. The show tries to ""push the envelope"" but it just comes out boring. The episodes usually contain some totally inane cut scene that has nothing to do with anything other than trying to get a few more laughs out of the morons who thing MTV is substantive. People who watch this show and think it's coherent need to turn off the TV and read an actual book with an actual plot. That being said, Stewie is the shows only saving grace, since he is the only character who is not either a total retread of something we have already seen 100 times or a cardboard cutout. His espisodes are actually clever since they don't focus on Peter falling down, getting drunk or farting. If you want a show with clever jokes, watch The Simpsons. If you want a show that has a semblence of a plot or an attempt at an actual message, watch South Park. If you are a dope with zero attention span who likes meaningless 30 second sound bites, this is the DVD for you."	2.0	Occasionally  funny, mostly just stupid	2004-03-07	32	5	27
B000083C6V	Family Guy, Volume One	A2J7FTKQCWQY7E	a Chef	Anyone who enjoys the obsurdity of Family Guy and the classic Star Wars saga will greatly enjoy this box set.	5.0	Great Movies	2013-01-24	0	0	0
B000083C6V	Family Guy, Volume One	A2O8RIDCJ0H83V	Acoma	"This is as close as it will come to having a Family Guy motion picture. I'm not an original Family Guy fan, but started watching it when it was on Adult Swim. It always makes me laugh and great to watch before going to bed. This ""movie"" centers around, as the name suggests, Stewie and finding his real father which is hilarious as Stewie is probably my favorite character next to Peter Griffin.It has a lot of elements from the creators really thanking fans for bringing the show back to life. Overall, if you like Family Guy and wondered what it would be like uncensored with swearing in it (although not much..it's rather tame) then this is a must buy."	5.0	The Family Guy Movie...	2005-10-17	2	1	1
