asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0000WN1WW	Gilligan's Island: Season 1	A2ACLPLJPB8UHG	2 boys' mama	I bought this for my brother, a true Gilligan's Island fan.  He loves it!	4.0	We love Gilligan!	2008-01-13	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"Of course it is derivative: Skipper and Gilligan are just whiskers short of ""Laurel and Hardy"". Then, you have the reincarnation of Marilyn Monroe (Ginger), an all-grown-up Dorothy from the 'Wizard of Oz,' (Mary Ann, who can't wait to go home to Kansas), and two caricatures of wealth (the Howells) and science (the Professor). Despite all this, 'Gilligan's Island' is very entertaining and a rare TV satire. Yes, I said, satire. The latter elements, however, came from the visitors, including a Soviet cosmonaut (The Cold War and the Space Race), The Mosquitoes (Beatlemania), the off-course surfer dude (The California scene with its surfing and bodybuilding) to name just a few. I must say that this no-brainer series has me envying that we did not have these DVD's when I was in college, (a wonderful antidote to the mental exhaustion of exams). Having said that, I find as an adult, 'Gilligan's Island' B-level gold, something I value even more than I did during my youth when the series was just a lot of fun to watch."	3.0	No Apologies Necessary:  'Gilligan's Island' Is Fun	2013-10-11	1	1	0
B0000WN1WW	Gilligan's Island: Season 1	ACCR5SMK659MN	"404momi ""mrsgunby"""	We introduced our 11 year old daughter to Giligan's Island on a whim and she was hooked!  She has now watched the entire season and is working on season 2.  In a day where most of television is filled with garbage - we appreciate a sit-com that the family can watch.	5.0	Classic	2014-01-28	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A2FM2N7S3EJWZ7	40Pluser	Gilligan's Island makes my kids laugh just like it did me all those years ago.  And even though they instantly figured out how foolish the castaways are about getting off the island, they want more.  Great series!	5.0	Classic oldie	2014-02-03	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A3LF247HXX877S	60's child with family	Classics available for my kids to watch what we grew up on.  Priceless time with the family.  Bring back F Troop and Mckales navy	5.0	Priceless time with the family	2013-02-26	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A257UC0ST4FFAY	"80sLady ""PRG"""	"After I had acquired the last season of ""Gilligan's Island"", I sat down for three days and watched everything Gilligan.Spoken like a true underdog, I sympathized with Gilligan's antics.  Although sweet and well-meaning, Gilligan can't seem to get his act together, especially when it comes to being rescued.  Whether he's just botched up one of the Professor's experiments or frightened one of the potential rescuers away, it's a wonder after all of this and the Skipper's brow-beating why Gilligan hadn't resigned himself to the other side of the island.  Ever optimistic, Gilligan is like the happy boy at Christmastime whose spirit cannot break easily.Gilliagn's faithful confidante is his old buddy, the Skipper, who is like a father, and is a mentor and a friend to him.  There is nothing that Gilligan wouldn't do for his Skipper.  Picture the eccentric million/billionaires, Thurston and Lovey Howell, as the King and Queen of England, scoffing at the thought of doing menial labor yet reluctantly pitching in to lend a helping hand and provide comic relief.  Ever wonder what a famous actress would end up like in a deserted island?  Apparently, like one of the bunch.  In the first season, Ginger dresses more shabbier than Mary Ann, than gradually begins to acquire a bigger and better wardrobe.  How DID the girls manage to find all of the materials to make all of their clothes?  Weren't the members all going on a three hour tour?  In any case, no one can deny the chemistry between Ginger and the Profesor or the never-to-be budding romance between Mary Ann and Gilligan.  Speaking of the Professor, he was so knowledgeable as to figure out how to stop a volcano from erupting and how to make a florescent dye out of materials found on the island, yet he was never effectively able to conjure up an experiment or product to get them off of the island.  As the series progresses, it appeared that it was the Professor's intentions to actually stay on the island.  What a blow that discovery would have been for the rest of the Minnow passengers and crew.Although only a three hour tour, this series went on for three years (another twelve years were off-camera). And for fifteen years, these characters learned to laugh, love and live with each other like a real family.  Kooky characters and all."	4.0	Stranded on Gilligan Land... and Loving It	2007-10-03	2	2	0
B0000WN1WW	Gilligan's Island: Season 1	A1XYIKCDUSVMJ	Abbey Lynn Sutton	Great old TV show. Very entertaining and full of laughs. A great opportunity to introduce my children to one of the classics.	5.0	Great show	2013-03-24	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A2G36ZV60X7AQA	abigail edwards	my family watch these moviesand it was good to go back in time to watch gilligans islands loved that show.	5.0	great	2012-03-04	1	1	0
B0000WN1WW	Gilligan's Island: Season 1	A2QOYCF6V3SGNG	"A. Bowab ""Dauphin Islander"""	First set arrived missing one of the disks.  As usual, it was very easy to return & replace an Amazon purchase.  We have a 15-year old who has been a Gilligan fan since she was a baby who now spends hours of good mindless fun watching the whole series.  Really good price, too.	5.0	Gilligan's Island: Complete Series Collection	2013-01-10	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	AUPUPN1KKQK7	Ace	Great classic humorous show that a joy for any family to see.It is to me better than many of the newer shows that's all about fashion and substance. I enjoy my comedy and entertainment much more simple but interesting. Too me its not all about cars, houses and materialistic things.	5.0	Thumbs Up.	2013-03-23	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	APF3LF0K4TXAY	adrenaline junky	My grandkids love this just as much as I did when I was a kid. It is nice to have a show they can watch without worry of unsuitable material.	5.0	Family Tv that can't be beat	2014-04-12	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A2PV6GK1HV54Y9	ADRIENNE MILLER	Gilligan's Island - The Complete First Season is awesome and worth every penny. The first season has some great and classic episodes incluing: Big Gun Little Island, A Nose by Any Other Name, Angel on the Island, Diamonds are an Ape's Best Friend, and Birds Gotta Fly Fish Gotta Talk. Bob Denver was a true talent, his physical comedy and facial expressions still warm my heart to this day. This season is in black and white and the picture quality is fabulous and yes the all episodes are uncut! I also recommend seasons two and three but you must start with season 1, a instant and utter treasure, enjoy!	5.0	It's Gilligan, baby!	2007-09-09	2	2	0
B0000WN1WW	Gilligan's Island: Season 1	AF6OW666RIRHP	"Agustin L. Gonzalez ""WIFI MAX"""	The show it self is very entertaining. And having the opportunity to watch it again and with my kids a great past time!	5.0	An All Time  Classic	2014-04-18	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	A23MCO4TJSHQU4	Aimee Siegler	I got this for my husband and he was ecstatic. This is the perfect gift for Gilligan's Island fans. It is much better than the old VHS tapes that were grouped by theme - these are in order by how they were broadcast.	5.0	Perfect gift for a fan!	2008-03-21	6	5	1
B0000WN1WW	Gilligan's Island: Season 1	A2TZ2U1ZRWKI6C	Airship Dude	This first season is classic, clean, family entertainment. Kind of funny how the Professor and Mary Anne characters are not given equal billing in season one as the Skipper, Gilligan and the Howells are.	5.0	Will the Professor and Mary Anne  Survive Season One?	2014-05-31	0	0	0
B0000WN1WW	Gilligan's Island: Season 1	AIV5X5A92AUWY	"A Ke7in Web Joint #K7nwj ""Ke7in"""	As a long time viewer of this in syndication, it's a treat to see the black and white first season. This show can be described as having a character for each of the seven deadly sins. But escapism is what it is for me while on a break from viewing episodes of a higher order. Sometimes, it is nice to wallow in the dumb times.	5.0	ok nostalgia has a factor in my rating	2013-12-14	0	0	0
