asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0792148061	Grease (Widescreen Edition) [VHS]	A7B8TC8T4ZOCW	1Busdriver	Another movie I have had in my movie collection that I  and a great addition to our movies.upgraded to Blu Ray.  It  too has added extras	5.0	Grease (Blu-Ray)	2013-04-23	1	0	1
0792148061	Grease (Widescreen Edition) [VHS]	A3SMBG0IJJDUIU	49erjennifer	BOUGHT IT FOR A FRIEND THIS WAS ON HIS WISH LIST HE'S A GREAT GUY, I LOVE THIS MOVIE TO	5.0	GREASE	2013-03-20	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A3ME2UA12HGLK1	Aaron Sable	This has to be the worst blue ray dvd I have ever seen. The clarity and sound was bad just ruined a classic film.	2.0	very disapointing	2012-10-26	2	0	2
0792148061	Grease (Widescreen Edition) [VHS]	A15JL9NMHV486X	AC11228	Awesome movies for musical alike movies.	5.0	Five Stars	2014-07-10	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	AJAF1T6Q7XM94	A Customer	This was one of those 5 or 6 movies that my little daughter made me watch with her over and over every day after work for months.  I really didn't mind.  The only part I found painful was when Danny Zuko blew off his  pretty Australian girlfriend in front of his friends.  Her name was Sandy,  right?  But wasn't that the name of the dog in Annie, another of my  daughter's favorites?  I'm getting confused.  After 8 million viewings of  Annie followed by another 8 million of Grease I think it's all starting to  blend together.  And every damn time, Danny Zuko would cave in to male peer  pressure and act like a phony to Olivia Newton-John.  One of the high  points of this movie was in the drive-in theatre when Danny elbowed Olivia  in the arm.  I forget how Miss Hannigan and her brother Rooster fit into  all this.	5.0	Love and pain in a drive-in movie	2000-02-09	2	1	1
0792148061	Grease (Widescreen Edition) [VHS]	A3T7XZI91LODQS	Adele Dodd	Has a few curse words in it.  Some sexual gestures in songs.  Play was put together very well, good music, good actors, plot, theme and musical.  Touches some of the true realities of the pressures of High School Career Life for the teenager.  Good movie.  Seen it many time over.	5.0	Good movie for adults.	2014-03-16	1	1	0
0792148061	Grease (Widescreen Edition) [VHS]	A3QJWERB3U23NM	"ADF ""ADF"""	The music never fails to take me back to the 70's. Brilliant piece of light entertainment and easy to class as a favourite	5.0	Good memories	2013-09-25	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A2PV6GK1HV54Y9	ADRIENNE MILLER	"Grease is the coolest musical I have ever seen. John Travolta and Olivia Newton-John were the ""thing"" back in the 1970s. Grease has great songs, fabulous choreography, and solid acting. My favorite songs are Summer Nights, Hopelessy Devoted to you, and You're the one that I want. I seen this movie about a million times, never gets old and boring. Defintely get this movie on widescreen, looks better. If you enjoy a musical here and there, make sure you add Grease to your retro-cool collection, Grease is the word!"	5.0	The best musical of all-time!	2006-05-09	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A1O8NM44P01X90	"A. Francois ""Joliepearl"""	Love every second of this movie.....finally watched the full movie. It's a great movie for a girls night in, also a movie for anyone....AWESOME	5.0	Great Classic!!!!!!!!	2013-12-19	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A31B6OOG3FD1OG	airkitty	Sound and video quality were fair. I'm a fan of the movie and still hope that a GOOD quality transfer to digital will be completed.	3.0	Please try again	2013-11-19	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A274XV464T1ME	A.J. Grasso	Have watched this movie many times in different forms since it was releassed.  Love the music  Love the dancing.  Loved JohnTravolta since we were both much younger and Olivia was also great in this movie.Purchased it in its most current form so I can watch it when ever my mood needs cheering.	5.0	GREASE IS THE MOVIE!	2013-04-14	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A3H05J4YNXM9ES	alesauratops	No issues with disc or case. Both disc and case were in great condition. Disc works perfectly. Would order again.	5.0	good	2013-07-25	0	0	0
0792148061	Grease (Widescreen Edition) [VHS]	A3TLKNGXL26V64	Alfred Arment	Love this movie!	5.0	Five Stars	2014-07-08	0	0	0
