asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6302968143	Hocus Pocus [VHS]	A2AV1E6ZKSQ7CB	"1234 ""1234"""	this is a good movie and the dvd worked when I received it. I dont really know what else to day about it.	5.0	good movie	2012-12-11	0	0	0
6302968143	Hocus Pocus [VHS]	A2DVO1QPF6KZDC	Aaron Dugan	The first time i saw this movie, i fell in luv with it!!! It is my favorite movie of all time! I think its soooo funny how the 3 witches, from the 1600's, are brought back to life in the 20'th century! I luv how they react to the firetruck, the bus, and the road (which they think is a black river), and the sprinklers when Max(Omri Katz) puts a lighter to it.(no, theres no smokeing in this movie) :>This is a very, very, very..., funny movie, and i watch it ALL THE TIME!!! I JUST LOVE IT!!!!!And you won't be waisting your money. IT IS A GREAT MOVIE!!!(i think i'll say that again!) IT IS A GREAT MOVIE!!!And i hope that someday they will have a sequel 2 it. And they need to make commercials saying that there will be a dvd coming out for it.WELL, WHOEVER MADE THIS MOVIE UP... GrEaT JoB!!!!!!!!!!	5.0	THE BEST MOVIE I HAVE EVER SEEN!!!!!	2002-04-22	0	0	0
6302968143	Hocus Pocus [VHS]	AADJXNY9HSKJF	Aaron	Thsi movie seemed to get a bad rap at the time of its release. I remember numerous people commenting on how stupid it is. However, I think that's unjust. The cast is a riot namely the three witches perfectly played by Bette Midler, Sarah Jessica Parker, and Kathy Najimy. The plot revolves around these three witches coming back to life 300 years after being hanged. they then set off to take the lives of every child in Salem so they can live forever. As ludicrous as the plot seems, the three bumbling, wise-cracking and sometimes pitifully stupid witches are so fun on screen, that the plot isn't even really anything to focus on. And of course, Bette gets her chance to sing at an adult Haloween party, when at the same time she's cursing all of them to &quot;dance until they die.&quot; I always oddly find myself singing along. This movie is great fun not only on Halloween but year round.	4.0	Halloween Fun	2003-10-15	5	5	0
6302968143	Hocus Pocus [VHS]	A3P5KPNDIVP8CO	"Abe Baldwin ""Abe"""	Will keep your 7 year old entranced. Your 20 year old bored. Your 40 year old distracted. Your 60 year old entertained. Your 80 year old entranced.	4.0	High Energy	2014-01-21	0	0	0
6302968143	Hocus Pocus [VHS]	A3ONHDHRM05VT0	Abed Balbaky	This movie is a kitschy Halloween classic. Lots of sight gags, lots of schtick, and humor for both adults and children.	5.0	Great kitschy Halloween movie	2013-11-02	0	0	0
6302968143	Hocus Pocus [VHS]	A25OOW57JBAX4A	A Customer	I have to admit Nightmare before Christmas is my favorite halloween movie BUT this is a close second!  It's one of those great family movies you can watch it over and over.  I loved it.	5.0	FUN!!	2000-10-04	0	0	0
6302968143	Hocus Pocus [VHS]	A14FQPLNUVF3ZK	A Customer	Never get tired of this classic! Bette and her cohorts make the show. Amazon's delivery convenient. Easy to use and easy to view!	5.0	Forever favorite!	2012-10-30	1	1	0
6302968143	Hocus Pocus [VHS]	AHBI7ZK0KGJLD	AdamH8sYou	If you don't like this movie, you have no soul!!! It's a timeless classic and yes, it may be a Halloween movie, but it's perfect to watch any time of the year.	5.0	Classic!!!	2013-10-29	2	1	1
6302968143	Hocus Pocus [VHS]	A1JUD55XV8FDWS	Adam	I can't describe in words how much this movie means to me, I literally know about all of the words to it! I watch it plenty times a month and it's one of those great movies that never get old.This movie is perfect for the people who are really into Halloween and witches, but not to extremes. This movie shows a great and haunting tale of three witches who have come back from the grave, 300 years after they were hung in Salem. It's a magnificent tale that is entertaining in every single scene it has.Your Halloween will NOT be complete, I mean your LIFE will not be complete until you watch this masterpiece!!!	5.0	Creepy Halloween Fun!	2005-03-31	1	1	0
6302968143	Hocus Pocus [VHS]	A1044YHIYTST68	"A. Dang ""Bookworm"""	Simply love it, for the &#34;classic&#34; acting from Bette Midler and the gang.  There should be a sequel with the original cast!!  My kids are still afraid of the witches scenes at the beginning of the movie, may have to wait for them to be a bit older to watch this again.	5.0	Love it	2013-08-05	0	0	0
