asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JMFQ	Love Actually (Widescreen Edition)	ADMVL96CXQC13		Love Actually. LOVE IT, LOVE IT, LOVE IT. I have watched it many, many times. It is pure joy	5.0	Love Actually. LOVE IT	2014-07-14	0	0	0
B00005JMFQ	Love Actually (Widescreen Edition)	A2UDS1E71QNSPA	A. Agyapon	I can't believe I just watched this movie for the first time! I'm sure I'll watch again and again. It really is new Christmas classic. They've struck a perfect balance between holiday film and love story. Even though there are a bunch of connected sub-plots it all works together quite well. This film has a lot of heart and I think anyone with a warm one will enjoy it.	5.0	Delightful	2009-12-27	2	0	2
B00005JMFQ	Love Actually (Widescreen Edition)	A2CEQC5FGPQL4I	"A ""anniewyo"""	This is a wonderful movie.  I watch it no matter the time of year--but it does take place during the Christmas season.  It is just a happy film and very entertaining.	5.0	Love Love Actually	2011-01-26	3	1	2
B00005JMFQ	Love Actually (Widescreen Edition)	A23FOOFYOV1WE2	Abbie Aylward	I had to watch this movie for a communications class I took, and I fell in love with it. T	5.0	Great	2013-10-03	1	0	1
B00005JMFQ	Love Actually (Widescreen Edition)	A3GR8VM7P0NH00	"Abby ""wearing many layers in"""	This is a very cute movie with great actors. I highly recommend it if you are up for a laid back, romantic comedy.Enjoy.	5.0	yey for British movies!	2006-02-23	2	1	1
B00005JMFQ	Love Actually (Widescreen Edition)	AUKYP0I7KKR9A	Abigail	I own this movie on DVD, but when I saw the low price on blu-ray I didn't hesitate. It's my favorite christmas AND romance movie of all time. The image quality is DEFINITELY better than DVD (think about it, a shirtless Rodrigo Santoro in hi-def!). This movie is enjoyable even in family (unless the casual nudity offends you).	5.0	A Christmas classic!	2012-12-25	0	0	0
B00005JMFQ	Love Actually (Widescreen Edition)	AF9JP4BCZEB28	Abrubacca	&#34;Love Actually&#34; is so cleverly written and acted and so devoid of Hollywood rom-com cliches that even someone like me, who lumps romantic comedies with overripe bananas and syrupy desserts, can watch it over and over and find new things to laugh about.  Highly recommended!	5.0	A Romantic Comedy even for people who don't care for romantic comedies	2013-06-12	0	0	0
B00005JMFQ	Love Actually (Widescreen Edition)	A1OT7DSRMJ8PSK	ACD	Alright men. I get it. We're not really into chick flicks, especially something with &#34;Love&#34; actually in the title. My wife absolutely adores this film, and to date I have probably watched it with her more times than I care to mention. And as a man, I'm supposed to talk about how cliche or unrealistic some of the whimsical story lines in the movie are... but I'm not going to. Unfortunately, after spending so many nights on the couch watching this movie with my wife, it's become a piece of me as well. Yes, I can understand some of the critics. But it's story is really centered around honesty in love, and how it can appear out of no where. And there's truth in that. Our own love story didn't just happen overnight (as some do in the movie), but it did involve brutal honesty, awkward moments, grand gestures, and a spark that just doesn't make sense.And besides, nearly every girl in the world adores this movie. So if you want to score a few points, pick this up and surprise that special someone. I have a hunch she will return the favor.	5.0	One of our favorites	2013-12-18	1	0	1
B00005JMFQ	Love Actually (Widescreen Edition)	AAKGTWGAFT1LQ	A C SHIELDS	This is a film that seems to be a comedy , but not everything always works out in life . A lot of different stories are presented to the viewer , but none outstay their welcome .The great comic writer Richard Curtis is behind this film and it's about time they let him go behind the camera , as the amount of money his scripts have made for other actors would be quite scary .This is a romantic comedy with a little bit more depth to it .You are likely to know already if you like this film as you will go by the actors in it .It's a nice little diversion with some well placed music .	4.0	Not a realistic film , but designed to give that impression	2005-12-12	3	3	0
B00005JMFQ	Love Actually (Widescreen Edition)	A3IAP2JMTP5YBN	"adriana ""alisa"""	I wrote a review earlier bashing Love,Actually. I honestly do not know what I was thinking, I must've been in a crabby mood that day or sumthin', because after another re-watch, I was absolutely delighted by this warm hearted, charming romantic comedy, that, like most romantic comedies leaves you feeling good afterwards.It takes on a few too many characters, and some of the scenarios are a bit improbable; but then again, what romantic comedy isn't guilty of this?As far as the acting goes, it is fantastic across the board.For me, I felt that Emma Thompson stole the show.She has a really beautiful scene set to a sad Joni Mitchell song in which she's all alone in a room on Christmas morning, and she's just found out her husband(Alan Rickman) is having an affair.The scene is wordless, but Thompson breaks your heart.It would've been nice to get rid of some little sub-plots, and spend some more time with the main characters.The film would've been exceptional if Curtis had done so.But alas, I'll settle for this very charming romantic comedy, that strikes all the right chords and is totally entertaining to watch throughout.While it follows the formula of every other romantic movie out there, there is a humanity,honesty, and realness found here that I have yet to discover in other romantic films.	4.0	Delightful Movie	2004-06-22	4	2	2
