asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A7OJCBMP5M4KI	16x9 aspect ratio	I absolutely hated this movie.  This movie is an absolute disgrace and a disservice to all the people who died on that tragic day.  The biggest complaint I have about this sick mess is that Jerry Bruckheimer and Michael Bay have taken a serious and somber subject like Pearl Harbor and thrown in a silly love triangle involving hearthrobs Ben Affleck, Josh Hartnett and Kate Beckinsale to appeal to the MTV crowd which of course is a huge market for the movie industry.  That's what I dislike about Bruckheimar and Bay namely how they make big, lavish, loud, dumb-downed movies just so they can appeal to mainstream audiences.  Bruckheimer and Bay are the Britney Spears of filmaking.  Why am not I talking about the movie?  Because there's nothing about the movie that's worth mentioning!!  Don't waste your time.  If you want to see a good chick flick then see A Walk To Remember or if you want a good war movie then watch Tora Tora Tora.	1.0	What a joke	2002-03-17	6	4	2
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A3128SLAYOGIIC	"""4german4"""	Actually, I'm not American and I think that's why Iwas really laughing about that movie. The best part was, when they told us &quot;KAMIKAZE&quot; was invented by Americans &lt;lol&gt;. I saw documentations and real pictures and the Japanese bombed Pearl Habour out of the frame, there was no time to start two airplanes and kill all the Japanese. Well, the love story, if there was any, was that sort of unbelievable und cheap that I really felt ashamed for the director. In my country this movie was in cinema for about 4 weeks and during this time nobody went to watch it.	1.0	Wow, never seen bull**** like this before....	2001-07-25	11	5	6
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A2ZUBWBWZSXJ03	5 stars inspite of the complainers......	Wow.  I guess I expected some negative feedback on this movie.  I mean, it was a big one.  And, you know what they say....you can't please all of the people all of the time.So much complaining about the love story...why is that?  How can you feel true apathy unless you are invited into a persons life.  You have to know their story.  Otherwise, you are just looking at them like, &quot;What the hell is wrong with you?  It is just a little smoke an fire.&quot;  Now, I might agree that they whole love triangle might not have been necessary.  However, things were different in the 40's. The men then were truly men of honor and courage.  They saw their first priority was to defend their country.  The angry people of the world probably don't care about this, but it is still true.  I wouldn't have bet two cents on the honor and courage of many of the people in this country before Sept 11.In any case, I can't believe that some of you can write a review so harsh that it loses its meaning.  No one likes to listen to a bitcher.  So, those of us who are sick of all the negativity just scroll right past.  If you are going to argue, please do it a little more effectively.  The movie was good.  It wasn't great, but it was good.  PH was worth going to see on the big screen and worth renting or owning.  The personal stories only brought it a little closer to home and put it in perspective.  I have much more respect now that I ever did from watching the scrathcy black and white footage from history class.  I think the film makers did what they set out to do.  They have honored the men and women who fought and died that fateful December day.  5 stars*****	5.0	Why so harsh??	2001-12-06	15	4	11
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A3OVT5GYRTKRSX	"70spe ""70spe"""	"When ""Pearl Harbor"" came out three years after ""Saving Private Ryan"", I was hoping for a similar dramatic blockbuster that infused admirable and likable characters into an action-filled, heart-tugging, and well-directed/produced movie.  Instead (and how can I articulately put this?) well, quite frankly, it sucked.The acting was extremely poor in the lead roles (Ben Affleck and Kate Beckinsale).  Even with the number of high-quality actors in it (i.e., Jon Voight, Cuba Gooding Jr., Alec Baldwin, Josh Hartnett, etc.) they were not enough to save this film.The special effects, however, were quite remarkable and one of the few bright spots in this cinematic bummer.  Unfortunately, these first-rate effects didn't make up for the awful acting."	2.0	A Big Disappointment	2007-01-26	4	2	2
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A3FLOFIOKH6ZKF	A 12-year old customer	Pearl Harbor is the best film I have ever seen.It was a mixture of emotions.I laughed in some parts and crying in others.The acting in it was brilliant!As I am a masive fan of Josh Hartnett, when I found out he was in Pearl Harbor, I was thrilled.This film really showed off Josh's acting skills,the same with Ben Affleck and Kate Beckisale. I give this film definately 10/10!	5.0	Pearl Harbor-what I think	2001-10-23	0	0	0
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A1TSTSA786ZQ0H	A 12-year old viewer	This movie is amazing. I have seen it 6 times and it still makes me cry. The scene of the bombing of Pearl Harbor put you right inside the hearts of the scared and dying men. The love story is the story inside the story- totally awesome. Ben Affleck, Josh Hartnett and Kate Beckinsale were great. Everytime I see the movie, it just makes me want to see it again.	5.0	Powerful and exciting	2001-12-17	5	2	3
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A3R1FYXRLC6SS4	Aaron	"One of the big questions about the four-disc edition of Pearl Harbor is just what exactly they changed in the director's cut. ...Of course, the most noticeable change is the addition of gore in the many battle scenes. The carnage includes:* Limbs flying. In scenes with explosions where sailors were just knocked away in the old edition, they now lose arms and legs. In addition, a quick new scene was edited back in where one sailor is brutally spun and tore up by an explosion.* A severed head is seen rolling right in the camera frame with chunks of ""meat"" dangling out.* The Captain is seen holding his intestines in his hands when Cuba comes to his aid.* More gore can be see in the many strafing sequences with chunks of arms and legs being torn out.* Severed hands and legs can be seen lying around in the hospital sequence's.Besides those additions, there were a few quick cuts here and there throughout the film. With the state of the art DTS surround mix and widescreen picture this pack is the top of the line for a Pearl Harbor movie fan, but how ever for the first time ever the dvd studio used cardbord case's to hold all 4 dvd's, now that is a very BIG no no. Don't buy it if you want to keep it longer than 12 months or when you do buy it go out and buy 4 dvd case's to put all of the Pearl Harbor dvd's into. The pack looks great but dvd's sitting cardbord covers, come on, geat real how did they think of such a dumb thing to do.5 stars for the movie and special featues2 stars for the packageing"	5.0	Some of Change's to the Director's cut of Pearl Harbor	2002-06-30	1	0	1
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A329ZCPZJN0SYB	Aaron Lawrence	I hated this film. Hated it! It was chock full of cheap, insencere sentimentality and unnecissary violence. None of the characters were remotely believable, and you would expect better performances from the actors for the copious amounts of money they received to appear in this piece of fluff. I felt no connection with any of the characters. In fact, this film failed miserably to get any sort of emotional reaction out of me besides boredom and annoyance. The revisionist history and unquestioning idolization of the military all to present in this film were just the last straw for me. It's garbage like this that makes me lose faith in the blockbuster system.	1.0	This is the Reason I Hate Blockbusters	2002-07-08	1	1	0
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A1F0BYJMTOT9ZT	Aaron Lilak	Received quickly after purchasing, very affordable price, packaging perfect. This is probably my favorite movie & I'm so glad that I finally got it!!I gave it 5 stars for the movie, & also for the seller. This is a movie I will watch over and over again for a very long time!!  I'm just so happy to have it in my favorite DVD collection.;)	5.0	Love this movie!!	2012-12-06	1	0	1
B00003CXTF	Pearl Harbor (Two-Videotape Set) (60th Anniversay Commemorative Edition) [VHS]	A294DWRBQUOIK4	"Aaron Newlands ""Sithgod"""	If ever there was a movie with mixed components it is this one. There are some amazing things in this film and some downright stupid ones. I am sure this movie will be debated for some time. But here is what I disliked, thought was ok, liked.Disliked.Very little historical accuracy. Starting with the Eagle squadrons. America was Neutral [well sort of] during the Battle of Britain. If an American flew for the RAF he lost his U.S citizenship. It was not something they were encouraged to do. Ben's character signs up and is told his transfer is approved. It just isn't right.The love triangle. Done to death and love stories in war films just never seem to work for me. Not when it is rammed down your throat like this one. As well as it being cliche.They pick and chose from events and speed through them as fast as they can to keep up with the love story. The movie goes for three hours and they can't find the time to do real events?Film makers [Bey I think it was] who say. &quot; No one has ever done a movie like this.&quot; Well he is wrong in a big way and I have three words for him. Tora, Tora, Tora.Way to one sided. The patriotic messege is so strong and so one sided for the most part that it doesn't show the story from both sides. The Japanese parts are so quick that it doesn't make alot of sense.A weak and extended plot really attack this film and that is a shame.What was ok.The initial dating part of the love story I didn't mind. It had some sweet and funny moments. But it soon turned into the triangle and that was the end of reality there.What I liked.Dan Akroyd as the intelligence officer. A good portrayal for him and over all very underused in the film. Some likable characters. Some of the support characters are quite fun. The Japanese parts of the film are excellent although very disjointed. The pond with the floating models and the Japanese fleet in the background is an amazing shot. The letter home from a Japanese pilot to his father, hoping to bring honor to the family and to do his duty is an interesting touch.The Japanese flying into the island. This is one of my favourite parts of the film. The boys playing baseball as the planes fly by, the woman hanging clothes as the zero goes overhead. Absolutly amazing. The attack itself is brilliant. Val's in their dives, Zero's flashing between ships and the torpedo's in the water are just breathtaking.The digital sound. Crank it up for the aircraft scenes. The sound is incredible.But at the end of the day it is a mixed movie. A movie that is far better is Tora, Tora, Tora. It is alot older. But for its day the aerial scenes are amazing and they show the events from both sides. It shows all the major Japanese players and what led Japan to attack Pearl. It details why it had to be Pearl and all the planning and training the Japanese did. It is unbiased. It isn't pro America and it isn't pro Japan. It just shows what happened and why. It talks about the British attack at Taranto against the Italian fleet and how it and Pearl were shallow and normally torpedo's would not work. Overall Tora, Tora, Tora is an incredible film and if you are interested in the historical side of it without romance then give it a watch.So why did I buy Pearl Harbor? The aircraft scenes pure and simple. I love planes always have since I was a kid.  The aerial scenes and digital sound just drives me wild even though the film is no where near as good as it should have been. If you love aircraft as much as I do then the rewatch value will be there. If you want a historical movie without hollyood plots. Then give this one a miss and buy Tora, Tora, Tora	3.0	A difficult film to deal with.	2001-12-06	2	2	0
