asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6303965415	Persuasion [VHS]	A3N6K1N1DGXZ8U	"2boys0girls ""WishIWasHomeInCA"""	In determining if I want to read this book, I decided to watch the  movie - a rare &#34;chick flick&#34; moment.  It was a good movie, with great actors.  The title Persuasion is rather comically presented at one point during the film.  It is an excellent snapshot of the British life during the period - the class struggles, the shifting economy and the demands placed upon family members.  Clearly the concept of honor and duty was esteemed quite highly.  Will I read the book - yes I think I will.  I think our culture could use some reflections on such concepts of honor and duty.	4.0	Definately a movie for the ladies!	2014-01-28	2	1	1
6303965415	Persuasion [VHS]	A3MCIAFO37VH14	"2-Stage ""2-Stage"""	These classical video productions put modern times in perspective.  But the themes old or modern--are the same.  This is escapism plain and simple.	5.0	Persuaded	2014-03-12	2	1	1
6303965415	Persuasion [VHS]	AE7IZPOINVNAN	abdabs	this film is based on an unfinished jane austen novel and i have to say that the filmmakers did a fantastic interpretation of the source material....so very romantic, i developed a major crush on cirian hinds which lingers to this day.....i mean watch this then &#34;rome&#34; where he embodies julius ceaser and you'll understand what i'm saying....	5.0	ROMANACE AND BEAUTIFUL SCENERY + A FINE STORY	2013-12-07	0	0	0
6303965415	Persuasion [VHS]	AJQV1GCU92BUY	Acacia Manning	"As i began this movie, i was disappointed. The main actress did not have the beautious presence of the protagonists in the adaptations of Mansfield Park, Emma, or the A&E Pride & Prejudice. The sets were not particularly vibrant, and the characters were, well, normal people. However as the movie progressed, i became impressed against my own first impression. Amanda Root brings forth the spellbinding silence and oppression of intelligent, regretful young ladies, with smaller claims to youth and beauty than others. Her pain is so tangible, and her loneliness so palpable, you can't help but feel for the accomplished and overlooked Anne. Like Sense and Sensibilities Colonel Brandon, in Willoughby's words, she is ""the man (in this case woman) that everyone speaks well of, but no one remembers to talk to"". As the film progresses she seems to become prettier and livelier, and her repression begins to lift, and you see her true geniality and open-heartedness. As for Ciaran Hinds...well, not only is he handsome, but he plays his part with such feeling and passion that you can't help but wait in anticipation for the inevitably happy conclusion. Both parts are semi-stereotypical...Anne, who mistakenly turned down her true love due to the faulty advice of her friend, pines and diminishes, becoming quiet and somber in near self-induced solitude. Wentworth, being the man, seeks occupation overseas and tries to forget her. He can't, however he is less forgiving, being the one spurned so many years ago, and you spend half the movie agonizing over his attentions to the unaccomplished, flirtatios, more beautiful Louisa. All in all, a good watch, with the feeling and sad repression of true love that makes Austen amazing. Anne and Wentworth are not as funny as Darcy and Elizabeth, but instead are reminiscent of the sensible, quiet adoration of such characters as Elinor and Colonel Brandon...not ostentatious, not overly flirtatious, but sensible and sad and loving and repressed. I loved it...in fact, i'm going to go turn it on right now."	5.0	well...an interesting movie	2006-11-24	18	15	3
6303965415	Persuasion [VHS]	A2GDEPPC8BAZRY	"A. Casalino ""V^^^^^V"""	"Jane Austen wrote PERSUASION towards the end of her life, while in her final illness. Thus an atmosphere of bending weariness and quiet resignation pervades this tender romance, infused within provincial life in Regency England, swaying against the backdrop of the Napoleonic wars. I could not help but love this BBC film version unconditionally, so deftly are the gentle qualities of the novel brought forth.As with her earlier novel, MANSFIELD PARK, Austen filled this story with subdued satire - intertwining a comedy of genteel manners with the unassailable decrees of the human heart. This is the story of Anne Elliot (Amanda Root): a single woman in her late 20's who, eight years previous, on the counsel of her patroness and late mother's friend, Lady Russell (Susan Fleetwood-who sadly died of cancer shortly after this film was made), had refused an offer of marriage from her true love, Captain Frederick Wentworth (Ciaran Hinds) on the grounds of his poor financial prospects.Captain Wentworth returns to Anne's rather confined realm of society when his sister, Mrs. Croft, and her husband, an Admiral in the Navy (John Woodvine, of 1992's WUTHERING HEIGHTS) lease Anne's baronet father's estate, Kellynch Hall. Before she can join her father and elder sister Elizabeth (Phoebe Nicholls) in Bath, she must first spend a few weeks with her hypochondriac younger sister Mary, whose husband Charles' family, the Musgroves - parents Mr. and Mrs. Musgrove, and two younger sisters, Henrietta and Louisa - reside nearby. It is here that Anne becomes re-acquainted with her long-lost love, who's by now an advantageous match for any young woman, having made his prize fortune during the war. Wentworth initially fancies himself ""a lost man"" to the first attractive young lady who bestows upon him her ""compliments to the Navy."" To all appearances, Louisa Musgrove is that very lady...Amanda Root and Ciaran Hinds, even though they lack the physical beauty distinctive in other Austen adaptations, express the gamut of suppressed emotions most flawlessly here. Ms. Root conjures all the feelings of empathy and affection with every delicate expression she makes. Mr. Hinds, whom I've seen in a number of other roles -including that of an overwrought Mr. Rochester in a 1997 adaptation of JANE EYRE - gives here what's quite likely the best performance of his career. His Wentworth's subtle yet barely suppressed anger hits Anne like a bombshell. The emotion is slow paced and very flowing - but it's nonetheless quite palpable.The entire cast, in fact, gives every cause for high praise -- most notably Corin Redgrave (brother of Lynn and Vanessa) as Anne's vain and spendthrift father, Sir Walter Elliot, Sophie Thompson (sister of Emma Thompson) as Anne's self-centered younger sister Mary Musgrove, and Fiona Shaw (Mrs. Reed in 1996's JANE EYRE) as the indomitable Mrs. Croft - each are absolutely perfect in their respective roles.Many a time, upon a weekend afternoon, I've placed this tape into my VCR and played it while occupied with various household chores. As ever and as always, this film offers up its many beauties, and they never fail to enchant me: the long walks through the pristine and stately New Forest - the excursions with the Navel men striding proudly along jetties of the shores at Lyme - the atmospheric turns about the drizzly sidewalks, the pump rooms, and the concert halls of Bath. Such are the scenes that eternally soothe a spirit ~"	5.0	"""-Loving Longest When All Hope Is Gone-"""	2003-04-25	800	781	19
6303965415	Persuasion [VHS]	A3OC7TNU8QGB40	A. Chen	I watched this movie before I read Jane Austen's &quot;Persuasion&quot;.  When I first watched it, it seemed extremely slow -- nothing was happening!  Towards the ending things got better, but I wasn't that impressed.Then  I bought the book and read it.  From a strict  movie entertainment level  from the first viewing, I would give this film 3 stars.  However, from its  capturing of the essense of the book, it deserves 5 stars.  Upon first  watching it, I was confused by Amanda Root, who isn't that attractive but  gets the handsome Captain Wentworth at the end.  However, I see that this  reflects the book, where Anne has lost her bloom and is thus not as  beautiful as she once was, but the strength of character and true love  between the two wins out.The other reviewers here were right -- this  movie gets better and better upon watching it multiple times.  It's a very  quiet movie in a way, but full of gentle nuances that are really quite  powerful once you get into that mindset.	4.0	Starts slow, then grows on you	1999-06-28	4	2	2
6303965415	Persuasion [VHS]	A188RC55NFSA7O	A Customer	This is the movie I watch when I'm having a bad day.  It starts off rather melancholy and sad, but ends happily.  The rediscovered love between Anne and Captain Wentworth never fails to cheer me up.	5.0	Feeling melancholy?	2001-08-11	1	0	1
6303965415	Persuasion [VHS]	A1LYM36ZY6M1VD	addiesmom	"I loved this movie I loved the actors who were in it and the way they portrayed the characters. I have seen a couple adaptations of the book ""Persuasion"" and I think this one for me is the best version.  The only thing that made me sad was that it seemed to take so long in the movie for them to get together and then jump to sailing off into the sunset I would have liked to see a little more emphasis paid on after the engagement how people reacted and how her status in the family changed.  I have watched it numerous times and always find something new every time I watch it.  Great great movie wishing there was a sequel!!!!"	5.0	Loved this Movie	2011-04-21	2	1	1
6303965415	Persuasion [VHS]	A2ZY18M0EPOZIM	AeKnez	If you are a big Jane Austen fan you will enjoy this but I found the actors and actresses a little off-putting.	3.0	Casting seemed Strange but Story was Good	2013-04-24	3	1	2
6303965415	Persuasion [VHS]	A3G2CIU4H969HD	"A. E. Mouat ""amouat"""	Another great adaptation of Jane Austen work; cast is excellent.  I had been looking for this one for a while, too.  :)	5.0	Love this film!	2008-03-25	2	1	1
