asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	A2ANZYE6HTIUAO		The movie is enjoyable enough however I could do with Keira Knightly, for some reason the ways she speaks takes away from the character.	3.0	The movie is enjoyable enough however I could do with ...	2014-07-20	0	0	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	A1TXNJYGNRL9PC	03mp	after reading the numerous &quot;two thumbs down&quot; type of reviews i was hesitant to get this, but i like a lot of what Depp has done so i took a chance. fabulous. funny. unpredictable.	5.0	surprising fun and excitement	2004-02-09	1	1	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	ACW2C2IGV5EA8	"""16243"""	No effence to the other writers but how can a movie that made box office records, nominated for 5 acadamy awards, and dazzeled people around the world be called a bore? This movie is a great adventure that will have you bubbeling for more. That is why they are making a second Pirates Of The Caribbean, Treasures Of The Lost Abyss. Thank goodness for Jerry Bruckheimer! Wonderful movie, dazzeling actors ( one nominated for an acadamy), great special effects, and knock your socks off makeup (also nominated) will give you the ride of a lifetime. Hope you like the movie as much as I do!	5.0	Wonderful... Johnny Depp is amazing!	2004-01-01	11	9	2
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	AS2J43GY4X3GY	1Chick	It is nice to have sequels that do not disappoint.  Imaginative storyline and actor presentations continue to present a quality product.	5.0	Humorous	2013-11-14	0	0	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	"Upon the suggestion of my 11 year old neice, we purchased this DVD for our collection.  It is her ""all-time favorite movie."" -I can see why!As the movie starts out, we come to understand that the Governor's daughter is fascinated by pirates. They rescue a young boy from a burning pirate ship - the movie gives hints that he may be a pirate himself. This sets up the rest of the movie.It is an easy to follow story of a pirate, Captain Jack Sparrow(Depp), on a mission to get his ship (The Black Pearl) back from a fellow pirate who committed mutany taking it away. This pirate and his crew also gained the curse of the undead. They are unable to be killed (as they are already ""dead""!), and unable to taste food, feel things, etc. like normal humans. Very interesting - and the special effects are great!  Depp has many good lines here!I don't want to give it all away, so I will stop there! Hopefully I have peaked your interest enough to convince you to invest in this one.It is not a ""scary"" movie, but I did have to explain some things to my 4 & 5 yr old daughters. (They also enjoyed the movie!) I recommend this movie to all ages! It is entertaining and keeps your interest throughout!1smileycat :-)"	4.0	Ahoy Matees!	2004-01-13	2	2	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	A2NL8HSXD8PIPO	2014S	This is the best movie of all the pirates movies. It was my first blu-ray purchase and the picture quality compared to dvd is much better. Lots of details, beautiful colors that pop right of the screen.Movie 9/10Picture 10/10Sound 9/10	5.0	Great Movie, Exellent picture	2007-10-14	5	2	3
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"""Pirates of the Caribbean-The Curse of the Black Pearl"" is a relentless action adventure that is thoroughly entertaining.  The audience is seldom left to catch its breath scene for scene that cleverly reinvents swashbuckling.  The dueling scenes are inventive and the cinematography and choreographing of battles are superb.  Captain Jack (Johnny Depp) creates entertainment par excellence as the funny pirate, and Elizabeth (Keira Knightly) is captivating.  We have constant changing hands from the British to the pirates from prisoners to capturing, to blackmail, etc.The main premise is that the pirates are under a curse where they can duel and be hurt but never die.  They are interested in British booty, something the military will deny.  In the course of events is Elizabeth's interest in Will Turner (Orlando Bloom), the local blacksmith, even while she is being wooed by the aristocratic Commodore.Non-stop adventure with new twists and turns with every camera angle make ""pirates'... fine entertainment.  Even if it gets tiresome at times when the pirates, unfairly, never die."	4.0	Endless Booty	2006-07-07	0	0	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	ABQQROIQFW5DE	4everblue	I have to admit, I was skeptical about this movie when it first came out. I didn't think I could really enjoy what looked like a cheesy Disney pirate movie. Boy, was I wrong. I thought this movie was a fantastic tale of adventure that could appeal to all ages. The special effects were awesome and very realistsic, and the dialogue was witty and entertaining. Johnny Depp's character was fascinating to watch on screen. His eccentricities gave a wonderful humorous tilt to a tale of curses and death. My favorite aspect of the movie, however was the music. The booming, fast-paced anthems of adventure on the high seas really drove the film home. One of the neat aspects of the film is that small scenes from the Pirates of the Caribbean ride in Disney World are portrayed exactly the same in the movie. This film is excellent, and I would recommened it to anyone looking for an intriguing tale of sword fighting, ghosts, and stolen treasure.	5.0	A fantastic adventure!	2004-01-06	1	1	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	A1OZS2MNSXXWAT	"""666joinme666"""	I saw this movie on VHS, and I loved it. Wonderful stuff, the whole thing. I usually don't go for disney movies, but this one was a nice treat. Keira Knightly, Orlando Bloom, Johnny Depp, Barbossa's character,(can't remember his name) and just about everyone in this film was great.	4.0	Wonderful Stuff.....	2004-05-18	0	0	0
B00005JM5E	Pirates of the Caribbean: The Curse of the Black Pearl (Two-Disc Collector's Edition)	AC3NT34U7ZH1V	A. Anderson	It seems I can watch these movies over and over and don't grow tired of them.  Finally, I decided to buy them instead of waiting for them to be on TV.  A lot of fun...a great way to escape a hectic day and laugh a bit.  Great entertainment!	5.0	Love the Pirates collection!	2013-02-08	0	0	0
