asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
078886047X	Sin City	A3HQXFLZ6WI70Q	Abdul Fazrul	The people that came up with the idea to make this movie the way it was made are geniuses. Playing with colour, shadow, etc. Totally cool and brings out the awesomeness of the movie, scenes, actors, actions, etc. Bluray is so freaking clear, I finally know what black really looks like.	5.0	Beautiful Movie. Super Duper Bluray.	2012-08-25	1	1	0
078886047X	Sin City	A32JKNQ6BABMQ2	"abe ""starman"""	i just finished watching this movie and let me tell you it was something else!theres near naked chicks the whole way through which wouldve kept me going right there,but then theres lots of blood and guts too!talk about double prizes!it is black and white mostly which im sure a lot of people will whine about,but a lot of good movies are black and white so dont be so stupid!there is color in certain parts,which is neat.one thing i did not like was how the characters are shot repeatedly or lethaly[at least debilitatingly] and are up and fighting in like 30 seconds.did i miss something?do they regenerate?bulletts only hurt a little bit?its very grapgicly violent and not for you hippie bleeding heart liberalistsw out there,so go watch dazed and confused for the millionth time and leave your protest groups to something worth fighting over.the movie is masterfully directed by quenten tarantino.so you know theres a lot of blood and guts in it!theres more than one creepy part so i suggest only those with a good tolerance for violence and lifetime type drama go see it.its a cool movie.	4.0	sex and blood galore!	2005-09-30	0	0	0
078886047X	Sin City	A1LBAC84TLIGAX	"ACEMAN1 ""HERE TO PISS YOU OFF"""	Sin City quite simply is jaw-dropping. What more could you ask for? An all-star cast, a striking visual look, brilliant storytelling, a crazed and rather demented cast of characters, and well-executed action scenes. Sin City is easily one of the greatest films of all time (The Internet Movie Database also backs this up, considering it's on the top 250 list). This is easily one of the best films I've ever seen. It's not quite perfect, but almost.WHAT IT'S ABOUT: The film is comprised of three separate storylines, all taking place in Sin City. One story focuses on a disgraced cop accused of kidnapping and child molestation after being framed by a powerful political individual who will not let his son be brought to justice for his crimes against little girls. Now the cop must protect a stripper (a girl who is now 19 he rescues at the beginning of the film from the crazed child molester.) and prevent her from being hunted down by her kidnapper, raped, and killed. The second storyline focuses on a man who is out to seek revenge for his murdered girlfriend Goldie, while running from the police because he has been accused of the murder by a powerful religious official, and now he has to find the killer and the religious official responsible for it while having the girl's twin sister tag along with him. The third story focuses a man named Dwight who defends his girlfriend from her violent ex-boyfriend and her Old Town Girls (A homicidal gang of gorgeous prostitutes who run the Old Town section of Sin City), when the Old Town Girls accidentally kills a group undercover cops, Dwight is tasked with getting rid of the bodies to protect their reign over Old Town and not anger the police and mobsters and have them come after them.MUSIC: The musical score was excellent and fit the film perfectly through every moment.ACTION: This film is modeled like an old black and white film, with small touches of color here and there. The action scenes are quite brutal and disturbing at times, but are loaded with shootouts and dismemberments of people. The action scenes were well done, but this film is definitely not for kids at all.ACTING: The acting was really good, which is no surprise considering the all-star cast of people. The dialogue was also good, and it did feel believable. Unfortunately, I do have to complain that sometimes the dialogue got a little long-winded and dragged on. This is only a small complaint though, but it does put a blemish on this film.OVERALL: This is a must-have for any DVD collection. This film is totally brilliant and well-executed in every regard.THE GOOD: The striking visual style, the action scenes, the acting and actors, the brilliant storytelling, and the great music.THE BAD: Moments of long-winded dialogue.	5.0	A STUNNING MASTERPIECE  9.5 OUT OF 10	2009-04-25	3	1	2
078886047X	Sin City	A2O8RIDCJ0H83V	Acoma	I was not familiar at all with any of Frank Miller's graphic novels so I came into this film unaware of his previous work. I rented this last night and fully expected it to suck. This was definately not the case and what I ended up with was a very good piece of cinema and great stories.This is Film Noir. There are no real heroes. Everything is very dark. To sum this film up in one sentence it would have to be this - The good guys are bad and the bad guys are even worse. It takes about ten minutes to get the feel of what they are trying to convey, after which you are sucked in. The plots and characters are alive and real. These are stories and if you like a gritty tale of human nature's darker side you won't be disappointed.	5.0	Fine cinema	2005-09-07	3	2	1
078886047X	Sin City	A16B0C3PSIMJ6C	A. Cruanas	The original DVD was great, but splitting the individual stories up into 3 seperate movies, with additional scenes each, makes this DVD top-notch.  Its much more bearable to sit down and watch one story at a time now, I can even get my wife to watch and enjoy them now! Plus another cooking school on disc 2!	5.0	Awesome	2006-08-16	10	5	5
078886047X	Sin City	A3LNXUXY3X5W37	Adam Dembowitz	Do you like Bruce Willis and Clive Owen?  Do you like Jessica Alba and Rosario Dawson?  Do you like treachery, guns, sex, and blood?  If so, pick up a copy of Sin City.  There isn't anything about the movie I would change, except Michael Clarke Duncan's cameo is kind of forced.  I'm excited for the sequel.  Excellent supporting performances by Elijah Wood, Mickey Rourke, Carla Gugino, and especially Benicio Del Toro.	5.0	Sin City	2007-03-09	8	4	4
078886047X	Sin City	AT1J4MGWHVZEG	Adam J. Bernstein	Sin City lived up to all the anticipation i had for it! They created what is more of a comic interpitation of a moive and less of a movie interpitaion of a comic.They got a fantastic cast that really brought Miller's world to life. Clive Owen, Micky Rourke, Bruce Willis are all the spitting image of there characters. This movie is hands down fun! Its action packed, and stunning. It will DEFNITLY be an addition to my DVD collection.	5.0	BEST MOVIE OF 2005!! PERIOD!!	2005-04-07	4	2	2
078886047X	Sin City	A2ZN3WLQZCBCZO	Adam Willis	If you like beautiful women, good dialogue, kick-ass action sequences, and an insane depth of actors giving awsome performances than chances are you will like this movie. Sure some of the scenes are a little much, for instance Hardigan ripping off parts of the human annatomy that makes most men cringe. Being based on Frank Millers graphic novels, and by graphic I mean it in every sense of the word, you are going to see some ultra-violence, but the gore and blood are bearable due to the films color scheme, and the rest is left to ones own twisted imagination. For the people who identify Elijah Wood with the friendly hobbit from the Shire be prepared for a whole knew range of his acting ability. His haunting performance alone is 5 stars. Don't bring the jeolouse girlfriend to the movie, the women on screen demand all the attention. Enjoy.	5.0	She said her name was Goldie	2005-09-30	3	0	3
078886047X	Sin City	A2QMBY3CCR2B02	A. Delgado	"This Movie is The Best of 2005! Every Single Second Is Amazing. This Movie is directed by an all star director named Robert Rodriguez. If you don't know him, well, you suck. And Also Directed by the creator of sin city, Frank Miller. This movie has what they like to say, ""violence"", but who cares! It's black and white! BUY THIS DVD!! Also Be ready for the long waited special edition dvd."	5.0	THE BEST OF 2005!!! PERIOD!!!	2005-08-12	5	2	3
078886047X	Sin City	A1X9RGY6D98LHO	"adiadv ""adiadv"""	"Miller, Roderiguez and Tarantino combined their talents to create an amazing film. I clapped and said, ""Bravo"" after it was over. Kinda scary since I watched it by myself!! But I sincerely thought it was that good.It's a comic book vividly brought to life. The special effects are outrageous and over-the-top, just as they should be. It's fun to be drawn into a fantasy world that's full of action, suspense and death-defying feats.The use of color was both brilliant and stunning. Among other things, it purposefully spares you the gory images of brutally violent actions - just enough to remind you that it is a fictional world. But there's plenty of graphic violence and gore (among other things) ... so this most definitely isn't one for the kids!The cast includes dozens of actors from diverse backgrounds. Like most films Tarantino is involved in, you'll see unexpected performances from people you probably never have imagined in that role. They're given an opportunity to demonstrate their diversity and they always shine. I'm not giving Tarantino all the credit in choosing the cast, I'm just saying that I expected it when I saw his name - and I was not let down.I loved it."	5.0	Bravo!	2011-07-27	3	3	0
