asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A1ICEZXI9PTCN3		The hallmark of the first three Star Wars films was that a timeless, superbly engaging story was told with brilliant, groundbreaking effects. With Phantom Menace, we are faced with a half-baked, poorly written story  told with spectacular but hardly innovative effects. The overall result is  a disappointment on its own, and an outright disaster when compared to its  predecessors. George Lucas seems so intent upon the digital, that he has  utterly forgotten the power of the spiritual, the mystical, the  magical...the HUMAN. All of these qualities were present in his first three  films and are, for the most part, lacking in his latest.  Let's start  with the effects. Yes, they are marvelous...particularly in regard to the  scenes of the &quot;march of the androids&quot; in the battle with the  Gungans, the Senate hearing, the various city-shots of Naboo etc, and the  final light-saber duel. But magnificent effects alone are not going to  inspire a sense of wonder...after all, we have become quite accustomed  (even numbed) to effects- driven films...some films having very nearly the  same quality effects as Phantom Menace, and some with even more  &quot;effectively used&quot; effects. So George was giving us nothing THAT  radically new, a thing he had previously accomplished with his other films.  In fact, some of his effects seemed dated and underwhelming. Several of the  background creatures on Tatooine looked like rejects from 'The Muppet  Show,' and the digitally- created Federation androids were just plain  silly-looking. They weren't the slightest bit intimidating. Those androids  were a huge effects goof. The Pod-race was gripping and &quot;very good  cinema,&quot; but there was no sense of urgency. They weren't destroying a  death star...they were just gambling on getting parts for their ship.  The acting was TERRIBLE, but it's not the fault of the actors...the script  stunk to high heaven. If I heard &quot;I feel a disturbance,&quot; or  &quot;The situation seems more complicated than we thought,&quot; or  &quot;We have no time for this,&quot; once, then I heard these lines a  thousand times. The dialogue was horrifically stilted, real emotion was  absent, the scenes seemed strung together with Elmer's glue, and the  characters were uninvolving. Every character was a bore in this flick, from  Qui Gon-Jin to Queen Amidala (whose cheesy, corny-looking outfits seemed  more fitting for second-rate drag queens than a space queen). Yoda was  underused, Samuel Jackson's acting was hilariously bad, and the Jar Jar  Binks character was REALLY the most shockingly useless Star Wars character  ever imagined. What was Lucas thinking? The racial bit was painfully  obvious. At the end of this film, I wouldn't have been surprised to see the  bell-bottomed, big-butted, pigeon-English Gungans stooping to worse lows.  They did everything but tap-dance and spit watermelon seeds. How very  stupid and insulting and the character was completely unconvincing.  I  know that people warn against comparing this film to the others, but the  film IS based on the others, IS related to the others, and IS meant to be  regarded in at least SOME connection with the others. But that doesn't  matter. Even on its own, it's a bore, an example of what can happen when  Lucas panders to the dumbing down of the audience by believing that no one  really cares about a great story anymore. Visually, Phantom Menace has  everything but the kitchen sink...but it has no soul.	2.0	IT INSPIRES  NO SENSE OF WONDER	2000-04-06	20	15	5
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A3GVWMBCLRGRXI		I am a big Star Wars fan and I must admit that the first three were captivating movies.  I expected the world out of a movie with twenty extra  years of technology pumped into it.  And when I saw The Phantom Menace (I  could think of a hundred better titles) I was stunned, for two reasons.  First, the graphics lived up to all my expectation.  Second, Everything  aside from the graphics was appalling.  It was just a bad movie.Acting: None of the actors were good at all.  Many were below mediocre  to the point that they made the movie unwatchable.  Biggest problem was  Jake Lloyd as Anakin.  Are we actually supposed to believe that this  TellyTubby will someday be the Mega Villain Darth Vader.  You couldn't get  to know the characters as you could in the previos films.  The performances  didn't help to much as they didn't interact with eachother and have  relationships.  Overall it was just a bad movie.	1.0	Nice Try	2000-08-31	10	8	2
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A3EX36SNRYD5VL		I understand that folktales reach out to us because they are familar to us, yet I can't help but wish that Lucas would do something new and different.  I have no idea why the Jar Jar character is here, no idea why they felt the need to explain the &quot;force&quot; in bad psuedo-science terms, and little respect for something that seems more geered toward making money off of toys than entertaining an audience.  I was very very disappionted.	2.0	too much folklore mixed with bad science	2000-10-20	10	8	2
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A31O7B59DW7OHR		Let's not beat around the bush-- this was a bad movie. A very bad movie. It only makes things worse that this was the most anticipated film, well, ever. We waited 17 years and THIS is what we get?Much was made of the fact that George Lucas hadn't directed a movie since Star Wars. It shows. If Lucas had been on the ball he would've fired the screenwriter, because the story and script are awful. Oh, that's right, Lucas wrote it, too. We begin to see the problem.So what is The Phantom Menace about? Well, its about taxes. Its about a planet that doesn't want to pay what it thinks are too-high taxes. Now, this may be an acceptable subject for Bush and Gore to debate, but it seems an odd topic for Lucas to choose as the flashpoint for all that is to follow. Perhaps this is meant to be a civics lesson for the millions of politically uninvolved youngsters out there. Perhaps.Anyway, it only takes about 3 minutes for the lightsabers to start waving around and no doubt the crowds went wild. Except that our fearless Jedi are fighting robots that are about as fearsome as a bunch of Furbies. Outnumbered 10 million to one our fearless Jedi make it to the planet's surface (exactly how is blessedly glossed over) and there Liam Neeson runs, literally, into one Jar Jar Binks. It is one of the momentous meetings in film history. Star Wars, perhaps the most revered (and profitable) story in the history of human creation is up against a character with the power to destroy it all. Like Lucifer himself, Jar Jar is an unholy creature. His pathetic attempts at comic relief, his unintelligable speech, the fact that a great actor like Neeson was forced to emote at empty air and then watched as it was filled by this abomination...it's beyond my abilities to describe how awful it all is. Did no one have the courage, the decency, to tell Lucas that this character was a horrible mistake? Cowards, all.The other mind-blowing gaff Lucas makes is how he pretty much abandons what the whole Star Wars universe is based on, namely, the Force. If I recall correctly, Sir Alec Guinness describes the Force as a kind of New Agey cosmic energy emitted by all living things, a power that could be harnessed by those with the skill, training, wisdom, and patience to master it. Well, in this movie we find out the Force is actually a blood infection. The two Jedi analyze Anakin's blood &amp; find out that he has a high level of this microbes or something and that's why he's so good with the Force. How on earth the people closely associated with Star Wars let Lucas screw up the Force is beyond me. It's insane.The story itself is pretty blah. The pod race was neat and two laps too long. The assault on the Naboo fortress was about as exciting as preseason NFL game and ridiculous to boot. The kid who plays Anakin is annoying, as almost all child actors are. When he finds himself trapped on an enemy battleship and surrounded by murderous killer droids, Anakin utters the memoroable line, &quot;This is NOT good.&quot; Ah, such scintillating dialogue.Even the special effects are just kind of, ehhh. When &quot;Star Wars&quot; came out it was such a colossal hit because the special effects were light-years ahead of everything else. The opening scene, where the Star Destroyer is chasing Princess Leia's ship, was awesome, and I don't mean &quot;cool&quot;, I mean awe-inspiring. Incredible. Today, digital technology (much of it pioneered by Lucas's Industrial Light and Magic) have made special effects, well, less special. Pretty soon any filmmaker will have the ability to hire a couple of high school kids with Macintoshes who can put together digital effects that can do anything. The director will wish it, and POOF! It'll be on the screen. Films will no longer be differentiated by the neato effects, but on such forgotten elements as the director's vision, good acting, great scripts, and interesting stories. All of which were sadly lacking in The Phantom Menace	2.0	Who let this happen?	2000-08-29	10	8	2
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A3U3W7URZU9259		Why aren't ANY of the Star Wars Movies available on DVD (the most popular technology today! ) ?  The answer is: George Lucas is GREEDY!  He knows that many 'suckers' will buy the VHS versions of his movies, then he will  add special features for DVD versions, which will also be picked up by the  same suckers!  He gets twice the amount of money for one film, which  didn't knock my socks off anyway!  Leave the video alone, and wait for  the DVD!  If you need to see thi 'movie', rent it 1st!	1.0	GREEDY LUCAS	2000-05-09	10	8	2
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A1ZQF8VR72YFYC	"07459 omega   ncc 1701 ""enterprise  nx 01"""	i like all the star wars films they are allmy faverite movies i like scifimovies	5.0	the phantom rocks the house	2000-08-22	6	1	5
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	AVYQSHNQKF32W	13 year old Jedi Apprentice	This movie is excellent! Though I did not care for any of the characters as I did in the other Star Wars movies. I hated Anakin ( he was rude and boring ), Obi-Wan Kenobi and Qui-Gon Jinn were rude, Queen Amidala was  stupid and Jar Jar Binks was an idiot, though pretty funny in some scenes.  Darth Maul was, I think pretty much the best guy. Actually the only two  people I like is Obi-Wan Kenobi ( don't ask me why ) and Darth Maul ( great  guy ). But the movie was still good and entertaining. I thought the  podracer part was way too long and the movie had its weaknesses ( such as  where Qui-Gon Jinn came from or why he does not turn into a ghost like the  other Jedi ). It was kind of sad when Qui-Gon Jinn.....you know, and when  Anakin left his mom ( but that wasn't so bad because I only felt bad for  Shmi not Anakin ). But there was still plenty of humor and suspense. My  mother ( who used to be a Star Wars fan ) thinks this movie is stupid and a  bore, way different from the other Star Wars and way worse, but I on the  other hand think it's great. Well, whatever you choose, May the Force be  with you.	5.0	Great Movie!	2000-02-09	1	0	1
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"What I want to say is that I really, really tried to love this movie, OK? I made a real effort. LOL.Now, I watched Episode 1 more than once, so I didn't hate it. Each time, as with viewing any film multiple times, certain things would stick out or grab me more than others. Some aspects of the story, certain special effects or visuals, the music, dialog, specific characters, etc.,whatever, would be more prevalent, more on my mind, more in focus.Anyway. Alright, the two things that I could not accept, that just to me are virtually impossible to ignore are:1. Jar Jar appearing in the movie __as MUCH as he does__.2. Darth Maul appearing in the movie __as LITTLE as he does__.Also --and maybe this is #3-- would definitely be the way Darth Maul dies. Nope, sorry do NOT, can not buy that. Look, he just stands there. Go back and watch it if you'd like -- Darth Maul stares at Obi Wan with a frown on his face, sees Obi Wan looking over to the side staring at a light saber, and then watches as the young Jedi flies up from the shaft -right in front of him- and then comes down on his(Maul's) other side. OK, watch it again if you feel this is nit picking at all. It's absurd, __especially since Darth Maul is portrayed, in the few scenes he is in, as a total bad a**!__ What was Maul doing? He literally just stands there and then after Obi Wan lands he slowly turns around and doesn't even make a move.Back to #1 and #2: I know, I understand Jar Jar is for the children. Fine, I got it. But, man, we all could have done with a bit less of that character. Also, they coulda toned it down a couple of times -- as for example when they are at the dinner table. You know the scene.. I thought, OMG, ""he's actually ruining the movie"". But I would have been fine with Jar Jar if he had a smaller role. #2 What the *****? Remember those AWESOME PREVIEWS with Maul in them looking so freaking bad? He was barely in the movie and instead a retarded children's comic relief imbecile was the star.Now, look, I am familiar with the tendency, ESPECIALLY for fans, or what would be better described as SUPER-FANS to rationalize away the flaws, ample flaws, of these films. I am also aware of the common tendency to be overly critical of the movies. So, I hope that I am not simply coming across as overly critical here. All I wanted to bring up is that in watching this movie a bunch of times I could let slide a lot of stuff, but not everything.Hope you enjoyed my two cents and let's hope future Star Wars stories are better, and are told better as well. Lucas created something special, something that I think grew larger and is greater than his ability to handle. God I wish he'd let Spielberg direct."	2.0	Many Flaws, But TWO That I Just Couldn't Ignore.... & Still Can't	2008-01-23	6	4	2
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	A8ECBR3GCGUSW	"4445 ""6789"""	This movie was marvelous. Anybody who thinks otherwise are losers. These movies are for Star Wars fans, so i kinda understand why a non-fan would dislike it. But in my opinion I belive when years pass people will appreciate this movie a bit more. The movie was colorful, beautifully shot and a dream for Star Wars fans. This movie is a masterpiece from beginning to the end. Oh yeah and I loved Jar Jar.	5.0	Wonderful!!!!!!!	2004-10-06	3	1	2
630575067X	Star Wars - Episode I, The Phantom Menace [VHS]	AO2Q55IPOD4VV	"999 ""000"""	What more can I say exept this was a classic film. A masterpiece in so many ways I still don't fully comprehend how marvelous this film is. I loved it.	5.0	A classic	2004-10-06	3	1	2
